date,average_water_level
2018-01-31,149.02
2018-01-30,149.01
2018-01-29,149.05
2018-01-28,149.06
2018-01-27,149.07
2018-01-26,149.06
2018-01-25,149.03
2018-01-24,149.06
2018-01-23,149.07
2018-01-22,149.08
2018-01-21,149.07
2018-01-20,149.06
2018-01-19,149.04
2018-01-18,149.04
2018-01-17,149.06
2018-01-16,149.07
2018-01-15,149.09
2018-01-14,149.07
2018-01-13,149.07
2018-01-12,149.08
2018-01-11,149.14
2018-01-10,149.04
2018-01-09,149.06
2018-01-08,149.08
2018-01-07,149.1
2018-01-06,149.07
2018-01-05,149.09
2018-01-04,149.09
2018-01-03,149.08
2018-01-02,149.09
2018-01-01,149.09
2017-12-31,149.14
2017-12-30,149.1
2017-12-29,149.08
2017-12-28,149.1
2017-12-27,149.1
2017-12-26,149.13
2017-12-25,149.08
2017-12-24,149.14
2017-12-23,149.09
2017-12-22,149.13
2017-12-21,149.12
2017-12-20,149.1
2017-12-19,149.12
2017-12-18,149.13
2017-12-17,149.15
2017-12-16,149.1
2017-12-15,149.11
2017-12-14,149.15
2017-12-13,149.11
2017-12-12,149.13
2017-12-11,149.14
2017-12-10,149.14
2017-12-09,149.15
2017-12-08,149.14
2017-12-07,149.14
2017-12-06,149.15
2017-12-05,149.17
2017-12-04,149.17
2017-12-03,149.13
2017-12-02,149.16
2017-12-01,149.14
2017-11-30,149.17
2017-11-29,149.14
2017-11-28,149.2
2017-11-27,149.14
2017-11-26,149.16
2017-11-25,149.21
2017-11-24,149.15
2017-11-23,149.16
2017-11-22,149.17
2017-11-21,149.22
2017-11-20,149.16
2017-11-19,149.17
2017-11-18,149.23
2017-11-17,149.17
2017-11-16,149.17
2017-11-15,149.22
2017-11-14,149.17
2017-11-13,149.19
2017-11-12,149.23
2017-11-11,149.2
2017-11-10,149.2
2017-11-09,149.2
2017-11-08,149.21
2017-11-07,149.24
2017-11-06,149.22
2017-11-05,149.22
2017-11-04,149.21
2017-11-03,149.22
2017-11-02,149.25
2017-11-01,149.22
2017-10-31,149.21
2017-10-30,149.27
2017-10-29,149.22
2017-10-28,149.24
2017-10-27,149.26
2017-10-26,149.26
2017-10-25,149.22
2017-10-24,149.26
2017-10-23,149.28
2017-10-22,149.25
2017-10-21,149.28
2017-10-20,149.25
2017-10-19,149.29
2017-10-18,149.23
2017-10-17,149.15
2017-10-16,149.15
2017-10-15,149.19
2017-10-14,149.18
2017-10-13,149.18
2017-10-12,149.17
2017-10-11,149.18
2017-10-10,149.19
2017-10-09,149.24
2017-10-08,149.18
2017-10-07,149.21
2017-10-06,149.19
2017-10-05,149.21
2017-10-04,149.22
2017-10-03,149.26
2017-10-02,149.24
2017-10-01,149.22
2017-09-30,149.24
2017-09-29,149.26
2017-09-28,149.26
2017-09-27,149.27
2017-09-26,149.28
2017-09-25,149.27
2017-09-24,149.27
2017-09-23,149.27
2017-09-22,149.28
2017-09-21,149.29
2017-09-20,149.3
2017-09-19,149.29
2017-09-18,149.3
2017-09-17,149.33
2017-09-16,149.34
2017-09-15,149.35
2017-09-14,149.35
2017-09-13,149.35
2017-09-12,149.35
2017-09-11,149.37
2017-09-10,149.39
2017-09-09,149.4
2017-09-08,149.4
2017-09-07,149.4
2017-09-06,149.42
2017-09-05,149.44
2017-09-04,149.45
2017-09-03,149.45
2017-09-02,149.47
2017-09-01,149.48
2017-08-31,149.49
2017-08-30,149.5
2017-08-29,149.51
2017-08-28,149.53
2017-08-27,149.54
2017-08-26,149.56
2017-08-25,149.58
2017-08-24,149.58
2017-08-23,149.59
2017-08-22,149.62
2017-08-21,149.63
2017-08-20,149.66
2017-08-19,149.67
2017-08-18,149.69
2017-08-17,149.72
2017-08-16,149.75
2017-08-15,149.76
2017-08-14,149.78
2017-08-13,149.8
2017-08-12,149.82
2017-08-11,149.85
2017-08-10,149.88
2017-08-09,149.9
2017-08-08,149.93
2017-08-07,149.97
2017-08-06,149.99
2017-08-05,149.99
2017-08-04,150.01
2017-08-03,150.01
2017-08-02,149.99
2017-08-01,149.96
2017-07-31,149.93
2017-07-30,149.9
2017-07-29,149.87
2017-07-28,149.84
2017-07-27,149.81
2017-07-26,149.77
2017-07-25,149.74
2017-07-24,149.71
2017-07-23,149.67
2017-07-22,149.63
2017-07-21,149.59
2017-07-20,149.56
2017-07-19,149.52
2017-07-18,149.49
2017-07-17,149.44
2017-07-16,149.39
2017-07-15,149.34
2017-07-14,149.3
2017-07-13,149.27
2017-07-12,149.21
2017-07-11,149.16
2017-07-10,149.11
2017-07-09,149.04
2017-07-08,149.0
2017-07-07,148.95
2017-07-06,148.91
2017-07-05,148.88
2017-07-04,148.86
2017-07-03,148.86
2017-07-02,148.86
2017-07-01,148.87
2017-06-30,148.88
2017-06-29,148.86
2017-06-28,148.85
2017-06-27,148.85
2017-06-26,148.87
2017-06-25,148.87
2017-06-24,148.88
2017-06-23,148.89
2017-06-22,148.86
2017-06-21,148.86
2017-06-20,148.87
2017-06-19,148.88
2017-06-18,148.89
2017-06-17,148.86
2017-06-16,148.86
2017-06-15,148.87
2017-06-14,148.89
2017-06-13,148.87
2017-06-12,148.87
2017-06-11,148.88
2017-06-10,148.87
2017-06-09,148.87
2017-06-08,148.87
2017-06-07,148.88
2017-06-06,148.89
2017-06-05,148.89
2017-06-04,148.87
2017-06-03,148.89
2017-06-02,148.88
2017-06-01,148.88
2017-05-31,148.88
2017-05-30,148.88
2017-05-29,148.89
2017-05-28,148.91
2017-05-27,148.9
2017-05-26,148.9
2017-05-25,148.89
2017-05-24,148.86
2017-05-23,148.89
2017-05-22,148.88
2017-05-21,148.9
2017-05-20,148.91
2017-05-19,148.91
2017-05-18,148.9
2017-05-17,148.9
2017-05-16,148.88
2017-05-15,148.89
2017-05-14,148.9
2017-05-13,148.89
2017-05-12,148.9
2017-05-11,148.93
2017-05-10,148.91
2017-05-09,148.91
2017-05-08,148.92
2017-05-07,148.91
2017-05-06,148.91
2017-05-05,148.9
2017-05-04,148.92
2017-05-03,148.95
2017-05-02,148.91
2017-05-01,148.93
2017-04-30,148.92
2017-04-29,148.95
2017-04-28,148.94
2017-04-27,148.91
2017-04-26,148.95
2017-04-25,148.93
2017-04-24,148.9
2017-04-23,148.91
2017-04-22,148.96
2017-04-21,148.94
2017-04-20,148.95
2017-04-19,148.94
2017-04-18,148.95
2017-04-17,148.96
2017-04-16,148.96
2017-04-15,148.96
2017-04-14,148.95
2017-04-13,148.96
2017-04-12,148.97
2017-04-11,148.98
2017-04-10,149.0
2017-04-09,148.98
2017-04-08,148.96
2017-04-07,148.97
2017-04-06,148.99
2017-04-05,149.01
2017-04-04,149.02
2017-04-03,148.99
2017-04-02,148.97
2017-04-01,149.02
2017-03-31,148.98
2017-03-30,148.95
2017-03-29,148.95
2017-03-28,148.89
2017-03-27,148.89
2017-03-26,148.9
2017-03-25,148.88
2017-03-24,148.92
2017-03-23,148.88
2017-03-22,148.89
2017-03-21,148.9
2017-03-20,148.89
2017-03-19,148.89
2017-03-18,148.9
2017-03-17,148.92
2017-03-16,148.88
2017-03-15,148.9
2017-03-14,148.76
2017-03-13,148.56
2017-03-12,148.51
