datetime,average_water_level
2018-02-01,332.635
2018-01-31,332.88
2018-01-30,333.29
2018-01-29,333.56
2018-01-28,333.365
2018-01-27,333.435
2018-01-26,333.845
2018-01-25,334.345
2018-01-24,334.455
2018-01-23,334.63
2018-01-22,335.115
2018-01-21,334.565
2018-01-20,334.635
2018-01-19,334.535
2018-01-18,334.41999999999996
2018-01-17,248.64
2018-01-16,248.67
2018-01-15,335.195
2018-01-14,335.21500000000003
2018-01-13,335.32
2018-01-12,335.06
2018-01-11,335.01
2018-01-10,335.24
2018-01-09,335.495
2018-01-08,334.53
2018-01-07,335.125
2018-01-06,335.195
2018-01-05,333.865
2018-01-04,334.805
2018-01-03,333.83500000000004
2018-01-02,248.48
2018-01-01,248.62
2017-12-31,333.575
2017-12-30,333.665
2017-12-29,333.595
2017-12-28,333.38
2017-12-27,332.865
2017-12-26,332.81
2017-12-25,334.14
2017-12-24,334.495
2017-12-23,334.53999999999996
2017-12-22,334.47
2017-12-21,334.475
2017-12-20,334.57
2017-12-19,334.67
2017-12-18,335.045
2017-12-17,335.17499999999995
2017-12-16,335.4
2017-12-15,335.065
2017-12-14,335.055
2017-12-13,334.84000000000003
2017-12-12,334.82
2017-12-11,334.72
2017-12-10,335.63
2017-12-09,335.565
2017-12-08,335.34
2017-12-07,248.39
2017-12-06,336.245
2017-12-05,336.665
2017-12-04,336.58500000000004
2017-12-03,336.89
2017-12-02,337.03
2017-12-01,336.915
2017-11-30,337.08500000000004
2017-11-29,337.255
2017-11-28,337.33
2017-11-27,337.37
2017-11-26,337.04999999999995
2017-11-25,336.975
2017-11-24,336.485
2017-11-23,336.56
2017-11-22,336.2
2017-11-21,335.33
2017-11-20,335.385
2017-11-19,335.32
2017-11-18,334.55
2017-11-17,334.195
2017-11-16,334.06
2017-11-15,333.78499999999997
2017-11-14,334.05
2017-11-13,334.345
2017-11-12,334.495
2017-11-11,334.58500000000004
2017-11-10,334.695
2017-11-09,335.01
2017-11-08,335.38
2017-11-07,335.575
2017-11-06,335.75
2017-11-05,335.97
2017-11-04,336.15500000000003
2017-11-03,336.22
2017-11-02,336.76
2017-11-01,337.255
2017-10-31,338.95500000000004
2017-10-30,337.22499999999997
2017-10-29,338.865
2017-10-28,338.70500000000004
2017-10-27,338.135
2017-10-26,338.275
2017-10-25,338.185
2017-10-24,338.57
2017-10-23,338.135
2017-10-22,338.275
2017-10-21,337.83500000000004
2017-10-20,337.435
2017-10-19,337.42
2017-10-18,336.38
2017-10-17,335.335
2017-10-16,335.555
2017-10-15,337.15999999999997
2017-10-14,338.12
2017-10-13,337.52
2017-10-12,336.145
2017-10-11,334.235
2017-10-10,335.03499999999997
2017-10-09,335.62
2017-10-08,336.925
2017-10-07,336.955
2017-10-06,337.77
2017-10-05,336.815
2017-10-04,337.0
2017-10-03,337.315
2017-10-02,337.515
2017-10-01,337.645
2017-09-30,337.845
2017-09-29,337.915
2017-09-28,338.23
2017-09-27,338.67
2017-09-26,339.2
2017-09-25,339.485
2017-09-24,339.94
2017-09-23,340.105
2017-09-22,340.14
2017-09-21,340.765
2017-09-20,341.245
2017-09-19,340.545
2017-09-18,339.74
2017-09-17,339.725
2017-09-16,339.48
2017-09-15,338.925
2017-09-14,338.12
2017-09-13,338.015
2017-09-12,338.365
2017-09-11,339.08
2017-09-10,340.88
2017-09-09,341.745
2017-09-08,340.295
2017-09-07,339.415
2017-09-06,339.505
2017-09-05,339.475
2017-09-04,339.12
2017-09-03,337.325
2017-09-02,337.28999999999996
2017-09-01,334.315
2017-08-31,333.96
2017-08-30,334.32
2017-08-29,334.90999999999997
2017-08-28,335.55
2017-08-27,335.96500000000003
2017-08-26,335.44
2017-08-25,336.735
2017-08-24,336.695
2017-08-23,337.08000000000004
2017-08-22,337.175
2017-08-21,337.265
2017-08-20,337.33500000000004
2017-08-19,337.20000000000005
2017-08-18,337.265
2017-08-17,337.565
2017-08-16,338.97
2017-08-15,338.5
2017-08-14,336.825
2017-08-13,337.3
2017-08-12,337.635
2017-08-11,337.83500000000004
2017-08-10,337.82
2017-08-09,338.45500000000004
2017-08-08,338.695
2017-08-07,339.505
2017-08-06,339.62
2017-08-05,339.53
2017-08-04,339.495
2017-08-03,339.95
2017-08-02,340.91
2017-08-01,341.53999999999996
2017-07-31,342.98
2017-07-30,342.83500000000004
2017-07-29,341.225
2017-07-28,341.365
2017-07-27,339.805
2017-07-26,337.17
2017-07-25,336.585
2017-07-24,335.68
2017-07-23,336.87
2017-07-22,337.43
2017-07-21,336.67
2017-07-20,336.445
2017-07-19,336.305
2017-07-18,336.595
2017-07-17,336.595
2017-07-16,336.945
2017-07-15,337.21
2017-07-14,336.73
2017-07-13,336.37
2017-07-12,336.25
2017-07-11,336.145
2017-07-10,336.265
2017-07-09,336.29
2017-07-08,335.90999999999997
2017-07-07,335.28999999999996
2017-07-06,334.57
2017-07-05,334.33
2017-07-04,334.34000000000003
2017-07-03,334.35
2017-07-02,334.12
2017-07-01,333.985
2017-06-30,333.85
2017-06-29,333.90000000000003
2017-06-28,333.99
2017-06-27,334.06
2017-06-26,334.495
2017-06-25,334.565
2017-06-24,334.69
2017-06-23,334.045
2017-06-22,333.305
2017-06-21,332.875
2017-06-20,332.715
2017-06-19,332.56
2017-06-18,331.995
2017-06-17,331.39
2017-06-16,330.685
2017-06-15,330.335
2017-06-14,329.95
2017-06-13,329.475
2017-06-12,329.205
2017-06-11,328.745
2017-06-10,328.315
2017-06-09,327.85
2017-06-08,327.85
2017-06-07,327.95
2017-06-06,328.055
2017-06-05,328.495
2017-06-04,328.855
2017-06-03,328.655
2017-06-02,329.055
2017-06-01,329.24
2017-05-31,329.88
2017-05-30,330.345
2017-05-29,330.55
2017-05-28,329.535
2017-05-27,328.955
2017-05-26,328.655
2017-05-25,327.89
2017-05-24,327.3
2017-05-23,327.445
2017-05-22,327.755
2017-05-21,328.01
2017-05-20,328.27
2017-05-19,328.325
2017-05-18,328.525
2017-05-17,327.925
2017-05-16,328.575
2017-05-15,328.445
2017-05-14,327.99
2017-05-13,327.85
2017-05-12,327.875
2017-05-11,327.945
2017-05-10,327.6
2017-05-09,328.455
2017-05-08,328.395
2017-05-07,327.855
2017-05-06,327.52
2017-05-05,327.48
2017-05-04,327.16499999999996
2017-05-03,326.525
2017-05-02,326.28499999999997
2017-05-01,325.83000000000004
2017-04-30,325.54
2017-04-29,325.11
2017-04-28,325.36
2017-04-27,325.265
2017-04-26,324.76
2017-04-25,324.29999999999995
2017-04-24,324.21000000000004
2017-04-23,324.09000000000003
2017-04-22,324.35
2017-04-21,323.97
2017-04-20,323.845
2017-04-19,323.845
2017-04-18,323.485
2017-04-17,323.41
2017-04-16,323.485
2017-04-15,323.96500000000003
2017-04-14,324.015
2017-04-13,324.385
2017-04-12,324.745
2017-04-11,325.12
2017-04-10,325.61
2017-04-09,325.29
2017-04-08,325.45
2017-04-07,325.45500000000004
2017-04-06,325.22
2017-04-05,325.53499999999997
2017-04-04,325.56
2017-04-03,325.8
2017-04-02,326.04999999999995
2017-04-01,326.23
2017-03-31,326.09000000000003
2017-03-30,326.045
2017-03-29,325.31
2017-03-28,325.38
2017-03-27,325.51
2017-03-26,325.73
2017-03-25,325.255
2017-03-24,325.32
2017-03-23,325.19
2017-03-22,325.46
2017-03-21,325.84000000000003
2017-03-20,324.675
2017-03-19,324.275
2017-03-18,324.175
2017-03-17,324.325
2017-03-16,324.645
2017-03-15,325.27
2017-03-14,325.96500000000003
2017-03-13,326.74
2017-03-12,326.395
2017-03-11,325.235
2017-03-10,323.895
2017-03-09,324.675
2017-03-08,324.53499999999997
2017-03-07,324.71
2017-03-06,324.46
2017-03-05,324.35
2017-03-04,324.83
2017-03-03,325.145
2017-03-02,325.22
2017-03-01,325.51
2017-02-28,325.375
2017-02-27,325.49
2017-02-26,325.68
2017-02-25,325.935
2017-02-24,326.15999999999997
2017-02-23,325.99
2017-02-22,325.765
2017-02-21,326.16499999999996
2017-02-20,326.275
2017-02-19,326.46500000000003
2017-02-18,326.06
2017-02-17,326.13
2017-02-16,326.305
2017-02-15,325.555
2017-02-14,326.4
2017-02-13,326.57
2017-02-12,326.645
2017-02-11,326.75
2017-02-10,326.655
2017-02-09,326.815
2017-02-08,326.885
2017-02-07,326.65999999999997
2017-02-06,326.68
2017-02-05,326.96
2017-02-04,327.345
2017-02-03,327.555
2017-02-02,327.76
2017-02-01,327.68
2017-01-31,327.47
2017-01-30,327.375
2017-01-29,328.325
2017-01-28,328.165
2017-01-27,327.725
2017-01-26,327.745
2017-01-25,328.475
2017-01-24,328.85
2017-01-23,328.76
2017-01-22,327.83
2017-01-21,327.94
2017-01-20,327.825
2017-01-19,328.405
2017-01-18,328.785
2017-01-17,328.77
2017-01-16,329.01
2017-01-15,329.52
2017-01-14,329.34499999999997
2017-01-13,329.235
2017-01-12,329.48
2017-01-11,329.37
2017-01-10,329.65999999999997
2017-01-09,328.69
2017-01-08,329.40500000000003
2017-01-07,328.88
2017-01-06,247.6
2017-01-05,328.78499999999997
2017-01-04,327.81
2017-01-03,328.48
2017-01-02,328.29
2017-01-01,328.15999999999997
2016-12-31,328.38
2016-12-30,328.345
2016-12-29,328.57
2016-12-28,328.73
2016-12-27,328.735
2016-12-26,328.67
2016-12-25,329.01
2016-12-24,329.55
2016-12-23,247.45
2016-12-22,330.645
2016-12-21,330.19
2016-12-20,329.99
2016-12-19,330.54499999999996
2016-12-18,329.93
2016-12-17,329.985
2016-12-16,329.91999999999996
2016-12-15,330.56
2016-12-14,331.145
2016-12-13,247.5
2016-12-12,247.48
2016-12-11,247.45
2016-12-10,247.67
2016-12-09,247.84
2016-12-08,247.86
2016-12-07,247.63
2016-12-06,247.61
2016-12-05,334.07
2016-12-04,334.485
2016-12-03,335.585
2016-12-02,336.345
2016-12-01,337.84000000000003
2016-11-30,339.29
2016-11-29,339.7
2016-11-28,339.755
2016-11-27,338.92499999999995
2016-11-26,339.615
2016-11-25,339.555
2016-11-24,339.405
2016-11-23,339.45
2016-11-22,339.13
2016-11-21,339.315
2016-11-20,339.405
2016-11-19,339.15500000000003
2016-11-18,338.865
2016-11-17,338.78999999999996
2016-11-16,338.62
2016-11-15,338.45
2016-11-14,338.20500000000004
2016-11-13,338.3
2016-11-12,338.3
2016-11-11,338.425
2016-11-10,338.81
2016-11-09,339.105
2016-11-08,339.55
2016-11-07,339.955
2016-11-06,340.495
2016-11-05,340.705
2016-11-04,340.625
2016-11-03,340.46
2016-11-02,339.795
2016-11-01,340.455
2016-10-31,340.65999999999997
2016-10-30,340.945
2016-10-29,341.175
2016-10-28,340.59000000000003
2016-10-27,340.75
2016-10-26,340.7
2016-10-25,339.74
2016-10-24,340.785
2016-10-23,341.265
2016-10-22,341.56
2016-10-21,340.845
2016-10-20,341.45
2016-10-19,341.53999999999996
2016-10-18,341.61
2016-10-17,341.865
2016-10-16,341.465
2016-10-15,341.82
2016-10-14,341.39
2016-10-13,340.68
2016-10-12,341.335
2016-10-11,341.65999999999997
2016-10-10,341.77
2016-10-09,342.085
2016-10-08,342.145
2016-10-07,341.88
2016-10-06,341.815
2016-10-05,342.365
2016-10-04,342.3
2016-10-03,342.37
2016-10-02,342.45
2016-10-01,342.7
2016-09-30,342.83
2016-09-29,343.075
2016-09-28,343.46000000000004
2016-09-27,344.005
2016-09-26,344.725
2016-09-25,345.705
2016-09-24,345.975
2016-09-23,345.71500000000003
2016-09-22,346.475
2016-09-21,346.3
2016-09-20,346.90999999999997
2016-09-19,346.71999999999997
2016-09-18,347.03999999999996
2016-09-17,346.735
2016-09-16,346.305
2016-09-15,346.4
2016-09-14,346.32
2016-09-13,346.69
2016-09-12,346.62
2016-09-11,346.95
2016-09-10,347.03999999999996
2016-09-09,347.135
2016-09-08,347.105
2016-09-07,346.49
2016-09-06,346.695
2016-09-05,346.945
2016-09-04,346.79499999999996
2016-09-03,346.785
2016-09-02,346.885
2016-09-01,347.06
2016-08-31,347.04
2016-08-30,347.09000000000003
2016-08-29,347.39
2016-08-28,347.685
2016-08-27,347.69
2016-08-26,348.065
2016-08-25,348.365
2016-08-24,348.465
2016-08-23,348.755
2016-08-22,349.125
2016-08-21,349.03
2016-08-20,349.985
2016-08-19,350.8
2016-08-18,351.225
2016-08-17,352.225
2016-08-16,353.125
2016-08-15,354.37
2016-08-14,355.59
2016-08-13,356.855
2016-08-12,357.435
2016-08-11,357.745
2016-08-10,357.28000000000003
2016-08-09,357.305
2016-08-08,357.365
2016-08-07,356.74
2016-08-06,355.955
2016-08-05,355.395
2016-08-04,354.71500000000003
2016-08-03,354.39
2016-08-02,354.07
2016-08-01,353.755
2016-07-31,353.67499999999995
2016-07-30,353.43
2016-07-29,353.245
2016-07-28,353.255
2016-07-27,353.255
2016-07-26,354.005
2016-07-25,354.595
2016-07-24,354.815
2016-07-23,354.105
2016-07-22,353.695
2016-07-21,353.06
2016-07-20,352.635
2016-07-19,352.555
2016-07-18,352.79
2016-07-17,352.945
2016-07-16,352.66999999999996
2016-07-15,352.07
2016-07-14,351.77
2016-07-13,350.59
2016-07-12,350.315
2016-07-11,349.855
2016-07-10,350.015
2016-07-09,349.56
2016-07-08,348.83
2016-07-07,347.605
2016-07-06,346.745
2016-07-05,346.085
2016-07-04,345.7
2016-07-03,345.61
2016-07-02,344.77
2016-07-01,344.29
2016-06-30,344.06
2016-06-29,343.40999999999997
2016-06-28,342.46000000000004
2016-06-27,342.075
2016-06-26,342.37
2016-06-25,342.28999999999996
2016-06-24,342.02500000000003
2016-06-23,341.475
2016-06-22,340.44
2016-06-21,340.41
2016-06-20,340.505
2016-06-19,340.635
2016-06-18,340.15
2016-06-17,339.2
2016-06-16,338.35
2016-06-15,337.665
2016-06-14,337.03999999999996
2016-06-13,337.03999999999996
2016-06-12,336.7
2016-06-11,336.58500000000004
2016-06-10,336.58
2016-06-09,336.05
2016-06-08,335.825
2016-06-07,335.905
2016-06-06,335.9
2016-06-05,336.005
2016-06-04,335.63
2016-06-03,335.785
2016-06-02,336.185
2016-06-01,336.87
2016-05-31,337.43
2016-05-30,337.695
2016-05-29,337.57
2016-05-28,337.44
2016-05-27,336.455
2016-05-26,336.22499999999997
2016-05-25,336.125
2016-05-24,336.17
2016-05-23,336.36
2016-05-22,336.43
2016-05-21,336.265
2016-05-20,336.20000000000005
2016-05-19,336.605
2016-05-18,336.045
2016-05-17,336.94
2016-05-16,337.315
2016-05-15,337.96500000000003
2016-05-14,338.065
2016-05-13,338.32
2016-05-12,338.87
2016-05-11,338.935
2016-05-10,338.945
2016-05-09,339.03499999999997
2016-05-08,339.385
2016-05-07,339.465
2016-05-06,339.065
2016-05-05,338.33000000000004
2016-05-04,338.075
2016-05-03,338.015
2016-05-02,338.35
2016-05-01,338.44
2016-04-30,338.08500000000004
2016-04-29,337.96500000000003
2016-04-28,338.085
2016-04-27,337.99
2016-04-26,338.02
2016-04-25,338.25
2016-04-24,338.42
2016-04-23,338.49
2016-04-22,338.195
2016-04-21,338.36
2016-04-20,338.44
2016-04-19,338.81
2016-04-18,338.985
2016-04-17,339.425
2016-04-16,339.72
2016-04-15,340.28
2016-04-14,339.725
2016-04-13,340.03499999999997
2016-04-12,340.405
2016-04-11,340.475
2016-04-10,340.62
2016-04-09,340.7
2016-04-08,340.46
2016-04-07,340.76
2016-04-06,340.175
2016-04-05,340.67
2016-04-04,340.745
2016-04-03,340.85
2016-04-02,340.485
2016-04-01,339.79499999999996
2016-03-31,339.26
2016-03-30,339.375
2016-03-29,339.7
2016-03-28,339.955
2016-03-27,340.06
2016-03-26,340.0
2016-03-25,339.75
2016-03-24,339.96
2016-03-23,339.925
2016-03-22,340.08500000000004
2016-03-21,340.45
2016-03-20,340.81
2016-03-19,339.965
2016-03-18,340.15
2016-03-17,340.325
2016-03-16,340.395
2016-03-15,340.27
2016-03-14,340.225
2016-03-13,339.99
2016-03-12,339.91499999999996
2016-03-11,340.065
2016-03-10,340.3
2016-03-09,340.33
2016-03-08,340.345
2016-03-07,340.72
2016-03-06,341.285
2016-03-05,341.23
2016-03-04,341.245
2016-03-03,340.98
2016-03-02,340.98
2016-03-01,341.04499999999996
2016-02-29,340.475
2016-02-28,340.81
2016-02-27,341.095
2016-02-26,341.59
2016-02-25,341.815
2016-02-24,341.83
2016-02-23,342.145
2016-02-22,342.57
2016-02-21,342.53
2016-02-20,342.57
2016-02-19,342.865
2016-02-18,342.29
2016-02-17,342.52
2016-02-16,342.375
2016-02-15,342.615
2016-02-14,342.715
2016-02-13,342.665
2016-02-12,342.65
2016-02-11,341.905
2016-02-10,341.925
2016-02-09,342.385
2016-02-08,342.42
2016-02-07,342.945
2016-02-06,342.995
2016-02-05,343.255
2016-02-04,343.665
2016-02-03,343.7
2016-02-02,343.685
2016-02-01,343.77
2016-01-31,344.115
2016-01-30,343.845
2016-01-29,343.15
2016-01-28,343.18
2016-01-27,343.615
2016-01-26,344.07
2016-01-25,343.84
2016-01-24,344.71
2016-01-23,345.505
2016-01-22,345.88
2016-01-21,345.795
2016-01-20,345.67
2016-01-19,346.0
