date,average_water_level
2018-02-01,143.91
2018-01-31,143.96
2018-01-30,144.78
2018-01-29,145.09
2018-01-28,143.59
2018-01-27,143.51
2018-01-26,143.42
2018-01-25,143.49
2018-01-24,144.21
2018-01-23,144.27
2018-01-22,143.17
2018-01-21,143.82
2018-01-20,143.67
2018-01-19,142.75
2018-01-18,142.84
2018-01-17,142.99
2018-01-16,144.11
2018-01-15,143.24
2018-01-14,142.85
2018-01-13,143.76
2018-01-12,143.89
2018-01-11,142.73
2018-01-10,143.37
2018-01-09,143.8
2018-01-08,142.89
2018-01-07,143.0
2018-01-06,143.85
2018-01-05,143.36
2018-01-04,143.62
2018-01-03,144.08
2018-01-02,144.47
2018-01-01,145.07
2017-12-31,146.3
2017-12-30,146.64
2017-12-29,146.62
2017-12-28,147.8
2017-12-27,147.93
2017-12-26,149.39
2017-12-25,149.82
2017-12-24,150.35
2017-12-23,150.54
2017-12-22,149.48
2017-12-21,149.55
2017-12-20,150.48
2017-12-19,149.8
2017-12-18,150.32
2017-12-17,149.24
2017-12-16,148.99
2017-12-15,149.82
2017-12-14,149.65
2017-12-13,149.29
2017-12-12,149.47
2017-12-11,148.96
2017-12-10,148.68
2017-12-09,148.4
2017-12-08,147.89
2017-12-07,148.42
2017-12-06,147.95
2017-12-05,147.4
2017-12-04,147.29
2017-12-03,147.34
2017-12-02,147.86
2017-12-01,147.93
2017-11-30,147.64
2017-11-29,147.64
2017-11-28,146.69
2017-11-27,147.2
2017-11-26,147.9
2017-11-25,147.04
2017-11-24,145.95
2017-11-23,145.98
2017-11-22,146.46
2017-11-21,146.27
2017-11-20,145.47
2017-11-19,145.48
2017-11-18,145.35
2017-11-17,145.25
2017-11-16,145.28
2017-11-15,145.73
2017-11-14,145.8
2017-11-13,144.88
2017-11-12,144.8
2017-11-11,144.72
2017-11-10,144.75
2017-11-09,145.34
2017-11-08,145.33
2017-11-07,145.01
2017-11-06,144.63
2017-11-05,144.19
2017-11-04,144.78
2017-11-03,144.81
2017-11-02,144.46
2017-11-01,144.48
2017-10-31,144.05
2017-10-30,144.31
2017-10-29,143.27
2017-10-28,143.27
2017-10-27,143.22
2017-10-26,143.15
2017-10-25,143.84
2017-10-24,143.93
2017-10-23,142.91
2017-10-22,142.92
2017-10-21,143.26
2017-10-20,143.46
2017-10-19,142.34
2017-10-18,142.28
2017-10-17,142.29
2017-10-16,142.86
2017-10-15,142.91
2017-10-14,141.6
2017-10-13,141.47
2017-10-12,141.35
2017-10-11,141.34
2017-10-10,142.26
2017-10-09,141.85
2017-10-08,140.28
2017-10-07,140.18
2017-10-06,140.69
2017-10-05,140.71
2017-10-04,140.2
2017-10-03,140.06
2017-10-02,138.54
2017-10-01,138.35
2017-09-30,138.23
2017-09-29,138.06
2017-09-28,138.5
2017-09-27,138.51
2017-09-26,137.02
2017-09-25,136.79
2017-09-24,136.65
2017-09-23,137.33
2017-09-22,136.73
2017-09-21,137.09
2017-09-20,136.35
2017-09-19,135.94
2017-09-18,136.87
2017-09-17,135.78
2017-09-16,133.93
2017-09-15,133.6
2017-09-14,133.3
2017-09-13,133.06
2017-09-12,132.92
2017-09-11,132.8
2017-09-10,132.67
2017-09-09,132.59
2017-09-08,132.58
2017-09-07,133.36
2017-09-06,133.8
2017-09-05,132.51
2017-09-04,133.32
2017-09-03,133.24
2017-09-02,133.33
2017-09-01,133.85
2017-08-31,132.16
2017-08-30,131.98
2017-08-29,131.73
2017-08-28,131.38
2017-08-27,130.93
2017-08-26,130.41
2017-08-25,129.83
2017-08-24,129.99
2017-08-23,129.31
2017-08-22,127.94
2017-08-21,127.34
2017-08-20,126.69
2017-08-19,126.16
2017-08-18,126.91
2017-08-17,125.45
2017-08-16,124.78
