date,average_water_level
2018-02-01,494.17
2018-01-31,448.29
2018-01-30,448.255
2018-01-29,448.195
2018-01-28,448.225
2018-01-27,448.21500000000003
2018-01-26,448.27
2018-01-25,448.26
2018-01-24,448.245
2018-01-23,448.255
2018-01-22,448.275
2018-01-21,448.3
2018-01-20,448.255
2018-01-19,448.21500000000003
2018-01-18,448.155
2018-01-17,448.125
2018-01-16,448.105
2018-01-15,448.145
2018-01-14,448.185
2018-01-13,448.185
2018-01-12,448.23
2018-01-11,448.22
2018-01-10,448.30499999999995
2018-01-09,448.235
2018-01-08,448.15999999999997
2018-01-07,448.185
2018-01-06,448.145
2018-01-05,448.11
2018-01-04,448.1
2018-01-03,448.08000000000004
2018-01-02,448.08000000000004
2018-01-01,448.075
2017-12-31,448.075
2017-12-30,448.135
2017-12-29,448.15
2017-12-28,448.12
2017-12-27,448.11
2017-12-26,448.12
2017-12-25,448.18
2017-12-24,448.125
2017-12-23,448.195
2017-12-22,448.165
2017-12-21,448.195
2017-12-20,448.185
2017-12-19,448.155
2017-12-18,448.135
2017-12-17,448.115
2017-12-16,448.14
2017-12-15,448.07
2017-12-14,447.88
2017-12-13,447.83000000000004
2017-12-12,447.765
2017-12-11,447.77
2017-12-10,447.765
2017-12-09,447.765
2017-12-08,447.80499999999995
2017-12-07,447.775
2017-12-06,447.79499999999996
2017-12-05,447.8
2017-12-04,447.86
2017-12-03,447.86
2017-12-02,447.79999999999995
2017-12-01,447.82
2017-11-30,447.78
2017-11-29,447.80499999999995
2017-11-28,447.8
2017-11-27,447.855
2017-11-26,447.79
2017-11-25,447.775
2017-11-24,447.84000000000003
2017-11-23,447.78
2017-11-22,447.75
2017-11-21,447.76
2017-11-20,447.815
2017-11-19,447.76
2017-11-18,447.745
2017-11-17,447.815
2017-11-16,447.765
2017-11-15,447.7
2017-11-14,447.755
2017-11-13,447.7
2017-11-12,447.665
2017-11-11,447.73
2017-11-10,447.71000000000004
2017-11-09,447.70000000000005
2017-11-08,447.69
2017-11-07,447.70000000000005
2017-11-06,447.74
2017-11-05,447.77
2017-11-04,447.77
2017-11-03,447.74
2017-11-02,447.735
2017-11-01,447.77
2017-10-31,447.70500000000004
2017-10-30,447.655
2017-10-29,447.7
2017-10-28,447.645
2017-10-27,447.615
2017-10-26,447.665
2017-10-25,447.64
2017-10-24,447.58
2017-10-23,447.62
2017-10-22,447.625
2017-10-21,447.65999999999997
2017-10-20,447.665
2017-10-19,447.61
2017-10-18,447.605
2017-10-17,447.585
2017-10-16,447.565
2017-10-15,447.54499999999996
2017-10-14,447.63
2017-10-13,447.62
2017-10-12,447.62
2017-10-11,447.615
2017-10-10,447.58
2017-10-09,447.615
2017-10-08,447.66999999999996
2017-10-07,447.595
2017-10-06,447.6
2017-10-05,447.54499999999996
2017-10-04,447.53499999999997
2017-10-03,447.54499999999996
2017-10-02,447.58500000000004
2017-10-01,447.565
2017-09-30,447.52
2017-09-29,447.5
2017-09-28,447.52
2017-09-27,447.54
2017-09-26,447.55499999999995
2017-09-25,447.58500000000004
2017-09-24,447.595
2017-09-23,447.6
2017-09-22,447.59
2017-09-21,447.59
2017-09-20,447.56
2017-09-19,447.57500000000005
2017-09-18,447.53499999999997
2017-09-17,447.525
2017-09-16,447.53499999999997
2017-09-15,447.53999999999996
2017-09-14,447.525
2017-09-13,447.5
2017-09-12,447.455
2017-09-11,447.42
2017-09-10,447.405
2017-09-09,447.41499999999996
2017-09-08,447.42
2017-09-07,447.41999999999996
2017-09-06,447.395
2017-09-05,447.385
2017-09-04,447.42499999999995
2017-09-03,447.405
2017-09-02,447.40999999999997
2017-09-01,447.4
2017-08-31,447.395
2017-08-30,447.39
2017-08-29,447.385
2017-08-28,447.375
2017-08-27,447.385
2017-08-26,447.38
2017-08-25,447.4
2017-08-24,447.4
2017-08-23,447.385
2017-08-22,447.38
2017-08-21,447.39
2017-08-20,447.40999999999997
2017-08-19,447.41
2017-08-18,447.665
2017-08-17,448.25
2017-08-16,448.385
2017-08-15,448.445
2017-08-14,448.48
2017-08-13,448.52
2017-08-12,448.54499999999996
2017-08-11,448.67
2017-08-10,449.70500000000004
2017-08-09,450.04499999999996
2017-08-08,450.09000000000003
2017-08-07,450.125
2017-08-06,450.17
2017-08-05,450.265
2017-08-04,450.27
2017-08-03,450.28499999999997
2017-08-02,450.315
2017-08-01,450.35
2017-07-31,450.395
2017-07-30,450.40999999999997
2017-07-29,450.44
2017-07-28,450.45000000000005
2017-07-27,450.455
2017-07-26,450.485
2017-07-25,450.41999999999996
2017-07-24,450.525
2017-07-23,450.525
2017-07-22,450.52
2017-07-21,450.505
2017-07-20,450.475
2017-07-19,450.435
2017-07-18,450.28499999999997
2017-07-17,449.16499999999996
2017-07-16,449.015
2017-07-15,449.0
2017-07-14,449.0
2017-07-13,449.01
2017-07-12,449.025
2017-07-11,449.03
2017-07-10,449.01
2017-07-09,448.99
2017-07-08,448.96500000000003
2017-07-07,448.98
2017-07-06,449.22
2017-07-05,449.45500000000004
2017-07-04,449.725
2017-07-03,449.86
2017-07-02,449.875
2017-07-01,449.9
2017-06-30,449.925
2017-06-29,449.995
2017-06-28,450.0
2017-06-27,449.97
2017-06-26,449.95
2017-06-25,449.96000000000004
2017-06-24,449.97
2017-06-23,450.0
2017-06-22,450.03999999999996
2017-06-21,450.03
2017-06-20,449.685
2017-06-19,449.615
2017-06-18,449.75
2017-06-17,450.025
2017-06-16,450.145
2017-06-15,450.155
2017-06-14,450.155
2017-06-13,450.125
2017-06-12,450.13
2017-06-11,450.14
2017-06-10,450.13
2017-06-09,450.115
2017-06-08,450.085
2017-06-07,450.065
2017-06-06,450.04
2017-06-05,450.065
2017-06-04,450.06
2017-06-03,450.05
2017-06-02,450.03999999999996
2017-06-01,450.01
2017-05-31,450.03
2017-05-30,450.03499999999997
2017-05-29,450.01
2017-05-28,450.07
2017-05-27,450.1
2017-05-26,450.105
2017-05-25,450.095
2017-05-24,450.08500000000004
2017-05-23,450.045
2017-05-22,450.04499999999996
2017-05-21,450.04
2017-05-20,450.05
2017-05-19,450.08000000000004
2017-05-18,450.075
2017-05-17,450.075
2017-05-16,450.055
2017-05-15,450.01
2017-05-14,449.99
2017-05-13,450.0
2017-05-12,449.97
2017-05-11,449.98
2017-05-10,450.0
2017-05-09,449.99
2017-05-08,449.99
2017-05-07,449.975
2017-05-06,449.98
2017-05-05,449.98
2017-05-04,449.95500000000004
2017-05-03,449.985
2017-05-02,450.02
2017-05-01,450.03
2017-04-30,450.04499999999996
2017-04-29,450.045
2017-04-28,450.08
2017-04-27,450.075
2017-04-26,450.02
2017-04-25,450.02
2017-04-24,450.015
2017-04-23,450.06
2017-04-22,450.385
2017-04-21,450.39
2017-04-20,450.065
2017-04-19,449.94
2017-04-18,449.93499999999995
2017-04-17,449.92499999999995
2017-04-16,449.91499999999996
2017-04-15,449.90999999999997
2017-04-14,449.92
2017-04-13,449.905
2017-04-12,449.905
2017-04-11,449.89
2017-04-10,449.925
2017-04-09,449.985
2017-04-08,449.94
2017-04-07,449.90999999999997
2017-04-06,449.91999999999996
2017-04-05,449.93
2017-04-04,449.98
2017-04-03,449.995
2017-04-02,449.96500000000003
2017-04-01,449.945
2017-03-31,449.98
2017-03-30,449.975
2017-03-29,449.945
2017-03-28,449.96500000000003
2017-03-27,449.925
2017-03-26,449.935
2017-03-25,449.89
2017-03-24,449.905
2017-03-23,449.895
2017-03-22,449.83500000000004
2017-03-21,449.82
2017-03-20,449.825
2017-03-19,449.83000000000004
2017-03-18,449.80999999999995
2017-03-17,449.81
2017-03-16,449.815
2017-03-15,449.77
2017-03-14,449.77
2017-03-13,449.725
2017-01-25,449.695
2016-12-11,449.49
2016-12-10,449.45
2016-12-09,449.405
2016-12-08,449.365
2016-12-07,449.44
2016-12-06,449.48
2016-12-05,449.525
2016-12-04,449.47
2016-12-03,449.475
2016-12-02,449.475
2016-12-01,449.5
2016-11-30,449.48
2016-11-29,449.475
2016-11-28,449.495
2016-11-27,449.445
2016-11-26,449.35
2016-11-25,449.305
2016-11-24,449.37
2016-11-23,449.365
2016-11-22,449.4
2016-11-21,449.375
2016-11-20,449.34000000000003
2016-11-19,449.29499999999996
2016-11-18,449.28999999999996
2016-11-17,449.395
2016-11-16,449.365
2016-11-15,449.29999999999995
2016-11-14,449.265
2016-11-13,449.245
2016-11-12,449.20500000000004
2016-11-11,449.20500000000004
2016-11-10,449.225
2016-11-09,449.22
2016-11-08,449.23
2016-11-07,449.255
2016-11-06,449.27
2016-11-05,449.25
2016-11-04,449.24
2016-11-03,449.26
2016-11-02,449.29999999999995
2016-11-01,449.345
2016-10-31,449.33500000000004
2016-10-30,449.265
2016-10-29,449.28
2016-10-28,449.27
2016-10-27,449.235
2016-10-26,449.175
2016-10-25,449.18
2016-10-24,449.14
2016-10-23,449.145
2016-10-22,449.15
2016-10-21,449.12
2016-10-20,449.125
2016-10-19,449.17
2016-10-18,449.19
2016-10-17,449.21500000000003
2016-10-16,449.16999999999996
2016-10-15,449.15
2016-10-14,449.115
2016-10-13,449.085
2016-10-12,449.09000000000003
2016-10-11,449.105
2016-10-10,449.08500000000004
