date,average_water_level
2018-01-31,211.24
2018-01-30,212.545
2018-01-29,213.06
2018-01-28,212.725
2018-01-27,212.655
2018-01-26,212.43
2018-01-25,212.56
2018-01-24,212.875
2018-01-23,213.82999999999998
2018-01-22,214.565
2018-01-21,214.61
2018-01-20,214.85000000000002
2018-01-19,215.20999999999998
2018-01-18,215.485
2018-01-17,215.29500000000002
2018-01-16,214.975
2018-01-15,214.08499999999998
2018-01-14,213.775
2018-01-13,212.72
2018-01-12,211.375
2018-01-11,211.135
2018-01-10,211.55
2018-01-09,212.07
2018-01-08,213.26
2018-01-07,213.745
2018-01-06,213.26
2018-01-05,213.605
2018-01-04,213.15499999999997
2018-01-03,212.425
2018-01-02,212.29500000000002
2018-01-01,211.785
2017-12-31,211.14
2017-12-30,210.645
2017-12-29,210.85500000000002
2017-12-28,210.47500000000002
2017-12-27,210.87
2017-12-26,210.68
2017-12-25,210.14000000000001
2017-12-24,210.685
2017-12-23,209.545
2017-12-22,209.495
2017-12-21,209.875
2017-12-20,209.605
2017-12-19,210.53500000000003
2017-12-18,211.735
2017-12-17,211.935
2017-12-16,211.36
2017-12-15,211.87
2017-12-14,212.7
2017-12-13,212.535
2017-12-12,212.325
2017-12-11,211.62
2017-12-10,212.19500000000002
2017-12-09,211.47
2017-12-08,212.60999999999999
2017-12-07,212.04500000000002
2017-12-06,210.645
2017-12-05,212.67499999999998
2017-12-04,212.88
2017-12-03,213.28000000000003
2017-12-02,213.43
2017-12-01,212.735
2017-11-30,212.48000000000002
2017-11-29,212.24
2017-11-28,213.005
2017-11-27,214.87
2017-11-26,214.29000000000002
2017-11-25,213.655
2017-11-24,214.17
2017-11-23,214.835
2017-11-22,212.94
2017-11-21,211.57
2017-11-20,212.26
2017-11-19,211.545
2017-11-18,211.4
2017-11-17,211.295
2017-11-16,210.91500000000002
2017-11-15,211.875
2017-11-14,211.17000000000002
2017-11-13,212.735
2017-11-12,212.79000000000002
2017-11-11,212.59500000000003
2017-11-10,213.71
2017-11-09,213.855
2017-11-08,212.895
2017-11-07,215.605
2017-11-06,215.96
2017-11-05,215.84499999999997
2017-11-04,215.43
2017-11-03,215.06
2017-11-02,216.35500000000002
2017-11-01,216.665
2017-10-31,216.82
2017-10-30,216.46
2017-10-29,215.125
2017-10-28,215.29
2017-10-27,214.63000000000002
2017-10-26,215.795
2017-10-25,213.915
2017-10-24,215.275
2017-10-23,214.195
2017-10-22,215.01500000000001
2017-10-21,215.45
2017-10-20,213.42
2017-10-19,214.36499999999998
2017-10-18,214.485
2017-10-17,215.875
2017-10-16,215.615
2017-10-15,215.21
2017-10-14,214.62
2017-10-13,214.79500000000002
2017-10-12,214.895
2017-10-11,214.475
2017-10-10,214.275
2017-10-09,214.05
2017-10-08,213.14
2017-10-07,213.08
2017-10-06,212.51999999999998
2017-10-05,211.92000000000002
2017-10-04,212.65
2017-10-03,214.45
2017-10-02,214.05
2017-10-01,213.61
2017-09-30,213.525
2017-09-29,214.485
2017-09-28,215.81
2017-09-27,216.185
2017-09-26,216.62
2017-09-25,216.84499999999997
2017-09-24,216.89
2017-09-23,217.12
2017-09-22,217.32
2017-09-21,217.175
2017-09-20,217.255
2017-09-19,216.58
2017-09-18,216.235
2017-09-17,216.31
2017-09-16,216.24
2017-09-15,216.05
2017-09-14,215.14499999999998
2017-09-13,214.665
2017-09-12,214.07000000000002
2017-09-11,213.16
2017-09-10,212.365
2017-09-09,211.52
2017-09-08,212.25
2017-09-07,213.315
2017-09-06,212.67000000000002
2017-09-05,213.33
2017-09-04,213.325
2017-09-03,212.45
2017-09-02,210.515
2017-09-01,210.91500000000002
2017-08-31,210.15
2017-08-30,208.56
2017-08-29,208.45999999999998
2017-08-28,208.435
2017-08-27,215.24
2017-08-26,216.98
2017-08-25,216.98
2017-08-24,218.59
2017-08-23,222.33499999999998
2017-08-22,222.52499999999998
2017-08-21,218.12
2017-08-20,216.935
2017-08-19,217.195
2017-08-18,217.525
2017-08-17,217.615
2017-08-16,216.92
2017-08-15,217.615
2017-08-14,217.31
2017-08-13,217.42499999999998
2017-08-12,217.515
2017-08-11,216.27499999999998
2017-08-10,217.68
2017-08-09,217.99
2017-08-08,218.08
2017-08-07,218.94
2017-08-06,219.51500000000001
2017-08-05,219.92000000000002
2017-08-04,220.035
2017-08-03,221.60500000000002
2017-08-02,227.22
2017-08-01,227.495
2017-07-31,226.90499999999997
2017-07-30,220.945
2017-07-29,221.31
2017-07-28,225.995
2017-07-27,223.38
2017-07-26,223.66500000000002
2017-07-25,224.205
2017-07-24,220.025
2017-07-23,220.49
2017-07-22,224.08
2017-07-21,224.45499999999998
2017-07-20,224.485
2017-07-19,223.845
2017-07-18,223.315
2017-07-17,219.58
2017-07-16,220.28000000000003
2017-07-15,224.785
2017-07-14,225.265
2017-07-13,225.935
2017-07-12,224.005
2017-07-11,223.08999999999997
2017-07-10,218.94
2017-07-09,218.69500000000002
2017-07-08,218.98499999999999
2017-07-07,217.385
2017-07-06,217.11
2017-07-05,217.23
2017-07-04,217.10500000000002
2017-07-03,216.885
2017-07-02,217.005
2017-07-01,216.58
2017-06-30,215.5
2017-06-29,216.38
2017-06-28,215.39499999999998
2017-06-27,216.465
2017-06-26,216.685
2017-06-25,216.81
2017-06-24,216.755
2017-06-23,215.92000000000002
2017-06-22,219.115
2017-06-21,216.13
2017-06-20,216.005
2017-06-19,215.915
