date,average_water_level
2018-02-01,624.7249999999999
2018-01-31,510.09
2018-01-30,510.3533333333333
2018-01-29,510.43666666666667
2018-01-28,510.3166666666666
2018-01-27,510.22333333333336
2018-01-26,510.21999999999997
2018-01-25,510.32
2018-01-24,510.3066666666667
2018-01-23,510.12999999999994
2018-01-22,509.9466666666667
2018-01-21,509.8866666666666
2018-01-20,509.98666666666674
2018-01-19,510.15000000000003
2018-01-18,510.3866666666667
2018-01-17,510.57666666666665
2018-01-16,510.6133333333334
2018-01-15,510.40333333333336
2018-01-14,510.5633333333333
2018-01-13,510.62999999999994
2018-01-12,510.4433333333334
2018-01-11,510.1666666666667
2018-01-10,510.1933333333333
2018-01-09,510.3566666666666
2018-01-08,510.34666666666664
2018-01-07,510.16333333333336
2018-01-06,510.22666666666663
2018-01-05,510.24666666666667
2018-01-04,510.2733333333333
2018-01-03,510.34666666666664
2018-01-02,510.46999999999997
2018-01-01,510.5466666666666
2017-12-31,510.34333333333325
2017-12-30,510.23333333333335
2017-12-29,510.37000000000006
2017-12-28,510.4766666666667
2017-12-27,510.52
2017-12-26,510.41333333333336
2017-12-25,510.5133333333333
2017-12-24,510.4866666666666
2017-12-23,510.48333333333335
2017-12-22,510.35666666666674
2017-12-21,510.3433333333334
2017-12-20,510.46
2017-12-19,510.56333333333333
2017-12-18,510.6766666666667
2017-12-17,510.65333333333336
2017-12-16,510.7133333333333
2017-12-15,510.7133333333333
2017-12-14,510.40333333333336
2017-12-13,510.43
2017-12-12,510.64333333333326
2017-12-11,510.6499999999999
2017-12-10,510.75666666666666
2017-12-09,510.6833333333334
2017-12-08,510.70666666666665
2017-12-07,510.8200000000001
2017-12-06,510.8333333333333
2017-12-05,510.7233333333333
2017-12-04,510.53666666666663
2017-12-03,510.64000000000004
2017-12-02,510.61666666666673
2017-12-01,510.54
2017-11-30,510.53666666666663
2017-11-29,510.5466666666666
2017-11-28,510.44666666666666
2017-11-27,510.53999999999996
2017-11-26,510.6433333333334
2017-11-25,510.46666666666664
2017-11-24,510.50666666666666
2017-11-23,510.71333333333337
2017-11-22,510.8066666666667
2017-11-21,510.5933333333334
2017-11-20,510.77666666666664
2017-11-19,510.93666666666667
2017-11-18,510.70666666666665
2017-11-17,510.7166666666667
2017-11-16,510.8533333333333
2017-11-15,510.84666666666664
2017-11-14,510.97
2017-11-13,511.10333333333324
2017-11-12,511.05999999999995
2017-11-11,511.0666666666666
2017-11-10,511.17333333333335
2017-11-09,511.21000000000004
2017-11-08,511.20666666666665
2017-11-07,511.1233333333334
2017-11-06,511.0466666666667
2017-11-05,511.0333333333333
2017-11-04,511.0833333333334
2017-11-03,511.1066666666666
2017-11-02,510.92333333333335
2017-11-01,510.86999999999995
2017-10-31,511.05999999999995
2017-10-30,511.0133333333334
2017-10-29,511.11999999999995
2017-10-28,511.27
2017-10-27,511.21
2017-10-26,511.1333333333334
2017-10-25,511.44666666666666
2017-10-24,511.56999999999994
2017-10-23,511.51
2017-10-22,511.5133333333333
2017-10-21,511.4466666666667
2017-10-20,511.55
2017-10-19,511.6033333333333
2017-10-18,511.51666666666665
2017-10-17,511.47333333333336
2017-10-16,511.51666666666665
2017-10-15,511.44
2017-10-14,511.35999999999996
2017-10-13,511.3966666666667
2017-10-12,511.46000000000004
2017-10-11,511.57666666666665
2017-10-10,511.5799999999999
2017-10-09,511.36999999999995
2017-10-08,511.4066666666666
2017-10-07,511.50999999999993
2017-10-06,511.7033333333333
2017-10-05,511.90333333333336
2017-10-04,512.0533333333334
2017-10-03,512.0666666666667
2017-10-02,512.0566666666667
2017-10-01,512.17
2017-09-30,512.3666666666667
2017-09-29,512.4566666666666
2017-09-28,512.4933333333333
2017-09-27,512.54
2017-09-26,512.5566666666667
2017-09-25,512.59
2017-09-24,505.045
2017-09-23,505.02500000000003
2017-09-22,505.005
2017-09-21,504.935
2017-09-20,504.865
2017-09-19,504.86
2017-09-18,504.91499999999996
2017-09-17,511.85999999999996
2017-09-16,511.77
2017-09-15,511.6466666666667
2017-09-14,511.50666666666666
2017-09-13,511.40333333333325
2017-09-12,511.4433333333333
2017-09-11,511.59666666666664
2017-09-10,511.76
2017-09-09,511.80333333333334
2017-09-08,504.79999999999995
2017-09-07,504.78999999999996
2017-09-06,504.75
2017-09-05,511.69
2017-09-04,511.68666666666667
2017-09-03,511.6666666666667
2017-09-02,511.5933333333334
