date,average_water_level
2018-02-01,317.16
2018-01-31,317.17
2018-01-30,317.16
2018-01-29,317.12
2018-01-28,317.17
2018-01-27,317.16
2018-01-26,317.19
2018-01-25,317.16
2018-01-24,317.13
2018-01-23,317.16
2018-01-22,317.17
2018-01-21,317.23
2018-01-20,317.24
2018-01-19,317.25
2018-01-18,317.23
2018-01-17,317.23
2018-01-16,317.18
2018-01-15,317.22
2018-01-14,317.23
2018-01-13,317.21
2018-01-12,317.25
2018-01-11,317.25
2018-01-10,317.29
2018-01-09,317.25
2018-01-08,317.28
2018-01-07,317.33
2018-01-06,317.33
2018-01-05,317.42
2018-01-04,317.43
2018-01-03,317.5
2018-01-02,317.54
2018-01-01,317.55
2017-12-31,317.59
2017-12-30,317.64
2017-12-29,317.67
2017-12-28,317.71
2017-12-27,317.74
2017-12-26,317.77
2017-12-25,317.78
2017-12-24,317.75
2017-12-23,317.73
2017-12-22,317.73
2017-12-21,317.79
2017-12-20,317.79
2017-12-19,317.79
2017-12-18,317.78
2017-12-17,317.8
2017-12-16,317.78
2017-12-15,317.75
2017-12-14,317.82
2017-12-13,317.82
2017-12-12,317.78
2017-12-11,317.78
2017-12-10,317.76
2017-12-09,317.76
2017-12-08,317.75
2017-12-07,317.71
2017-12-06,317.69
2017-12-05,317.69
2017-12-04,317.77
2017-12-03,317.75
2017-12-02,317.73
2017-12-01,317.74
2017-11-30,317.75
2017-11-29,317.74
2017-11-28,317.8
2017-11-27,317.81
2017-11-26,317.78
2017-11-25,317.79
2017-11-24,317.8
2017-11-23,317.78
2017-11-22,317.74
2017-11-21,317.85
2017-11-20,317.89
2017-11-19,317.83
2017-11-18,317.81
2017-11-17,317.84
2017-11-16,317.81
2017-11-15,317.78
2017-11-14,317.87
2017-11-13,317.85
2017-11-12,317.86
2017-11-11,317.84
2017-11-10,317.81
2017-11-09,317.81
2017-11-08,317.75
2017-11-07,317.76
2017-11-06,317.82
2017-11-05,317.82
2017-11-04,317.82
2017-11-03,317.8
2017-11-02,317.82
2017-11-01,317.84
2017-10-31,317.85
2017-10-30,317.91
2017-10-29,317.92
2017-10-28,317.86
2017-10-27,317.8
2017-10-26,317.86
2017-10-25,317.86
2017-10-24,317.83
2017-10-23,317.86
2017-10-22,317.85
2017-10-21,317.93
2017-10-20,317.97
2017-10-19,317.96
2017-07-31,319.79
2017-07-30,319.74
2017-07-29,319.67
2017-07-28,319.62
2017-07-27,319.56
2017-07-26,319.53
2017-07-25,319.53
2017-07-24,319.54
2017-07-23,319.54
2017-07-22,319.54
2017-07-21,319.52
2017-07-20,319.55
2017-07-19,319.62
2017-07-18,319.7
2017-07-17,319.85
2017-07-16,320.03
2017-07-15,320.21
2017-07-14,320.08
2017-07-13,320.06
2017-07-12,320.19
2017-07-11,320.05
2017-07-10,320.01
2017-07-09,320.06
2017-07-08,320.11
2017-07-07,320.16
2017-07-06,320.23
2017-07-05,320.4
2017-07-04,320.58
2017-07-03,320.61
2017-07-02,320.58
2017-07-01,320.57
2017-06-30,320.49
2017-06-29,320.32
2017-06-28,320.25
2017-06-27,320.29
2017-06-26,320.36
2017-06-25,320.44
2017-06-24,320.58
2017-06-23,320.7
2017-06-22,320.61
2017-06-21,320.57
2017-06-20,320.48
2017-06-19,320.34
2017-06-18,320.23
2017-06-17,320.09
2017-06-16,319.79
2017-06-15,319.82
2017-06-14,319.98
2017-06-13,319.89
2017-06-12,319.83
2017-06-11,319.76
2017-06-10,319.71
2017-06-09,319.67
2017-06-08,319.6
2017-06-07,319.49
2017-06-06,319.38
2017-06-05,319.31
2017-06-04,319.32
2017-06-03,319.45
2017-06-02,319.34
2017-06-01,319.34
2017-05-31,319.4
2017-05-30,319.5
2017-05-29,319.55
2017-05-28,319.46
