datetime,average_water_level
2018-01-31,55.27
2018-01-30,55.38
2018-01-29,55.51
2018-01-28,55.45
2018-01-27,55.43
2018-01-26,55.27
2018-01-25,55.37
2018-01-24,55.49
2018-01-23,55.44
2018-01-22,55.4
2018-01-21,55.22
2018-01-20,55.2
2018-01-19,55.28
2018-01-18,55.39
2018-01-17,55.56
2018-01-16,55.66
2018-01-15,55.48
2018-01-14,55.55
2018-01-13,55.61
2018-01-12,55.57
2018-01-11,55.44
2018-01-10,55.27
2018-01-09,55.39
2018-01-08,55.53
2018-01-07,55.39
2018-01-06,55.5
2018-01-05,55.52
2018-01-04,55.53
2018-01-03,55.58
2018-01-02,55.62
2018-01-01,55.78
2017-12-31,55.78
2017-12-30,55.58
2017-12-29,55.63
2017-12-28,55.69
2017-12-27,55.86
2017-12-26,55.75
2017-12-25,55.79
2017-12-24,55.9
2017-12-23,55.88
2017-12-22,55.88
2017-12-21,55.75
2017-12-20,55.78
2017-12-19,55.77
2017-12-18,55.78
2017-12-17,55.68
2017-12-16,55.62
2017-12-15,55.81
2017-12-14,55.7
2017-12-13,55.66
2017-12-12,55.84
2017-12-11,55.79
2017-12-10,55.9
2017-12-09,55.88
2017-12-08,55.81
2017-12-07,55.97
2017-12-06,56.0
2017-12-05,56.04
2017-12-04,55.79
2017-12-03,55.84
2017-12-02,55.9
2017-12-01,55.93
2017-11-30,55.99
2017-11-29,56.05
2017-11-28,55.92
2017-11-27,55.9
2017-11-26,56.07
2017-11-25,56.01
2017-11-24,55.89
2017-11-23,56.04
2017-11-22,56.21
2017-11-21,56.05
2017-11-20,56.04
2017-11-19,56.26
2017-11-18,56.19
2017-11-17,56.07
2017-11-16,56.17
2017-11-15,56.18
2017-11-14,56.17
2017-11-13,56.31
2017-11-12,56.35
2017-11-11,56.27
2017-11-10,56.36
2017-11-09,56.39
2017-11-08,56.48
2017-11-07,56.46
2017-11-06,56.39
2017-11-05,56.39
2017-11-04,56.41
2017-11-03,56.5
2017-11-02,56.46
2017-11-01,56.41
2017-10-31,56.61
2017-10-30,56.58
2017-10-29,56.57
2017-10-28,56.72
2017-10-27,56.78
2017-10-26,56.57
2017-10-25,56.82
2017-10-24,57.01
2017-10-23,56.91
2017-10-22,57.03
2017-10-21,56.85
2017-10-20,56.94
2017-10-19,57.01
2017-10-18,57.06
2017-10-17,57.18
2017-10-16,57.34
2017-10-15,57.43
2017-10-14,57.28
2017-10-13,57.34
2017-10-12,57.39
2017-10-11,57.53
2017-10-10,57.7
2017-10-09,57.52
2017-10-08,57.5
2017-10-07,57.59
2017-10-06,57.71
2017-10-05,57.93
2017-10-04,58.04
2017-10-03,58.03
2017-10-02,58.05
2017-10-01,58.18
2017-09-30,58.44
2017-09-29,58.58
2017-09-28,58.7
2017-09-27,58.81
2017-09-26,58.86
2017-09-25,58.98
2017-09-24,59.15
2017-09-23,59.31
2017-09-22,59.56
2017-09-21,59.9
2017-09-20,60.26
2017-09-19,60.24
2017-09-18,60.24
2017-09-17,60.67
2017-09-16,61.24
2017-09-15,61.34
2017-09-14,61.45
2017-09-13,61.73
2017-09-12,61.6
2017-09-11,61.51
