date,average_water_level
2018-01-31,229.77
2018-01-30,229.79
2018-01-29,229.84
2018-01-28,229.87
2018-01-27,229.87
2018-01-26,229.8
2018-01-25,229.8
2018-01-24,229.84
2018-01-23,229.86
2018-01-22,229.86
2018-01-21,229.81
2018-01-20,229.8
2018-01-19,229.82
2018-01-18,229.86
2018-01-17,229.88
2018-01-16,229.89
2018-01-15,229.88
2018-01-14,229.84
2018-01-13,229.9
2018-01-12,229.92
2018-01-11,229.96
2018-01-10,229.83
2018-01-09,229.87
2018-01-08,229.89
2018-01-07,229.88
2018-01-06,229.86
2018-01-05,229.87
2018-01-04,429.87
2018-01-03,429.87
2018-01-02,429.87
2018-01-01,429.93
2017-12-31,429.96
2017-12-30,429.88
2017-12-29,429.85
2017-12-28,429.85
2017-12-27,429.91
2017-12-26,429.92
2017-12-25,429.86
2017-12-24,429.95
2017-12-23,429.9
2017-12-22,429.94
2017-12-21,429.87
2017-12-20,429.89
2017-12-19,429.93
2017-12-18,429.93
2017-12-17,429.91
2017-12-16,429.85
2017-12-15,429.89
2017-12-14,429.89
2017-12-13,429.85
2017-12-12,429.86
2017-12-11,429.81
2017-12-10,295.11
2017-12-09,227.77
2017-12-08,227.76
2017-12-07,227.79
2017-12-06,227.81
2017-12-05,227.81
2017-12-04,227.73
2017-12-03,227.72
2017-12-02,227.73
2017-12-01,227.75
2017-11-30,227.76
2017-11-29,227.77
2017-11-28,227.79
2017-11-27,227.73
2017-11-26,227.8
2017-11-25,227.81
2017-11-24,227.73
2017-11-23,227.79
2017-11-22,227.83
2017-11-21,227.81
2017-11-20,227.74
2017-11-19,227.82
2017-11-18,227.88
2017-11-17,227.73
2017-11-16,227.78
2017-11-15,227.84
2017-11-14,227.76
2017-11-13,227.81
2017-11-12,227.86
2017-11-11,227.81
2017-11-10,227.82
2017-11-09,227.83
2017-11-08,227.86
2017-11-07,227.87
2017-11-06,227.83
2017-11-05,227.83
2017-11-04,227.83
2017-11-03,227.85
2017-11-02,227.85
2017-11-01,227.75
2017-10-31,227.83
2017-10-30,227.93
2017-10-29,227.88
2017-10-28,227.9
2017-10-27,227.96
2017-10-26,227.87
2017-10-25,227.86
2017-10-24,227.91
2017-10-23,227.91
2017-10-22,227.93
2017-10-21,227.89
2017-10-20,227.88
2017-10-19,227.89
2017-10-18,227.89
2017-10-17,227.89
2017-10-16,227.94
2017-10-15,228.03
2017-10-14,227.97
2017-10-13,227.96
2017-10-12,227.96
2017-10-11,227.96
2017-10-10,228.0
2017-10-09,228.0
2017-10-08,227.93
2017-10-07,227.94
2017-10-06,227.94
2017-10-05,227.97
2017-10-04,227.98
2017-10-03,227.97
2017-10-02,227.96
2017-10-01,227.96
2017-09-30,227.97
2017-09-29,227.98
2017-09-28,227.98
2017-09-27,227.98
2017-09-26,227.97
2017-09-25,227.92
2017-09-24,227.9
2017-09-23,227.89
2017-09-22,227.94
2017-09-21,227.97
2017-09-20,227.97
2017-09-19,227.95
2017-09-18,227.95
2017-09-17,227.95
2017-09-16,227.95
2017-09-15,227.95
2017-09-14,227.95
2017-09-13,227.95
2017-09-12,227.95
2017-09-11,227.98
2017-09-10,227.99
2017-09-09,227.99
2017-09-08,227.99
2017-09-07,227.99
2017-09-06,228.0
2017-09-05,227.99
2017-09-04,227.95
2017-09-03,227.95
2017-09-02,227.95
2017-09-01,227.94
2017-08-31,227.94
2017-08-30,227.94
2017-08-29,227.94
2017-08-28,227.94
2017-08-27,227.88
2017-08-26,227.87
2017-08-25,227.84
2017-08-24,227.84
2017-08-23,227.86
2017-08-22,227.87
2017-08-21,227.87
2017-08-20,227.82
2017-08-19,227.81
2017-08-18,227.81
2017-08-17,227.8
2017-08-16,227.8
2017-08-15,227.8
2017-08-14,227.78
2017-08-13,227.74
2017-08-12,227.73
2017-08-11,227.73
2017-08-10,227.72
2017-08-09,227.71
2017-08-08,227.7
2017-08-07,227.68
2017-08-06,227.66
2017-08-05,227.64
2017-08-04,227.64
2017-08-03,227.62
2017-08-02,227.61
2017-08-01,227.59
2017-07-31,227.59
2017-07-30,227.59
2017-07-29,227.59
2017-07-28,227.59
2017-07-27,227.59
2017-07-26,227.52
2017-07-25,227.51
2017-07-24,227.51
2017-07-23,227.51
2017-07-22,227.44
2017-07-21,227.43
2017-07-20,227.43
2017-07-19,227.43
2017-07-18,227.41
2017-07-17,227.38
2017-07-16,227.36
2017-07-15,227.36
2017-07-14,227.36
2017-07-13,227.36
2017-07-12,227.34
2017-07-11,227.33
2017-07-10,227.33
2017-07-09,227.33
2017-07-08,227.33
2017-07-07,227.33
2017-07-06,227.33
2017-07-05,227.33
2017-07-04,227.28
2017-07-03,227.27
2017-07-02,227.28
2017-07-01,227.26
2017-06-30,227.24
2017-06-29,227.16
2017-06-28,227.13
2017-06-27,227.16
2017-06-26,227.18
2017-06-25,227.2
2017-06-24,227.2
2017-06-23,227.18
2017-06-22,227.14
2017-06-21,227.1
2017-06-20,227.15
2017-06-19,227.18
2017-06-18,227.17
2017-06-17,227.06
2017-06-16,227.06
2017-06-15,227.07
2017-06-14,227.06
2017-06-13,227.04
2017-06-12,227.03
2017-06-11,227.03
2017-06-10,227.01
2017-06-09,227.01
2017-06-08,227.02
2017-06-07,227.02
2017-06-06,227.01
2017-06-05,226.99
2017-06-04,226.99
2017-06-03,226.99
2017-06-02,226.99
2017-06-01,226.99
2017-05-31,227.0
2017-05-30,227.01
2017-05-29,227.04
2017-05-28,227.07
2017-05-27,227.0
2017-05-26,227.02
2017-05-25,226.97
2017-05-24,226.98
2017-05-23,227.0
2017-05-22,226.97
2017-05-21,227.01
2017-05-20,227.04
2017-05-19,227.02
2017-05-18,227.02
2017-05-17,227.01
2017-05-16,226.95
2017-05-15,226.99
2017-05-14,226.99
2017-05-13,227.02
2017-05-12,227.04
2017-05-11,227.03
2017-05-10,227.02
2017-05-09,227.0
2017-05-08,227.0
2017-05-07,227.0
2017-05-06,227.01
