date,average_water_level
2018-02-01,236.23
2018-01-31,235.99
2018-01-30,235.79
2018-01-29,235.96
2018-01-28,236.2
2018-01-27,236.31
2018-01-26,236.72
2018-01-25,236.98
2018-01-24,237.11
2018-01-23,236.81
2018-01-22,236.7
2018-01-21,236.5
2018-01-20,236.43
2018-01-19,236.81
2018-01-18,237.16
2018-01-17,236.77
2018-01-16,236.54
2018-01-15,236.75
2018-01-14,236.67
2018-01-13,236.29
2018-01-12,236.68
2018-01-11,236.99
2018-01-10,236.8
2018-01-09,236.34
2018-01-08,236.75
2018-01-07,236.81
2018-01-06,237.07
2018-01-05,236.96
2018-01-04,236.4
2018-01-03,235.66
2018-01-02,235.04
2018-01-01,234.75
2017-12-31,234.85
2017-12-30,234.89
2017-12-29,234.87
2017-12-28,235.08
2017-12-27,235.33
2017-12-26,235.54
2017-12-25,235.54
2017-12-24,235.46
2017-12-23,235.29
2017-12-22,235.34
2017-12-21,235.36
2017-12-20,235.3
2017-12-19,235.35
2017-12-18,235.49
2017-12-17,235.5
2017-12-16,235.57
2017-12-15,235.94
2017-12-14,236.6
2017-12-13,238.67
2017-12-12,243.18
2017-12-11,244.03
2017-12-10,240.92
2017-12-09,239.5
2017-12-08,244.28
2017-12-07,244.99
2017-12-06,241.61
2017-12-05,244.37
2017-12-04,247.67
2017-12-03,255.78
2017-12-02,256.74
2017-12-01,248.21
2017-11-30,242.89
2017-11-29,242.54
2017-11-28,246.28
2017-11-27,243.89
2017-11-26,239.53
2017-11-25,239.07
2017-11-24,240.0
2017-11-23,245.52
2017-11-22,245.76
2017-11-21,248.3
2017-11-20,242.77
2017-11-19,242.96
2017-11-18,243.03
2017-11-17,246.28
2017-11-16,248.38
2017-11-15,243.25
2017-11-14,248.92
2017-11-13,243.97
2017-11-12,249.58
2017-11-11,244.86
2017-11-10,240.29
2017-11-09,239.94
2017-11-08,240.48
2017-11-07,241.61
2017-11-06,240.96
2017-11-05,240.66
2017-11-04,240.56
2017-11-03,246.45
2017-11-02,248.13
2017-11-01,241.07
2017-10-31,241.22
2017-10-30,242.91
2017-10-29,250.52
2017-10-28,241.56
2017-10-27,241.98
2017-10-26,244.79
2017-10-25,241.5
2017-10-24,241.8
2017-10-23,242.45
2017-10-22,242.9
2017-10-21,251.65
2017-10-20,249.48
2017-10-19,247.47
2017-10-18,245.04
2017-10-17,246.91
2017-10-16,245.71
2017-10-15,246.67
2017-10-14,246.07
2017-10-13,245.89
2017-10-12,245.6
2017-10-11,242.72
2017-10-10,242.1
2017-10-09,242.5
2017-10-08,244.6
2017-10-07,243.64
2017-10-06,244.51
2017-10-05,248.15
2017-10-04,245.69
2017-10-03,251.17
2017-10-02,249.45
2017-10-01,250.03
2017-09-30,249.75
2017-09-29,248.72
2017-09-28,252.08
2017-09-27,251.07
2017-09-26,255.82
2017-09-25,254.28
2017-09-24,252.43
2017-09-23,253.75
2017-09-22,254.05
2017-09-21,255.39
2017-09-20,254.51
2017-09-19,254.98
2017-09-18,254.67
2017-09-17,256.51
2017-09-16,255.1
2017-09-15,257.8
2017-09-14,255.17
2017-09-13,256.49
2017-09-12,254.88
2017-09-11,254.42
2017-09-10,255.1
2017-09-09,250.66
2017-09-08,251.88
2017-09-07,255.78
2017-09-06,250.67
2017-09-05,253.94
2017-09-04,251.82
2017-09-03,251.37
2017-09-02,250.9
