datetime,average_water_level
2018-02-01,182.865
2018-01-31,181.155
2018-01-30,180.10500000000002
2018-01-29,180.005
2018-01-28,179.8
2018-01-27,179.905
2018-01-26,180.01500000000001
2018-01-25,179.415
2018-01-24,177.685
2018-01-23,176.07
2018-01-22,176.06
2018-01-21,175.87
2018-01-20,175.775
2018-01-19,175.845
2018-01-18,176.03
2018-01-17,176.035
2018-01-16,175.875
2018-01-15,175.40499999999997
2018-01-14,175.24
2018-01-13,174.75
2018-01-12,176.16
2018-01-11,176.19500000000002
2018-01-10,176.11
2018-01-09,176.28
2018-01-08,176.385
2018-01-07,176.135
2018-01-06,175.78
2018-01-05,176.105
2018-01-04,175.92
2018-01-03,174.07999999999998
2018-01-02,175.82
2018-01-01,177.215
2017-12-31,177.385
2017-12-30,177.76999999999998
2017-12-29,177.52499999999998
2017-12-28,177.375
2017-12-27,177.805
2017-12-26,181.73
2017-12-25,187.345
2017-12-24,187.385
2017-12-23,187.77
2017-12-22,187.935
2017-12-21,187.69
2017-12-20,186.91500000000002
2017-12-19,186.37
2017-12-18,81.31
2017-12-17,81.89
2017-12-16,81.45
2017-12-15,79.51
2017-12-14,74.23
2017-12-13,73.37
2017-12-12,73.2
2017-12-11,73.16
2017-12-10,73.19
2017-12-09,73.34
2017-12-08,73.37
2017-12-07,73.74
2017-12-06,74.12
2017-12-05,74.24
2017-12-04,74.21
2017-12-03,74.71
2017-12-02,75.32
2017-12-01,75.98
2017-11-30,76.35
2017-11-29,76.6
2017-11-28,76.83
2017-11-27,76.53
2017-11-26,76.2
2017-11-25,77.4
2017-11-24,77.58
2017-11-23,77.18
2017-11-22,78.53
2017-11-21,82.63
2017-11-20,72.97
2017-11-19,74.92
2017-11-18,77.66
2017-11-17,77.33
2017-11-16,76.87
2017-11-15,75.88
2017-11-14,73.24
2017-11-13,70.93
2017-11-12,75.14
2017-11-11,186.22500000000002
2017-11-10,186.315
2017-11-09,187.05499999999998
2017-11-08,192.35999999999999
2017-11-07,191.91
2017-11-06,191.405
2017-11-05,191.35
2017-11-04,191.09
2017-11-03,191.305
2017-11-02,191.46
2017-11-01,191.78
2017-10-31,192.005
2017-10-30,191.63
2017-10-29,192.245
2017-10-28,193.685
2017-10-27,195.42
2017-10-26,194.865
2017-10-25,195.185
2017-10-24,195.49
2017-10-23,195.365
2017-10-22,194.85
2017-10-21,193.355
2017-10-20,187.345
2017-10-19,184.58499999999998
2017-10-18,187.76
2017-10-17,189.57
2017-10-16,189.89
2017-10-15,190.72
2017-10-14,193.035
2017-10-13,193.1
2017-10-12,193.04
2017-10-11,193.17499999999998
2017-10-10,193.29000000000002
2017-10-09,193.08499999999998
2017-10-08,192.99
2017-10-07,193.075
2017-10-06,193.255
2017-10-05,193.42
2017-10-04,193.01999999999998
2017-10-03,192.51
2017-10-02,191.57
2017-10-01,189.25
2017-09-30,189.73000000000002
2017-09-29,190.39
2017-09-28,182.35999999999999
2017-09-27,182.26
2017-09-26,184.195
2017-09-25,183.995
2017-09-24,183.935
2017-09-23,183.81
2017-09-22,183.77499999999998
2017-09-21,183.70499999999998
2017-09-20,183.805
2017-09-19,184.415
2017-09-18,185.54
2017-09-17,188.445
2017-09-16,190.77
2017-09-15,190.29000000000002
2017-09-14,189.24
2017-09-13,190.78
2017-09-12,191.06
2017-09-11,191.15
2017-09-10,191.19
2017-09-09,191.23
2017-09-08,191.28500000000003
2017-09-07,191.22500000000002
2017-09-06,191.29
2017-09-05,191.34
2017-09-04,191.39000000000001
2017-09-03,191.285
2017-09-02,190.48000000000002
2017-09-01,190.82999999999998
2017-08-31,191.14499999999998
2017-08-30,189.34
2017-08-29,188.29
2017-08-28,188.165
2017-08-27,187.73999999999998
2017-08-26,188.155
2017-08-25,190.05499999999998
2017-08-24,190.29999999999998
2017-08-23,187.825
2017-08-22,184.085
2017-08-21,183.03
2017-08-20,185.165
2017-08-19,186.165
2017-08-18,185.60999999999999
2017-08-17,186.175
2017-08-16,186.15499999999997
2017-08-15,186.19
2017-08-14,186.29
2017-08-13,186.435
2017-08-12,186.35500000000002
2017-08-11,186.225
2017-08-10,185.685
2017-08-09,184.51999999999998
2017-08-08,182.39999999999998
2017-08-07,182.765
2017-08-06,184.255
2017-08-05,182.285
2017-08-04,180.36
2017-08-03,180.22
2017-08-02,180.19
2017-08-01,180.175
2017-07-31,180.14999999999998
2017-07-30,180.08499999999998
2017-07-29,179.91500000000002
2017-07-28,179.86
2017-07-27,180.155
2017-07-26,180.23
2017-07-25,180.5
2017-07-24,181.07
2017-07-23,181.85000000000002
2017-07-22,182.83499999999998
2017-07-21,184.76
2017-07-20,188.225
2017-07-19,190.13
2017-07-18,191.23499999999999
2017-07-17,189.96
2017-07-16,190.55
2017-07-15,192.75
2017-07-14,194.64499999999998
2017-07-13,193.92000000000002
2017-07-12,190.865
2017-07-11,186.07
2017-07-10,186.85999999999999
2017-07-09,193.94500000000002
2017-07-08,189.63500000000002
2017-07-07,192.695
2017-07-06,195.2
2017-07-05,196.03
2017-07-04,195.385
2017-07-03,193.42499999999998
2017-07-02,192.98
2017-07-01,194.79500000000002
2017-06-30,195.26999999999998
2017-06-29,194.735
2017-06-28,193.79999999999998
2017-06-27,194.605
2017-06-26,194.8
2017-06-25,194.56
2017-06-24,193.70999999999998
2017-06-23,190.01000000000002
2017-06-22,181.015
2017-06-21,182.115
2017-06-20,186.35
2017-06-19,191.075
2017-06-18,190.005
2017-06-17,187.695
2017-06-16,188.60500000000002
2017-06-15,189.15
2017-06-14,189.06
2017-06-13,189.06
2017-06-12,189.065
2017-06-11,188.285
2017-06-10,187.16000000000003
2017-06-09,187.385
2017-06-08,189.62
2017-06-07,188.46
2017-06-06,186.67499999999998
2017-06-05,187.905
2017-06-04,187.76
2017-06-03,186.105
2017-06-02,185.79999999999998
2017-06-01,185.835
2017-05-31,186.10500000000002
2017-05-30,186.265
2017-05-29,186.53500000000003
2017-05-28,187.235
2017-05-27,189.565
2017-05-26,190.22
2017-05-25,189.99
2017-05-24,189.76
2017-05-23,188.935
2017-05-22,186.445
2017-05-21,185.74
2017-05-20,185.95499999999998
2017-05-19,185.715
2017-05-18,185.59500000000003
2017-05-17,186.12
2017-05-16,187.13
2017-05-15,189.755
2017-05-14,189.965
2017-05-13,189.57999999999998
2017-05-12,186.11999999999998
2017-05-11,178.33499999999998
2017-05-10,184.65
2017-05-09,185.955
2017-05-08,186.21
2017-05-07,186.605
2017-05-06,187.52
2017-05-05,189.965
2017-05-04,189.23
2017-05-03,189.41
2017-05-02,184.39
2017-05-01,183.715
2017-04-30,182.98499999999999
2017-04-29,184.79
2017-04-28,189.355
2017-04-27,186.775
2017-04-26,184.03500000000003
2017-04-25,184.22500000000002
2017-04-24,184.67499999999998
2017-04-23,185.05
2017-04-22,185.14
2017-04-21,185.13
2017-04-20,185.205
2017-04-19,185.47
2017-04-18,186.01999999999998
2017-04-17,186.745
2017-04-16,187.85
2017-04-15,192.51500000000001
2017-04-14,196.175
2017-04-13,195.76
2017-04-12,195.5
2017-04-11,196.055
2017-04-10,196.48000000000002
2017-04-09,195.85999999999999
2017-04-08,194.775
2017-04-07,192.79999999999998
2017-04-06,191.78
2017-04-05,190.35000000000002
2017-04-04,183.3
2017-04-03,190.11499999999998
2017-04-02,195.04500000000002
2017-04-01,194.79999999999998
2017-03-31,194.37
2017-03-30,194.655
2017-03-29,194.49
2017-03-28,194.06
2017-03-27,194.45499999999998
2017-03-26,194.76000000000002
2017-03-25,194.625
2017-03-24,194.70499999999998
2017-03-23,194.84500000000003
2017-03-22,194.67
2017-03-21,194.33999999999997
2017-03-20,194.645
2017-03-19,194.705
2017-03-18,194.375
2017-03-17,193.715
2017-03-16,192.48
2017-03-15,186.53
2017-03-14,184.3
2017-03-13,183.755
2017-03-12,183.055
2017-03-11,182.375
2017-03-10,182.225
2017-03-09,181.96499999999997
2017-03-08,181.775
2017-03-07,181.575
2017-03-06,181.20999999999998
2017-03-05,181.125
2017-03-04,181.04999999999998
2017-03-03,180.9
2017-03-02,180.465
2017-03-01,179.10000000000002
2017-02-28,176.175
2017-02-27,176.01500000000001
2017-02-26,176.02
2017-02-25,176.17000000000002
2017-02-24,175.725
2017-02-23,173.845
2017-02-22,171.85500000000002
2017-02-21,172.215
2017-02-20,172.25
2017-02-19,172.39499999999998
2017-02-18,173.11
2017-02-17,175.115
2017-02-16,176.04999999999998
2017-02-15,176.54000000000002
2017-02-14,176.55
2017-02-13,176.14999999999998
2017-02-12,174.82999999999998
2017-02-11,174.315
2017-02-10,174.89000000000001
2017-02-09,175.26
2017-02-08,176.74
2017-02-07,177.315
2017-02-06,178.09500000000003
2017-02-05,183.44
2017-02-04,186.155
2017-02-03,185.27499999999998
2017-02-02,181.09500000000003
2017-02-01,174.065
2017-01-31,175.52
2017-01-30,175.715
2017-01-29,174.29
2017-01-28,174.28
2017-01-27,175.785
2017-01-26,176.0
2017-01-25,177.225
2017-01-24,180.42000000000002
2017-01-23,180.13
2017-01-22,181.535
2017-01-21,183.26
2017-01-20,189.995
2017-01-19,189.86
2017-01-18,188.58499999999998
2017-01-17,189.145
2017-01-16,189.76
2017-01-15,185.77499999999998
2017-01-14,190.01000000000002
2017-01-13,190.75
2017-01-12,190.42
2017-01-11,189.48000000000002
2017-01-10,185.595
2017-01-09,176.95
2017-01-08,176.57000000000002
2017-01-07,175.23999999999998
2017-01-06,171.315
2017-01-05,171.33499999999998
2017-01-04,171.39499999999998
2017-01-03,170.465
2017-01-02,169.675
2017-01-01,171.69
2016-12-31,173.385
2016-12-30,175.175
2016-12-29,181.745
2016-12-28,182.995
2016-12-27,182.19
2016-12-26,184.35999999999999
2016-12-25,184.995
2016-12-24,185.115
2016-12-23,75.18
2016-12-22,185.31
2016-12-21,185.065
2016-12-20,185.035
2016-12-19,184.865
2016-12-18,184.26
2016-12-17,182.28
2016-12-16,176.06
2016-12-15,180.465
2016-12-14,184.305
2016-12-13,184.565
2016-12-12,184.05
2016-12-11,183.76500000000001
2016-12-10,184.29
2016-12-09,184.95
2016-12-08,184.99499999999998
2016-12-07,184.57
2016-12-06,184.26999999999998
2016-12-05,183.225
2016-12-04,182.44
2016-12-03,183.61
2016-12-02,184.905
2016-12-01,184.78
2016-11-30,184.3
2016-11-29,183.56
2016-11-28,179.97
2016-11-27,178.04999999999998
2016-11-26,178.38000000000002
2016-11-25,178.445
2016-11-24,178.355
2016-11-23,178.275
2016-11-22,177.85
2016-11-21,178.20499999999998
2016-11-20,178.81
2016-11-19,179.76000000000002
2016-11-18,181.27
2016-11-17,183.065
2016-11-16,183.16500000000002
2016-11-15,183.91
2016-11-14,184.485
2016-11-13,184.465
2016-11-12,184.44
2016-11-11,184.5
2016-11-10,184.66500000000002
2016-11-09,183.92000000000002
2016-11-08,181.895
2016-11-07,181.0
2016-11-06,181.525
2016-11-05,182.91500000000002
2016-11-04,185.61
2016-11-03,185.8
2016-11-02,186.01
2016-11-01,187.165
2016-10-31,192.25500000000002
2016-10-30,193.32
2016-10-29,191.74
2016-10-28,192.26999999999998
2016-10-27,194.285
2016-10-26,193.555
2016-10-25,193.57999999999998
2016-10-24,194.865
2016-10-23,194.885
2016-10-22,194.89499999999998
2016-10-21,195.3
2016-10-20,194.94
2016-10-19,193.26000000000002
2016-10-18,191.055
2016-10-17,191.13
2016-10-16,190.97
2016-10-15,190.48
2016-10-14,190.385
2016-10-13,189.755
2016-10-12,187.77
2016-10-11,187.32500000000002
2016-10-10,187.27
2016-10-09,187.2
2016-10-08,187.325
2016-10-07,187.71
2016-10-06,184.655
2016-10-05,183.98000000000002
2016-10-04,182.815
2016-10-03,183.105
2016-10-02,174.79999999999998
2016-10-01,173.72500000000002
2016-09-30,181.42000000000002
2016-09-29,182.155
2016-09-28,182.225
2016-09-27,183.265
2016-09-26,183.265
2016-09-25,183.55
2016-09-24,184.25
2016-09-23,185.85
2016-09-22,186.83
2016-09-21,186.435
2016-09-20,186.645
2016-09-19,186.615
2016-09-18,185.935
2016-09-17,182.85
2016-09-16,175.39
2016-09-15,181.575
2016-09-14,181.51000000000002
2016-09-13,181.91500000000002
2016-09-12,181.84
2016-09-11,175.83499999999998
2016-09-10,174.78
2016-09-09,183.08
2016-09-08,186.87
2016-09-07,187.23000000000002
2016-09-06,187.22
2016-09-05,186.745
2016-09-04,186.145
2016-09-03,185.10500000000002
2016-09-02,183.215
2016-09-01,184.545
2016-08-31,179.32000000000002
2016-08-30,177.555
2016-08-29,179.61
2016-08-28,186.66
2016-08-27,190.955
2016-08-26,191.355
2016-08-25,185.345
2016-08-24,179.27499999999998
2016-08-23,174.13
2016-08-22,174.19
2016-08-21,174.36
2016-08-20,174.87
2016-08-19,175.64999999999998
2016-08-18,176.535
2016-08-17,175.565
2016-08-16,177.29500000000002
2016-08-15,184.565
2016-08-14,185.315
2016-08-13,185.805
2016-08-12,186.435
2016-08-11,187.49
2016-08-10,188.325
2016-08-09,190.125
2016-08-08,193.59
2016-08-07,194.28
2016-08-06,194.32500000000002
2016-08-05,193.72
2016-08-04,191.62
2016-08-03,185.86
2016-08-02,185.67000000000002
2016-08-01,192.48499999999999
2016-07-31,194.75
2016-07-30,195.095
2016-07-29,193.695
2016-07-28,194.045
2016-07-27,194.615
2016-07-26,195.045
2016-07-25,196.42000000000002
2016-07-24,198.39499999999998
2016-07-23,198.55
2016-07-22,195.125
2016-07-21,193.145
2016-07-20,188.155
2016-07-19,181.41
2016-07-18,181.335
2016-07-17,182.23499999999999
2016-07-16,184.68
2016-07-15,188.96
2016-07-14,189.78
2016-07-13,190.265
2016-07-12,189.245
2016-07-11,187.67000000000002
2016-07-10,186.39999999999998
2016-07-09,182.95999999999998
2016-07-08,174.495
2016-07-07,168.715
2016-07-06,169.195
2016-07-05,170.34
2016-07-04,172.32999999999998
2016-07-03,176.5
2016-07-02,177.605
2016-07-01,175.51000000000002
2016-06-30,170.925
2016-06-29,169.425
2016-06-28,170.38000000000002
2016-06-27,171.39999999999998
2016-06-26,172.125
2016-06-25,173.555
2016-06-24,177.07
2016-06-23,178.39999999999998
2016-06-22,178.37
2016-06-21,178.8
2016-06-20,178.73000000000002
2016-06-19,179.035
2016-06-18,179.54000000000002
2016-06-17,179.62
2016-06-16,179.45499999999998
2016-06-15,179.015
2016-06-14,179.16500000000002
2016-06-13,179.715
2016-06-12,180.41
2016-06-11,180.73499999999999
2016-06-10,180.775
2016-06-09,180.26999999999998
2016-06-08,179.39999999999998
2016-06-07,178.6
2016-06-06,176.625
2016-06-05,173.845
2016-06-04,173.01
2016-06-03,172.57500000000002
2016-06-02,172.70499999999998
2016-06-01,173.41
2016-05-31,173.61499999999998
2016-05-30,173.70000000000002
2016-05-29,173.61499999999998
2016-05-28,173.35
2016-05-27,173.01999999999998
2016-05-26,172.89000000000001
2016-05-25,174.01
2016-05-24,176.13
2016-05-23,176.62
2016-05-22,176.36
2016-05-21,175.36499999999998
2016-05-20,173.515
2016-05-19,172.835
2016-05-18,170.89999999999998
2016-05-17,169.165
2016-05-16,168.955
2016-05-15,169.13500000000002
2016-05-14,169.20000000000002
2016-05-13,169.345
2016-05-12,169.54
2016-05-11,169.55
2016-05-10,169.56
2016-05-09,169.855
2016-05-08,170.535
2016-05-07,172.065
2016-05-06,178.535
2016-05-05,178.79
2016-05-04,173.0
2016-05-03,174.11
2016-05-02,175.49
2016-05-01,176.805
2016-04-30,173.57000000000002
2016-04-29,172.8
2016-04-28,171.33499999999998
2016-04-27,169.75
2016-04-26,169.815
2016-04-25,169.71
2016-04-24,169.615
2016-04-23,169.91
2016-04-22,170.53500000000003
2016-04-21,171.78
2016-04-20,170.45999999999998
2016-04-19,168.86
2016-04-18,169.62
2016-04-17,170.37
2016-04-16,170.825
2016-04-15,171.25
2016-04-14,172.085
2016-04-13,172.85
2016-04-12,173.095
2016-04-11,173.98000000000002
2016-04-10,175.88
2016-04-09,181.65
2016-04-08,189.92499999999998
2016-04-07,190.65500000000003
2016-04-06,192.04500000000002
2016-04-05,194.69500000000002
2016-04-04,196.245
2016-04-03,197.23999999999998
2016-04-02,200.255
2016-04-01,202.495
2016-03-31,202.54500000000002
2016-03-30,202.71999999999997
2016-03-29,202.73499999999999
2016-03-28,203.145
2016-03-27,203.48000000000002
2016-03-26,203.03000000000003
2016-03-25,202.485
2016-03-24,201.76
2016-03-23,199.43
2016-03-22,197.115
2016-03-21,198.915
2016-03-20,199.87
2016-03-19,198.27
2016-03-18,190.995
2016-03-17,188.10999999999999
2016-03-16,187.755
2016-03-15,187.62
2016-03-14,187.39
2016-03-13,187.32
2016-03-12,187.0
2016-03-11,186.765
2016-03-10,185.35000000000002
2016-03-09,183.45
2016-03-08,185.29
2016-03-07,186.44
2016-03-06,186.32500000000002
2016-03-05,186.015
2016-03-04,185.805
2016-03-03,185.75
2016-03-02,185.645
2016-03-01,185.64499999999998
2016-02-29,185.5
2016-02-28,185.375
2016-02-27,185.18
2016-02-26,184.75
2016-02-25,183.385
2016-02-24,182.78500000000003
2016-02-23,183.89999999999998
