datetime,average_water_level
2018-02-01,813.85
2018-01-31,744.862
2018-01-30,734.57
2018-01-29,735.86
2018-01-28,738.552
2018-01-27,732.928
2018-01-26,739.284
2018-01-25,737.618
2018-01-24,735.0620000000001
2018-01-23,738.136
2018-01-22,735.5179999999999
2018-01-21,740.276
2018-01-20,740.222
2018-01-19,737.1800000000001
2018-01-18,732.8799999999999
2018-01-17,733.914
2018-01-16,724.45
2018-01-15,724.866
2018-01-14,729.192
2018-01-13,754.4233333333333
2018-01-12,723.992
2018-01-11,727.748
2018-01-10,726.766
2018-01-09,731.048
2018-01-08,731.8380000000001
2018-01-07,729.334
2018-01-06,727.47
2018-01-05,734.67
2018-01-04,729.356
2018-01-03,729.952
2018-01-02,731.75
2018-01-01,729.7320000000002
2017-12-31,760.3100000000001
2017-12-30,757.9100000000002
2017-12-29,717.6460000000001
2017-12-28,729.61
2017-12-27,717.9520000000001
2017-12-26,761.1433333333333
2017-12-25,727.178
2017-12-24,726.3439999999999
2017-12-23,725.798
2017-12-22,721.156
2017-12-21,718.3100000000001
2017-12-20,724.306
2017-12-19,726.3119999999999
2017-12-18,723.976
2017-12-17,723.14
2017-12-16,759.14
2017-12-15,734.956
2017-12-14,728.7259999999999
2017-12-13,734.856
2017-12-12,740.5139999999999
2017-12-11,731.628
2017-12-10,713.5279999999999
2017-12-09,713.806
2017-12-08,741.7066666666666
2017-12-07,741.9733333333334
2017-12-06,714.4259999999999
2017-12-05,714.71
2017-12-04,715.0
2017-12-03,715.2
2017-12-02,715.468
2017-12-01,715.7160000000001
2017-11-30,715.872
2017-11-29,716.0200000000001
2017-11-28,716.19
2017-11-27,716.322
2017-11-26,716.67
2017-11-25,717.184
2017-11-24,717.652
2017-11-23,718.238
2017-11-22,719.232
2017-11-21,723.5320000000002
2017-11-20,739.554
2017-11-19,742.448
2017-11-18,747.2760000000001
2017-11-17,741.5840000000001
2017-11-16,745.8839999999999
2017-11-15,742.876
2017-11-14,740.176
2017-11-13,746.6940000000001
2017-11-12,744.872
2017-11-11,748.216
2017-11-10,741.828
2017-11-09,739.7520000000001
