date,average_water_level
2018-01-31,193.49
2018-01-30,193.83
2018-01-29,193.99
2018-01-28,193.8
2018-01-27,193.67
2018-01-26,193.68
2018-01-25,193.83
2018-01-24,193.89
2018-01-23,193.58
2018-01-22,193.27
2018-01-21,193.08
2018-01-20,193.11
2018-01-19,193.21
2018-01-18,193.43
2018-01-17,193.55
2018-01-16,193.56
2018-01-15,193.18
2018-01-14,193.31
2018-01-13,193.39
2018-01-12,193.18
2018-01-11,192.79
2018-01-10,192.76
2018-01-09,193.01
2018-01-08,193.07
2018-01-07,192.92
2018-01-06,193.19
2018-01-05,193.26
2018-01-04,193.28
2018-01-03,193.36
2018-01-02,193.53
2018-01-01,193.61
2017-12-31,193.35
2017-12-30,193.16
2017-12-29,193.28
2017-12-28,193.43
2017-12-27,193.55
2017-12-26,193.33
2017-12-25,193.43
2017-12-24,193.41
2017-12-23,193.41
2017-12-22,193.27
2017-12-21,193.14
2017-12-20,193.33
2017-12-19,193.49
2017-12-18,193.63
2017-12-17,193.65
2017-12-16,193.72
2017-12-15,193.95
2017-12-14,193.76
2017-12-13,193.72
2017-12-12,193.96
2017-12-11,193.8
2017-12-10,193.91
2017-12-09,193.79
2017-12-08,193.79
2017-12-07,193.97
2017-12-06,193.95
2017-12-05,193.87
2017-12-04,193.51
2017-12-03,193.6
2017-12-02,193.61
2017-12-01,193.59
2017-11-30,193.6
2017-11-29,193.57
2017-11-28,193.4
2017-11-27,193.45
2017-11-26,193.61
2017-11-25,193.36
2017-11-24,193.27
2017-11-23,193.52
2017-11-22,193.73
2017-11-21,193.35
2017-11-20,193.5
2017-11-19,193.72
2017-11-18,193.44
2017-11-17,193.39
2017-11-16,193.59
2017-11-15,193.49
2017-11-14,193.65
2017-11-13,193.82
2017-11-12,193.78
2017-11-11,193.83
2017-11-10,193.94
2017-11-09,194.02
2017-11-08,194.05
2017-11-07,194.0
2017-11-06,193.84
2017-11-05,193.7
2017-11-04,193.8
2017-11-03,193.87
2017-11-02,193.7
2017-11-01,193.69
2017-10-31,194.04
2017-10-30,193.88
2017-10-29,193.98
2017-10-28,194.27
2017-10-27,194.35
2017-10-26,194.12
2017-10-25,194.48
2017-10-24,194.72
2017-10-23,194.56
2017-10-22,194.62
2017-10-21,194.49
2017-10-20,194.61
2017-10-19,194.77
2017-10-18,194.72
2017-10-17,194.81
2017-10-16,194.92
2017-10-15,194.81
2017-10-14,194.62
2017-10-13,194.62
2017-10-12,194.7
2017-10-11,194.76
2017-10-10,194.75
2017-10-09,194.33
2017-10-08,194.3
2017-10-07,194.43
2017-10-06,194.61
2017-10-05,194.89
2017-10-04,195.03
2017-10-03,195.09
2017-10-02,195.05
2017-10-01,195.3
2017-09-30,195.72
2017-09-29,196.0
2017-09-28,196.39
2017-09-27,196.89
2017-09-26,197.51
2017-09-25,197.51
2017-09-24,197.51
2017-09-23,197.63
2017-09-22,197.49
2017-09-21,197.46
2017-09-20,197.35
2017-09-19,197.46
2017-09-18,197.41
2017-09-17,197.34
2017-09-16,197.3
2017-09-15,197.07
2017-09-14,196.82
2017-09-13,196.64
2017-09-12,196.69
2017-09-11,196.74
2017-09-10,196.76
2017-09-09,196.73
2017-09-08,196.48
2017-09-07,196.22
2017-09-06,195.8
2017-09-05,195.18
2017-09-04,194.55
2017-09-03,194.59
2017-09-02,194.63
2017-09-01,194.58
2017-08-31,194.47
2017-08-30,194.45
2017-08-29,194.59
2017-08-28,194.67
2017-08-27,194.83
2017-08-26,194.9
2017-08-25,194.77
2017-08-24,194.83
2017-08-23,194.96
2017-08-22,195.01
2017-08-21,194.93
2017-08-20,194.8
2017-08-19,194.8
2017-08-18,194.81
2017-08-17,194.87
2017-08-16,194.73
2017-08-15,194.76
2017-08-14,194.75
2017-08-13,194.98
2017-08-12,195.07
2017-08-11,195.12
2017-08-10,195.29
2017-08-09,195.4
2017-08-08,195.67
2017-08-07,195.78
2017-08-06,195.94
2017-08-05,196.24
2017-08-04,196.53
2017-08-03,197.13
2017-08-02,197.81
2017-08-01,198.0
2017-07-31,197.89
2017-07-30,197.74
2017-07-29,197.41
2017-07-28,197.1
2017-07-27,197.07
2017-07-26,196.9
2017-07-25,196.76
2017-07-24,196.38
2017-07-23,196.12
2017-07-22,195.89
2017-07-21,195.22
2017-07-20,195.44
2017-07-19,195.66
