date,average_water_level
2018-01-31,240.85
2018-01-30,240.67
2018-01-29,240.6
2018-01-28,240.74
2018-01-27,240.93
2018-01-26,241.05
2018-01-25,241.04
2018-01-24,241.07
2018-01-23,241.26
2018-01-22,241.59
2018-01-21,241.91
2018-01-20,242.09
2018-01-19,242.31
2018-01-18,242.32
2018-01-17,242.04
2018-01-16,241.84
2018-01-15,241.92
2018-01-14,241.84
2018-01-13,241.63
2018-01-12,241.56
2018-01-11,241.34
2018-01-10,241.35
2018-01-09,241.26
2018-01-08,241.47
2018-01-07,241.86
2018-01-06,241.87
2018-01-05,241.45
2018-01-04,240.55
2018-01-03,239.51
2018-01-02,238.98
2018-01-01,238.76
2017-12-31,238.86
2017-12-30,238.99
2017-12-29,238.99
2017-12-28,238.91
2017-12-27,238.83
2017-12-26,238.92
2017-12-25,238.92
2017-12-24,238.97
2017-12-23,239.02
2017-12-22,239.18
2017-12-21,239.29
2017-12-20,239.24
2017-12-19,239.18
2017-12-18,239.14
2017-12-17,239.18
2017-12-16,239.19
2017-12-15,239.12
2017-12-14,239.26
2017-12-13,239.33
2017-12-12,239.14
2017-12-11,239.27
2017-12-10,239.25
2017-12-09,239.35
2017-12-08,239.38
2017-12-07,239.23
2017-12-06,239.3
2017-12-05,239.47
2017-12-04,239.79
2017-12-03,239.58
2017-12-02,239.43
2017-12-01,239.43
2017-11-30,239.41
2017-11-29,239.47
2017-11-28,239.53
2017-11-27,239.49
2017-11-26,239.37
2017-11-25,239.53
2017-11-24,239.65
2017-11-23,239.52
2017-11-22,239.38
2017-11-21,239.63
2017-11-20,239.58
2017-11-19,239.47
2017-11-18,239.69
2017-11-17,239.73
2017-11-16,239.61
2017-11-15,239.66
2017-11-14,239.63
2017-11-13,239.51
2017-11-12,239.59
2017-11-11,239.63
2017-11-10,239.56
2017-11-09,239.46
2017-11-08,239.46
2017-11-07,239.57
2017-11-06,239.75
2017-11-05,239.82
2017-11-04,239.84
2017-11-03,239.86
2017-11-02,240.05
2017-11-01,240.16
2017-10-31,240.01
2017-10-30,240.12
2017-10-29,240.15
2017-10-28,240.05
2017-10-27,240.07
2017-10-26,240.26
2017-10-25,240.09
2017-10-24,239.98
2017-10-23,240.12
2017-10-22,240.12
2017-10-21,240.32
2017-10-20,240.26
2017-10-19,240.24
2017-10-18,240.26
2017-10-17,240.23
2017-10-16,240.19
2017-10-15,240.04
2017-10-14,240.06
2017-10-13,240.01
2017-10-12,239.98
2017-10-11,239.98
2017-10-10,240.01
2017-10-09,240.17
2017-10-08,240.19
2017-10-07,240.14
2017-10-06,240.09
2017-10-05,239.92
2017-10-04,239.83
2017-10-03,240.02
2017-10-02,240.15
2017-10-01,240.15
