date,average_water_level
2018-02-01,210.48
2018-01-31,193.905
2018-01-30,193.935
2018-01-29,194.04500000000002
2018-01-28,194.015
2018-01-27,194.06
2018-01-26,193.995
2018-01-25,194.005
2018-01-24,194.09
2018-01-23,194.105
2018-01-22,194.10500000000002
2018-01-21,194.045
2018-01-20,194.04
2018-01-19,194.03
2018-01-18,194.075
2018-01-17,194.115
2018-01-16,194.24
2018-01-15,194.18
2018-01-14,194.14499999999998
2018-01-13,194.255
2018-01-12,194.25
2018-01-11,194.395
2018-01-10,194.325
2018-01-09,194.325
2018-01-08,194.35500000000002
2018-01-07,194.32999999999998
2018-01-06,194.325
2018-01-05,194.32999999999998
2018-01-04,194.32999999999998
2018-01-03,194.33499999999998
2018-01-02,194.34
2018-01-01,194.39
2017-12-31,194.435
2017-12-30,194.365
2017-12-29,194.345
2017-12-28,194.35000000000002
2017-12-27,194.45499999999998
2017-12-26,194.44
2017-12-25,194.435
2017-12-24,194.485
2017-12-23,194.475
2017-12-22,194.51
2017-12-21,194.425
2017-12-20,194.46
2017-12-19,194.48000000000002
2017-12-18,194.525
2017-12-17,194.495
2017-12-16,194.45
2017-12-15,194.57
2017-12-14,194.54000000000002
2017-12-13,194.475
2017-12-12,194.61
2017-12-11,194.69
2017-12-10,194.805
2017-12-09,194.81
2017-12-08,194.735
2017-12-07,194.865
2017-12-06,194.875
2017-12-05,194.95
2017-12-04,194.785
2017-12-03,194.79500000000002
2017-12-02,194.83499999999998
2017-12-01,194.84
2017-11-30,194.91500000000002
2017-11-29,194.975
2017-11-28,194.885
2017-11-27,194.84
2017-11-26,194.98000000000002
2017-11-25,194.94
2017-11-24,194.83499999999998
2017-11-23,194.94
2017-11-22,195.09
2017-11-21,194.97500000000002
2017-11-20,194.91000000000003
2017-11-19,195.09
2017-11-18,195.115
2017-11-17,194.935
2017-11-16,195.025
2017-11-15,195.04500000000002
2017-11-14,194.98000000000002
2017-11-13,195.11
2017-11-12,195.16
2017-11-11,195.04000000000002
2017-11-10,195.09
2017-11-09,195.125
2017-11-08,195.19
2017-11-07,195.2
2017-11-06,195.14999999999998
2017-11-05,195.125
2017-11-04,195.14499999999998
2017-11-03,195.235
2017-11-02,195.175
2017-11-01,195.07
2017-10-31,195.19
2017-10-30,195.20499999999998
2017-10-29,195.16
2017-10-28,195.26999999999998
2017-10-27,195.32
2017-10-26,195.135
2017-10-25,195.28
2017-10-24,195.39
2017-10-23,195.315
2017-10-22,195.39999999999998
