datetime,average_water_level
2018-02-01,170.695
2018-01-31,173.12111111111113
2018-01-30,173.2411111111111
2018-01-29,173.25444444444443
2018-01-28,173.19555555555556
2018-01-27,173.2111111111111
2018-01-26,173.2711111111111
2018-01-25,173.3111111111111
2018-01-24,173.31555555555553
2018-01-23,173.23666666666668
2018-01-22,173.1488888888889
2018-01-21,173.14777777777778
2018-01-20,173.1811111111111
2018-01-19,173.2
2018-01-18,173.28555555555556
2018-01-17,173.37111111111108
2018-01-16,173.3177777777778
2018-01-15,173.27333333333334
2018-01-14,173.34777777777776
2018-01-13,173.36222222222224
2018-01-12,173.27777777777777
2018-01-11,173.16666666666666
2018-01-10,173.25777777777776
2018-01-09,173.35333333333335
2018-01-08,173.34
2018-01-07,173.42
2018-01-06,173.51999999999998
2018-01-05,173.5611111111111
2018-01-04,173.5822222222222
2018-01-03,173.6311111111111
2018-01-02,173.67777777777775
2018-01-01,173.72444444444443
2017-12-31,173.62111111111113
2017-12-30,173.6022222222222
2017-12-29,173.69555555555556
2017-12-28,173.76
2017-12-27,173.74444444444444
2017-12-26,173.6955555555556
2017-12-25,173.76222222222222
2017-12-24,173.7311111111111
2017-12-23,173.73333333333335
2017-12-22,173.67555555555558
2017-12-21,173.7088888888889
2017-12-20,173.79111111111112
2017-12-19,173.90444444444444
2017-12-18,173.96333333333334
2017-12-17,173.95222222222222
2017-12-16,174.0222222222222
2017-12-15,174.0666666666667
2017-12-14,173.97555555555556
2017-12-13,174.04222222222222
2017-12-12,174.08222222222219
2017-12-11,174.08666666666667
2017-12-10,174.13
2017-12-09,174.05777777777777
2017-12-08,174.0711111111111
2017-12-07,174.09333333333333
2017-12-06,174.09
2017-12-05,173.9888888888889
2017-12-04,173.95555555555558
2017-12-03,174.0288888888889
2017-12-02,174.0522222222222
2017-12-01,174.0722222222222
2017-11-30,174.0588888888889
2017-11-29,174.06222222222223
2017-11-28,174.03444444444443
2017-11-27,174.06
2017-11-26,174.06888888888886
2017-11-25,173.9766666666667
2017-11-24,173.98555555555558
