date,average_water_level
2018-02-01,46.61
2018-01-31,46.61
2018-01-30,46.62
2018-01-29,46.62
2018-01-28,46.62
2018-01-27,46.62
2018-01-26,46.62
2018-01-25,46.62
2018-01-24,46.62
2018-01-23,46.62
2018-01-22,46.62
2018-01-21,46.63
2018-01-20,46.63
2018-01-19,46.63
2018-01-18,46.64
2018-01-17,46.64
2018-01-16,46.64
2018-01-15,46.64
2018-01-14,46.64
2018-01-13,46.64
2018-01-12,46.64
2018-01-11,46.64
2018-01-10,46.64
2018-01-09,46.64
2018-01-08,46.64
2018-01-07,46.65
2018-01-06,46.66
2018-01-05,46.67
2018-01-04,46.67
2018-01-03,46.67
2018-01-02,46.67
2018-01-01,46.67
2017-12-31,46.67
2017-12-30,46.67
2017-12-29,46.68
2017-12-28,46.68
2017-12-27,46.68
2017-12-26,46.67
2017-12-25,46.7
2017-12-24,46.72
2017-12-23,46.71
2017-12-22,46.71
2017-12-21,46.71
2017-12-20,46.71
2017-12-19,46.71
2017-12-18,46.73
2017-12-17,46.73
2017-12-16,46.74
2017-12-15,46.76
2017-12-14,46.76
2017-12-13,46.77
2017-12-12,46.79
2017-12-11,46.79
2017-12-10,46.8
2017-12-09,46.8
2017-12-08,46.8
2017-12-07,46.81
2017-12-06,46.81
2017-12-05,46.81
2017-12-04,46.8
2017-12-03,46.81
2017-12-02,46.81
2017-12-01,46.82
2017-11-30,46.82
2017-11-29,46.82
2017-11-28,46.82
2017-11-27,46.83
2017-11-26,46.83
2017-11-25,46.83
2017-11-24,46.84
2017-11-23,46.86
2017-11-22,46.87
2017-11-21,46.86
2017-11-20,46.87
2017-11-19,46.89
2017-11-18,46.88
2017-11-17,46.88
2017-11-16,46.9
2017-11-15,46.9
2017-11-14,46.9
2017-11-13,46.91
2017-11-12,46.91
2017-11-11,46.92
2017-11-10,46.93
2017-11-09,46.93
2017-11-08,46.93
2017-11-07,46.93
2017-11-06,46.93
2017-11-05,46.93
2017-11-04,46.93
2017-11-03,46.93
2017-11-02,46.93
2017-11-01,46.94
2017-10-31,46.96
2017-10-30,46.96
2017-10-29,46.97
2017-10-28,47.0
2017-10-27,47.0
2017-10-26,46.99
2017-10-25,47.01
2017-10-24,47.01
2017-10-23,47.01
2017-10-22,47.01
2017-10-21,47.01
2017-10-20,47.02
2017-10-19,47.04
2017-10-18,47.04
2017-10-17,47.06
2017-10-16,47.07
2017-10-15,47.07
2017-10-14,47.06
2017-10-13,47.06
2017-10-12,47.07
2017-10-11,47.09
2017-10-10,47.09
2017-10-09,47.06
2017-10-08,47.07
2017-10-07,47.08
2017-10-06,47.08
2017-10-05,47.1
2017-10-04,47.1
2017-10-03,47.1
2017-10-02,47.1
2017-10-01,47.1
2017-09-30,47.1
2017-09-29,47.1
2017-09-28,47.1
2017-09-27,47.1
2017-09-26,47.08
2017-09-25,47.07
2017-09-24,47.06
2017-09-23,47.06
2017-09-22,47.06
2017-09-21,47.06
2017-09-20,47.06
2017-09-19,47.06
2017-09-18,47.07
2017-09-17,47.06
2017-09-16,47.04
2017-09-15,47.03
2017-09-14,47.03
2017-09-13,47.02
2017-09-12,47.01
2017-09-11,47.0
2017-09-10,46.99
2017-09-09,46.98
2017-09-08,46.96
2017-09-07,46.96
2017-09-06,46.96
2017-09-05,46.95
2017-09-04,46.93
2017-09-03,46.93
2017-09-02,46.92
2017-09-01,46.92
2017-08-31,46.91
2017-08-30,46.9
2017-08-29,46.9
2017-08-28,46.89
2017-08-27,46.88
2017-08-26,46.88
2017-08-25,46.86
2017-08-24,46.86
2017-08-23,46.86
2017-08-22,46.84
2017-08-21,46.83
2017-08-20,46.83
2017-08-19,46.81
2017-08-18,46.81
2017-08-17,46.8
2017-08-16,46.8
2017-08-15,46.8
2017-08-14,46.77
2017-08-13,46.74
2017-08-12,46.74
2017-08-11,46.73
2017-08-10,46.7
2017-08-09,46.7
2017-08-08,46.69
2017-08-07,46.69
2017-08-06,46.67
2017-08-05,46.66
2017-08-04,46.66
2017-08-03,46.65
2017-08-02,46.65
2017-08-01,46.64
2017-07-31,46.64
2017-07-30,46.63
2017-07-29,46.62
2017-07-28,46.6
2017-07-27,46.6
2017-07-26,46.59
2017-07-25,46.58
2017-07-24,46.58
2017-07-23,46.46
2017-07-22,46.45
2017-07-21,46.45
2017-07-20,46.45
2017-07-19,46.45
2017-07-18,46.45
2017-07-17,46.45
2017-07-16,46.44
2017-07-15,46.44
2017-07-14,46.44
2017-07-13,46.43
2017-07-12,46.43
2017-07-11,46.43
2017-07-10,46.43
2017-07-09,46.43
2017-07-08,46.42
2017-07-07,46.42
2017-07-06,46.42
2017-07-05,46.42
2017-07-04,46.42
2017-07-03,46.4
2017-07-02,46.4
2017-07-01,46.39
2017-06-30,46.35
2017-06-29,46.34
2017-06-28,46.35
2017-06-27,46.37
2017-06-26,46.39
2017-06-25,46.39
2017-06-24,46.39
2017-06-23,46.37
2017-06-22,46.38
2017-06-21,46.39
2017-06-20,46.4
2017-06-19,46.4
2017-06-18,46.4
2017-06-17,46.4
2017-06-16,46.4
2017-06-15,46.41
2017-06-14,46.41
2017-06-13,46.42
2017-06-12,46.42
2017-06-11,46.42
2017-06-10,46.42
2017-06-09,46.42
2017-06-08,46.42
2017-06-07,46.42
2017-06-06,46.42
2017-06-05,46.42
2017-06-04,46.42
2017-06-03,46.42
2017-06-02,46.42
2017-06-01,46.42
2017-05-31,46.42
2017-05-30,46.42
2017-05-29,46.42
2017-05-28,46.42
2017-05-27,46.39
2017-05-26,46.38
2017-05-25,46.38
2017-05-24,46.38
2017-05-23,46.37
2017-05-22,46.35
2017-05-21,46.34
2017-05-20,46.33
2017-05-19,46.32
2017-05-18,46.31
2017-05-17,46.3
2017-05-16,46.29
2017-05-15,46.28
2017-05-14,46.26
2017-05-13,46.26
2017-05-12,46.26
2017-05-11,46.24
2017-05-10,46.19
2017-05-09,46.17
2017-05-08,46.15
2017-05-07,46.14
2017-05-06,46.13
2017-05-05,46.13
2017-05-04,46.13
2017-05-03,46.11
2017-05-02,46.07
2017-05-01,46.07
2017-04-30,46.06
2017-04-29,46.05
2017-04-28,46.04
2017-04-27,46.04
2017-04-26,46.04
2017-04-25,46.04
2017-04-24,46.05
2017-04-23,46.05
2017-04-22,46.05
2017-04-21,46.04
2017-04-20,46.04
2017-04-19,46.04
2017-04-18,46.04
2017-04-17,46.04
2017-04-16,46.05
2017-04-15,46.05
2017-04-14,46.05
2017-04-13,46.05
2017-04-12,46.05
2017-04-11,46.05
2017-04-10,46.05
2017-04-09,46.05
2017-04-08,46.05
2017-04-07,46.05
2017-04-06,46.05
2017-04-05,46.05
2017-04-04,46.04
2017-04-03,46.04
2017-04-02,46.04
2017-04-01,46.04
2017-03-31,46.04
2017-03-30,46.04
2017-03-29,46.03
2017-03-28,46.05
2017-03-27,46.06
2017-03-26,46.06
2017-03-25,46.06
2017-03-24,46.07
2017-03-23,46.08
2017-03-22,46.09
2017-03-21,46.09
2017-03-20,46.1
2017-03-19,46.1
2017-03-18,46.11
2017-03-17,46.11
2017-03-16,46.13
2017-03-15,46.14
2017-03-14,46.14
2017-03-13,46.14
2017-03-12,46.16
2017-03-11,46.17
2017-03-10,46.17
2017-03-09,46.17
2017-03-08,46.19
2017-03-07,46.19
2017-03-06,46.17
2017-03-05,46.18
2017-03-04,46.19
2017-03-03,46.21
2017-03-02,46.21
2017-03-01,46.2
2017-02-28,46.19
2017-02-27,46.2
2017-02-26,46.2
2017-02-25,46.21
2017-02-24,46.21
2017-02-23,46.2
2017-02-22,46.21
2017-02-21,46.21
2017-02-20,46.21
2017-02-19,46.21
2017-02-18,46.22
2017-02-17,46.22
2017-02-16,46.22
2017-02-15,46.22
2017-02-14,46.22
2017-02-13,46.23
2017-02-12,46.24
2017-02-11,46.23
2017-02-10,46.23
2017-02-09,46.24
2017-02-08,46.23
2017-02-07,46.23
2017-02-06,46.24
2017-02-05,46.24
2017-02-04,46.25
2017-02-03,46.25
2017-02-02,46.25
2017-02-01,46.25
2017-01-31,46.25
2017-01-30,46.26
2017-01-29,46.26
2017-01-28,46.26
2017-01-27,46.26
2017-01-26,46.26
2017-01-25,46.26
2017-01-24,46.26
2017-01-23,46.27
2017-01-22,46.27
2017-01-21,46.26
2017-01-20,46.27
2017-01-19,46.27
2017-01-18,46.28
2017-01-17,46.28
2017-01-16,46.28
2017-01-15,46.28
2017-01-14,46.29
2017-01-13,46.29
2017-01-12,46.29
2017-01-11,46.29
2017-01-10,46.29
2017-01-09,46.3
2017-01-08,46.3
2017-01-07,46.31
2017-01-06,46.31
2017-01-05,46.31
2017-01-04,46.31
2017-01-03,46.31
2017-01-02,46.3
2017-01-01,46.32
2016-12-31,46.32
2016-12-30,46.32
2016-12-29,46.33
2016-12-28,46.32
2016-12-27,46.32
2016-12-26,46.32
2016-12-25,46.32
2016-12-24,46.36
2016-12-21,46.37
2016-12-20,46.39
2016-12-19,46.4
2016-12-18,46.4
2016-12-17,46.38
2016-12-16,46.37
2016-12-15,46.39
2016-12-14,46.39
2016-12-13,46.39
2016-12-12,46.39
2016-12-11,46.39
2016-12-10,46.4
2016-12-09,46.42
2016-12-08,46.42
2016-12-07,46.41
2016-12-06,46.42
2016-12-05,46.41
2016-12-04,46.41
2016-12-03,46.42
2016-12-02,46.42
2016-12-01,46.42
2016-11-30,46.42
2016-11-29,46.42
2016-11-28,46.42
2016-11-27,46.42
2016-11-26,46.45
2016-11-25,46.45
2016-11-24,46.45
2016-11-23,46.45
2016-11-22,46.45
2016-11-21,46.47
2016-11-20,46.49
2016-11-19,46.5
2016-11-18,46.49
2016-11-17,46.47
2016-11-16,46.49
2016-11-15,46.51
2016-11-14,46.55
2016-11-13,46.56
2016-11-12,46.57
2016-11-11,46.58
2016-11-10,46.58
2016-11-09,46.58
2016-11-08,46.58
2016-11-07,46.58
2016-11-06,46.58
2016-11-05,46.59
2016-11-04,46.59
2016-11-03,46.59
2016-11-02,46.59
2016-11-01,46.59
2016-10-31,46.6
2016-10-30,46.6
2016-10-29,46.61
2016-10-28,46.61
2016-10-27,46.62
2016-10-26,46.62
2016-10-25,46.63
2016-10-24,46.63
2016-10-23,46.63
2016-10-22,46.64
2016-10-21,46.64
2016-10-20,46.64
2016-10-19,46.63
2016-10-18,46.63
2016-10-17,46.64
2016-10-16,46.64
2016-10-15,46.64
2016-10-14,46.65
2016-10-13,46.66
