datetime,average_water_level
2018-02-01,315.85
2018-01-31,471.66499999999996
2018-01-30,471.65
2018-01-29,471.12
2018-01-28,471.43999999999994
2018-01-27,471.57500000000005
2018-01-26,471.61
2018-01-25,471.605
2018-01-24,471.56000000000006
2018-01-23,471.515
2018-01-22,472.27500000000003
2018-01-21,472.535
2018-01-20,472.4
2018-01-15,470.955
2018-01-14,471.365
2018-01-13,471.41499999999996
2018-01-12,471.3
2018-01-11,471.99
2018-01-10,471.98
2018-01-09,471.88
2018-01-08,471.79
2018-01-07,472.105
2018-01-06,472.05
2018-01-05,471.44
2018-01-04,472.32500000000005
2018-01-03,471.77
2017-12-31,471.69500000000005
2017-12-30,471.515
2017-12-29,471.38
2017-12-28,471.02
2017-12-27,471.37
2017-12-26,470.985
2017-12-25,471.48
2017-12-24,471.465
2017-12-23,471.51
2017-12-22,470.93
2017-12-21,471.66499999999996
2017-12-20,471.27
2017-12-19,471.66999999999996
2017-12-18,471.28999999999996
2017-12-17,471.865
2017-12-16,471.84000000000003
2017-12-15,471.77
2017-12-14,471.55999999999995
2017-12-13,471.46500000000003
2017-12-12,471.29
2017-12-11,471.295
2017-12-10,471.20000000000005
2017-12-09,470.78999999999996
2017-12-08,471.20000000000005
2017-12-07,471.31
2017-12-06,471.18
2017-12-05,471.12
2017-12-04,471.655
2017-12-03,471.72
2017-12-02,471.45000000000005
2017-12-01,471.53
2017-11-30,471.39
2017-11-29,471.63
2017-11-28,471.725
2017-11-27,471.80499999999995
2017-11-26,471.46500000000003
2017-11-25,471.315
2017-11-24,471.26
2017-11-23,471.06999999999994
2017-11-22,470.83000000000004
2017-11-21,471.125
2017-11-20,471.075
2017-11-19,470.655
2017-11-18,471.13
2017-11-17,470.90999999999997
2017-11-16,471.01
2017-11-15,471.23
2017-11-14,470.93000000000006
2017-11-13,470.525
2017-11-12,470.755
2017-11-11,470.69500000000005
2017-11-10,470.29499999999996
2017-11-09,470.80499999999995
2017-11-08,470.45
2017-11-07,471.265
2017-11-06,471.275
2017-11-05,471.305
2017-11-04,471.25
2017-11-03,472.04
2017-11-02,471.51
2017-11-01,471.07
2017-10-31,470.515
2017-10-30,471.265
2017-10-29,470.845
2017-10-28,470.68499999999995
2017-10-27,470.62
2017-10-26,470.96500000000003
2017-10-25,470.83
2017-10-24,470.91999999999996
2017-10-23,470.96000000000004
2017-10-22,471.225
2017-10-21,470.92499999999995
2017-10-20,470.78499999999997
2017-10-19,470.725
2017-10-18,470.725
2017-10-17,470.81
2017-10-16,470.91499999999996
2017-10-15,470.815
2017-10-14,471.24
2017-10-13,470.865
2017-10-12,470.87
2017-10-11,470.66999999999996
2017-10-10,469.94
2017-10-09,470.735
2017-10-08,470.425
2017-10-07,469.725
2017-10-06,470.35
2017-10-05,469.99
2017-10-04,470.15999999999997
2017-10-03,470.14
2017-10-02,470.265
2017-10-01,470.41
2017-09-30,469.90000000000003
2017-09-29,470.04
2017-09-28,470.055
2017-09-27,470.345
2017-09-26,470.745
2017-09-25,470.71000000000004
2017-09-24,471.79
2017-09-23,470.31
2017-09-22,470.48
2017-09-21,470.665
2017-09-20,470.925
2017-09-19,471.355
2017-09-18,471.75
2017-09-17,471.805
2017-09-16,471.395
2017-09-15,471.725
2017-09-14,470.845
2017-09-13,469.995
2017-09-12,470.455
2017-09-11,470.67999999999995
2017-09-10,470.685
2017-09-09,469.66999999999996
2017-09-08,469.76
2017-09-07,469.82000000000005
2017-09-06,470.06999999999994
2017-09-05,470.71000000000004
2017-09-04,470.895
2017-09-03,469.615
2017-09-02,469.585
2017-09-01,469.885
2017-08-31,469.72
2017-08-30,469.715
2017-08-29,469.675
2017-08-28,469.48
2017-08-27,469.59000000000003
2017-08-26,469.88
2017-08-25,470.46
2017-08-24,470.4
2017-08-23,470.385
2017-08-22,470.34000000000003
2017-08-21,470.185
2017-08-20,470.015
2017-08-19,469.59000000000003
2017-08-18,469.53
2017-08-17,469.655
2017-08-16,469.625
2017-08-15,470.28999999999996
2017-08-14,469.45500000000004
2017-08-13,469.54499999999996
2017-08-12,469.34000000000003
2017-08-11,469.33
2017-08-10,469.07500000000005
2017-08-09,469.105
2017-08-08,469.095
2017-08-07,469.41499999999996
2017-08-06,469.63
2017-08-05,469.485
2017-08-04,469.515
2017-08-03,469.49
2017-08-02,469.16999999999996
2017-08-01,470.11
2017-07-31,470.105
2017-07-30,470.04999999999995
2017-07-29,470.27
2017-07-28,470.09000000000003
2017-07-27,469.81
2017-07-26,469.68999999999994
2017-07-25,469.5
2017-07-24,469.46
2017-07-23,469.84000000000003
