datetime,average_water_level
2018-01-31,137.72
2018-01-30,137.85
2018-01-29,137.98
2018-01-28,137.9
2018-01-27,137.89
2018-01-26,137.8
2018-01-25,137.84
2018-01-24,137.93
2018-01-23,137.87
2018-01-22,137.84
2018-01-21,137.71
2018-01-20,137.71
2018-01-19,137.75
2018-01-18,137.79
2018-01-17,137.88
2018-01-16,137.98
2018-01-15,137.83
2018-01-14,137.88
2018-01-13,137.93
2018-01-12,137.89
2018-01-11,137.83
2018-01-10,137.68
2018-01-09,137.78
2018-01-08,137.87
2018-01-07,137.76
2018-01-06,137.84
2018-01-05,137.87
2018-01-04,137.81
2018-01-03,137.94
2018-01-02,137.86
2018-01-01,137.92
2017-12-31,137.85
2017-12-30,137.81
2017-12-29,137.86
2017-12-28,137.87
2017-12-27,137.91
2017-12-26,137.81
2017-12-25,137.83
2017-12-24,137.88
2017-12-23,137.91
2017-12-22,137.79
2017-12-21,137.73
2017-12-20,137.82
2017-12-19,137.84
2017-12-18,137.83
2017-12-17,137.78
2017-12-16,137.72
2017-12-15,137.91
2017-12-14,137.76
2017-12-13,137.76
2017-12-12,137.94
2017-12-11,137.93
2017-12-10,138.02
2017-12-09,137.99
2017-12-08,137.91
2017-12-07,137.91
2017-12-06,137.92
2017-12-05,137.93
2017-12-04,137.8
2017-12-03,137.86
2017-12-02,137.9
2017-12-01,137.83
2017-11-30,137.82
2017-11-29,137.9
2017-11-28,137.78
2017-11-27,137.81
2017-11-26,137.98
2017-11-25,137.91
2017-11-24,137.79
2017-11-23,137.88
2017-11-22,137.99
2017-11-21,137.84
2017-11-20,137.81
2017-11-19,137.92
2017-11-18,137.89
2017-11-17,137.82
2017-11-16,137.85
2017-11-15,137.87
2017-11-14,137.83
2017-11-13,137.93
2017-11-12,137.92
2017-11-11,137.82
2017-11-10,137.82
2017-11-09,137.86
2017-11-08,137.89
2017-11-07,137.88
2017-11-06,137.87
2017-11-05,137.85
2017-11-04,137.82
2017-11-03,137.89
2017-11-02,137.85
2017-11-01,137.79
2017-10-31,137.84
2017-10-30,137.77
2017-10-29,137.77
2017-10-28,137.83
2017-10-27,137.83
2017-10-26,137.69
2017-10-25,137.86
2017-10-24,137.97
2017-10-23,137.87
2017-10-22,137.92
2017-10-21,137.76
2017-10-20,137.76
2017-10-19,137.78
2017-10-18,137.81
2017-10-17,137.84
2017-10-16,137.92
2017-10-15,137.92
2017-10-14,137.78
2017-10-13,137.8
2017-10-12,137.79
2017-10-11,137.84
2017-10-10,137.96
2017-10-09,137.76
2017-10-08,137.72
2017-10-07,137.76
2017-10-06,137.78
2017-10-05,137.87
2017-10-04,137.94
2017-10-03,137.89
2017-10-02,137.8
2017-10-01,137.82
2017-09-30,137.93
2017-09-29,137.97
2017-09-28,137.98
2017-09-27,137.97
2017-09-26,137.94
2017-09-25,137.88
2017-09-24,137.89
2017-09-23,137.87
2017-09-22,137.89
2017-09-21,137.93
2017-09-20,137.94
2017-09-19,137.9
2017-09-18,137.94
2017-09-17,137.95
2017-09-16,137.97
2017-09-15,137.91
2017-09-14,137.87
2017-09-13,137.86
2017-09-12,137.92
2017-09-11,137.98
2017-09-10,137.99
2017-09-09,137.98
2017-09-08,137.93
2017-09-07,137.96
2017-09-06,137.99
2017-09-05,137.95
2017-09-04,137.97
2017-09-03,138.02
2017-09-02,137.97
2017-09-01,137.92
2017-08-31,137.91
2017-08-30,137.92
2017-08-29,137.93
2017-08-28,137.92
2017-08-27,137.95
2017-08-26,137.95
2017-08-25,137.89
2017-08-24,137.87
2017-08-23,137.92
2017-08-22,137.95
2017-08-21,137.97
2017-08-20,137.93
2017-08-19,137.94
2017-08-18,137.96
2017-08-17,137.97
2017-08-16,137.98
2017-08-15,137.85
2017-08-14,137.83
2017-08-13,137.88
2017-08-12,137.91
2017-08-11,137.92
2017-08-10,137.95
2017-08-09,137.94
2017-08-08,137.97
2017-08-07,137.92
2017-08-06,137.86
2017-08-05,137.89
2017-08-04,137.96
2017-08-03,137.98
2017-08-02,137.99
2017-08-01,137.99
2017-07-31,138.0
2017-07-30,138.01
2017-07-29,137.98
2017-07-28,137.95
2017-07-27,137.97
2017-07-26,138.0
2017-07-25,138.02
2017-07-24,138.0
2017-07-23,138.0
2017-07-22,137.99
2017-07-21,138.0
2017-07-20,138.05
2017-07-19,138.08
2017-07-18,138.02
2017-07-17,138.0
2017-07-16,138.05
2017-07-15,138.09
2017-07-14,138.09
2017-07-13,138.06
2017-07-12,138.03
2017-07-11,138.0
2017-07-10,138.01
2017-07-09,138.05
2017-07-08,138.06
2017-07-07,138.09
2017-07-06,138.09
2017-07-05,138.09
2017-07-04,138.04
2017-07-03,138.07
2017-07-02,138.12
2017-07-01,138.08
2017-06-30,138.02
2017-06-29,137.99
2017-06-28,137.97
2017-06-27,138.02
2017-06-26,138.07
2017-06-25,138.13
2017-06-24,138.12
2017-06-23,138.0
2017-06-22,137.94
2017-06-21,138.0
2017-06-20,138.07
