date,average_water_level
2018-02-01,125.8
2018-01-31,125.8
2018-01-30,125.79
2018-01-29,125.76
2018-01-28,125.73
2018-01-27,125.72
2018-01-26,125.78
2018-01-25,125.79
2018-01-24,125.77
2018-01-23,125.76
2018-01-22,125.75
2018-01-21,125.8
2018-01-20,125.9
2018-01-19,125.92
2018-01-18,125.89
2018-01-17,125.84
2018-01-16,125.8
2018-01-15,125.77
2018-01-14,125.76
2018-01-13,125.72
2018-01-12,125.68
2018-01-11,125.67
2018-01-10,125.76
2018-01-09,125.84
2018-01-08,125.85
2018-01-07,125.91
2018-01-06,125.98
2018-01-05,126.0
2018-01-04,126.03
2018-01-03,126.03
2018-01-02,126.02
2018-01-01,125.99
2017-12-31,125.97
2017-12-30,126.01
2017-12-29,126.04
2017-12-28,126.04
2017-12-27,126.03
2017-12-26,126.03
2017-12-25,126.02
2017-12-24,126.0
2017-12-23,126.01
2017-12-22,126.01
2017-12-21,126.06
2017-12-20,126.16
2017-12-19,126.31
2017-12-18,126.33
2017-12-17,126.35
2017-12-16,126.42
2017-12-15,126.44
2017-12-14,126.46
2017-12-13,126.58
2017-12-12,126.68
2017-12-11,126.78
2017-12-10,126.93
2017-12-09,127.12
2017-12-08,127.46
2017-12-07,127.61
2017-12-06,127.26
2017-12-05,126.38
2017-12-04,126.39
2017-12-03,126.44
2017-12-02,126.44
2017-12-01,126.44
2017-11-30,126.46
2017-11-29,126.47
2017-11-28,126.49
2017-11-27,126.54
2017-11-26,126.54
2017-11-25,126.51
2017-11-24,126.58
2017-11-23,126.64
2017-11-22,126.64
2017-11-21,126.65
2017-11-20,126.76
2017-11-19,126.78
2017-11-18,126.78
2017-11-17,126.92
2017-11-16,127.12
2017-11-15,127.43
2017-11-14,127.71
2017-11-13,127.56
2017-11-12,127.33
2017-11-11,127.18
2017-11-10,127.25
2017-11-09,127.26
2017-11-08,127.28
2017-11-07,127.27
2017-11-06,127.24
2017-11-05,127.22
2017-11-04,127.24
2017-11-03,127.25
2017-11-02,127.27
2017-11-01,127.27
2017-10-31,127.29
2017-10-30,127.31
2017-10-29,127.36
2017-10-28,127.38
2017-10-27,127.37
2017-10-26,127.4
2017-10-25,127.47
2017-10-24,127.5
2017-10-23,127.48
2017-10-22,127.5
2017-10-21,127.56
2017-10-20,127.64
2017-10-19,127.68
2017-10-18,127.7
2017-10-17,127.73
2017-10-16,127.71
2017-10-15,127.7
2017-10-14,127.78
2017-10-13,127.97
2017-10-12,127.76
2017-10-11,127.62
2017-10-10,127.6
2017-10-09,127.61
2017-10-08,127.62
2017-10-07,127.63
2017-10-06,127.73
2017-10-05,127.83
2017-10-04,127.92
2017-10-03,128.02
2017-10-02,127.93
2017-10-01,128.09
2017-09-30,128.09
2017-09-29,127.77
2017-09-28,127.76
2017-09-27,127.74
2017-09-26,127.72
2017-09-25,127.69
2017-09-24,127.67
2017-09-23,127.65
2017-09-22,127.65
2017-09-21,127.68
2017-09-20,127.65
2017-09-19,127.48
2017-09-18,127.28
2017-09-17,127.22
2017-09-16,127.19
2017-09-15,127.14
2017-09-14,127.08
2017-09-13,127.07
2017-09-12,127.07
2017-09-11,127.03
2017-09-10,126.98
2017-09-09,126.97
2017-09-08,126.97
2017-09-07,126.95
2017-09-06,126.9
2017-09-05,126.91
2017-09-04,126.88
2017-09-03,126.87
2017-09-02,126.84
2017-09-01,126.84
2017-08-31,126.87
2017-08-30,126.92
2017-08-29,126.99
2017-08-28,127.12
2017-08-27,127.28
2017-08-26,127.51
2017-08-25,127.89
2017-08-24,128.4
2017-08-23,129.98
2017-08-22,130.74
2017-08-21,128.34
2017-08-20,126.71
2017-08-19,126.71
2017-08-18,126.7
2017-08-17,126.71
2017-08-16,126.73
2017-08-15,126.77
2017-08-14,126.85
2017-08-13,126.91
2017-08-12,126.96
2017-08-11,126.95
2017-08-10,126.94
2017-08-09,126.97
2017-08-08,127.05
2017-08-07,127.08
2017-08-06,127.07
2017-08-05,127.0
2017-08-04,126.88
2017-08-03,126.7
2017-08-02,126.55
2017-08-01,126.44
2017-07-31,126.3
2017-07-30,126.19
2017-07-29,126.09
2017-07-28,126.0
2017-07-27,125.88
2017-07-26,125.8
2017-07-25,125.69
2017-07-24,125.6
2017-07-23,125.54
2017-07-22,125.52
2017-07-21,125.5
2017-07-20,125.46
2017-07-19,125.21
2017-07-18,124.95
2017-07-17,124.8
2017-07-16,124.74
2017-07-15,124.72
2017-07-14,124.72
2017-07-13,124.73
2017-07-12,124.72
2017-07-11,124.59
2017-07-10,124.49
2017-07-09,124.49
2017-07-08,124.48
2017-07-07,124.49
