date,average_water_level
2018-01-31,485.93
2018-01-30,484.53
2018-01-29,484.22
2018-01-28,484.01
2018-01-27,483.78
2018-01-26,483.0
2018-01-25,481.79
2018-01-24,482.05
2018-01-23,482.6
2018-01-22,483.03
2018-01-21,483.58
2018-01-20,483.79
2018-01-19,484.22
2018-01-18,485.02
2018-01-17,485.42
2018-01-16,484.93
2018-01-15,484.19
2018-01-12,483.34
2018-01-11,483.56
2018-01-10,483.58
2018-01-09,483.95
2018-01-08,483.81
2018-01-07,483.99
2018-01-06,483.87
2018-01-05,483.72
2018-01-04,483.87
2018-01-03,484.07
2018-01-02,484.33
2018-01-01,484.63
2017-12-31,484.97
2017-12-30,485.38
2017-12-29,485.67
2017-12-28,486.03
2017-12-27,486.1
2017-12-26,486.34
2017-12-25,486.25
2017-12-24,486.36
2017-12-23,486.59
2017-12-22,486.66
2017-12-21,486.8
2017-12-20,486.83
2017-12-19,487.03
2017-12-18,487.2
2017-12-17,487.2
2017-12-16,487.38
2017-12-15,487.5
2017-12-14,487.8
2017-12-13,488.14
2017-12-12,487.15
2017-12-11,486.18
2017-12-10,486.01
2017-12-09,486.17
2017-12-08,486.23
2017-12-07,486.29
2017-12-06,486.24
2017-12-05,486.51
2017-12-04,486.91
2017-12-03,486.88
2017-12-02,487.06
2017-12-01,487.27
2017-11-30,487.79
2017-11-29,488.23
2017-11-28,488.59
2017-11-27,488.97
2017-11-26,489.13
2017-11-25,489.45
2017-11-24,489.87
2017-11-23,490.25
2017-11-22,490.64
2017-11-21,491.36
2017-11-20,491.75
2017-11-19,492.28
2017-11-18,493.0
2017-11-17,493.49
2017-11-16,493.85
2017-11-15,494.18
2017-11-14,494.45
2017-11-13,494.68
2017-11-12,495.27
2017-11-11,495.79
2017-11-10,496.07
2017-11-09,496.27
2017-11-08,496.51
2017-11-07,496.79
2017-11-06,497.19
2017-11-05,497.46
2017-11-04,498.07
2017-11-03,498.94
2017-11-02,497.94
2017-11-01,497.57
2017-10-31,497.15
2017-10-30,496.6
2017-10-29,495.91
2017-10-28,495.52
2017-10-27,494.94
2017-10-26,494.16
2017-10-25,493.38
2017-10-24,492.51
2017-10-23,491.66
2017-10-22,490.86
2017-10-21,491.02
2017-10-20,490.86
2017-10-19,490.95
2017-10-18,490.85
2017-10-17,490.78
2017-10-16,490.7
2017-10-15,490.97
2017-10-14,491.21
2017-10-13,491.48
2017-10-12,491.95
2017-10-11,491.98
2017-10-10,492.36
2017-10-09,492.58
2017-10-08,492.94
2017-10-07,493.29
2017-10-06,493.6
2017-10-05,493.86
2017-10-04,494.15
2017-10-03,494.53
2017-10-02,495.02
2017-10-01,495.49
2017-09-30,495.94
2017-09-29,496.26
2017-09-28,496.72
2017-09-27,497.4
2017-09-26,497.62
2017-09-25,498.0
2017-09-24,498.1
2017-09-23,498.1
2017-09-22,498.07
2017-09-21,498.47
2017-09-20,498.5
2017-09-19,498.77
2017-09-18,498.63
2017-09-17,498.52
2017-09-16,498.69
2017-09-15,498.7
2017-09-14,498.82
2017-09-13,499.13
2017-09-12,498.23
2017-09-11,496.18
2017-09-10,495.97
2017-09-09,496.42
2017-09-08,496.57
2017-09-07,495.13
2017-09-06,492.94
2017-09-05,490.42
2017-09-04,488.11
2017-09-03,487.5
2017-09-02,487.14
2017-09-01,486.83
2017-08-31,486.79
2017-08-30,486.75
2017-08-29,486.65
2017-08-28,486.59
2017-08-27,486.7
2017-08-26,486.94
2017-08-25,486.61
2017-08-24,486.17
2017-08-23,485.42
2017-08-22,484.96
2017-08-21,484.39
2017-08-20,484.11
2017-08-19,483.64
2017-08-18,483.21
2017-08-17,482.68
2017-08-16,481.89
2017-08-15,481.3
2017-08-14,481.13
2017-08-13,481.22
2017-08-12,481.27
2017-08-11,481.41
2017-08-10,481.32
2017-08-09,481.24
2017-08-08,481.37
2017-08-07,481.33
2017-08-06,481.48
2017-08-05,481.28
2017-08-04,481.52
2017-08-03,482.15
2017-08-02,482.15
2017-08-01,481.7
2017-07-31,481.93
2017-07-30,482.16
2017-07-29,482.78
2017-07-28,483.71
2017-07-27,483.53
2017-07-26,482.89
2017-07-25,482.35
2017-07-24,481.9
2017-07-23,481.45
2017-07-22,480.85
2017-07-21,480.41
2017-07-20,480.41
2017-07-19,480.28
2017-07-18,480.23
2017-07-17,480.25
2017-07-16,480.17
2017-07-15,479.99
2017-07-14,479.73
2017-07-13,480.08
2017-07-12,480.0
2017-07-11,478.92
2017-07-10,477.5
2017-07-09,476.97
2017-07-08,476.21
2017-07-07,475.23
2017-07-06,473.83
2017-07-05,473.66
2017-07-04,473.79
2017-07-03,474.19
2017-07-02,474.36
2017-07-01,474.68
2017-06-30,475.14
2017-06-29,475.73
2017-06-28,476.26
2017-06-27,476.06
2017-06-26,476.52
2017-06-25,476.63
2017-06-24,476.39
2017-06-23,476.27
2017-06-22,475.85
2017-06-21,475.66
2017-06-20,475.33
2017-06-19,475.06
2017-06-18,474.68
2017-06-17,474.34
2017-06-16,474.01
2017-06-15,473.7
2017-06-14,473.39
2017-06-13,472.93
2017-06-12,472.52
2017-06-11,471.88
2017-06-10,471.58
2017-06-09,471.93
2017-06-08,471.66
2017-06-07,470.73
2017-06-06,469.64
2017-06-05,469.52
2017-06-04,469.71
2017-06-03,469.97
2017-06-02,470.33
2017-06-01,470.65
2017-05-31,470.73
2017-05-30,471.31
2017-05-29,472.21
2017-05-28,472.66
2017-05-27,472.04
2017-05-26,471.57
2017-05-25,471.02
2017-05-24,470.18
2017-05-23,469.38
2017-05-22,469.78
2017-05-21,470.54
2017-05-20,471.46
2017-05-19,471.58
2017-05-18,471.54
2017-05-17,471.21
2017-05-16,472.85
2017-05-15,473.14
2017-05-14,473.55
2017-05-13,474.54
2017-05-12,475.69
2017-05-11,474.4
2017-05-10,472.1
2017-05-09,470.37
2017-05-08,469.06
2017-05-07,470.3
2017-05-06,470.76
2017-05-05,470.47
2017-05-04,470.14
2017-05-03,469.91
2017-05-02,469.63
2017-05-01,469.42
2017-04-30,469.33
2017-04-29,468.99
2017-04-28,468.78
2017-04-27,468.57
2017-04-26,468.26
2017-04-25,467.66
2017-04-24,467.02
2017-04-23,466.11
2017-04-22,465.46
2017-04-21,465.97
2017-04-20,465.39
2017-04-19,464.15
2017-04-18,464.01
2017-04-17,463.8
2017-04-16,463.72
2017-04-15,463.95
2017-04-14,464.36
2017-04-13,464.75
2017-04-12,465.0
2017-04-11,465.48
2017-04-10,466.07
2017-04-09,465.6
2017-04-08,465.92
2017-04-07,465.86
2017-04-06,466.1
2017-04-05,466.43
2017-04-04,466.94
2017-04-03,467.74
2017-04-02,469.11
2017-04-01,470.15
2017-03-31,471.46
2017-03-30,470.94
2017-03-29,470.11
2017-03-28,468.91
2017-03-27,467.94
2017-03-26,469.66
2017-03-25,470.53
2017-03-24,471.84
2017-03-23,471.78
2017-03-22,471.34
2017-03-21,470.77
2017-03-20,470.02
2017-03-19,470.46
2017-03-18,471.15
2017-03-17,472.32
2017-03-16,472.46
2017-03-15,472.85
2017-03-14,472.61
2017-03-13,471.98
2017-03-12,472.37
2017-03-11,473.33
2017-03-10,474.94
2017-03-09,475.52
2017-03-08,486.55
2017-02-23,463.94
2017-02-22,463.21
2017-02-21,461.95
2017-02-20,461.15
