date,average_water_level
2018-01-31,143.44
2018-01-30,143.48
2018-01-29,143.65
2018-01-28,143.63
2018-01-27,143.7
2018-01-26,143.59
2018-01-25,143.59
2018-01-24,143.71
2018-01-23,143.73
2018-01-22,143.78
2018-01-21,143.7
2018-01-20,143.67
2018-01-19,143.63
2018-01-18,143.68
2018-01-17,143.74
2018-01-16,143.9
2018-01-15,143.84
2018-01-14,143.81
2018-01-13,143.93
2018-01-12,143.89
2018-01-11,144.03
2018-01-10,143.77
2018-01-09,143.82
2018-01-08,143.96
2018-01-07,143.9
2018-01-06,143.91
2018-01-05,143.97
2018-01-04,143.94
2018-01-03,144.0
2018-01-02,144.03
2018-01-01,144.14
2017-12-31,144.26
2017-12-30,144.2
2017-12-29,144.2
2017-12-28,144.28
2017-12-27,144.44
2017-12-26,144.51
2017-12-25,144.45
2017-12-24,144.7
2017-12-23,144.67
2017-12-22,144.84
2017-12-21,144.72
2017-12-20,144.8
2017-12-19,144.86
2017-12-18,144.91
2017-12-17,144.92
2017-12-16,144.78
2017-12-15,144.94
2017-12-14,144.97
2017-12-13,144.8
2017-12-12,144.95
2017-12-11,144.9
2017-12-10,144.96
2017-12-09,145.0
2017-12-08,144.91
2017-12-07,144.99
2017-12-06,145.0
2017-12-05,145.13
2017-12-04,144.99
2017-12-03,144.96
2017-12-02,145.04
2017-12-01,145.02
2017-11-30,145.09
2017-11-29,145.14
2017-11-28,145.2
2017-11-27,145.09
2017-11-26,145.25
2017-11-25,145.39
2017-11-24,145.25
2017-11-23,145.35
2017-11-22,145.53
2017-11-21,145.56
2017-11-20,145.36
2017-11-19,145.42
2017-11-18,145.51
2017-11-17,145.28
2017-11-16,145.27
2017-11-15,145.32
2017-11-14,145.13
2017-11-13,145.15
2017-11-12,145.23
2017-11-11,145.05
2017-11-10,145.01
2017-11-09,144.97
2017-11-08,144.98
2017-11-07,144.96
2017-11-06,144.86
2017-11-05,144.76
2017-11-04,144.69
2017-11-03,144.68
2017-11-02,144.63
2017-11-01,144.44
2017-10-31,144.41
2017-10-30,144.4
2017-10-29,144.18
2017-10-28,144.16
2017-10-27,144.21
2017-10-26,144.04
2017-10-25,144.08
2017-10-24,144.2
2017-10-23,144.04
2017-10-22,144.05
2017-10-21,143.85
2017-10-20,143.7
2017-10-19,143.65
2017-10-18,143.51
2017-10-17,143.37
2017-10-16,143.3
2017-10-15,143.3
2017-10-14,142.94
2017-10-13,142.76
2017-10-12,142.53
2017-10-11,142.53
2017-10-10,142.7
2017-10-09,142.63
2017-10-08,142.45
2017-10-07,142.55
2017-10-06,142.46
2017-10-05,142.52
2017-10-04,142.61
2017-10-03,142.65
2017-10-02,142.54
2017-10-01,142.5
2017-09-30,142.58
2017-09-29,142.64
2017-09-28,142.64
2017-09-27,142.67
2017-09-26,142.69
2017-09-25,142.62
2017-09-24,142.64
2017-09-23,142.62
2017-09-22,142.65
2017-09-21,142.66
2017-09-20,142.67
2017-09-19,142.64
2017-09-18,142.67
2017-09-17,142.72
2017-09-16,142.74
2017-09-15,142.74
2017-09-14,142.69
2017-09-13,142.67
2017-09-12,142.67
2017-09-11,142.74
2017-09-10,142.78
2017-09-09,142.8
2017-09-08,142.79
2017-09-07,142.77
2017-09-06,142.83
2017-09-05,142.86
2017-09-04,142.82
2017-09-03,142.85
2017-09-02,142.85
2017-09-01,142.85
2017-08-31,142.86
2017-08-30,142.86
2017-08-29,142.87
2017-08-28,142.88
2017-08-27,142.88
2017-08-26,142.92
2017-08-25,142.9
2017-08-24,142.88
2017-08-23,142.91
2017-08-22,142.94
2017-08-21,142.95
2017-08-20,142.94
2017-08-19,142.94
2017-08-18,142.96
2017-08-17,143.0
2017-08-16,142.98
2017-08-15,142.97
2017-08-14,142.96
2017-08-13,142.95
2017-08-12,142.98
2017-08-11,143.0
2017-08-10,143.02
2017-08-09,143.02
2017-08-08,143.06
2017-08-07,143.09
2017-08-06,143.01
2017-08-05,142.99
2017-08-04,143.05
2017-08-03,143.08
2017-08-02,143.08
2017-08-01,143.09
2017-07-31,143.11
2017-07-30,143.12
2017-07-29,143.11
2017-07-28,143.1
2017-07-27,143.11
2017-07-26,143.12
2017-07-25,143.15
2017-07-24,143.14
2017-07-23,143.15
2017-07-22,143.14
2017-07-21,143.13
2017-07-20,143.16
2017-07-19,143.2
2017-07-18,143.2
2017-07-17,143.17
2017-07-16,143.17
2017-07-15,143.19
2017-07-14,143.24
2017-07-13,143.26
2017-07-12,143.23
2017-07-11,143.22
2017-07-10,143.21
2017-07-09,143.23
2017-07-08,143.24
2017-07-07,143.26
2017-07-06,143.29
2017-07-05,143.31
2017-07-04,143.29
2017-07-03,143.27
2017-07-02,143.32
2017-07-01,143.39
2017-06-30,143.34
2017-06-29,143.32
2017-06-28,143.32
2017-06-27,143.36
2017-06-26,143.44
2017-06-25,143.51
2017-06-24,143.64
2017-06-23,143.6
2017-06-22,143.47
2017-06-21,143.44
2017-06-20,143.45
2017-06-19,143.45
2017-06-18,143.39
2017-06-17,143.31
2017-06-16,143.35
2017-06-15,143.43
2017-06-14,143.46
2017-06-13,143.34
2017-06-12,143.34
2017-06-11,143.37
2017-06-10,143.36
2017-06-09,143.36
2017-06-08,143.39
2017-06-07,143.46
2017-06-06,143.5
2017-06-05,143.48
2017-06-04,143.48
2017-06-03,143.55
2017-06-02,143.55
2017-06-01,143.57
2017-05-31,143.63
2017-05-30,143.67
2017-05-29,143.73
2017-05-28,143.82
2017-05-27,143.8
2017-05-26,143.91
2017-05-25,143.87
2017-05-24,143.89
2017-05-23,144.01
2017-05-22,143.9
2017-05-21,143.93
2017-05-20,143.93
2017-05-19,143.79
2017-05-18,143.68
2017-05-17,143.66
2017-05-16,143.5
2017-05-15,143.5
2017-05-14,143.44
2017-05-13,143.36
2017-05-12,143.36
2017-05-11,143.32
2017-05-10,143.18
2017-05-09,143.06
2017-05-08,143.07
2017-05-07,143.03
2017-05-06,143.01
2017-05-05,143.03
2017-05-04,143.14
2017-05-03,143.15
2017-05-02,143.04
2017-05-01,143.08
2017-04-30,143.13
2017-04-29,143.19
2017-04-28,143.08
2017-04-27,143.0
2017-04-26,143.19
2017-04-25,143.0
2017-04-24,142.96
2017-04-23,143.12
2017-04-22,143.28
2017-04-21,143.1
2017-04-20,143.15
2017-04-19,143.13
2017-04-18,143.16
2017-04-17,143.19
2017-04-16,143.18
2017-04-15,143.17
2017-04-14,143.15
2017-04-13,143.17
2017-04-12,143.22
2017-04-11,143.26
2017-04-10,143.31
2017-04-09,143.2
2017-04-08,143.15
2017-04-07,143.2
2017-04-06,143.26
2017-04-05,143.39
2017-04-04,143.27
2017-04-03,143.19
2017-04-02,143.23
2017-04-01,143.34
2017-03-31,143.17
2017-03-30,143.2
2017-03-29,143.35
2017-03-28,143.18
2017-03-27,143.27
2017-03-26,143.21
2017-03-25,143.29
2017-03-24,143.34
2017-03-23,143.2
2017-03-22,143.29
2017-03-21,143.29
2017-03-20,143.27
2017-03-19,143.3
2017-03-18,143.38
2017-03-17,143.33
2017-03-16,143.28
2017-03-15,143.37
2017-03-14,143.31
2017-03-13,143.4
2017-03-12,143.35
2017-03-11,143.36
2017-03-10,143.39
2017-03-09,143.33
2017-03-08,143.35
2017-03-07,143.5
2017-03-06,143.29
2017-03-05,143.27
2017-03-04,143.29
2017-03-03,143.38
2017-03-02,143.44
2017-03-01,143.5
2017-02-28,143.33
2017-02-27,143.34
2017-02-26,143.29
2017-02-25,143.38
2017-02-24,143.42
2017-02-23,143.22
2017-02-22,143.26
2017-02-21,143.36
2017-02-20,143.39
2017-02-19,143.35
2017-02-18,143.31
2017-02-17,143.21
2017-02-16,143.25
2017-02-15,143.36
2017-02-14,143.34
2017-02-13,143.28
2017-02-12,143.45
2017-02-11,143.31
2017-02-10,143.28
2017-02-09,143.39
2017-02-08,143.42
2017-02-07,143.31
2017-02-06,143.28
2017-02-05,143.3
2017-02-04,143.28
2017-02-03,143.4
2017-02-02,143.46
2017-02-01,143.4
2017-01-31,143.3
2017-01-30,143.32
2017-01-29,143.42
2017-01-28,143.44
2017-01-27,143.49
2017-01-26,143.51
2017-01-25,143.54
2017-01-24,143.39
2017-01-23,143.41
2017-01-22,143.61
2017-01-21,143.38
2017-01-20,143.43
2017-01-19,143.36
2017-01-18,143.45
2017-01-17,143.56
2017-01-16,143.54
2017-01-15,143.4
2017-01-14,143.55
2017-01-13,143.66
2017-01-12,143.64
2017-01-11,143.51
2017-01-10,143.56
2017-01-09,143.52
2017-01-08,143.56
2017-01-07,143.74
2017-01-06,143.77
2017-01-05,143.68
2017-01-04,143.62
2017-01-03,143.76
2017-01-02,143.74
2017-01-01,143.69
2016-12-31,143.64
2016-12-30,143.61
2016-12-29,143.94
2016-12-28,143.77
2016-12-27,143.82
2016-12-26,143.93
2016-12-25,143.83
2016-12-24,143.81
2016-12-22,144.05
2016-12-21,143.88
2016-12-20,143.87
2016-12-19,144.01
2016-12-18,144.17
2016-12-17,144.05
2016-12-16,143.87
2016-12-15,144.01
