date,average_water_level
2018-02-01,100.12
2018-01-31,100.07375000000002
2018-01-30,100.07124999999999
2018-01-29,100.1375
2018-01-28,100.22625000000002
2018-01-27,100.34375
2018-01-26,100.43124999999999
2018-01-25,100.4
2018-01-24,100.37875
2018-01-23,100.4375
2018-01-22,100.4925
2018-01-21,100.54124999999999
2018-01-20,100.57
2018-01-19,100.51875
2018-01-18,100.405
2018-01-17,100.29000000000002
2018-01-16,100.3025
2018-01-15,100.39
2018-01-14,100.38875
2018-01-13,100.41499999999999
2018-01-12,100.50375
2018-01-11,100.6525
2018-01-10,100.7125
2018-01-09,100.7725
2018-01-08,100.86125
2018-01-07,100.96375
2018-01-06,101.01375
2018-01-05,100.98249999999999
2018-01-04,100.91375000000001
2018-01-03,100.69875
2018-01-02,100.5475
2018-01-01,100.56124999999999
2017-12-31,100.64125
2017-12-30,100.71875
2017-12-29,100.735
2017-12-28,100.7025
2017-12-27,100.745
2017-12-26,100.85499999999999
2017-12-25,100.93749999999999
2017-12-24,101.00625
2017-12-23,101.06375
2017-12-22,101.1
2017-12-21,101.18125
2017-12-20,101.16874999999999
2017-12-19,101.2475
2017-12-18,101.29625
2017-12-17,101.3575
2017-12-16,101.48124999999999
2017-12-15,101.53625
2017-12-14,101.59750000000001
2017-12-13,101.6
2017-12-12,101.58
2017-12-11,101.60625
2017-12-10,101.625
2017-12-09,101.69875
2017-12-08,101.74375
2017-12-07,101.80375000000001
2017-12-06,101.91125000000001
2017-12-05,102.01625
2017-12-04,102.10875
2017-12-03,102.18875
2017-12-02,102.22999999999999
2017-12-01,102.25
2017-11-30,102.28999999999999
2017-11-29,102.3375
2017-11-28,102.34375
2017-11-27,102.33749999999999
2017-11-26,102.32625
2017-11-25,102.38875
2017-11-24,102.3775
2017-11-23,102.27625
2017-11-22,102.20125000000002
2017-11-21,102.26
2017-11-20,102.26624999999999
2017-11-19,102.295
2017-11-18,102.42375000000001
2017-11-17,102.49875
2017-11-16,102.51500000000001
2017-11-15,102.48250000000002
2017-11-14,102.41499999999999
2017-11-13,102.39625000000001
2017-11-12,102.37625
2017-11-11,102.37625000000001
2017-11-10,102.41625
2017-11-09,102.45125
2017-11-08,102.52125
2017-11-07,102.58375000000001
2017-11-06,102.54625
2017-11-05,102.545
2017-11-04,102.61749999999999
2017-11-03,102.6875
2017-11-02,102.7175
2017-11-01,102.76875000000001
2017-10-31,102.905
2017-10-30,102.91
2017-10-29,102.8875
2017-10-28,102.90125
2017-10-27,102.94875
2017-10-26,102.97750000000002
2017-10-25,102.92875000000001
2017-10-24,102.94375
2017-10-23,102.97874999999999
2017-10-22,103.065
2017-10-21,103.17874999999998
2017-10-20,103.235
2017-10-19,103.275
2017-10-18,103.36875
2017-10-17,103.42
2017-10-16,103.39125
2017-10-15,103.355
2017-10-14,103.29875
2017-10-13,103.14125
2017-10-12,103.0425
2017-10-11,103.03375
2017-10-10,103.065
2017-10-09,103.08875
2017-10-08,103.08375
2017-10-07,103.0975
2017-10-06,103.14750000000001
2017-10-05,103.17125
2017-10-04,103.22125
2017-10-03,103.27375
2017-10-02,103.32249999999999
2017-10-01,103.29374999999999
2017-09-30,103.24000000000001
2017-09-29,103.1525
2017-09-28,103.10374999999999
2017-09-27,103.12875
2017-09-26,103.12375
2017-09-25,103.11625000000001
2017-09-24,103.105
2017-09-23,103.10375
2017-09-22,103.12
2017-09-21,103.13625
2017-09-20,103.16125
2017-09-19,103.23
2017-09-18,104.765
2017-09-17,106.69749999999999
2017-09-16,106.41875
2017-09-15,106.4325
2017-09-14,106.25750000000001
2017-09-13,106.185
2017-09-12,106.09625
2017-09-11,106.045
2017-09-10,106.01000000000002
2017-09-09,105.91749999999999
2017-09-08,102.81125
2017-09-07,101.71125
2017-09-06,101.67375
2017-09-05,101.67249999999999
2017-09-04,101.64375000000001
2017-09-03,101.6275
2017-09-02,101.61000000000001
2017-09-01,101.58250000000001
2017-08-31,101.6025
2017-08-30,101.66
2017-08-29,101.52125
2017-08-28,101.61125
2017-08-27,102.37125
2017-08-26,103.09750000000001
2017-08-25,103.38875000000002
2017-08-24,103.48
2017-08-23,103.51874999999998
2017-08-22,103.455
2017-08-21,103.35125000000001
2017-08-20,103.21624999999999
2017-08-19,103.05125000000001
2017-08-18,102.88
2017-08-17,102.74374999999999
2017-08-16,102.66875
2017-08-15,102.59750000000001
2017-08-14,102.56125
2017-08-13,102.54374999999999
2017-08-12,102.52125000000001
2017-08-11,102.46875
2017-08-10,102.45
2017-08-09,102.50375
2017-08-08,102.59125
2017-08-07,102.775
2017-08-06,102.79374999999999
2017-08-05,102.84625
2017-08-04,102.925
2017-08-03,102.96625
2017-08-02,103.0625
2017-08-01,102.99625
2017-07-31,102.86625
2017-07-30,102.78875000000001
2017-07-29,102.70125
2017-07-28,102.55499999999999
2017-07-27,102.355
2017-07-26,102.23625000000001
2017-07-25,102.12625000000001
2017-07-24,102.07875
2017-07-23,102.05625
2017-07-22,102.03875
2017-07-21,101.9875
2017-07-20,101.88624999999999
2017-07-19,101.85374999999999
2017-07-18,101.82249999999999
2017-07-17,101.81124999999999
2017-07-16,101.77250000000001
2017-07-15,101.77375
