date,average_water_level
2018-02-01,189.68
2018-01-31,189.69
2018-01-30,189.75
2018-01-29,189.74
2018-01-28,189.71
2018-01-27,189.72
2018-01-26,189.79
2018-01-25,189.8
2018-01-24,189.79
2018-01-23,189.75
2018-01-22,189.7
2018-01-21,189.71
2018-01-20,189.74
2018-01-19,189.77
2018-01-18,189.82
2018-01-17,189.86
2018-01-16,189.85
2018-01-15,189.81
2018-01-14,189.84
2018-01-13,189.84
2018-01-12,189.78
2018-01-11,189.73
2018-01-10,189.78
2018-01-09,189.82
2018-01-08,189.8
2018-01-07,189.84
2018-01-06,189.89
2018-01-05,189.9
2018-01-04,189.9
2018-01-03,189.91
2018-01-02,189.94
2018-01-01,189.97
2017-12-31,189.9
2017-12-30,189.88
2017-12-29,189.91
2017-12-28,189.94
2017-12-27,189.94
2017-12-26,189.94
2017-12-25,189.99
2017-12-24,189.98
2017-12-23,189.97
2017-12-22,189.92
2017-12-21,189.92
2017-12-20,189.93
2017-12-19,189.99
2017-12-18,190.02
2017-12-17,190.0
2017-12-16,190.06
2017-12-15,190.08
2017-12-14,190.02
2017-12-13,190.04
2017-12-12,190.06
2017-12-11,190.06
2017-12-10,190.08
2017-12-09,190.04
2017-12-08,190.02
2017-12-07,190.03
2017-12-06,190.06
2017-12-05,190.03
2017-12-04,190.04
2017-12-03,190.08
2017-12-02,190.08
2017-12-01,190.08
2017-11-30,190.07
2017-11-29,190.06
2017-11-28,190.05
2017-11-27,190.06
2017-11-26,190.08
2017-11-25,190.03
2017-11-24,190.03
2017-11-23,190.06
2017-11-22,190.08
2017-11-21,190.03
2017-11-20,190.08
2017-11-19,190.11
2017-11-18,190.04
2017-11-17,190.05
2017-11-16,190.08
2017-11-15,190.08
2017-11-14,190.1
2017-11-13,190.13
2017-11-12,190.13
2017-11-11,190.12
2017-11-10,190.14
2017-11-09,190.15
2017-11-08,190.15
2017-11-07,190.14
2017-11-06,190.13
2017-11-05,190.13
2017-11-04,190.13
2017-11-03,190.14
2017-11-02,190.11
2017-11-01,190.08
2017-10-31,190.2
2017-10-30,190.21
2017-10-29,190.21
2017-10-28,190.21
2017-10-27,190.15
2017-10-26,190.12
2017-10-25,190.16
2017-10-24,190.15
2017-10-23,190.12
2017-10-22,190.13
2017-10-21,190.14
2017-10-20,190.14
2017-10-19,190.13
2017-10-18,190.12
2017-10-17,190.12
2017-10-16,190.11
2017-10-15,190.07
2017-10-14,190.04
2017-10-13,190.02
2017-10-12,189.99
2017-10-11,189.98
2017-10-10,189.94
2017-10-09,189.88
2017-10-08,189.84
2017-10-07,189.82
2017-10-06,189.83
2017-10-05,189.83
2017-10-04,189.83
2017-10-03,189.8
2017-10-02,189.77
2017-10-01,189.76
2017-09-30,189.77
2017-09-29,189.76
2017-09-28,189.74
2017-09-27,189.73
2017-09-26,189.72
2017-09-25,189.71
2017-09-24,189.71
2017-09-23,189.71
2017-09-22,189.71
2017-09-21,189.7
2017-09-20,189.69
2017-09-19,189.68
2017-09-18,189.76
2017-09-17,189.8
2017-09-16,189.79
2017-09-15,189.77
2017-09-14,189.76
2017-09-13,189.74
2017-09-12,189.74
2017-09-11,189.77
2017-09-10,189.77
2017-09-09,189.77
2017-09-08,189.77
2017-09-07,189.76
2017-09-06,189.74
2017-09-05,189.73
2017-09-04,189.71
2017-09-03,189.68
2017-09-02,189.6
2017-09-01,189.5
2017-08-31,189.43
2017-08-30,189.39
2017-08-29,189.5
2017-08-28,189.7
2017-08-27,190.02
2017-08-26,190.33
2017-08-25,190.38
2017-08-24,190.36
2017-08-23,190.35
2017-08-22,190.36
2017-08-21,190.36
2017-08-20,190.33
2017-08-19,190.31
2017-08-18,190.29
2017-08-17,190.28
