datetime,average_water_level
2018-01-31,351.68
2018-01-30,351.75
2018-01-29,351.85
2018-01-28,351.75
2018-01-27,351.71
2018-01-26,351.63
2018-01-25,351.7
2018-01-24,351.78
2018-01-23,351.69
2018-01-22,351.67
2018-01-21,351.54
2018-01-20,351.55
2018-01-19,351.68
2018-01-18,351.76
2018-01-17,351.84
2018-01-16,351.86
2018-01-15,351.69
2018-01-14,351.76
2018-01-13,351.79
2018-01-12,351.69
2018-01-11,351.56
2018-01-10,351.49
2018-01-09,351.64
2018-01-08,351.72
2018-01-07,351.63
2018-01-06,351.73
2018-01-05,351.76
2018-01-04,351.73
2018-01-03,351.84
2018-01-02,351.71
2018-01-01,351.81
2017-12-31,351.67
2017-12-30,351.7
2017-12-29,351.74
2017-12-28,351.74
2017-12-27,351.76
2017-12-26,351.67
2017-12-25,351.7
2017-12-24,351.73
2017-12-23,351.73
2017-12-22,351.56
2017-12-21,351.51
2017-12-20,351.65
2017-12-19,351.63
2017-12-18,351.61
2017-12-17,351.55
2017-12-16,351.55
2017-12-15,351.74
2017-12-14,351.59
2017-12-13,351.69
2017-12-12,351.86
2017-12-11,351.84
2017-12-10,351.9
2017-12-09,351.86
2017-12-07,351.76
2017-12-06,351.76
2017-12-05,351.72
2017-12-04,351.62
2017-12-03,351.66
2017-12-02,351.72
2017-12-01,351.74
2017-11-30,351.78
2017-11-29,351.8
2017-11-28,351.68
2017-11-27,351.7
2017-11-26,351.81
2017-11-25,351.7
2017-11-24,351.67
2017-11-23,351.76
2017-11-22,351.87
2017-11-21,351.7
2017-11-20,351.68
2017-11-19,351.79
2017-11-18,351.7
2017-11-17,351.68
2017-11-16,351.72
2017-11-15,351.73
2017-11-14,351.74
2017-11-13,351.82
2017-11-12,351.78
2017-11-11,351.7
2017-11-10,351.72
2017-11-09,351.76
2017-11-08,351.76
2017-11-07,351.74
2017-11-06,351.72
2017-11-05,351.69
2017-11-04,351.71
2017-11-03,351.73
2017-11-02,351.7
2017-11-01,351.64
2017-10-31,351.68
2017-10-30,351.65
2017-10-29,351.69
2017-10-28,351.76
2017-10-27,351.72
2017-10-26,351.67
2017-10-25,351.86
2017-10-24,351.92
2017-10-23,351.82
2017-10-22,351.82
2017-10-21,351.66
2017-10-20,351.68
2017-10-19,351.72
2017-10-18,351.9
2017-10-17,352.02
2017-10-16,352.09
2017-10-15,352.04
2017-10-14,351.91
2017-10-13,351.91
2017-10-12,351.91
2017-10-11,351.95
2017-10-10,351.97
2017-10-09,351.78
2017-10-08,351.75
2017-10-07,351.81
2017-10-06,351.85
2017-10-05,351.92
2017-10-04,351.95
2017-10-03,351.86
2017-10-02,351.78
2017-10-01,351.83
2017-09-30,351.92
2017-09-29,351.91
2017-09-28,351.87
2017-09-27,351.81
2017-09-26,351.75
2017-09-25,351.71
2017-09-24,351.72
2017-09-23,351.74
2017-09-22,351.79
2017-09-21,351.83
2017-09-20,351.84
2017-09-19,351.84
2017-09-18,351.88
2017-09-17,351.89
2017-09-16,351.87
2017-09-15,351.85
2017-09-14,351.82
2017-09-13,351.86
2017-09-12,351.95
2017-09-11,352.01
2017-09-10,352.01
2017-09-09,352.0
2017-09-08,351.98
2017-09-07,351.88
2017-09-06,351.85
2017-09-05,351.82
2017-09-04,351.81
2017-09-03,351.84
2017-09-02,351.82
2017-09-01,351.81
2017-08-31,351.81
2017-08-30,351.81
2017-08-29,351.81
2017-08-28,351.81
2017-08-27,351.81
2017-08-26,351.79
2017-08-25,351.76
2017-08-24,351.77
2017-08-23,351.83
2017-08-22,351.85
2017-08-21,351.84
2017-08-20,351.81
2017-08-19,351.82
2017-08-18,351.83
2017-08-17,351.82
2017-08-16,351.78
2017-08-15,351.75
2017-08-14,351.77
2017-08-13,351.83
2017-08-12,351.87
2017-08-11,351.9
2017-08-10,351.9
2017-08-09,351.89
2017-08-08,351.89
2017-08-07,351.84
2017-08-06,351.83
2017-08-05,351.87
2017-08-04,351.92
2017-08-03,351.94
2017-08-02,351.93
2017-08-01,351.92
2017-07-31,351.89
2017-07-30,351.9
2017-07-29,351.89
2017-07-28,351.87
2017-07-27,351.89
2017-07-26,351.89
2017-07-25,351.89
2017-07-24,351.88
2017-07-23,351.89
2017-07-22,351.9
2017-07-21,351.92
2017-07-20,351.95
2017-07-19,351.97
2017-07-18,351.94
