datetime,average_water_level
2018-01-31,289.37
2018-01-30,289.545
2018-01-29,289.71000000000004
2018-01-28,289.6075
2018-01-27,289.5625
2018-01-26,289.39750000000004
2018-01-25,289.5
2018-01-24,289.56
2018-01-23,289.46500000000003
2018-01-22,289.29999999999995
2018-01-21,289.26750000000004
2018-01-20,289.335
2018-01-19,289.41249999999997
2018-01-18,289.5875
2018-01-17,289.7075
2018-01-16,289.76
2018-01-15,289.5925
2018-01-14,289.585
2018-01-13,289.61
2018-01-12,289.46999999999997
2018-01-11,289.3025
2018-01-10,289.19
2018-01-09,289.37
2018-01-08,289.4625
2018-01-07,289.33500000000004
2018-01-06,289.495
2018-01-05,289.525
2018-01-04,289.5425
2018-01-03,289.6075
2018-01-02,289.655
2018-01-01,289.6775
2017-12-31,289.525
2017-12-30,289.41499999999996
2017-12-29,289.3875
2017-12-28,289.45000000000005
2017-12-27,289.5025
2017-12-26,289.38250000000005
2017-12-25,289.3275
2017-12-24,289.3425
2017-12-23,289.245
2017-12-22,289.22249999999997
2017-12-21,289.10999999999996
2017-12-20,289.21250000000003
2017-12-19,289.265
2017-12-18,289.2725
2017-12-17,289.21750000000003
2017-12-16,289.2275
2017-12-15,289.395
2017-12-14,289.3575
2017-12-13,289.325
2017-12-12,289.48
2017-12-11,289.4625
2017-12-10,289.46250000000003
2017-12-09,289.395
2017-12-08,289.3775
2017-12-07,289.4875
2017-12-06,289.4425
2017-12-05,289.27
2017-12-04,288.9225
2017-12-03,289.0075
2017-12-02,289.055
2017-12-01,289.09000000000003
2017-11-30,289.14750000000004
2017-11-29,289.11749999999995
2017-11-28,288.99
2017-11-27,289.005
2017-11-26,289.11
2017-11-25,289.03999999999996
2017-11-24,288.95
2017-11-23,289.09749999999997
2017-11-22,289.15250000000003
2017-11-21,289.005
2017-11-20,288.9875
2017-11-19,289.1
2017-11-18,288.9825
2017-11-17,288.89750000000004
2017-11-16,289.02500000000003
2017-11-15,289.025
2017-11-14,289.01
2017-11-13,289.125
2017-11-12,289.0975
2017-11-11,288.99
2017-11-10,289.0575
2017-11-09,289.0875
2017-11-08,289.1025
2017-11-07,289.03
2017-11-06,288.94000000000005
2017-11-05,288.89
2017-11-04,288.92
2017-11-03,288.95750000000004
2017-11-02,288.83750000000003
2017-11-01,288.8075
2017-10-31,289.005
2017-10-30,288.98249999999996
2017-10-29,288.975
2017-10-28,289.0575
2017-10-27,289.0475
2017-10-26,288.86
2017-10-25,289.135
2017-10-24,289.21250000000003
2017-10-23,289.03999999999996
2017-10-22,288.9975
2017-10-21,288.805
2017-10-20,288.9175
2017-10-19,289.0225
2017-10-18,289.03249999999997
2017-10-17,289.1025
2017-10-16,289.1875
2017-10-15,289.14250000000004
2017-10-14,288.8925
2017-10-13,288.9
2017-10-12,288.9275
2017-10-11,289.0075
2017-10-10,289.0075
2017-10-09,288.70500000000004
2017-10-08,288.64
2017-10-07,288.7025
2017-10-06,288.83
2017-10-05,288.985
2017-10-04,288.995
2017-10-03,288.86
2017-10-02,288.75750000000005
2017-10-01,288.86749999999995
2017-09-30,289.0
2017-09-29,288.9925
2017-09-28,288.9575
2017-09-27,288.90250000000003
2017-09-26,288.8125
2017-09-25,288.70000000000005
2017-09-24,288.70000000000005
2017-09-23,288.6925
2017-09-22,288.68500000000006
2017-09-21,288.68500000000006
2017-09-20,288.67
2017-09-19,288.72749999999996
2017-09-18,288.8475
2017-09-17,288.83
2017-09-16,288.72249999999997
2017-09-15,288.71999999999997
2017-09-14,288.76
2017-09-13,288.8175
2017-09-12,288.9
2017-09-11,288.9375
2017-09-10,288.9275
2017-09-09,288.89750000000004
2017-09-08,288.8675
2017-09-07,288.90250000000003
2017-09-06,288.915
2017-09-05,288.875
2017-09-04,288.7975
2017-09-03,288.8025
2017-09-02,288.79249999999996
2017-09-01,288.79499999999996
2017-08-31,288.79999999999995
2017-08-30,288.79999999999995
2017-08-29,288.79999999999995
2017-08-28,288.79749999999996
2017-08-27,288.79749999999996
2017-08-26,288.79499999999996
2017-08-25,288.7825
2017-08-24,288.805
2017-08-23,288.8125
2017-08-22,288.7975
2017-08-21,288.7825
2017-08-20,288.77750000000003
2017-08-19,288.7925
2017-08-18,288.7975
2017-08-17,288.765
2017-08-16,288.7
2017-08-15,288.71000000000004
2017-08-14,288.73
2017-08-13,288.81
2017-08-12,288.86249999999995
2017-08-11,288.8775
2017-08-10,288.88250000000005
2017-08-09,288.89500000000004
2017-08-08,288.8925
2017-08-07,288.8
2017-08-06,288.6925
2017-08-05,288.7575
2017-08-04,288.8675
2017-08-03,288.8725
2017-08-02,288.86499999999995
2017-08-01,288.85249999999996
2017-07-31,288.85249999999996
2017-07-30,288.8375
2017-07-29,288.7825
2017-07-28,288.7825
2017-07-27,288.77250000000004
2017-07-26,288.755
2017-07-25,288.755
2017-07-24,288.75750000000005
2017-07-23,288.75750000000005
2017-07-22,288.765
2017-07-21,288.79499999999996
2017-07-20,288.8125
2017-07-19,288.8075
2017-07-18,288.77750000000003
2017-07-17,288.8025
2017-07-16,288.8225
2017-07-15,288.8275
2017-07-14,288.81
2017-07-13,288.77
2017-07-12,288.725
2017-07-11,288.7275
2017-07-10,288.775
2017-07-09,288.8075
2017-07-08,288.815
2017-07-07,288.81
2017-07-06,288.7875
2017-07-05,288.73
2017-07-04,288.6875
2017-07-03,288.7075
2017-07-02,288.74249999999995
2017-07-01,288.735
2017-06-30,288.59749999999997
2017-06-29,288.515
2017-06-28,288.5875
2017-06-27,288.72999999999996
2017-06-26,288.7925
2017-06-25,288.8
2017-06-24,288.7475
2017-06-23,288.535
2017-06-22,288.4925
2017-06-21,288.61
2017-06-20,288.65999999999997
2017-06-19,291.99333333333334
2017-06-18,291.8566666666667
2017-06-17,291.74
2017-06-16,291.78999999999996
2017-06-15,291.7933333333333
2017-06-14,291.76666666666665
