date,average_water_level
2018-01-31,148.39
2018-01-30,148.4925
2018-01-29,148.4975
2018-01-28,148.445
2018-01-27,148.425
2018-01-26,148.45
2018-01-25,148.5
2018-01-24,148.4925
2018-01-23,148.44
2018-01-22,148.365
2018-01-21,148.35750000000002
2018-01-20,148.39499999999998
2018-01-19,148.445
2018-01-18,148.50750000000002
2018-01-17,148.555
2018-01-16,148.54749999999999
2018-01-15,148.465
2018-01-14,148.51250000000002
2018-01-13,148.525
2018-01-12,148.435
2018-01-11,148.35
2018-01-10,148.40249999999997
2018-01-09,148.47
2018-01-08,148.4475
2018-01-07,148.505
2018-01-06,148.59
2018-01-05,148.5975
2018-01-04,148.60500000000002
2018-01-03,148.61
2018-01-02,148.65
2018-01-01,148.6825
2017-12-31,148.5875
2017-12-30,148.5375
2017-12-29,148.585
2017-12-28,148.62
2017-12-27,148.6375
2017-12-26,148.60250000000002
2017-12-25,148.6325
2017-12-24,148.6
2017-12-23,148.5825
2017-12-22,148.5075
2017-12-21,148.5025
2017-12-20,148.515
2017-12-19,148.6525
2017-12-18,148.735
2017-12-17,148.71
2017-12-16,148.82
2017-12-15,148.8525
2017-12-14,148.78
2017-12-13,148.79
2017-12-12,148.85250000000002
2017-12-11,148.83749999999998
2017-12-10,148.885
2017-12-09,148.84750000000003
2017-12-08,148.8425
2017-12-07,148.875
2017-12-06,148.885
2017-12-05,148.85
2017-12-04,148.79250000000002
2017-12-03,148.835
2017-12-02,148.845
2017-12-01,148.8525
2017-11-30,148.85500000000002
2017-11-29,148.83
2017-11-28,148.7975
2017-11-27,148.81
2017-11-26,148.82999999999998
2017-11-25,148.7575
2017-11-24,148.74
2017-11-23,148.7975
2017-11-22,148.8175
2017-11-21,148.73250000000002
2017-11-20,148.785
2017-11-19,148.8275
2017-11-18,148.72
2017-11-17,148.7325
2017-11-16,148.7825
2017-11-15,148.76500000000001
2017-10-14,148.735
2017-10-13,148.735
2017-10-12,148.73250000000002
2017-10-11,148.74
2017-10-09,148.615
2017-10-08,148.5775
2017-10-07,148.5825
2017-10-06,148.625
2017-10-05,148.665
2017-10-04,148.6875
2017-10-03,148.6675
2017-10-02,148.62
2017-10-01,148.60750000000002
2017-09-30,148.6325
2017-09-29,148.62
2017-09-28,148.59
2017-09-27,148.56750000000002
2017-09-26,148.55
2017-09-25,148.54000000000002
2017-09-24,148.535
2017-09-23,148.5275
2017-09-22,148.535
2017-09-21,148.5275
2017-09-20,148.5075
2017-09-19,148.5025
2017-09-18,148.515
2017-09-17,148.51999999999998
2017-09-16,148.4975
2017-09-15,148.48000000000002
2017-09-14,148.46
2017-09-13,148.435
2017-09-12,148.4475
2017-09-11,148.4925
2017-09-10,148.515
2017-09-09,148.515
2017-09-08,148.51
2017-09-07,148.5075
2017-09-06,148.48250000000002
2017-09-05,148.435
2017-09-04,148.4425
2017-09-03,148.455
2017-09-02,148.4375
2017-09-01,148.4075
2017-08-31,148.365
2017-08-30,148.3625
2017-08-29,148.41
2017-08-28,148.42
2017-08-27,148.4375
2017-08-26,148.4375
2017-08-25,148.4025
2017-08-24,148.375
2017-08-23,148.38
2017-08-22,148.39
2017-08-21,148.39249999999998
2017-08-20,148.3475
2017-08-19,148.3275
2017-08-18,148.3175
2017-08-17,148.32
2017-08-16,148.2975
2017-08-15,148.26
2017-08-14,148.2425
2017-08-13,148.265
2017-08-12,148.2875
2017-08-11,148.2925
2017-08-10,148.3025
2017-08-09,148.29
2017-08-08,148.2825
2017-08-07,148.2675
2017-08-06,148.2475
2017-08-05,148.2625
2017-08-04,148.265
2017-08-03,148.2525
2017-08-02,148.255
2017-08-01,148.2975
2017-07-31,148.2825
2017-07-30,148.2625
2017-07-29,148.22
2017-07-28,148.2075
2017-07-27,148.22
2017-07-26,148.2275
2017-07-25,148.215
2017-07-24,148.17000000000002
2017-07-23,148.1775
2017-07-22,148.17749999999998
2017-07-10,144.50666666666666
2017-07-09,144.52333333333334
2017-07-08,144.54
2017-07-07,144.53666666666666
2017-07-06,144.53
2017-07-05,144.5066666666667
2017-07-04,144.49
2017-07-03,144.49333333333334
2017-07-02,144.5
2017-07-01,144.49
2017-06-30,147.9975
2017-06-29,147.9725
2017-06-28,147.95499999999998
2017-06-27,147.9475
2017-06-26,144.39666666666668
2017-06-25,144.42
2017-06-24,144.4
2017-06-23,144.33
2017-06-22,144.3033333333333
2017-06-21,144.37
2017-06-20,144.40666666666667
2017-06-19,144.39
2017-06-18,144.34666666666666
2017-06-17,144.32333333333332
2017-06-16,144.34666666666666
2017-06-15,144.36
2017-06-14,144.35666666666668
2017-06-13,144.35000000000002
2017-06-12,144.35
2017-06-11,144.35333333333332
2017-06-10,144.33333333333334
2017-06-09,144.33333333333334
2017-06-08,144.34333333333333
2017-06-07,147.92749999999998
2017-06-06,147.88500000000002
2017-06-05,147.8575
2017-06-04,147.88000000000002
2017-06-03,147.91
2017-06-02,147.9525
2017-06-01,147.9675
2017-05-31,147.985
2017-05-30,147.98250000000002
2017-05-29,147.96499999999997
2017-05-28,147.9925
2017-05-27,147.98999999999998
2017-05-26,147.9725
2017-05-25,147.9425
2017-05-24,147.9325
2017-05-23,147.95499999999998
2017-05-22,148.02499999999998
2017-05-21,148.0975
2017-05-20,148.095
2017-05-19,148.115
2017-05-18,148.11
2017-05-17,148.0875
2017-05-16,148.1025
2017-05-15,148.11749999999998
2017-05-14,148.11249999999998
2017-05-13,148.0925
2017-05-12,148.055
2017-05-11,148.1275
2017-05-10,148.16
2017-05-09,148.1625
2017-05-08,148.1575
2017-05-07,148.135
2017-05-06,148.125
2017-05-05,148.12
2017-05-04,148.105
2017-05-03,148.07750000000001
2017-05-02,148.1275
2017-05-01,148.1175
2017-04-30,148.07750000000001
2017-04-29,148.04749999999999
2017-04-28,148.04749999999999
2017-04-27,148.0725
2017-04-26,148.01749999999998
2017-04-25,148.0275
2017-04-24,148.0925
2017-04-23,148.14249999999998
2017-04-22,148.1175
2017-04-21,148.0975
2017-04-20,148.1325
2017-04-19,148.14
2017-04-18,148.1325
2017-04-17,148.13
2017-04-16,148.135
2017-04-15,148.1325
2017-04-14,148.14499999999998
2017-04-13,148.165
2017-04-12,148.1725
2017-04-11,148.17249999999999
2017-04-10,148.1925
2017-04-09,148.1725
2017-04-08,148.1975
2017-04-07,148.2425
2017-04-06,148.1925
2017-04-05,148.08
2017-04-04,148.0025
2017-04-03,147.9925
2017-04-02,148.04749999999999
2017-04-01,148.1225
2017-03-31,148.09
2017-03-30,148.07750000000001
2017-03-29,148.07500000000002
2017-03-28,148.115
2017-03-27,148.11499999999998
2017-03-26,148.1225
2017-03-25,148.1275
2017-03-24,148.185
2017-03-23,148.2375
2017-03-22,148.245
2017-03-21,148.23
2017-03-20,148.2425
2017-03-19,148.26749999999998
2017-03-18,148.29
2017-03-17,148.2625
2017-03-16,148.29250000000002
2017-03-15,148.325
2017-03-14,148.2975
2017-03-13,148.26
2017-03-12,148.29000000000002
2017-03-11,148.28500000000003
2017-03-10,148.2775
2017-03-09,148.285
2017-03-08,148.3275
2017-03-07,148.29500000000002
2017-03-06,148.255
2017-03-05,148.3225
2017-03-04,148.395
2017-03-03,148.425
2017-03-02,149.1725
2017-03-01,150.56
2017-02-28,150.45250000000001
2017-02-27,148.815
2017-02-26,149.8975
2017-02-25,149.1675
2017-02-24,148.33
2017-02-23,148.22
2017-02-22,148.2675
2017-02-21,148.285
2017-02-20,148.32000000000002
2017-02-19,148.38
2017-02-18,148.3425
2017-02-17,148.405
2017-02-16,148.4375
2017-02-15,148.425
2017-02-14,148.39
2017-02-13,148.525
2017-02-12,148.5075
2017-02-11,148.475
2017-02-10,148.51999999999998
2017-02-09,148.56
2017-02-08,148.42749999999998
2017-02-07,148.4
2017-02-06,148.43
2017-02-05,145.05666666666667
2017-02-04,148.56
2017-02-03,148.57
2017-02-02,145.06
2017-02-01,148.4425
2017-01-31,148.4525
2017-01-30,148.4775
2017-01-29,148.5075
2017-01-28,148.525
2017-01-27,148.53
2017-01-26,148.495
2017-01-25,148.3825
2017-01-24,148.335
2017-01-23,148.385
2017-01-22,148.3075
2017-01-21,148.26749999999998
2017-01-20,148.3425
2017-01-19,148.335
