date,average_water_level
2018-01-31,98.61
2018-01-30,98.65
2018-01-29,98.75
2018-01-28,98.93
2018-01-27,98.88
2018-01-26,98.86
2018-01-25,99.01
2018-01-24,99.11
2018-01-23,99.19
2018-01-22,99.34
2018-01-21,99.52
2018-01-20,99.63
2018-01-19,99.59
2018-01-18,99.32
2018-01-17,98.74
2018-01-16,98.57
2018-01-15,98.53
2018-01-14,98.54
2018-01-13,98.51
2018-01-12,98.43
2018-01-11,98.39
2018-01-10,98.46
2018-01-09,98.52
2018-01-08,98.53
2018-01-07,98.59
2018-01-06,98.65
2018-01-05,98.73
2018-01-04,98.81
2018-01-03,98.71
2018-01-02,98.64
2018-01-01,98.56
2017-12-31,98.45
2017-12-30,98.43
2017-12-29,98.48
2017-12-28,98.49
2017-12-27,98.51
2017-12-26,98.53
2017-12-25,98.57
2017-12-24,98.54
2017-12-23,98.56
2017-12-22,98.54
2017-12-21,98.57
2017-12-20,98.6
2017-12-19,98.65
2017-12-18,98.7
2017-12-17,98.69
2017-12-16,98.79
2017-12-15,98.84
2017-12-14,98.74
2017-12-13,98.77
2017-12-12,98.8
2017-12-11,98.79
2017-12-10,98.76
2017-12-09,98.67
2017-12-08,98.65
2017-12-07,98.64
2017-12-06,98.7
2017-12-05,98.71
2017-12-04,98.76
2017-12-03,98.85
2017-12-02,98.73
2017-12-01,98.75
2017-11-30,98.77
2017-11-29,98.78
2017-11-28,98.77
2017-11-27,98.79
2017-11-26,98.78
2017-11-25,98.73
2017-11-24,98.72
2017-11-23,98.74
2017-11-22,98.72
2017-11-21,98.66
2017-11-20,98.69
2017-11-19,98.73
2017-11-18,98.67
2017-11-17,98.69
2017-11-16,98.7
2017-11-15,98.69
2017-11-14,98.7
2017-11-13,98.71
2017-11-12,98.7
2017-11-11,98.69
2017-11-10,98.73
2017-11-09,98.75
2017-11-08,98.81
2017-11-07,98.9
2017-11-06,98.85
2017-11-05,98.72
2017-11-04,98.73
2017-11-03,98.78
2017-11-02,98.85
2017-11-01,99.0
2017-10-31,99.26
2017-10-30,99.21
2017-10-29,98.96
2017-10-28,98.9
2017-10-27,98.87
2017-10-26,99.01
2017-10-25,99.0
2017-10-24,98.91
2017-10-23,98.79
2017-10-22,98.65
2017-10-21,98.45
2017-10-20,98.45
2017-10-19,98.45
2017-10-18,98.46
2017-10-17,98.41
2017-10-16,98.42
2017-10-15,98.38
2017-10-14,98.34
2017-10-13,98.34
2017-10-12,98.32
2017-10-11,98.34
2017-10-10,98.31
2017-10-09,98.29
2017-10-08,98.23
2017-10-07,98.24
2017-10-06,98.29
2017-10-05,98.32
2017-10-04,98.28
2017-10-03,98.3
2017-10-02,98.32
2017-10-01,98.31
2017-09-30,98.3
2017-09-29,98.26
2017-09-28,98.26
2017-09-27,98.26
2017-09-26,98.16
2017-09-25,98.14
2017-09-24,98.13
2017-09-23,98.13
2017-09-22,98.12
2017-09-21,98.18
2017-09-20,98.23
2017-09-19,98.26
2017-09-18,98.34
2017-09-17,98.27
2017-09-16,98.26
2017-09-15,98.27
2017-09-14,98.31
2017-09-13,98.35
2017-09-12,98.46
2017-09-11,98.64
2017-09-10,98.7
2017-09-09,98.7
2017-09-08,98.77
2017-09-07,98.89
2017-09-06,98.97
2017-09-05,99.17
2017-09-04,99.49
2017-09-03,100.09
2017-09-02,100.81
2017-09-01,101.44
2017-08-31,100.34
2017-08-30,99.56
2017-08-29,99.12
2017-08-28,98.83
2017-08-27,98.49
2017-08-26,98.9
2017-08-25,99.06
2017-08-24,98.99
2017-08-23,98.97
2017-08-22,98.97
2017-08-21,98.97
2017-08-20,98.97
2017-08-19,98.88
2017-08-18,98.79
2017-08-17,98.7
2017-08-16,98.66
2017-08-15,98.56
2017-08-14,98.51
2017-08-13,98.5
2017-08-12,98.5
2017-08-11,98.47
2017-08-10,98.45
2017-08-09,98.43
2017-08-08,98.46
2017-08-07,98.52
2017-08-06,98.53
2017-08-05,98.51
2017-08-04,98.49
2017-08-03,98.47
2017-08-02,98.53
2017-08-01,98.55
2017-07-31,98.46
2017-07-30,98.42
2017-07-29,98.37
2017-07-28,98.32
2017-07-27,98.28
2017-07-26,98.24
2017-07-25,98.21
2017-07-24,98.21
2017-07-23,98.21
2017-07-22,98.23
2017-07-21,98.2
2017-07-20,98.19
2017-07-19,98.17
2017-07-18,98.14
2017-07-17,98.18
2017-07-16,98.21
2017-07-15,98.33
2017-07-14,98.41
2017-07-13,98.42
2017-07-12,98.45
2017-07-11,98.46
2017-07-10,98.47
2017-07-09,98.52
2017-07-08,98.54
2017-07-07,98.47
2017-07-06,98.42
2017-07-05,98.42
2017-07-04,98.43
2017-07-03,98.44
2017-07-02,98.45
2017-07-01,98.31
2017-06-30,98.26
2017-06-29,98.26
2017-06-28,98.3
2017-06-27,98.37
2017-06-12,98.13
2017-06-11,98.11
2017-06-10,98.12
2017-06-09,98.16
2017-06-08,98.11
2017-06-07,98.12
2017-06-06,98.15
2017-06-05,98.15
2017-06-04,98.27
2017-06-03,98.36
2017-06-02,98.33
2017-06-01,98.33
2017-05-31,98.33
2017-05-30,98.3
2017-05-29,98.29
2017-05-28,98.38
2017-05-27,98.36
2017-05-26,98.31
2017-05-24,98.28
2017-05-22,98.43
2017-05-21,98.45
2017-05-20,98.43
2017-05-18,98.45
2017-05-17,98.46
2017-05-11,98.31
2017-05-10,98.36
2017-05-09,98.28
2017-05-08,98.34
2017-05-07,98.3
2017-05-06,98.18
2017-05-03,98.23
2017-05-02,98.3
2017-05-01,98.31
2017-04-30,98.28
2017-04-29,98.3
2017-04-28,98.34
2017-04-27,98.38
2017-04-26,98.49
2017-04-25,98.17
2017-04-24,98.24
2017-04-22,98.1
2017-04-21,98.11
2017-04-20,98.14
2017-04-19,98.16
2017-04-18,98.15
2017-04-17,98.18
2017-04-16,98.2
2017-04-15,98.25
2017-04-14,98.26
2017-04-13,98.29
2017-04-12,98.32
2017-04-11,98.32
2017-04-10,98.18
2017-04-09,98.05
2017-04-08,98.03
2017-04-07,98.03
2017-04-06,98.04
2017-04-05,97.96
2017-04-04,97.99
2017-04-03,97.98
2017-04-02,98.02
2017-04-01,98.1
2017-03-31,98.13
2017-03-30,98.26
2017-03-29,98.22
2017-03-28,98.24
2017-03-27,98.25
2017-03-26,98.16
2017-03-25,98.03
2017-03-24,98.0
2017-03-23,98.02
2017-03-22,97.92
2017-03-21,97.93
2017-03-20,97.92
2017-03-19,97.95
2017-03-18,97.93
2017-03-17,97.87
2017-03-16,97.91
2017-03-15,97.9
2017-03-14,97.84
2017-03-13,97.8
2017-03-12,97.8
2017-03-11,97.78
2017-03-10,97.8
2017-03-09,97.79
2017-03-08,97.8
2017-03-07,97.81
2017-03-06,97.84
2017-03-05,97.91
2017-03-04,97.96
2017-03-03,97.99
2017-03-02,97.97
2017-03-01,97.93
2017-02-28,97.86
2017-02-27,97.88
2017-02-26,97.9
2017-02-25,97.93
2017-02-24,97.92
2017-02-23,97.96
2017-02-22,97.93
2017-02-21,97.9
2017-02-20,97.98
2017-02-19,97.95
2017-02-18,97.94
2017-02-17,97.97
2017-02-16,98.03
2017-02-15,98.0
2017-02-14,98.03
2017-02-13,98.13
2017-02-12,98.14
2017-02-11,98.1
2017-02-10,98.14
2017-02-09,98.18
2017-02-08,98.13
2017-02-07,98.16
2017-02-06,98.24
2017-02-05,98.3
2017-02-04,98.36
2017-02-03,98.42
2017-02-02,98.47
2017-02-01,98.53
2017-01-31,98.52
2017-01-30,98.54
2017-01-29,98.59
2017-01-28,98.58
2017-01-27,98.53
2017-01-26,98.49
2017-01-25,98.44
2017-01-24,98.45
2017-01-23,98.51
2017-01-22,98.52
2017-01-21,98.5
2017-01-20,98.58
2017-01-19,98.58
2017-01-18,98.67
2017-01-17,98.83
2017-01-16,98.79
2017-01-15,98.88
2017-01-14,98.97
2017-01-13,98.93
2017-01-12,98.86
2017-01-11,98.79
2017-01-10,98.85
2017-01-09,98.95
2017-01-08,99.02
2017-01-07,98.85
2017-01-06,98.71
2017-01-05,98.64
2017-01-04,98.66
2017-01-03,98.65
2017-01-02,98.68
2017-01-01,98.76
2016-12-31,98.8
2016-12-30,98.82
2016-12-29,98.79
2016-12-28,98.77
2016-12-27,98.8
2016-12-26,98.75
2016-12-25,98.74
2016-12-24,98.77
2016-12-23,98.81
2016-12-22,98.82
2016-12-21,98.82
2016-12-20,98.86
2016-12-19,98.85
2016-12-18,98.79
2016-12-17,98.71
2016-12-16,98.78
2016-12-15,98.89
2016-12-14,98.93
2016-12-13,98.82
2016-12-12,98.78
2016-12-11,98.72
2016-12-10,98.79
2016-12-09,98.77
2016-12-08,98.66
2016-12-07,98.6
2016-12-06,98.57
2016-12-05,98.6
2016-12-04,98.7
2016-12-03,98.82
2016-12-02,98.88
2016-12-01,98.85
2016-11-30,98.74
2016-11-29,98.7
2016-11-28,98.69
2016-11-27,98.78
2016-11-26,98.8
2016-11-25,98.75
2016-11-24,98.69
2016-11-23,98.69
2016-11-22,98.67
2016-11-21,98.7
2016-11-20,98.76
2016-11-19,98.79
2016-11-18,98.72
2016-11-17,98.76
2016-11-16,98.83
2016-11-15,98.75
2016-11-14,98.74
2016-11-13,98.82
2016-11-12,98.85
2016-11-11,98.85
2016-11-10,98.84
2016-11-09,98.84
2016-11-08,98.85
2016-11-07,98.77
2016-11-06,98.92
2016-11-05,98.99
2016-11-04,98.94
2016-11-03,98.88
2016-11-02,98.89
2016-11-01,98.93
2016-10-31,99.01
2016-10-30,98.94
2016-10-29,99.01
2016-10-28,98.98
2016-10-27,98.87
2016-10-26,98.81
2016-10-25,98.77
2016-10-24,98.77
2016-10-23,98.72
2016-10-22,98.69
2016-10-21,98.7
2016-10-20,98.6
2016-10-19,98.6
2016-10-18,98.61
2016-10-17,98.65
2016-10-16,98.73
2016-10-15,98.76
2016-10-14,98.78
2016-10-13,98.74
2016-10-12,98.72
2016-10-11,98.74
2016-10-10,98.75
2016-10-09,98.76
2016-10-08,98.72
2016-10-07,98.65
2016-10-06,98.66
2016-10-05,98.65
2016-10-04,98.62
2016-10-03,98.61
2016-10-02,98.58
2016-10-01,98.55
2016-09-30,98.56
2016-09-29,98.55
2016-09-28,98.53
2016-09-27,98.56
2016-09-26,98.64
2016-09-25,98.66
2016-09-24,98.68
2016-09-23,98.61
2016-09-22,98.56
2016-09-21,98.52
2016-09-20,98.48
2016-09-19,98.46
2016-09-18,98.42
2016-09-17,98.38
2016-09-16,98.28
2016-09-15,98.28
2016-09-14,98.26
2016-09-13,98.29
2016-09-12,98.3
2016-09-11,98.25
2016-09-10,98.23
2016-09-09,98.25
2016-09-08,98.26
2016-09-07,98.25
2016-09-06,98.29
2016-09-05,98.29
2016-09-04,98.25
2016-09-03,98.22
2016-09-02,98.23
2016-09-01,98.24
2016-08-31,98.25
2016-08-30,98.21
2016-08-29,98.24
2016-08-28,98.25
2016-08-27,98.29
2016-08-26,98.37
2016-08-25,98.42
2016-08-24,98.47
2016-08-23,98.49
2016-08-22,98.49
2016-08-21,98.5
2016-08-20,98.56
2016-08-19,98.63
2016-08-18,98.66
2016-08-17,98.68
2016-08-16,98.74
2016-08-15,98.76
2016-08-14,98.85
2016-08-13,99.03
2016-08-12,99.1
2016-08-11,99.02
2016-08-10,98.93
2016-08-09,98.87
2016-08-08,98.83
2016-08-07,98.75
2016-08-06,98.76
2016-08-05,98.77
2016-08-04,98.62
2016-08-03,98.57
2016-08-02,98.54
2016-08-01,98.49
2016-07-31,98.45
2016-07-30,98.39
2016-07-29,98.3
2016-07-28,98.3
2016-07-27,98.37
2016-07-26,98.46
2016-07-25,98.6
2016-07-24,98.58
2016-07-23,98.45
2016-07-22,98.39
2016-07-21,98.36
2016-07-20,98.34
2016-07-19,98.25
2016-07-18,98.26
2016-07-17,98.17
2016-07-16,98.03
2016-07-15,97.9
2016-07-14,97.89
2016-07-13,97.92
2016-07-12,97.92
2016-07-11,97.84
2016-07-10,97.71
2016-07-09,97.66
2016-07-08,97.64
2016-07-07,97.58
2016-07-06,97.55
2016-07-05,97.49
2016-07-04,97.46
2016-07-03,97.42
2016-07-02,97.38
2016-07-01,97.33
2016-06-30,97.3
2016-06-29,97.32
2016-06-28,97.57
2016-06-27,97.7
2016-06-26,97.66
2016-06-25,97.71
2016-06-24,97.78
2016-06-23,97.93
2016-06-22,97.84
2016-06-21,97.65
2016-06-20,97.53
2016-06-19,97.47
2016-06-18,97.43
2016-06-17,97.38
2016-06-16,97.36
2016-06-15,97.32
2016-06-14,97.26
2016-06-13,97.26
2016-06-12,97.29
2016-06-11,97.29
2016-06-10,97.33
2016-06-09,97.26
2016-06-08,97.22
2016-06-07,97.18
2016-06-06,97.2
2016-06-05,97.21
2016-06-04,97.2
2016-06-03,97.21
2016-06-02,97.23
2016-06-01,97.28
2016-05-31,97.32
2016-05-30,97.32
2016-05-29,97.33
2016-05-28,97.33
2016-05-27,97.34
2016-05-26,97.48
2016-05-25,97.52
2016-05-24,97.46
2016-05-23,97.39
2016-05-22,97.37
2016-05-21,97.39
2016-05-20,97.35
2016-05-19,97.37
2016-05-18,97.37
2016-05-17,97.34
2016-05-16,97.29
2016-05-15,97.31
2016-05-14,97.35
2016-05-13,97.35
2016-05-12,97.32
2016-05-11,97.31
2016-05-10,97.23
