date,average_water_level
2018-02-01,269.64142857142855
2018-01-31,269.4485714285714
2018-01-30,269.2185714285714
2018-01-29,269.1742857142857
2018-01-28,269.2557142857143
2018-01-27,268.0416666666667
2018-01-26,268.0366666666667
2018-01-25,268.04
2018-01-24,268.0416666666667
2018-01-23,268.1116666666667
2018-01-22,268.1816666666667
2018-01-21,268.2233333333333
2018-01-20,268.17833333333334
2018-01-19,268.0933333333333
2018-01-18,267.96833333333336
2018-01-17,267.90999999999997
2018-01-16,267.00199999999995
2018-01-15,268.06333333333333
2018-01-14,268.0216666666667
2018-01-13,267.99
2018-01-12,268.0483333333333
2018-01-11,268.1166666666666
2018-01-10,268.075
2018-01-09,267.9816666666666
2018-01-08,267.9433333333333
2018-01-07,267.95666666666665
2018-01-06,267.9166666666667
2018-01-05,267.90833333333336
2018-01-04,267.8883333333334
2018-01-03,267.865
2018-01-02,267.81333333333333
2018-01-01,267.78833333333336
2017-12-31,269.26428571428573
2017-12-30,269.2542857142857
2017-12-29,269.2142857142857
2017-12-28,269.1685714285714
2017-12-27,269.11571428571426
2017-12-26,269.16285714285715
2017-12-25,269.15285714285716
2017-12-24,269.1142857142857
2017-12-23,269.15142857142854
2017-12-22,269.1985714285714
2017-12-21,269.22714285714284
2017-12-20,269.21285714285716
2017-12-19,269.19714285714286
2017-12-18,269.16857142857145
2017-12-17,269.1757142857143
2017-12-16,269.1828571428572
2017-12-15,269.13428571428574
2017-12-14,269.1671428571429
2017-12-13,269.17571428571426
2017-12-12,269.11
2017-12-11,269.0985714285714
2017-12-10,269.10571428571427
2017-12-09,269.23999999999995
2017-12-08,269.22999999999996
2017-12-07,269.09999999999997
2017-12-06,269.1357142857143
2017-12-05,269.16285714285715
2017-12-04,269.2614285714286
2017-12-03,269.7985714285714
2017-12-02,269.9414285714286
2017-12-01,270.00571428571425
2017-11-30,270.02428571428567
2017-11-29,270.03
2017-11-28,270.0871428571428
2017-11-27,270.0571428571428
2017-11-26,270.0185714285714
2017-11-25,270.08714285714285
2017-11-24,270.07428571428574
2017-11-23,270.0314285714286
2017-11-22,270.0057142857143
2017-11-21,270.0871428571428
2017-11-20,270.0485714285714
2017-11-19,270.02285714285716
2017-11-18,270.12142857142857
2017-11-17,270.08714285714285
2017-11-16,270.06
2017-11-15,270.0842857142857
2017-11-14,270.0685714285715
2017-11-13,270.06428571428575
2017-11-12,270.1228571428572
2017-11-11,270.17428571428576
2017-11-10,270.13142857142856
2017-11-09,270.02285714285716
2017-11-08,270.0714285714286
2017-11-07,270.0571428571429
2017-11-06,270.0757142857143
2017-11-05,270.07142857142856
2017-11-04,270.0757142857143
2017-11-03,270.0785714285714
2017-11-02,270.0442857142857
2017-11-01,270.04285714285714
2017-10-31,270.0042857142857
2017-10-30,270.00571428571436
2017-10-29,269.9757142857143
2017-10-28,269.93428571428575
2017-10-27,269.9428571428572
2017-10-26,269.9585714285714
2017-10-25,269.89
2017-10-24,269.88
2017-10-23,269.92571428571426
2017-10-22,269.9171428571429
2017-10-21,269.9614285714286
2017-10-20,269.94571428571425
2017-10-19,269.94
2017-10-18,269.9428571428572
2017-10-17,269.9242857142857
2017-10-16,269.92
2017-10-15,269.9642857142857
2017-10-14,269.9857142857143
2017-10-13,269.98857142857145
2017-10-12,269.98857142857145
2017-10-11,270.0128571428571
2017-10-10,270.05571428571426
2017-10-09,270.16
2017-10-08,270.15714285714284
2017-10-07,270.1014285714286
2017-10-06,270.06142857142856
2017-10-05,270.00999999999993
2017-10-04,270.00714285714287
2017-10-03,270.0157142857143
2017-10-02,270.0385714285714
2017-10-01,269.98571428571427
2017-09-30,269.9871428571429
2017-09-29,270.0485714285714
2017-09-28,270.1
2017-09-27,270.1828571428572
2017-09-26,270.2414285714286
2017-09-25,270.28285714285715
2017-09-24,270.30571428571426
2017-09-23,270.3042857142857
2017-09-22,270.27714285714285
2017-09-21,270.2414285714286
2017-09-20,270.3342857142857
2017-09-19,270.26714285714286
2017-09-18,270.1185714285714
2017-09-17,270.05571428571426
2017-09-16,270.10857142857145
2017-09-15,270.1057142857143
2017-09-14,270.08857142857147
2017-09-13,270.0185714285714
2017-09-12,269.9357142857143
2017-09-11,269.8728571428572
2017-09-10,269.84142857142854
2017-09-09,269.81571428571425
2017-09-08,269.81857142857143
2017-09-07,258.59166666666664
2017-09-06,258.5683333333333
2017-09-05,258.5333333333333
2017-09-04,258.5233333333333
2017-09-03,258.5183333333333
2017-09-02,258.465
2017-09-01,258.4266666666667
2017-08-31,258.425
2017-08-30,258.4533333333333
2017-08-29,258.46
2017-08-28,258.4483333333333
2017-08-27,258.4116666666667
2017-08-26,258.37166666666667
2017-08-25,258.38500000000005
2017-08-24,258.38166666666666
2017-08-23,258.33
2017-08-22,258.2283333333333
2017-08-21,258.18333333333334
2017-08-20,258.1933333333333
2017-08-19,258.16499999999996
2017-08-18,258.1733333333333
2017-08-17,258.1583333333333
2017-08-16,258.15
2017-08-15,269.2942857142857
2017-08-14,269.2
2017-08-13,269.1842857142857
2017-08-12,269.15714285714284
2017-08-11,269.12857142857143
2017-08-10,269.1171428571428
2017-08-09,269.15000000000003
2017-08-08,269.20142857142855
2017-08-07,269.2442857142857
2017-08-06,269.19571428571425
2017-08-05,269.13428571428574
2017-08-04,269.1228571428572
2017-08-03,269.1657142857143
2017-08-02,269.2314285714286
2017-08-01,269.25857142857143
2017-07-31,269.30857142857144
2017-07-30,269.33
2017-07-29,269.3185714285715
2017-07-28,269.3157142857143
2017-07-27,269.30428571428575
2017-07-26,269.2685714285714
2017-07-25,269.2157142857142
2017-07-24,269.1042857142857
2017-07-23,265.49999999999994
2017-07-22,265.444
2017-07-21,265.402
2017-07-20,265.36799999999994
2017-07-19,265.35200000000003
2017-07-18,265.3380000000001
2017-07-17,265.33
2017-07-16,265.304
2017-07-15,265.286
2017-07-14,265.288
2017-07-13,266.92333333333335
2017-07-12,266.97166666666664
2017-07-11,266.9916666666666
2017-07-10,267.01500000000004
2017-07-09,267.07
2017-07-08,267.12666666666667
2017-07-07,267.06666666666666
2017-07-06,267.35833333333335
2017-07-05,267.84833333333336
2017-07-04,267.865
2017-07-03,267.8233333333333
2017-07-02,267.795
2017-07-01,267.7833333333333
2017-06-30,267.7616666666667
2017-06-29,267.6983333333333
2017-06-28,267.61499999999995
2017-06-27,267.5783333333333
2017-06-26,267.585
2017-06-25,267.6033333333333
2017-06-24,267.6516666666667
2017-06-23,269.6542857142857
2017-06-22,269.6642857142857
2017-06-21,269.56
2017-06-20,269.45428571428573
2017-06-19,269.3885714285714
2017-06-18,269.4642857142857
2017-06-17,269.3771428571429
2017-06-16,269.20714285714286
2017-06-15,269.10857142857145
2017-06-14,269.10285714285715
2017-06-13,269.08
2017-06-12,269.0357142857143
2017-06-11,269.01
2017-06-10,268.9957142857143
2017-06-09,268.96714285714285
2017-06-08,268.93857142857144
2017-06-07,268.93857142857144
2017-06-06,268.95285714285717
2017-06-05,268.9614285714286
2017-06-04,268.93857142857144
2017-06-03,268.92857142857144
2017-06-02,268.90285714285716
2017-06-01,268.87142857142857
2017-05-31,268.87285714285713
2017-05-30,268.89428571428573
2017-05-29,268.91142857142853
2017-05-28,268.94428571428574
2017-05-27,268.9585714285715
2017-05-26,268.9628571428571
2017-05-25,268.9857142857143
2017-05-24,268.9671428571429
2017-05-23,268.9814285714286
2017-05-22,268.9971428571429
2017-05-21,269.0442857142857
2017-05-20,269.1371428571428
2017-05-19,269.2371428571428
2017-05-18,269.2885714285714
2017-05-17,269.2
2017-05-16,269.1642857142857
2017-05-15,269.0371428571429
2017-05-14,268.9614285714286
2017-05-13,268.9271428571428
2017-05-12,268.9071428571428
2017-05-11,268.93285714285713
2017-05-10,268.9657142857142
2017-05-09,268.89142857142855
2017-05-08,268.89285714285717
2017-05-07,268.90999999999997
2017-05-06,268.74285714285713
2017-05-05,268.6042857142857
2017-05-04,268.5657142857143
2017-05-03,268.5942857142857
2017-05-02,268.48285714285714
2017-05-01,268.45000000000005
2017-04-30,268.4842857142857
2017-04-29,268.59
2017-04-28,268.5685714285714
2017-04-27,268.4942857142857
2017-04-26,268.57428571428574
2017-04-25,267.535
2017-04-24,267.445
2017-04-23,267.36833333333334
2017-04-22,267.4216666666666
2017-04-21,267.44666666666666
2017-04-20,267.4033333333333
2017-04-19,267.3883333333333
2017-04-18,267.3583333333333
2017-04-17,267.36499999999995
2017-04-16,267.3883333333333
2017-04-15,267.395
