datetime,average_water_level
2018-01-31,203.72
2018-01-30,203.91
2018-01-29,203.89500000000004
2018-01-28,203.78499999999997
2018-01-27,203.66500000000002
2018-01-26,203.71
2018-01-25,203.83749999999998
2018-01-24,203.89000000000001
2018-01-23,203.76500000000001
2018-01-22,203.64
2018-01-21,203.48
2018-01-20,203.45
2018-01-19,203.60000000000002
2018-01-18,203.85500000000002
2018-01-17,203.94750000000002
2018-01-16,203.905
2018-01-15,203.8425
2018-01-14,204.0375
2018-01-13,204.0775
2018-01-12,203.9825
2018-01-11,203.64999999999998
2018-01-10,203.665
2018-01-09,203.8675
2018-01-08,203.84000000000003
2018-01-07,203.695
2018-01-06,204.15500000000003
2018-01-05,204.00750000000002
2018-01-04,204.09750000000003
2018-01-03,203.8425
2018-01-02,203.82500000000002
2018-01-01,203.79500000000002
2017-12-31,203.6225
2017-12-30,203.5575
2017-12-29,203.735
2017-12-28,203.8575
2017-12-27,203.875
2017-12-26,203.815
2017-12-25,203.895
2017-12-24,203.875
2017-12-23,203.9925
2017-12-22,203.8725
2017-12-21,203.775
2017-12-20,203.92000000000002
2017-12-19,204.0375
2017-12-18,204.33500000000004
2017-12-17,204.33
2017-12-16,204.4875
2017-12-15,204.5525
2017-12-14,204.35500000000002
2017-12-13,204.42499999999998
2017-12-12,204.625
2017-12-11,204.68749999999997
2017-12-10,204.835
2017-12-09,204.8125
2017-12-08,204.79
2017-12-07,204.8275
2017-12-06,204.8675
2017-12-05,204.78
2017-12-04,204.5175
2017-12-03,204.59750000000003
2017-12-02,204.5425
2017-12-01,204.65
2017-11-30,204.72
2017-11-29,204.72499999999997
2017-11-28,204.46249999999998
2017-11-27,204.555
2017-11-26,204.71749999999997
2017-11-25,204.48250000000002
2017-11-24,204.44500000000002
2017-11-23,204.61
2017-11-22,204.8475
2017-11-21,204.755
2017-11-20,204.8025
2017-11-19,204.86999999999998
2017-11-18,204.775
2017-11-17,204.8425
2017-11-16,205.0
2017-11-15,205.0725
2017-11-14,205.16
2017-11-13,205.29
2017-11-12,205.3525
2017-11-11,205.42749999999998
2017-11-10,205.495
2017-11-09,205.5825
2017-11-08,205.83249999999998
2017-11-07,206.1275
2017-11-06,206.24999999999997
2017-11-05,206.20499999999998
2017-11-04,206.20250000000001
2017-11-03,205.8375
2017-11-02,205.76749999999998
2017-11-01,205.84
2017-10-31,205.92999999999998
2017-10-30,205.95999999999998
2017-10-29,205.9575
2017-10-28,205.94750000000002
2017-10-27,206.11
2017-10-26,206.1625
2017-10-25,206.2475
2017-10-24,206.3125
2017-10-23,206.40749999999997
2017-10-22,206.4425
2017-10-21,206.48
2017-10-20,206.565
2017-10-19,206.66500000000002
2017-10-18,206.75249999999997
2017-10-17,206.82999999999998
2017-10-16,206.9825
2017-10-15,207.14249999999998
2017-10-14,207.43249999999998
2017-10-13,208.07250000000002
2017-10-12,209.1825
2017-10-11,209.69750000000002
2017-10-10,210.39249999999998
2017-10-09,210.70250000000001
2017-10-08,210.1725
2017-10-07,209.625
2017-10-06,209.86999999999998
2017-10-05,209.7575
2017-10-04,209.42499999999998
2017-10-03,208.665
2017-10-02,206.775
2017-10-01,205.78
2017-09-30,205.785
2017-09-29,205.88
2017-09-28,205.935
2017-09-27,206.0775
2017-09-26,206.1025
2017-09-25,206.24500000000003
2017-09-24,206.2375
2017-09-23,206.1825
2017-09-22,206.22750000000002
2017-09-21,206.185
2017-09-20,206.1475
2017-09-19,205.99
2017-09-18,206.01250000000002
2017-09-17,206.03
2017-09-16,205.84500000000003
2017-09-15,205.8325
2017-09-14,205.6925
2017-09-13,205.72000000000003
2017-09-12,205.70749999999998
2017-09-11,205.73499999999999
2017-09-10,205.75
2017-09-09,205.54749999999999
2017-09-08,205.52
2017-09-07,205.5275
2017-09-06,205.61999999999998
2017-09-05,205.63
2017-09-04,205.8
2017-09-03,205.6425
2017-09-02,205.64000000000001
2017-09-01,205.8075
2017-08-31,205.88750000000002
2017-08-30,205.98749999999998
2017-08-29,206.14000000000001
2017-08-28,206.42499999999998
2017-08-27,206.67499999999998
2017-08-26,207.06250000000003
2017-08-25,207.8925
2017-08-24,209.745
2017-08-23,210.62249999999997
2017-08-22,210.39000000000001
2017-08-21,210.1525
2017-08-20,209.76000000000002
2017-08-19,209.3025
2017-08-18,208.71749999999997
2017-08-17,207.46249999999998
2017-08-16,205.4275
2017-08-15,204.92999999999998
2017-08-14,205.02
2017-08-13,205.00249999999997
2017-08-12,205.005
2017-08-11,205.075
2017-08-10,205.0925
2017-08-09,205.17249999999999
2017-08-08,205.25
2017-08-07,205.37
2017-08-06,205.60750000000002
2017-08-05,205.605
2017-08-04,205.5925
2017-08-03,205.515
2017-08-02,205.6225
2017-08-01,205.68749999999997
2017-07-31,205.7725
2017-07-30,205.725
2017-07-29,205.6575
2017-07-28,205.56749999999997
2017-07-27,205.455
2017-07-26,205.45250000000001
2017-07-25,205.3975
2017-07-24,205.44
2017-07-23,205.395
