datetime,average_water_level
2018-02-01,137.97
2018-01-31,137.91
2018-01-30,137.89
2018-01-29,137.98
2018-01-28,137.97
2018-01-27,138.0
2018-01-26,137.95
2018-01-25,137.92
2018-01-24,137.98
2018-01-23,137.99
2018-01-22,138.01
2018-01-21,137.97
2018-01-20,137.95
2018-01-19,137.9
2018-01-18,137.91
2018-01-17,137.92
2018-01-16,137.98
2018-01-15,137.99
2018-01-14,137.94
2018-01-13,137.98
2018-01-12,137.95
2018-01-11,138.05
2018-01-10,137.89
2018-01-09,137.9
2018-01-08,137.95
2018-01-07,137.94
2018-01-06,137.91
2018-01-05,137.94
2018-01-04,137.91
2018-01-03,137.91
2018-01-02,137.91
2018-01-01,137.91
2017-12-31,137.98
2017-12-30,137.92
2017-12-29,137.88
2017-12-28,137.89
2017-12-27,137.91
2017-12-26,137.95
2017-12-25,137.84
2017-12-24,137.96
2017-12-23,137.87
2017-12-22,137.95
2017-12-21,137.88
2017-12-20,137.86
2017-12-19,137.87
2017-12-18,137.89
2017-12-17,137.91
2017-12-16,137.81
2017-12-15,137.86
2017-12-14,137.92
2017-12-13,137.8
2017-12-12,137.87
2017-12-11,137.85
2017-12-10,137.86
2017-12-09,137.89
2017-12-08,137.83
2017-12-07,137.85
2017-12-06,137.85
2017-12-05,137.91
2017-12-04,137.86
2017-12-03,137.8
2017-12-02,137.84
2017-12-01,137.81
2017-11-30,137.85
2017-11-29,137.82
2017-11-28,137.88
2017-11-27,137.78
2017-11-26,137.82
2017-11-25,137.91
2017-11-24,137.78
2017-11-23,137.79
2017-11-22,137.83
2017-11-21,137.9
2017-11-20,137.78
2017-11-19,137.81
2017-11-18,137.91
2017-11-17,137.79
2017-11-16,137.8
2017-11-15,137.87
2017-11-14,137.78
2017-11-13,137.8
2017-11-12,137.88
2017-11-11,137.81
2017-11-10,137.81
2017-11-09,137.82
2017-11-08,137.83
2017-11-07,137.86
2017-11-06,137.84
2017-11-05,137.83
2017-11-04,137.81
2017-11-03,137.83
2017-11-02,137.87
2017-11-01,137.79
2017-10-31,137.79
2017-10-30,137.87
2017-10-29,137.78
2017-10-28,137.81
2017-10-27,137.88
2017-10-26,137.79
2017-10-25,137.76
2017-10-24,137.85
2017-10-23,137.84
2017-10-22,137.87
2017-10-21,137.84
2017-10-20,137.79
2017-10-19,137.82
2017-10-18,137.8
2017-10-17,137.78
2017-10-16,137.8
2017-10-15,137.89
2017-10-14,137.82
2017-10-13,137.82
2017-10-12,137.8
2017-10-11,137.78
2017-10-10,137.85
2017-10-09,137.87
2017-10-08,137.77
2017-10-07,137.82
2017-10-06,137.75
2017-10-05,137.65
2017-10-04,137.64
2017-10-03,137.66
2017-10-02,137.62
2017-10-01,137.58
2017-09-30,137.6
2017-09-29,137.62
2017-09-28,137.62
2017-09-27,137.63
2017-09-26,137.64
2017-09-25,137.61
2017-09-24,137.61
2017-09-23,137.59
2017-09-22,137.6
2017-09-21,137.6
2017-09-20,137.61
2017-09-19,137.57
2017-09-18,137.58
2017-09-17,137.6
2017-09-16,137.61
2017-09-15,137.6
2017-09-14,137.58
2017-09-13,137.56
2017-09-12,137.55
2017-09-11,137.57
2017-09-10,137.58
2017-09-09,137.59
2017-09-08,137.58
2017-09-07,137.56
2017-09-06,137.57
2017-09-05,137.59
2017-09-04,137.56
2017-09-03,137.57
2017-09-02,137.57
2017-09-01,137.56
2017-08-31,137.56
2017-08-30,137.56
2017-08-29,137.55
2017-08-28,137.56
2017-08-27,137.55
2017-08-26,137.56
2017-08-25,137.56
2017-08-24,137.53
2017-08-23,137.53
2017-08-22,137.55
2017-08-21,137.55
2017-08-20,137.54
2017-08-19,137.53
2017-08-18,137.53
2017-08-17,137.55
2017-08-16,137.55
2017-08-15,137.53
2017-08-14,137.52
2017-08-13,137.5
2017-08-12,137.51
2017-08-11,137.51
2017-08-10,137.52
2017-08-09,137.51
2017-08-08,137.52
2017-08-07,137.54
2017-08-06,137.51
2017-08-05,137.47
2017-08-04,137.48
2017-08-03,137.5
2017-08-02,137.49
2017-08-01,137.5
2017-07-31,137.49
2017-07-30,137.5
2017-07-29,137.49
2017-07-28,137.47
2017-07-27,137.47
2017-07-26,137.47
2017-07-25,137.48
2017-07-24,137.47
2017-07-23,137.47
2017-07-22,137.46
2017-07-21,137.45
2017-07-20,137.45
2017-07-19,137.47
2017-07-18,137.47
2017-07-17,137.45
2017-07-16,137.44
2017-07-15,137.45
2017-07-14,137.46
2017-07-13,137.47
2017-07-12,137.46
2017-07-11,137.45
2017-07-10,137.43
2017-07-09,137.43
2017-07-08,137.44
2017-07-07,137.44
2017-07-06,137.44
2017-07-05,137.45
2017-07-04,137.44
2017-07-03,137.42
2017-07-02,137.43
2017-07-01,137.46
2017-06-30,137.44
2017-06-29,137.42
2017-06-28,137.4
2017-06-27,137.39
2017-06-26,137.41
2017-06-25,137.42
2017-06-24,137.45
2017-06-23,137.45
2017-06-22,137.39
2017-06-21,137.38
2017-06-20,137.41
2017-06-19,137.43
2017-06-18,137.45
2017-06-17,137.39
2017-06-16,137.39
2017-06-15,137.4
2017-06-14,137.42
2017-06-13,137.4
2017-06-12,137.4
2017-06-11,137.41
2017-06-10,137.39
2017-06-09,137.38
2017-06-08,137.38
2017-06-07,137.39
2017-06-06,137.41
2017-06-05,137.4
2017-06-04,137.38
2017-06-03,137.4
2017-06-02,137.38
2017-06-01,137.37
2017-05-31,137.38
2017-05-30,137.38
2017-05-29,137.38
2017-05-28,137.41
2017-05-27,137.38
2017-05-26,137.41
2017-05-25,137.36
2017-05-24,137.3
2017-05-23,137.38
2017-05-22,137.33
2017-05-21,137.37
2017-05-20,137.4
2017-05-19,137.37
2017-05-18,137.35
2017-05-17,137.39
2017-05-16,137.31
2017-05-15,137.33
2017-05-14,137.32
2017-05-13,137.3
2017-05-12,137.32
2017-05-11,137.35
2017-05-10,137.33
2017-05-09,137.31
2017-05-08,137.34
2017-05-07,137.31
2017-05-06,137.3
2017-05-05,137.28
2017-05-04,137.32
2017-05-03,137.37
2017-05-02,137.28
2017-05-01,137.31
2017-04-30,137.3
2017-04-29,137.37
2017-04-28,137.32
2017-04-27,137.25
2017-04-26,137.34
2017-04-25,137.26
2017-04-24,137.2
2017-04-23,137.24
2017-04-22,137.34
2017-04-21,137.25
2017-04-20,137.25
2017-04-19,137.24
2017-04-18,137.24
2017-04-17,137.24
2017-04-16,137.23
2017-04-15,137.22
2017-04-14,137.19
2017-04-13,137.17
2017-04-12,137.2
2017-04-11,137.2
2017-04-10,137.24
2017-04-09,137.18
2017-04-08,137.13
2017-04-07,137.13
2017-04-06,137.16
2017-04-05,137.21
2017-04-04,137.19
2017-04-03,137.13
2017-04-02,137.11
2017-04-01,137.22
2017-03-31,137.13
2017-03-30,137.1
2017-03-29,137.21
2017-03-28,137.12
2017-03-27,137.16
2017-03-26,137.13
2017-03-25,137.13
2017-03-24,137.2
2017-03-23,137.09
2017-03-22,137.13
2017-03-21,137.15
2017-03-20,137.13
2017-03-19,137.12
2017-03-18,137.16
2017-03-17,137.17
2017-03-16,137.11
2017-03-15,137.17
2017-03-14,137.13
2017-03-13,137.18
2017-03-12,137.12
2017-03-11,137.17
2017-03-10,137.18
2017-03-09,137.15
2017-03-08,137.14
2017-03-07,137.24
2017-03-06,137.16
2017-03-05,137.13
2017-03-04,137.13
2017-03-03,137.16
2017-03-02,137.2
2017-03-01,137.26
2017-02-28,137.18
2017-02-27,137.19
2017-02-26,137.17
2017-02-25,137.2
2017-02-24,137.26
2017-02-23,137.16
2017-02-22,137.16
2017-02-21,137.2
2017-02-20,137.24
2017-02-19,137.23
2017-02-18,137.23
2017-02-17,137.17
2017-02-16,137.17
2017-02-15,137.22
2017-02-14,137.23
2017-02-13,137.18
2017-02-12,137.29
2017-02-11,137.23
2017-02-10,137.19
2017-02-09,137.24
2017-02-08,137.3
2017-02-07,137.23
2017-02-06,137.21
2017-02-05,137.22
2017-02-04,137.2
2017-02-03,137.26
2017-02-02,137.28
2017-02-01,137.29
2017-01-31,137.21
2017-01-30,137.21
2017-01-29,137.26
2017-01-28,137.25
2017-01-27,137.29
2017-01-26,137.29
2017-01-25,137.33
2017-01-24,137.26
2017-01-23,137.23
2017-01-22,137.36
2017-01-21,137.24
2017-01-20,137.27
2017-01-19,137.22
2017-01-18,137.24
2017-01-17,137.3
2017-01-16,137.31
2017-01-15,137.22
2017-01-14,137.27
2017-01-13,137.33
2017-01-12,137.35
2017-01-11,137.27
2017-01-10,137.3
2017-01-09,137.25
2017-01-08,137.25
2017-01-07,137.33
2017-01-06,137.37
2017-01-05,137.34
2017-01-04,137.26
2017-01-03,137.35
2017-01-02,137.34
2017-01-01,137.3
2016-12-31,137.29
2016-12-30,137.21
2016-12-29,137.38
2016-12-28,137.31
2016-12-27,137.31
2016-12-26,137.38
2016-12-25,137.33
2016-12-24,137.3
2016-12-22,137.42
2016-12-21,137.33
2016-12-20,137.29
2016-12-19,137.34
2016-12-18,137.41
2016-12-17,137.39
2016-12-16,137.27
2016-12-15,137.3
2016-12-14,137.36
2016-12-13,137.37
2016-12-12,137.33
2016-12-11,137.33
2016-12-10,137.29
2016-12-09,137.29
2016-12-08,137.41
2016-12-07,137.38
2016-12-06,137.39
2016-12-05,137.28
2016-12-04,137.35
2016-12-03,137.33
2016-12-02,137.36
2016-12-01,137.34
2016-11-30,137.38
2016-11-29,137.4
2016-11-28,137.33
2016-11-27,137.25
2016-11-26,137.3
2016-11-25,137.39
2016-11-24,137.36
2016-11-23,137.39
2016-11-22,137.38
2016-11-21,137.31
2016-11-20,137.29
2016-11-19,137.35
2016-11-18,137.47
2016-11-17,137.34
2016-11-16,137.31
2016-11-15,137.35
2016-11-14,137.36
2016-11-13,137.32
2016-11-12,137.35
2016-11-11,137.35
2016-11-10,137.35
2016-11-09,137.35
2016-11-08,137.39
2016-11-07,137.39
2016-11-06,137.34
2016-11-05,137.33
2016-11-04,137.36
2016-11-03,137.4
2016-11-02,137.41
2016-11-01,137.36
2016-10-31,137.32
2016-10-30,137.38
2016-10-29,137.35
2016-10-28,137.35
2016-10-27,137.37
2016-10-26,137.38
2016-10-25,137.34
2016-10-24,137.38
2016-10-23,137.37
2016-10-22,137.34
2016-10-21,137.32
2016-10-20,137.42
2016-10-19,137.38
2016-10-18,137.39
2016-10-17,137.34
2016-10-16,137.35
2016-10-15,137.34
2016-10-14,137.34
2016-10-13,137.36
2016-10-12,137.39
2016-10-11,137.35
2016-10-10,137.34
2016-10-09,137.35
2016-10-08,137.36
2016-10-07,137.41
2016-10-06,137.37
2016-10-05,137.37
2016-10-04,137.36
2016-10-03,137.31
2016-10-02,137.35
2016-10-01,137.34
2016-09-30,137.32
2016-09-29,137.38
2016-09-28,137.37
2016-09-27,137.33
2016-09-26,137.36
2016-09-25,137.41
2016-09-24,137.36
2016-09-23,137.34
2016-09-22,137.33
2016-09-21,137.34
2016-09-20,137.35
2016-09-19,137.36
2016-09-18,137.35
2016-09-17,137.35
2016-09-16,137.34
2016-09-15,137.32
2016-09-14,137.35
2016-09-13,137.36
2016-09-12,137.31
2016-09-11,137.3
2016-09-10,137.39
2016-09-09,137.33
2016-09-08,137.31
2016-09-07,137.33
2016-09-06,137.33
2016-09-05,137.33
2016-09-04,137.32
2016-09-03,137.31
2016-09-02,137.31
2016-09-01,137.31
2016-08-31,137.31
2016-08-30,137.31
2016-08-29,137.31
2016-08-28,137.31
2016-08-27,137.3
2016-08-26,137.3
2016-08-25,137.3
2016-08-24,137.3
2016-08-23,137.29
2016-08-22,137.28
2016-08-21,137.3
2016-08-20,137.3
2016-08-19,137.26
2016-08-18,137.27
2016-08-17,137.27
2016-08-16,137.28
2016-08-15,137.27
2016-08-14,137.28
2016-08-13,137.27
2016-08-12,137.27
2016-08-11,137.26
2016-08-10,137.27
2016-08-09,137.27
2016-08-08,137.26
2016-08-07,137.25
2016-08-06,137.26
2016-08-05,137.26
2016-08-04,137.24
2016-08-03,137.24
2016-08-02,137.26
2016-08-01,137.26
2016-07-31,137.24
2016-07-30,137.24
2016-07-29,137.24
2016-07-28,137.24
2016-07-27,137.24
2016-07-26,137.24
2016-07-25,137.25
2016-07-24,137.25
2016-07-23,137.22
2016-07-22,137.23
2016-07-21,137.24
2016-07-20,137.23
2016-07-19,137.24
2016-07-18,137.25
2016-07-17,137.24
2016-07-16,137.23
2016-07-15,137.23
2016-07-14,137.24
2016-07-13,137.23
2016-07-12,137.24
2016-07-11,137.21
2016-07-10,137.19
2016-07-09,137.22
2016-07-08,137.24
2016-07-07,137.21
2016-07-06,137.2
2016-07-05,137.21
2016-07-04,137.21
2016-07-03,137.2
2016-07-02,137.17
2016-07-01,137.19
2016-06-30,137.18
2016-06-29,137.16
2016-06-28,137.17
2016-06-27,137.17
2016-06-26,137.19
2016-06-25,137.16
2016-06-24,137.15
2016-06-23,137.17
2016-06-22,137.13
2016-06-21,137.13
2016-06-20,137.17
2016-06-19,137.17
2016-06-18,137.18
2016-06-17,137.16
2016-06-16,137.15
2016-06-15,137.16
2016-06-14,137.14
2016-06-13,137.12
2016-06-12,137.14
2016-06-11,137.16
2016-06-10,137.15
2016-06-09,137.16
2016-06-08,137.15
2016-06-07,137.16
2016-06-06,137.15
2016-06-05,137.15
2016-06-04,137.17
2016-06-03,137.16
2016-06-02,137.17
2016-06-01,137.19
2016-05-31,137.17
2016-05-30,137.15
2016-05-29,137.2
2016-05-28,137.21
2016-05-27,137.19
2016-05-26,137.14
2016-05-25,137.19
2016-05-24,137.2
2016-05-23,137.18
2016-05-22,137.17
2016-05-21,137.19
2016-05-20,137.19
2016-05-19,137.17
2016-05-18,137.21
2016-05-17,137.29
2016-05-16,137.19
2016-05-15,137.2
2016-05-14,137.25
2016-05-13,137.2
2016-05-12,137.28
2016-05-11,137.26
2016-05-10,137.26
2016-05-09,137.25
2016-05-08,137.22
2016-05-07,137.21
2016-05-06,137.23
2016-05-05,137.23
2016-05-04,137.25
2016-05-03,137.24
2016-05-02,137.24
2016-05-01,137.31
2016-04-30,137.26
2016-04-29,137.25
2016-04-28,137.24
2016-04-27,137.26
2016-04-26,137.24
2016-04-25,137.22
2016-04-24,137.19
2016-04-23,137.17
2016-04-22,137.22
2016-04-21,137.25
2016-04-20,137.2
2016-04-19,137.19
2016-04-18,137.23
2016-04-17,137.26
2016-04-16,137.23
2016-04-15,137.17
2016-04-14,137.17
2016-04-13,137.18
2016-04-12,137.21
2016-04-11,137.27
2016-04-10,137.17
2016-04-09,137.16
2016-04-08,137.2
2016-04-07,137.19
2016-04-06,137.23
2016-04-05,137.16
2016-04-04,137.2
2016-04-03,137.16
2016-04-02,137.19
2016-04-01,137.27
2016-03-31,137.21
2016-03-30,137.19
2016-03-29,137.15
2016-03-28,137.13
2016-03-27,137.23
2016-03-26,137.21
2016-03-25,137.12
2016-03-24,137.19
2016-03-23,137.2
2016-03-22,137.1
2016-03-21,137.11
2016-03-20,137.17
2016-03-19,137.19
2016-03-18,137.2
2016-03-17,137.14
2016-03-16,137.14
2016-03-15,137.18
2016-03-14,137.13
2016-03-13,137.16
2016-03-12,137.07
2016-03-11,137.11
2016-03-10,137.16
2016-03-09,137.16
2016-03-08,137.13
2016-03-07,137.08
2016-03-06,137.05
2016-03-05,137.12
2016-03-04,137.07
2016-03-03,137.16
2016-03-02,137.05
2016-03-01,137.16
2016-02-29,137.08
2016-02-28,137.13
