datetime,average_water_level
2018-01-31,100.87
2018-01-30,100.62
2018-01-29,100.85
2018-01-28,100.43
2018-01-27,100.57
2018-01-26,100.57
2018-01-25,100.57
2018-01-24,100.49
2018-01-23,100.34
2018-01-22,100.72
2018-01-21,100.57
2018-01-20,100.76
2018-01-19,100.51
2018-01-18,100.74
2018-01-17,100.82
2018-01-16,100.69
2018-01-15,100.73
2018-01-14,100.45
2018-01-13,100.92
2018-01-12,100.41
2018-01-11,100.65
2018-01-10,100.64
2018-01-09,100.8
2018-01-08,100.69
2018-01-07,101.02
2018-01-06,101.09
2018-01-05,101.28
2018-01-04,101.1
2018-01-03,100.67
2018-01-02,100.37
2018-01-01,99.84
2017-12-31,99.9
2017-12-30,99.63
2017-12-29,99.97
2017-12-28,100.14
2017-12-27,99.96
2017-12-26,100.29
2017-12-25,99.9
2017-12-24,100.0
2017-12-23,100.34
2017-12-22,100.37
2017-12-21,100.04
2017-12-20,100.38
2017-12-19,100.66
2017-12-18,100.5
2017-12-17,100.86
2017-12-16,100.78
2017-12-15,100.96
2017-12-14,101.32
2017-12-13,100.86
2017-12-12,100.82
2017-12-11,100.96
2017-12-10,100.99
2017-12-09,101.15
2017-12-08,100.61
2017-12-07,100.68
2017-12-06,100.69
2017-12-05,101.15
2017-12-04,100.87
2017-12-03,100.84
2017-12-02,100.91
2017-12-01,100.93
2017-11-30,101.04
2017-11-29,101.34
2017-11-28,100.99
2017-11-27,101.18
2017-11-26,101.3
2017-11-25,100.91
2017-11-24,101.21
2017-11-23,101.53
2017-11-22,101.39
2017-11-21,101.71
2017-11-20,101.6
2017-11-19,101.77
2017-11-18,102.02
2017-11-17,101.9
2017-11-16,101.98
2017-11-15,101.75
2017-11-14,101.52
2017-11-13,102.0
2017-11-12,102.14
2017-11-11,102.25
2017-11-10,102.21
2017-11-09,102.67
2017-11-08,102.98
2017-11-07,103.16
2017-11-06,103.1
2017-11-05,103.24
2017-11-04,103.15
2017-11-03,103.07
2017-11-02,102.88
2017-11-01,102.86
2017-10-31,103.27
2017-10-30,103.51
2017-10-29,103.55
2017-10-28,103.81
2017-10-27,103.71
2017-10-26,104.06
2017-10-25,103.97
2017-10-24,104.4
2017-10-23,104.14
2017-10-22,104.0
2017-10-21,103.99
2017-10-20,103.89
2017-10-19,103.99
2017-10-18,104.03
2017-10-17,103.87
2017-10-16,104.52
2017-10-15,104.97
2017-10-14,105.02
2017-10-13,105.07
2017-10-12,104.44
2017-10-11,104.51
2017-10-10,105.05
2017-10-09,104.84
2017-10-08,104.73
2017-10-07,104.58
2017-10-06,104.84
2017-10-05,105.09
2017-10-04,105.14
2017-10-03,105.25
2017-10-02,105.58
2017-10-01,105.34
2017-09-30,105.78
2017-09-29,106.19
2017-09-28,106.27
2017-09-27,106.31
2017-09-26,107.07
2017-09-25,107.77
2017-09-24,108.4
2017-09-23,108.97
2017-09-22,108.9
2017-09-21,108.17
2017-09-20,107.7
2017-09-19,107.92
2017-09-18,107.98
2017-09-17,108.04
2017-09-16,108.06
2017-09-15,108.48
2017-09-14,108.38
2017-09-13,108.13
2017-09-12,108.13
2017-09-11,108.23
2017-09-10,108.01
2017-09-09,107.87
2017-09-08,107.87
2017-09-07,107.81
2017-09-06,107.78
2017-09-05,108.12
2017-09-04,108.08
2017-09-03,108.14
2017-09-02,108.1
2017-09-01,107.65
2017-08-31,107.02
2017-08-30,106.89
2017-08-29,106.92
2017-08-28,106.71
2017-08-27,106.67
2017-08-26,107.04
2017-08-25,106.86
2017-08-24,106.82
2017-08-23,106.8
2017-08-22,107.0
2017-08-21,107.29
2017-08-20,107.59
2017-08-19,108.42
2017-08-18,108.22
2017-08-17,107.38
2017-08-16,107.6
2017-08-15,107.81
2017-08-14,108.33
2017-08-13,108.31
2017-08-12,107.9
2017-08-11,107.07
2017-08-10,105.85
2017-08-09,105.96
2017-08-08,106.54
2017-08-07,107.25
2017-08-06,107.97
2017-08-05,107.93
2017-08-04,107.79
2017-08-03,108.3
2017-08-02,109.18
2017-08-01,110.52
2017-07-31,110.69
2017-07-30,110.53
2017-07-29,110.66
2017-07-28,110.47
2017-07-27,110.42
2017-07-26,110.56
2017-07-25,110.63
2017-07-24,110.52
2017-07-23,110.61
2017-07-22,111.07
2017-07-21,111.11
2017-07-20,110.86
2017-07-19,110.23
2017-07-18,110.14
2017-07-17,110.05
2017-07-16,110.43
2017-07-15,111.3
2017-07-14,111.12
2017-07-13,110.96
2017-07-12,110.39
2017-07-11,110.83
2017-07-10,111.01
2017-07-09,111.05
2017-07-08,111.1
2017-07-07,111.03
2017-07-06,111.44
2017-07-05,111.83
2017-07-04,112.11
2017-07-03,111.85
2017-07-02,111.84
2017-07-01,111.75
2017-06-30,111.16
2017-06-29,110.81
2017-06-28,110.5
2017-06-27,111.0
2017-06-26,112.22
2017-06-25,112.47
2017-06-24,112.65
2017-06-23,112.32
2017-06-22,112.05
2017-06-21,112.17
2017-06-20,112.12
2017-06-19,112.04
2017-06-18,111.69
2017-06-17,111.7
2017-06-16,111.14
2017-06-15,110.66
2017-06-14,110.62
2017-06-13,110.48
2017-06-12,109.64
2017-06-11,109.51
2017-06-10,109.72
2017-06-09,109.43
2017-06-08,109.24
2017-06-07,109.05
2017-06-06,109.18
2017-06-05,108.62
2017-06-04,107.97
2017-06-03,108.38
2017-06-02,108.09
2017-06-01,108.06
2017-05-31,108.23
2017-05-30,108.89
2017-05-29,108.57
2017-05-28,108.44
2017-05-27,107.95
2017-05-26,107.72
2017-05-25,106.98
2017-05-24,107.02
2017-05-23,107.12
2017-05-22,107.79
2017-05-21,108.16
2017-05-20,108.17
2017-05-19,107.48
2017-05-18,107.23
2017-05-17,106.24
2017-05-16,106.17
2017-05-15,106.41
2017-05-14,106.9
2017-05-13,106.86
2017-05-12,106.53
2017-05-11,106.34
2017-05-10,106.13
2017-05-09,106.27
2017-05-08,106.1
2017-05-07,106.08
2017-05-06,106.11
2017-05-05,106.09
2017-05-04,105.44
2017-05-03,105.33
2017-05-02,105.2
2017-05-01,105.25
2017-04-30,105.33
2017-04-29,105.45
2017-04-28,105.15
2017-04-27,104.62
2017-04-26,104.69
2017-04-25,104.64
2017-04-24,104.62
2017-04-23,104.47
2017-04-22,104.86
2017-04-21,104.65
2017-04-20,104.31
2017-04-19,104.24
2017-04-18,104.14
2017-04-17,103.8
2017-04-16,103.36
2017-04-15,103.51
2017-04-14,103.61
2017-04-13,104.23
2017-04-12,105.15
2017-04-11,105.36
2017-04-10,105.17
2017-04-09,104.91
2017-04-08,104.69
2017-04-07,104.45
2017-04-06,104.15
2017-04-05,103.53
2017-04-04,103.16
2017-04-03,103.52
2017-04-02,103.84
2017-04-01,104.33
2017-03-31,104.13
2017-03-30,103.73
2017-03-29,104.06
2017-03-28,104.11
2017-03-27,104.04
2017-03-26,103.84
2017-03-25,104.06
2017-03-24,103.58
2017-03-23,102.96
2017-03-22,102.92
2017-03-21,102.89
2017-03-20,102.83
2017-03-19,102.44
2017-03-18,102.17
2017-03-17,101.81
2017-03-16,101.32
2017-03-15,101.65
2017-03-14,101.08
2017-03-13,101.35
2017-03-12,101.55
2017-03-11,101.55
2017-03-10,101.64
2017-03-09,102.09
2017-03-08,101.64
2017-03-07,101.58
2017-03-06,101.36
2017-03-05,100.82
2017-03-04,101.34
2017-03-03,101.63
2017-03-02,101.43
2017-03-01,101.29
2017-02-28,101.65
2017-02-27,101.72
2017-02-26,101.23
2017-02-25,101.86
2017-02-24,102.17
2017-02-23,102.15
2017-02-22,102.09
2017-02-21,101.97
2017-02-20,101.87
2017-02-19,101.16
2017-02-18,101.08
2017-02-17,101.17
2017-02-16,101.16
2017-02-15,101.45
2017-02-14,101.79
2017-02-13,101.83
2017-02-12,101.86
2017-02-11,101.49
2017-02-10,101.61
2017-02-09,101.69
2017-02-08,101.54
2017-02-07,101.19
2017-02-06,101.06
2017-02-05,100.73
2017-02-04,100.7
2017-02-03,100.72
2017-02-02,100.63
2017-02-01,100.68
2017-01-31,100.56
2017-01-30,100.46
2017-01-29,100.11
2017-01-28,100.35
2017-01-27,100.1
2017-01-26,99.71
2017-01-25,99.44
2017-01-24,99.54
2017-01-23,99.56
2017-01-22,99.6
2017-01-21,99.59
2017-01-20,99.95
2017-01-19,100.77
2017-01-18,100.86
2017-01-17,100.68
2017-01-16,100.18
2017-01-15,99.87
2017-01-14,100.14
2017-01-13,99.79
2017-01-12,99.76
2017-01-11,99.67
2017-01-10,99.93
2017-01-09,100.0
2017-01-08,100.03
2017-01-07,99.85
2017-01-06,99.77
2017-01-05,99.97
2017-01-04,99.85
2017-01-03,100.1
2017-01-02,100.18
2017-01-01,100.03
2016-12-31,100.44
2016-12-30,100.88
2016-12-29,101.01
2016-12-28,101.53
2016-12-27,101.79
2016-12-26,101.39
2016-12-25,101.37
2016-12-24,101.71
2016-12-22,101.41
2016-12-21,101.4
2016-12-20,101.28
2016-12-19,100.98
2016-12-18,100.67
2016-12-17,100.88
2016-12-16,100.73
2016-12-15,101.06
2016-12-14,100.77
2016-12-13,100.87
2016-12-12,100.94
2016-12-11,100.78
2016-12-10,101.2
2016-12-09,101.09
2016-12-08,101.25
2016-12-07,100.61
2016-12-06,100.57
2016-12-05,100.43
2016-12-04,100.15
2016-12-03,100.39
2016-12-02,100.52
2016-12-01,100.53
2016-11-30,100.56
2016-11-29,100.66
2016-11-28,100.34
2016-11-27,99.92
2016-11-26,99.93
2016-11-25,99.76
2016-11-24,99.92
2016-11-23,99.68
2016-11-22,100.06
2016-11-21,100.05
2016-11-20,99.9
2016-11-19,100.26
2016-11-18,100.12
2016-11-17,100.08
2016-11-16,100.11
2016-11-15,100.21
2016-11-14,100.49
2016-11-13,100.56
2016-11-12,100.84
2016-11-11,100.9
2016-11-10,101.03
2016-11-09,101.25
2016-11-08,101.31
2016-11-07,101.69
2016-11-06,102.01
2016-11-05,102.31
2016-11-04,102.87
2016-11-03,103.23
2016-11-02,103.02
2016-11-01,103.23
2016-10-31,103.11
2016-10-30,102.81
2016-10-29,103.29
2016-10-28,103.81
2016-10-27,103.84
2016-10-26,103.69
2016-10-25,104.12
2016-10-24,103.52
2016-10-23,103.31
2016-10-22,103.28
2016-10-21,103.43
2016-10-20,103.47
2016-10-19,103.4
2016-10-18,103.54
2016-10-17,103.61
2016-10-16,103.5
2016-10-15,103.62
2016-10-14,103.72
2016-10-13,103.82
2016-10-12,103.62
2016-10-11,103.86
2016-10-10,104.42
2016-10-09,104.97
2016-10-08,105.94
2016-10-07,106.1
2016-10-06,106.07
2016-10-05,105.43
2016-10-04,105.35
2016-10-03,104.82
2016-10-02,105.06
2016-10-01,105.31
2016-09-30,105.13
2016-09-29,105.26
2016-09-28,105.39
2016-09-27,105.79
2016-09-26,106.26
2016-09-25,106.59
2016-09-24,107.03
2016-09-23,106.83
2016-09-22,106.93
2016-09-21,105.99
2016-09-20,105.62
2016-09-19,105.19
2016-09-18,104.79
2016-09-17,105.06
2016-09-16,105.57
2016-09-15,105.53
2016-09-14,105.79
2016-09-13,105.57
2016-09-12,105.72
2016-09-11,105.77
2016-09-10,105.63
2016-09-09,104.8
2016-09-08,105.06
2016-09-07,104.98
2016-09-06,105.72
2016-09-05,106.69
2016-09-04,106.73
2016-09-03,107.18
2016-09-02,107.38
2016-09-01,107.48
2016-08-31,108.01
2016-08-30,108.55
2016-08-29,108.66
2016-08-28,108.53
2016-08-27,108.52
2016-08-26,108.89
2016-08-25,109.48
2016-08-24,110.3
2016-08-23,110.96
2016-08-22,110.96
2016-08-21,111.3
2016-08-20,111.31
2016-08-19,111.21
2016-08-18,110.97
2016-08-17,110.78
2016-08-16,110.91
2016-08-15,111.37
2016-08-14,111.16
2016-08-13,111.91
2016-08-12,112.32
2016-08-11,112.44
2016-08-10,112.85
2016-08-09,113.17
2016-08-08,111.37
2016-08-07,111.47
2016-08-06,113.06
2016-08-05,112.53
2016-08-04,111.26
2016-08-03,111.79
2016-08-02,110.96
2016-08-01,111.07
2016-07-31,112.03
2016-07-30,112.05
2016-07-29,111.27
2016-07-28,110.14
2016-07-27,110.25
2016-07-26,110.73
2016-07-25,110.77
2016-07-24,110.84
2016-07-23,111.35
2016-07-22,112.19
2016-07-21,110.9
2016-07-20,110.3
2016-07-19,110.7
2016-07-18,110.48
2016-07-17,110.94
2016-07-16,111.88
2016-07-15,111.51
2016-07-14,110.86
2016-07-13,109.99
2016-07-12,110.44
2016-07-11,110.45
2016-07-10,110.09
2016-07-09,110.54
2016-07-08,110.0
2016-07-07,110.06
2016-07-06,109.6
2016-07-05,109.45
2016-07-04,108.82
2016-07-03,109.36
2016-07-02,109.5
2016-07-01,108.77
2016-06-30,108.97
2016-06-29,109.35
2016-06-28,109.69
2016-06-27,110.02
2016-06-26,110.29
2016-06-25,109.9
2016-06-24,109.12
2016-06-23,110.09
2016-06-22,108.94
2016-06-21,107.56
2016-06-20,108.17
2016-06-19,108.63
2016-06-18,109.25
2016-06-17,109.2
2016-06-16,108.62
2016-06-15,108.47
2016-06-14,107.73
2016-06-13,107.23
2016-06-12,106.53
2016-06-11,106.62
2016-06-10,106.42
2016-06-09,106.42
2016-06-08,106.27
2016-06-07,106.37
2016-06-06,105.4
2016-06-05,105.21
2016-06-04,105.27
2016-06-03,105.25
2016-06-02,105.84
2016-06-01,106.56
2016-05-31,106.23
2016-05-30,106.51
2016-05-29,106.26
2016-05-28,106.73
2016-05-27,106.38
2016-05-26,106.19
2016-05-25,105.24
2016-05-24,104.59
2016-05-23,104.94
2016-05-22,104.9
2016-05-21,104.55
2016-05-20,104.61
2016-05-19,105.11
2016-05-18,105.52
2016-05-17,104.92
2016-05-16,105.31
2016-05-15,106.17
2016-05-14,106.16
2016-05-13,106.15
2016-05-12,106.45
2016-05-11,105.68
2016-05-10,105.1
2016-05-09,104.97
2016-05-08,104.46
2016-05-07,104.68
2016-05-06,105.17
2016-05-05,105.11
2016-05-04,104.49
2016-05-03,105.05
2016-05-02,103.85
2016-05-01,103.93
2016-04-30,104.68
2016-04-29,105.14
2016-04-28,104.63
2016-04-27,104.24
2016-04-26,104.31
2016-04-25,104.87
2016-04-24,104.37
2016-04-23,104.46
2016-04-22,104.78
2016-04-21,104.76
2016-04-20,103.81
2016-04-19,103.6
2016-04-18,103.97
2016-04-17,104.07
2016-04-16,103.11
2016-04-15,102.81
2016-04-14,103.5
2016-04-13,102.24
2016-04-12,102.34
2016-04-11,102.8
2016-04-10,102.74
2016-04-09,102.86
2016-04-08,103.34
2016-04-07,103.28
2016-04-06,103.59
2016-04-05,102.87
2016-04-04,103.05
2016-04-03,103.3
2016-04-02,104.11
2016-04-01,103.78
2016-03-31,103.87
2016-03-30,104.34
2016-03-29,104.06
2016-03-28,105.25
2016-03-27,104.96
2016-03-26,104.19
2016-03-25,104.1
2016-03-24,104.0
2016-03-23,104.01
2016-03-22,104.41
2016-03-21,104.84
2016-03-20,106.19
2016-03-19,106.87
2016-03-18,106.39
2016-03-17,107.75
2016-03-16,107.29
2016-03-15,106.51
2016-03-14,104.9
2016-03-13,104.47
2016-03-12,105.29
2016-03-11,105.67
2016-03-10,106.32
2016-03-09,106.16
2016-03-08,105.94
2016-03-07,105.38
2016-03-06,105.11
2016-03-05,104.93
2016-03-04,104.04
2016-03-03,102.77
2016-03-02,101.88
2016-03-01,101.48
2016-02-29,101.04
2016-02-28,101.03
2016-02-27,101.51
2016-02-26,102.01
2016-02-25,102.53
2016-02-24,102.89
2016-02-23,102.62
2016-02-22,102.03
2016-02-21,101.82
2016-02-20,101.62
2016-02-19,101.48
2016-02-18,100.38
2016-02-17,100.16
2016-02-16,100.2
2016-02-15,100.06
2016-02-14,100.36
2016-02-13,100.81
2016-02-12,100.74
2016-02-11,100.26
2016-02-10,100.18
2016-02-09,99.77
2016-02-08,98.99
2016-02-07,98.73
2016-02-06,98.7
2016-02-05,98.62
2016-02-04,98.9
2016-02-03,99.29
2016-02-02,99.0
2016-02-01,98.02
2016-01-31,98.46
2016-01-30,98.53
2016-01-29,98.82
2016-01-28,98.86
2016-01-27,99.41
2016-01-26,99.18
2016-01-25,98.17
2016-01-24,98.23
2016-01-23,98.53
2016-01-22,98.65
2016-01-21,98.37
2016-01-20,98.18
2016-01-19,98.49
2016-01-18,98.52
2016-01-17,98.33
2016-01-16,98.35
2016-01-15,98.46
2016-01-14,98.53
2016-01-13,98.69
2016-01-12,98.86
2016-01-11,98.84
2016-01-10,99.12
2016-01-09,99.58
2016-01-08,99.96
2016-01-07,100.2
2016-01-06,99.71
2016-01-05,99.89
2016-01-04,100.33
2016-01-03,100.19
2016-01-02,99.9
2016-01-01,100.57
2015-12-31,101.46
2015-12-30,101.46
2015-12-29,100.86
2015-12-28,100.11
2015-12-27,100.03
2015-12-26,99.96
2015-12-25,99.58
2015-12-24,100.07
2015-12-23,100.56
2015-12-22,100.6
2015-12-21,100.44
2015-12-20,100.77
2015-12-19,101.11
2015-12-18,100.36
2015-12-17,100.01
2015-12-16,99.42
2015-12-15,99.48
2015-12-14,99.82
2015-12-13,100.38
2015-12-12,100.62
2015-12-11,101.07
2015-12-10,101.37
2015-12-09,101.91
2015-12-08,101.58
2015-12-07,100.22
2015-12-06,99.92
2015-12-05,100.02
2015-12-04,100.63
2015-12-03,100.93
2015-12-02,100.02
2015-12-01,100.23
2015-11-30,100.3
2015-11-29,100.61
2015-11-28,100.13
2015-11-27,100.18
2015-11-26,100.38
2015-11-25,100.6
2015-11-24,100.54
2015-11-23,100.28
2015-11-22,100.47
2015-11-21,100.85
2015-11-20,101.14
2015-11-19,100.71
2015-11-18,100.91
2015-11-17,101.03
2015-11-16,100.99
2015-11-15,101.48
2015-11-14,102.3
2015-11-13,103.32
2015-11-12,102.69
2015-11-11,101.67
2015-11-10,101.92
2015-11-09,102.14
2015-11-08,102.43
