datetime,average_water_level
2018-02-01,401.82
2018-01-31,402.37
2018-01-30,402.16
2018-01-29,401.05
2018-01-28,400.62
2018-01-27,401.53
2018-01-26,403.44
2018-01-25,403.63
2018-01-24,402.61
2018-01-23,401.34
2018-01-22,400.82
2018-01-21,400.71
2018-01-20,401.18
2018-01-19,401.67
2018-01-18,401.02
2018-01-17,401.28
2018-01-16,402.31
2018-01-15,402.47
2018-01-14,402.15
2018-01-13,403.15
2018-01-12,405.25
2018-01-11,405.33
2018-01-10,403.67
2018-01-09,402.93
2018-01-08,401.71
2018-01-07,401.85
2018-01-06,403.73
2018-01-05,402.21
2018-01-04,401.29
2018-01-03,401.23
2018-01-02,401.33
2018-01-01,401.46
2017-12-31,402.08
2017-12-30,401.91
2017-12-29,401.84
2017-12-28,401.73
2017-12-27,402.21
2017-12-26,402.44
2017-12-25,402.4
2017-12-24,402.65
2017-12-23,402.98
2017-12-22,403.2
2017-12-21,403.06
2017-12-20,403.57
2017-12-19,403.86
2017-12-18,404.0
2017-12-17,404.33
2017-12-16,404.63
2017-12-15,404.69
2017-12-14,404.92
2017-12-13,405.22
2017-12-12,405.24
2017-12-11,405.53
2017-12-10,405.92
2017-12-09,406.26
2017-12-08,406.89
2017-12-07,407.37
2017-12-06,407.93
2017-12-05,408.42
2017-12-04,407.95
2017-12-03,408.63
2017-12-02,409.7
2017-12-01,410.51
2017-11-30,410.77
2017-11-29,411.08
2017-11-28,411.06
2017-11-27,410.59
2017-11-26,411.05
2017-11-25,411.78
2017-11-24,412.37
2017-11-23,413.31
2017-11-22,413.12
2017-11-21,411.25
2017-11-20,409.59
2017-11-19,408.9
2017-11-18,410.07
2017-11-17,410.58
2017-11-16,410.02
2017-11-15,410.27
2017-11-14,409.8
2017-11-13,408.78
2017-11-12,410.13
2017-11-11,410.81
2017-11-10,411.82
2017-11-09,412.84
2017-11-08,413.96
2017-11-07,415.12
2017-11-06,412.94
2017-11-05,412.51
2017-11-04,411.58
2017-11-03,412.28
2017-11-02,412.67
2017-11-01,413.83
2017-10-31,415.73
2017-10-30,415.67
2017-10-29,415.66
2017-10-28,414.09
2017-10-27,414.0
2017-10-26,413.37
2017-10-25,412.04
2017-10-24,410.48
2017-10-23,409.8
2017-10-22,410.21
2017-10-21,411.04
2017-10-20,412.83
2017-10-19,415.36
2017-10-18,417.73
2017-10-17,415.8
2017-10-16,410.34
2017-10-15,408.5
2017-10-14,409.21
2017-10-13,409.97
2017-10-12,410.09
2017-10-11,410.33
2017-10-10,410.75
2017-10-09,410.83
2017-10-08,410.8
2017-10-07,411.43
2017-10-06,411.36
2017-10-05,411.85
2017-10-04,412.41
2017-10-03,413.01
2017-10-02,413.5
2017-10-01,413.77
2017-09-30,414.58
2017-09-29,415.43
2017-09-28,416.3
2017-09-27,417.76
2017-09-26,419.82
2017-09-25,422.23
2017-09-24,423.8
2017-09-23,424.34
2017-09-22,425.93
2017-09-21,427.36
2017-09-20,426.09
2017-09-19,426.32
2017-09-18,425.68
2017-09-17,426.48
2017-09-16,428.19
2017-09-15,431.04
2017-09-14,430.54
2017-09-13,428.63
2017-09-12,428.54
2017-09-11,428.68
2017-09-10,427.99
2017-09-09,428.25
2017-09-08,430.58
2017-09-07,430.48
2017-09-06,426.69
2017-09-05,423.17
2017-09-04,424.91
2017-09-03,426.22
2017-09-02,426.48
2017-09-01,427.96
2017-08-31,430.87
2017-08-30,431.17
2017-08-29,428.23
2017-08-28,425.06
2017-08-27,424.87
2017-08-26,424.65
2017-08-25,426.13
2017-08-24,428.3
2017-08-23,427.92
2017-08-22,428.0
2017-08-21,428.35
2017-08-20,428.31
2017-08-19,428.19
2017-08-18,429.52
2017-08-17,431.44
2017-08-16,433.96
2017-08-15,432.43
2017-08-14,428.99
2017-08-13,428.54
2017-08-12,427.21
2017-08-11,427.61
2017-08-10,427.74
2017-08-09,426.53
2017-08-08,427.16
2017-08-07,430.64
2017-08-06,432.14
2017-08-05,430.61
2017-08-04,431.49
2017-08-03,434.36
2017-08-02,435.48
2017-08-01,436.67
2017-07-31,437.31
2017-07-30,436.55
2017-07-29,434.52
2017-07-28,436.34
2017-07-27,434.88
2017-07-26,432.84
2017-07-25,432.54
2017-07-24,432.62
2017-07-23,431.17
2017-07-22,431.99
2017-07-21,432.32
2017-07-20,430.92
2017-07-19,430.2
2017-07-18,426.61
2017-07-17,425.17
2017-07-16,425.43
2017-07-15,426.47
2017-07-14,427.29
2017-07-13,429.73
2017-07-12,428.83
2017-07-11,426.65
2017-07-10,424.7
2017-07-09,426.2
2017-07-08,428.79
2017-07-07,426.73
2017-07-06,424.13
2017-07-05,422.53
2017-07-04,424.52
2017-07-03,422.95
2017-07-02,422.9
2017-07-01,425.53
2017-06-30,423.98
2017-06-29,421.75
2017-06-28,421.43
2017-06-27,420.28
2017-06-26,420.03
2017-06-25,420.85
2017-06-24,417.54
2017-06-23,416.82
2017-06-22,417.82
2017-06-21,417.31
2017-06-20,413.94
2017-06-19,407.81
2017-06-18,407.47
2017-06-17,410.07
2017-06-16,410.72
2017-06-15,412.34
2017-06-14,410.55
2017-06-13,408.57
2017-06-12,406.65
2017-06-11,406.29
2017-06-10,406.1
2017-06-09,404.89
2017-06-08,400.46
2017-06-07,398.85
2017-06-06,398.87
2017-06-05,399.06
2017-06-04,399.25
2017-06-03,399.76
2017-06-02,400.01
2017-06-01,400.02
2017-05-31,400.31
2017-05-30,400.54
2017-05-29,401.09
2017-05-28,401.52
2017-05-27,402.01
2017-05-26,402.5
2017-05-25,402.78
2017-05-24,403.36
2017-05-23,404.27
2017-05-22,405.24
2017-05-21,407.6
2017-05-20,411.37
2017-05-19,413.47
2017-05-18,413.9
2017-05-17,412.46
2017-05-16,408.97
2017-05-15,408.17
2017-05-14,409.7
2017-05-13,407.8
2017-05-12,406.78
2017-05-11,408.4
2017-05-10,409.72
2017-05-09,410.59
2017-05-08,409.42
2017-05-07,406.38
2017-05-06,406.35
2017-05-05,408.39
2017-05-04,410.88
2017-05-03,410.66
2017-05-02,407.46
2017-05-01,403.54
2017-04-30,403.51
2017-04-29,403.97
2017-04-28,405.47
2017-04-27,403.03
2017-04-26,400.28
2017-04-25,398.74
2017-04-24,396.79
2017-04-23,396.24
2017-04-22,396.6
2017-04-21,396.71
2017-04-20,396.78
2017-04-19,396.97
2017-04-18,397.66
2017-04-17,399.17
2017-04-16,400.97
2017-04-15,400.64
2017-04-14,401.51
2017-04-13,402.9
2017-04-12,398.93
2017-04-11,397.35
2017-04-10,397.71
2017-04-09,398.42
2017-04-08,400.66
2017-04-07,402.68
2017-04-06,400.05
2017-04-05,398.11
2017-04-04,397.69
2017-04-03,398.35
2017-04-02,400.04
2017-04-01,399.38
2017-03-31,398.94
2017-03-30,399.49
2017-03-29,401.53
2017-03-28,403.65
2017-03-27,401.66
2017-03-26,401.64
2017-03-25,402.27
2017-03-24,400.3
2017-03-23,399.05
2017-03-22,398.91
2017-03-21,399.63
2017-03-20,398.07
2017-03-19,396.85
2017-03-18,396.42
2017-03-17,396.2
2017-03-16,396.37
2017-03-15,396.72
2017-03-14,396.58
2017-03-13,396.06
2017-03-12,396.06
2017-03-11,396.64
2017-03-10,396.79
2017-03-09,397.01
2017-03-08,396.92
2017-03-07,397.25
2017-03-06,397.8
2017-03-05,398.5
2017-03-04,400.57
2017-03-03,402.02
2017-03-02,400.81
2017-03-01,399.69
2017-02-28,398.31
2017-02-27,398.39
2017-02-26,398.78
2017-02-25,398.41
2017-02-24,397.72
2017-02-23,398.32
2017-02-22,398.51
2017-02-21,398.53
2017-02-20,398.66
2017-02-19,399.42
2017-02-18,400.2
2017-02-17,401.43
2017-02-16,401.85
2017-02-15,401.13
2017-02-14,401.05
2017-02-13,400.89
