datetime,water_level(ft below land surface)
2018-01-06,628.25
2018-01-05,628.18
2018-01-04,628.22
2018-01-03,628.22
2018-01-02,628.3
2018-01-01,628.32
2017-12-31,628.31
2017-12-30,628.23
2017-12-29,628.25
2017-12-28,628.28
2017-12-27,628.34
2017-12-26,628.28
2017-12-25,628.31
2017-12-24,628.3
2017-12-23,628.32
2017-12-22,628.33
2017-12-21,628.29
2017-12-20,628.27
2017-12-19,628.29
2017-12-18,628.28
2017-12-17,628.28
2017-12-16,628.27
2017-12-15,628.22
2017-12-14,628.2
2017-12-13,628.16
2017-12-12,628.15
2017-12-11,628.15
2017-12-10,628.18
2017-12-09,628.24
2017-12-08,628.28
2017-12-07,628.31
2017-12-06,628.31
2017-12-05,628.33
2017-12-04,628.24
2017-12-03,628.23
2017-12-02,628.21
2017-12-01,628.22
2017-11-30,628.24
2017-11-29,628.24
2017-11-28,628.23
2017-11-27,628.22
2017-11-26,628.24
2017-11-25,628.23
2017-11-24,628.2
2017-11-23,628.22
2017-11-22,628.24
2017-11-21,628.25
2017-11-20,628.23
2017-11-19,628.29
2017-11-18,628.26
2017-11-17,628.18
2017-11-16,628.22
2017-11-15,628.22
2017-11-14,628.14
2017-11-13,628.21
2017-11-12,628.25
2017-11-11,628.24
2017-11-10,628.26
2017-11-09,628.26
2017-11-08,628.3
2017-11-07,628.21
2017-11-06,628.2
2017-11-05,628.2
2017-11-04,628.2
2017-11-03,628.2
2017-11-02,628.22
2017-11-01,628.23
2017-10-31,628.26
2017-10-30,628.22
2017-10-29,628.18
2017-10-28,628.22
2017-10-27,628.2
2017-10-26,628.12
2017-10-25,628.15
2017-10-24,628.19
2017-10-23,628.17
2017-10-22,628.2
2017-10-21,628.19
2017-10-20,628.19
2017-10-19,628.18
2017-10-18,628.15
2017-10-17,628.17
2017-10-16,628.18
2017-10-15,628.25
2017-10-14,628.19
2017-10-13,628.19
2017-10-12,628.2
2017-10-11,628.21
2017-10-10,628.27
2017-10-09,628.2
2017-10-08,628.19
2017-10-07,628.2
2017-10-06,628.17
2017-10-05,628.2
2017-10-04,628.21
2017-10-03,628.23
2017-10-02,628.21
2017-10-01,628.21
2017-09-30,628.24
2017-09-29,628.27
2017-09-28,628.29
2017-09-27,628.3
2017-09-26,628.28
2017-09-25,628.27
2017-09-24,628.27
2017-09-23,628.23
2017-09-22,628.2
2017-09-21,628.18
2017-09-20,628.15
2017-09-19,628.15
2017-09-18,628.17
2017-09-17,628.18
2017-09-16,628.2
2017-09-15,628.14
2017-09-14,628.1
2017-09-13,628.07
2017-09-12,628.06
2017-09-11,628.07
2017-09-10,628.08
2017-09-09,628.11
2017-09-08,628.11
2017-09-07,628.1
2017-09-06,628.1
2017-09-05,628.1
2017-09-04,628.09
2017-09-03,628.1
2017-09-02,628.11
2017-09-01,628.1
2017-08-31,628.11
2017-08-30,628.11
2017-08-29,628.11
2017-08-28,628.14
2017-08-27,628.13
2017-08-26,628.14
2017-08-25,628.15
2017-08-24,628.13
2017-08-23,628.09
2017-08-22,628.1
2017-08-21,628.12
2017-08-20,628.11
2017-08-19,628.12
2017-08-18,628.17
2017-08-17,628.16
2017-08-16,628.14
2017-08-15,628.16
2017-08-14,628.12
2017-08-13,628.11
2017-08-12,628.07
2017-08-11,628.07
2017-08-10,628.08
2017-08-09,628.1
2017-08-08,628.12
2017-08-07,628.1
2017-08-06,628.08
2017-08-05,628.06
2017-08-04,628.06
2017-08-03,628.07
2017-08-02,628.1
2017-08-01,628.08
2017-07-31,628.06
2017-07-30,628.05
2017-07-29,628.06
2017-07-28,628.06
2017-07-27,628.07
