datetime,timezone,water_level(ft below land surface),source,status,comment
2018-02-01 07:00:00,-06:00,129.24,usgs nwis,D,
2018-02-01 06:00:00,-06:00,129.24,usgs nwis,D,
2018-02-01 05:00:00,-06:00,129.26,usgs nwis,D,
2018-02-01 03:00:00,-06:00,129.27,usgs nwis,D,
2018-02-01 02:00:00,-06:00,129.27,usgs nwis,D,
2018-02-01 01:00:00,-06:00,129.28,usgs nwis,D,
2018-02-01 00:00:00,-06:00,129.28,usgs nwis,D,
2018-01-31 23:00:00,-06:00,129.28,usgs nwis,D,
2018-01-31 22:00:00,-06:00,129.29,usgs nwis,D,
2018-01-31 21:00:00,-06:00,129.29,usgs nwis,D,
2018-01-31 19:00:00,-06:00,129.29,usgs nwis,D,
2018-01-31 18:00:00,-06:00,129.30,usgs nwis,D,
2018-01-31 17:00:00,-06:00,129.30,usgs nwis,D,
2018-01-31 15:00:00,-06:00,129.32,usgs nwis,D,
2018-01-31 14:00:00,-06:00,129.32,usgs nwis,D,
2018-01-31 13:00:00,-06:00,129.33,usgs nwis,D,
2018-01-31 11:00:00,-06:00,129.34,usgs nwis,D,
2018-01-31 10:00:00,-06:00,129.34,usgs nwis,D,
2018-01-31 09:00:00,-06:00,129.35,usgs nwis,D,
2018-01-31 07:00:00,-06:00,129.35,usgs nwis,D,
2018-01-31 06:00:00,-06:00,129.36,usgs nwis,D,
2018-01-31 05:00:00,-06:00,129.35,usgs nwis,D,
2018-01-31 03:00:00,-06:00,129.36,usgs nwis,D,
2018-01-31 02:00:00,-06:00,129.37,usgs nwis,D,
2018-01-31 01:00:00,-06:00,129.36,usgs nwis,D,
2018-01-31 00:00:00,-06:00,129.38,usgs nwis,D,
2018-01-30 23:00:00,-06:00,129.38,usgs nwis,D,
2018-01-30 22:00:00,-06:00,129.38,usgs nwis,D,
2018-01-30 21:00:00,-06:00,129.38,usgs nwis,D,
2018-01-30 19:00:00,-06:00,129.38,usgs nwis,D,
2018-01-30 18:00:00,-06:00,129.37,usgs nwis,D,
2018-01-30 17:00:00,-06:00,129.38,usgs nwis,D,
2018-01-30 15:00:00,-06:00,129.39,usgs nwis,D,
2018-01-30 14:00:00,-06:00,129.39,usgs nwis,D,
2018-01-30 13:00:00,-06:00,129.41,usgs nwis,D,
2018-01-30 11:00:00,-06:00,129.42,usgs nwis,D,
2018-01-30 10:00:00,-06:00,129.41,usgs nwis,D,
2018-01-30 09:00:00,-06:00,129.42,usgs nwis,D,
2018-01-30 07:00:00,-06:00,129.43,usgs nwis,D,
2018-01-30 06:00:00,-06:00,129.43,usgs nwis,D,
2018-01-30 05:00:00,-06:00,129.43,usgs nwis,D,
2018-01-30 03:00:00,-06:00,129.44,usgs nwis,D,
2018-01-30 02:00:00,-06:00,129.44,usgs nwis,D,
2018-01-30 01:00:00,-06:00,129.44,usgs nwis,D,
2018-01-30 00:00:00,-06:00,129.44,usgs nwis,D,
2018-01-29 23:00:00,-06:00,129.44,usgs nwis,D,
2018-01-29 22:00:00,-06:00,129.44,usgs nwis,D,
2018-01-29 21:00:00,-06:00,129.44,usgs nwis,D,
2018-01-29 19:00:00,-06:00,129.45,usgs nwis,D,
2018-01-29 18:00:00,-06:00,129.44,usgs nwis,D,
