id,text,created_at,place,coordinates
836626279986249728,RT @twdb_kathleen: Great meeting w/ @EstesForTexas &amp; discussing @twdb #txwater opportunities for #txrural communities. #txlege https://t.co,Tue Feb 28 17:17:03 +0000 2017,None,None
836591819874058245,Well be recruiting at the @txst STEM Internship Fair on March 1 from 12:00 p.m. to 3:30 p.m. More info at https://t.co/QyH5pBWbTQ,Tue Feb 28 15:00:07 +0000 2017,None,None
836331347102863360,Improvements to #txdrought conditions in NE Texas &amp; Lower RGV; statewide reservoir storage levels above normal. https://t.co/PF9UnWYkSX,Mon Feb 27 21:45:06 +0000 2017,None,None
836277684439240707,"RT @twdb_kathleen: Enjoyed catching up w/ @KyleKacal this morning, discussing #txwater for #txag &amp; #txrural communities. @twdb #txlege http",Mon Feb 27 18:11:51 +0000 2017,None,None
836236956707102720,"The Highland Lakes consist of Lake Buchanan, Inks Lake, Lake LBJ, Lake Marble Falls, Lake Travis, &amp; Lake Austin. https://t.co/rEb0w5ZrVB",Mon Feb 27 15:30:01 +0000 2017,None,None
835927420070838272,Well be at the @TexasLandTrusts Texas Land Conservation Conf. March 1 - 3 at the Hilton Austin Airport Hotel. https://t.co/snbDwzkkzj,Sun Feb 26 19:00:02 +0000 2017,None,None
835195890931486722,RT @twdb_bech: Thx @HoustonTX @SylvesterTurner for your strong leadership on major #txwater infrastructure and for your continued support o,Fri Feb 24 18:33:12 +0000 2017,None,None
835187316054446080,RT @twdb_bech: Proud to take part in groundbreaking for the Luce Bayou Project. @twdb has committed roughly $3 billion to this State Water,Fri Feb 24 17:59:07 +0000 2017,None,None
835153660124495872,"Tools used to draft maps &amp; figures (including a planimeter, lettering guide, compass, &amp; ink) before the use of comp https://t.co/LExSt0u4bA",Fri Feb 24 15:45:23 +0000 2017,None,None
835122826545934338,RT @twdb_bech: Refinancing w/ @twdb will save @cityofcc $ millions on #txwater @TxChuy @Dist32StateRep @RepAbelHerrero https://t.co/txCdJwf,Fri Feb 24 13:42:52 +0000 2017,None,None
834825313846751233,RT @twdb_bech: It's a Board Meeting day @twdb...and I have a selfie stick. #GetExcited https://t.co/cxmRfzVIY2,Thu Feb 23 18:00:39 +0000 2017,None,None
834809444408127488,"We approved financial assist. totaling $70,795,908. Of this, $19,495,908 was designated for rural #txwater projects. https://t.co/hwyeRLZF9o",Thu Feb 23 16:57:36 +0000 2017,None,None
834796125563531264,"We approved $4,295,908 to the City of Hudson for wastewater system improvements. #txwater",Thu Feb 23 16:04:40 +0000 2017,None,None
834795167840403461,We approved $15 million to the @CityofGranbury for #txwater system improvements.,Thu Feb 23 16:00:52 +0000 2017,None,None
834792652310736896,"We approved $200,000 to Derby Ing. Utility for #txwater system improvements.",Thu Feb 23 15:50:52 +0000 2017,None,None
834791713621364738,"We approved $51,300,000 to the @CityofCC to refinance #txwater system improvements.",Thu Feb 23 15:47:08 +0000 2017,None,None
834787877674446848,Board meeting has started. @twdb_bech @twdb_kathleen @twdb_peter provide #txwater updates. https://t.co/RIofSTY0nr,Thu Feb 23 15:31:54 +0000 2017,None,None
834785304917733377,"Board meeting starts at 9:30 a.m. at the SFA Bldg., 1700 N. Congress, Rm 170, in Austin. Live video stream at https://t.co/sGs4rq8pqQ.",Thu Feb 23 15:21:40 +0000 2017,None,None
834779870974574597,Well be at the TX Water Utilities Assoc. Feb. 27 March 1 in @cityofcc. Stop by our booth &amp; learn about #txwater. https://t.co/U03un1ivuf,Thu Feb 23 15:00:05 +0000 2017,None,None
834758943687766019,RT @UTRWD: Celebrating #EngineersWeek - for the planning and design of our critical #water and wastewater infrastructure to keep us going!,Thu Feb 23 13:36:55 +0000 2017,None,None
834757211247087617,"Reminder: Board meeting today at the Stephen F. Austin Bldg., 1700 N. Congress, Rm 170, in Austin at 9:30 a.m.",Thu Feb 23 13:30:02 +0000 2017,None,None
834532973567438848,RT @twdb_peter: Spreading the word about @twdb financial assistance for #txwater projects at 2nd Annual S. Texas Water &amp; Wastewater Mgr.'s,Wed Feb 22 22:39:00 +0000 2017,None,None
