id,text,created_at,place,coordinates
936314475426254848,RT @twdb_kathleen: Enjoyed speaking @USAWaterSummit about financing opportunities @twdb &amp; #txwater for #txmanufacturing &amp; innovative techno,Thu Nov 30 19:22:21 +0000 2017,None,None
936283816162971648,RT @WaterPR: @TWDB Director Jackson touts #Texas water initiatives at #AWS2017 in #Austin! Great presentation #p3 https://t.co/SKUmaGlspU,Thu Nov 30 17:20:31 +0000 2017,None,None
936256012046225408,"In 1985, the #txlege created the Agricultural Water Conservation Program. Since then, we have committed more than $ https://t.co/EUJJzS5dU7",Thu Nov 30 15:30:02 +0000 2017,None,None
936037063580966912,"We will be holding a Disaster Recovery Workshop on December 5, 2017, at 1:00 p.m. at the offices of the Houston-Gal https://t.co/80YL8uzaxt",Thu Nov 30 01:00:01 +0000 2017,None,None
935893627200516096,One community that leads TX in innovative efforts to develop new water supplies and conserve existing supplies is https://t.co/q7okK4TWpG,Wed Nov 29 15:30:03 +0000 2017,None,None
935881850156998656,We are proud to be partners in the completion of the meter project in Matagorda Bay. The meter measures the flow of https://t.co/mM5cmcwYuP,Wed Nov 29 14:43:15 +0000 2017,None,None
935539287264808961,RT @twdb_Jeff: So happy to see these signs around the state. We go where the need is. #TxWater #ciscotx #dwsrf https://t.co/56xzWX31On,Tue Nov 28 16:02:02 +0000 2017,None,None
935537931858653184,"RT @twdb_Jeff: Helping small, rural, and agricultural communities thru @twdb financing #dwarf #txwater #gormantx https://t.co/nlkAwbLKRs",Tue Nov 28 15:56:39 +0000 2017,None,None
935531228404572161,Join us for the Drought and Seasonal Forecasting workshop on December 6 at the J.J. Pickle Research Center in Austi https://t.co/icceuxcTg3,Tue Nov 28 15:30:00 +0000 2017,None,None
935229238768103424,"Another week of dry and warm weather brought more drought to Texas. Drought now covers 20% of the state, including https://t.co/77s5ziMa3a",Mon Nov 27 19:30:00 +0000 2017,None,None
935200298355904512,We are inviting former @TWDB employees to celebrate our 60-year anniversary. Help us spread the word to former TWDB https://t.co/LH2UFXQkMA,Mon Nov 27 17:35:00 +0000 2017,None,None
933900653440700416,RT @H2OWonk: Nearly all of Earths water is in the seas (97%). 2% is in the polar ice caps &amp; glaciers. A slim 1% is located in freshwater l,Fri Nov 24 03:30:41 +0000 2017,None,None
933070014084661248,"Happy Thanksgiving! Our offices will be closed November 22-24, 2017. Have a safe and happy holiday! https://t.co/760mpdH4nO",Tue Nov 21 20:30:01 +0000 2017,None,None
932994520186343426,We will be holding a Disaster Recovery Workshop on November 30 at 10:00 a.m. at the offices of the Coastal Bend Cou https://t.co/acOUcYoJFI,Tue Nov 21 15:30:02 +0000 2017,None,None
932664295455944707,How much #txwater do you use? Check out the @A4WE water calculator to find out! https://t.co/LMMGsHr6pt https://t.co/SZG0k74RjC,Mon Nov 20 17:37:50 +0000 2017,None,None
932655736680800256,#TXDrought conditions continue to expand. 15 percent of TX is now in drought.https://t.co/PF9UnWYkSX https://t.co/xKXTLfZr26,Mon Nov 20 17:03:50 +0000 2017,None,None
932632130210992129,"In 1972, @TNRIS was created within our agency. They manage a comprehensive catalogue of all types of geographic dat https://t.co/PMEs9hF3xy",Mon Nov 20 15:30:01 +0000 2017,None,None
931606351482097664,RT @twdb_kathleen: Enjoyed providing @twdb update @acectx San Antonio Chapter #TxWater Forum. Great to see @RepLyleLarson! #satx https://t.,Fri Nov 17 19:33:57 +0000 2017,None,None
931562004556460032,RT @twdb_kathleen: Speaking on panel @acectx San Antonio Chapter #TxWater Surging Ahead Forum w/ @MySAWS &amp; Suzanne Scott w/ San Antonio R,Fri Nov 17 16:37:44 +0000 2017,None,None
931548566300102661,RT @UTRWD: Keep an eye on Texas reservoir levels at the @twdb site 'Water Data for Texas' at https://t.co/k3rIEjY34B#txwater #drought #co,Fri Nov 17 15:44:20 +0000 2017,None,None
931544969847984129,"We are requesting applications for Agricultural Water Conservation Grants. Categories include equipment cost share, https://t.co/hcv98Lp8o4",Fri Nov 17 15:30:02 +0000 2017,None,None
931242971554566144,Drought in Texas in inevitable. So what can we do to ensure we have enough water for our future? Learn how we plan https://t.co/azdtHGnAV5,Thu Nov 16 19:30:00 +0000 2017,None,None
931182578983415808,"You can track flood conditions by monitoring streamgages, weather radar, and weather warnings. All data are display https://t.co/em8EM4YYJh",Thu Nov 16 15:30:02 +0000 2017,None,None
931157396264816641,RT @TexasWCA: @twdb_bech provides an update on the State Water Plan and shares whats next in TX water. #bellcountywatersymposium https://t,Thu Nov 16 13:49:57 +0000 2017,None,None
930963639028166656,"We have several job openings including a Purchaser, Engineer, and Executive Assistant. Check out all of our positio https://t.co/q9W4mCiyi2",Thu Nov 16 01:00:02 +0000 2017,None,None
930943619883782144,RT @twdb_kathleen: .@TWDB_Jeff &amp; I enjoyed catching up w/ @TexasRuralWater this afternoon! Thx for all you do for #txwater. https://t.co/t7,Wed Nov 15 23:40:29 +0000 2017,None,None
930845596625272832,RT @victoriarosetx: @twdb RWPG Region O mtg today in Lubbock. Featuring a discussion on groundwater projections for various uses including,Wed Nov 15 17:10:59 +0000 2017,None,None
930845544230113280,RT @TNRIS: Check out the latest addition to the TNRIS Data Catalog - Stratmap 2017 50cm East TX Lidarhttps://t.co/iPoYOGAgsZ https://t.co,Wed Nov 15 17:10:46 +0000 2017,None,None
930834837547700224,"Happy GIS Day! GIS helps us analyze and visualize geographic information, usually in the form of a map. Our @TNRIS https://t.co/RMeGSAkmhM",Wed Nov 15 16:28:14 +0000 2017,None,None
930812901186850816,RT @TNRIS: Learn more about the TX GIS Mentorship program and how you can be a part of it: https://t.co/dNHarCKfoK https://t.co/suvUDe1yXp,Wed Nov 15 15:01:03 +0000 2017,None,None
930457798390964226,"In 2009, the #txlege created the Brackish Resources Aquifer Characterization System at our agency, and we commenced https://t.co/GxZbVKCJIh",Tue Nov 14 15:30:00 +0000 2017,None,None
930150628428603392,Below normal rain for October. #Txdrought now at 9%. https://t.co/PF9UnWYkSX,Mon Nov 13 19:09:25 +0000 2017,None,None
930095420998500352,"In 1991, the #txlege the Hydrographic Survey program at our agency to provide information on reservoir storage capa https://t.co/Ucw4qRflgu",Mon Nov 13 15:30:03 +0000 2017,None,None
929370637881110529,Thank you for your service. #VeteransDay https://t.co/19hYdfMe6w,Sat Nov 11 15:30:01 +0000 2017,None,None
929054876230979585,RT @ChrisHosek: Communication &amp; Cooperation: State Agency Leadership During a Natural Disaster:We had the pleasure of hosting a policy for,Fri Nov 10 18:35:18 +0000 2017,None,None
929008255057186816,Our Bays and Estuaries program studies the role of freshwater inflows on bay ecology. Read more at https://t.co/At6UsVQpiz,Fri Nov 10 15:30:02 +0000 2017,None,None
928691562258882560,@WaterNewsTexas Thank you!,Thu Nov 09 18:31:37 +0000 2017,None,None
928667633960013824,Congrats @TAWC_TTU on the partnership and for promoting #txwater conservation! https://t.co/7xGdBAT47G,Thu Nov 09 16:56:32 +0000 2017,None,None
928645861126615041,"In 2001, the #txlege created the TX Instream Flows program, an effort between us, @TPWDnews &amp; @TCEQNews. https://t.co/XKfBAX19Fo",Thu Nov 09 15:30:01 +0000 2017,None,None
928347967018463233,RT @jonzeitler: Dr. Kantave (Leyon) Greene of @twdb discussing the Texas Mesonet at #nhwcTexas2017 @nhwcnews https://t.co/WLsoeTGk7W,Wed Nov 08 19:46:17 +0000 2017,None,None
928333380961427456,"RT @twdb_kathleen: Enjoyed listening to @TWDB intern Michael Link present about State Water Planning Across the Nation, through the Lens of",Wed Nov 08 18:48:20 +0000 2017,None,None
928305568875466753,RT @PanhandleGCD: @TXTAGD Mobile Leadership Training in Amarillo today. Robert Bradley with @twdb is telling us all about Management Plans,Wed Nov 08 16:57:49 +0000 2017,None,None
928283477375635456,We began developing groundwater availability models to help regional water planners. Image is of Hueco-Mesilla Bols https://t.co/Th3k1LxH3Z,Wed Nov 08 15:30:02 +0000 2017,None,None
927981483280572418,"Our Groundwater Database contains records on more than 140,000 wells and 2,000 springs. Read more at https://t.co/K5SDZ1kRoH",Tue Nov 07 19:30:01 +0000 2017,None,None
927970739151691777,RT @twdb_peter: Speaking about @twdb disaster relief funds in Yoakum. Lots of work to do on #txwater after #Harvey. https://t.co/5r88oopFRZ,Tue Nov 07 18:47:19 +0000 2017,None,None
927937391767277568,RT @TNRIS: The 30th #txgisforum was a blast! Take a look at photos captured through throughout the event here: https://t.co/RgPyEJCGIj http,Tue Nov 07 16:34:49 +0000 2017,None,None
927921087245152256,We'll be at the @TXScienceSTAT Conference for the Advancement of Science Teaching Nov. 9-11 in Houston. https://t.co/Crcg7l0YyV,Tue Nov 07 15:30:01 +0000 2017,None,None
927919434454523905,RT @twdb_kathleen: Thx @TXGaryJoiner @TexasFarmBureau for spreading the word about @twdb #txag #txwater #conservation grants! #TFBRadio htt,Tue Nov 07 15:23:27 +0000 2017,None,None
927589332403310593,Severe #TxDrought has emerged for the first time in a month. https://t.co/PF9UnWYkSX https://t.co/mzmWvMd1iO,Mon Nov 06 17:31:45 +0000 2017,None,None
927581345236140032,We've been awarded a 2017 Top Workplaces honor by @statesman. We are honored! Read more at https://t.co/h4aCPaFEaK. https://t.co/PY7pO7Pb5S,Mon Nov 06 17:00:00 +0000 2017,None,None
