County,State Well Number,Aquifer,Aquifer Type,Entity/Cooperator,Data Transmission,Latest Transmission Date,Daily High Water Level(feet below land surface),Latitude,Longitude,Status
Anderson,3813106,Carrizo-Wilcox,Confined,Texas Water Development Board,Satellite,1/24/2018,227.69,31.865833, -95.496388,Active
Armstrong,653401,Ogallala,Unconfined,Panhandle GCD,Satellite,1/24/2018,167.19,35.174443,-101.496666,Active
Armstrong,655504,Ogallala,Unconfined,Panhandle GCD,Satellite,1/24/2018,359.37,35.18111,-101.169166,Active
Atascosa,7804508,Carrizo-Wilcox,Confined,Texas Water Development Board,Satellite,1/24/2018,178.47,28.929999,-98.549166,Active
Bailey,1051909,Ogallala,Unconfined,Texas Water Development Board,Satellite,1/24/2018,149.06,34.146666,-102.658333,Active
Bandera,6912206,Edwards-Trinity Plateau,Unconfined,U.S. Geological Survey 1,Satellite,1/24/2018,248.57,29.867777,-99.567221,Active
Bandera,6924225,Trinity,Confined,Texas Water Development Board,Satellite,1/23/2018,418.49,29.734721,-99.074721,Active
Bastrop,5862208,Carrizo-Wilcox,Unconfined,Texas Water Development Board,Satellite,1/24/2018,205.36,30.109444,-97.294721,Active
Baylor,2122850,Seymour,Unconfined,Texas Water Development Board,Satellite,1/24/2018,14.33,28.436388,-97.848888,Active
Bee,7934409,Gulf Coast,Unconfined,Bee GCD,Satellite,1/24/2018,131.07,31.131666,-97.37361,Active
Bell,4054701,Trinity,Confined,Clearwater UWCD,Satellite,1/24/2018,476.94,,,Active
Bell,4057601,Trinity,Confined,Texas Water Development Board,Satellite,1/24/2018,309.83,,,Active
Bell,4057602,Trinity,Confined,Texas Water Development Board,Satellite,1/24/2018,297.8,,,Active
Bell,4058201,Trinity,Confined,Clearwater UWCD,Satellite,1/24/2018,83.32,,,Active
Bell,4061509,Trinity,Confined,Clearwater UWCD,Satellite,1/24/2018,254.11,,,Active
Bell,4062501,Trinity,Confined,Clearwater UWCD,Satellite,1/24/2018,357.34,,,Active
Bell,5802202,Trinity,Unconfined,Clearwater UWCD,Satellite,1/24/2018,369.42,,,Active
Bell,5802302,Trinity,Unconfined,Clearwater UWCD,Satellite,1/24/2018,333.47,,,Active
Bell,5804628,Edwards (Balcones Fault Zone),Confined,Clearwater UWCD,Satellite,1/24/2018,57.93,,,Active
Bell,5804702,Edwards (Balcones Fault Zone),Unconfined,Texas Water Development Board,Satellite,1/24/2018,73.04,,,Active
Bell,5804816,Edwards (Balcones Fault Zone),Confined,Clearwater UWCD,Satellite,1/24/2018,124.17,,,Active
Bexar,6819208,Trinity,Unconfined,Texas Water Development Board,Satellite,1/24/2018,463.74,,,Active
Bexar,6819618,Trinity,Unconfined,Trinity Glen Rose GCD,Satellite,1/24/2018,232.96,,,Active
Bexar,6819806,Trinity,Unconfined,Trinity Glen Rose GCD,Satellite,1/24/2018,229.09,,,Active
Bexar,6820110,Trinity,Unconfined,Texas Water Development Board,Satellite,1/24/2018,277.38,,,Active
Bexar,6820602,Trinity,Unconfined,Trinity Glen Rose GCD,Satellite,1/24/2018,261.23,,,Active
Bexar,6820603,Trinity,Unconfined,Trinity Glen Rose GCD,Satellite,1/24/2018,299.04,,,Active
Bexar,6821519,Trinity,Unconfined,Trinity Glen Rose GCD,Satellite,1/24/2018,288.35,,,Active
Bexar,6827112,Trinity,Unconfined,Trinity Glen Rose GCD,Satellite,1/24/2018,233.15,,,Active
Bexar,6837203,Edwards (Balcones Fault Zone),Confined,Edwards Aquifer Authority 3,Cellular,1/24/2018,67.01,,,Active
Bexar,6853928,Carrizo-Wilcox,Confined,U.S. Geological Survey 1,Satellite,1/2/2018,96.16,,,Active
Brewster,7347404,Other,Unconfined,Texas Water Development Board,Satellite,1/24/2018,145.34,,,Active
Brooks,8455216,Gulf Coast,Unconfined,Texas Water Development Board,Satellite,1/24/2018,109.83,,,Active
Burnet,5714604,Hickory,Confined,Central Texas GCD,Satellite,1/24/2018,187.14,,,Active
Burnet,5715901,Trinity,Confined,Central Texas GCD,Satellite,1/24/2018,243.63,,,Active
Burnet,5715902,Ellenburger-San Saba,Confined,Central Texas GCD,Satellite,1/24/2018,231.87,,,Active
Burnet,5722505,Hickory,Confined,Central Texas GCD,Satellite,1/24/2018,75.44,,,Active
Burnet,5724101,Trinity,Confined,Central Texas GCD,Satellite,1/24/2018,196.95,,,Active
Burnet,5801202,Trinity,Unconfined,Central Texas GCD,Satellite,1/24/2018,99.9,,,Active
Burnet,5809303,Trinity,Confined,Central Texas GCD,Satellite,1/24/2018,446.45,,,Active
Cameron,8860415,Gulf Coast,Unconfined,Texas Water Development Board,Satellite,1/15/2018,47.1,,,Active
Carson,644102,Ogallala,Unconfined,Texas Water Development Board,Satellite,1/24/2018,494.09,,,Active
Carson,646805,Ogallala,Unconfined,Panhandle GCD,Satellite,1/24/2018,402.31,,,Active
Comal,6807407,Trinity,Unconfined,Texas Water Development Board,Satellite,1/24/2018,313,,,Active
Comal,6815211,Trinity,Unconfined,Texas Water Development Board,Satellite,1/24/2018,109.1,,,Active
Coryell,4026201,Trinity,Confined,Texas Water Development Board,Satellite,1/24/2018,727.24,,,Active
Coryell,4035404,Trinity,Confined,Texas Water Development Board,Satellite,1/24/2018,522.54,,,Active
Coryell,4049601,Trinity,Unconfined,Texas Water Development Board,Satellite,1/24/2018,280.87,,,Active
Crockett,5423106,Edwards-Trinity Plateau,Unconfined,Texas Water Development Board,Satellite,1/24/2018,317.06,,,Active
Crosby,2330103,Ogallala,Unconfined,Texas Water Development Board,Satellite,1/24/2018,217.26,,,Active
Culberson,4759123,Other,Unconfined,Texas Water Development Board,Satellite,1/24/2018,254.43,,,Active
Dallam,260303,Ogallala,Unconfined,Texas Water Development Board,Satellite,12/26/2017,404.9,,,Active
Dallas,3319101,Trinity,Confined,Texas Water Development Board,Satellite,1/24/2018,494.3,,,Active
Dallas,3325202,Trinity,Confined,Texas Water Development Board,Satellite,1/24/2018,1088.44,,,Active
Dawson,2825604,Ogallala,Unconfined,Texas Water Development Board,Satellite,1/24/2018,55.49,,,Active
Deaf Smith,1004901,Ogallala,Unconfined,Texas Water Development Board,Satellite,1/24/2018,229.86,,,Active
Donley,1203112,Ogallala,Unconfined,Panhandle GCD,Satellite,1/24/2018,12.87,,,Active
Donley,1204452,Ogallala,Unconfined,Panhandle GCD,Satellite,1/24/2018,139.74,,,Active
Donley,1211118,Ogallala,Unconfined,Panhandle GCD,Satellite,1/24/2018,105.74,,,Active
Duval,8415702,Gulf Coast,Unconfined,Texas Water Development Board,Satellite,1/24/2018,237.25,,,Active
El Paso,4904476,Hueco-Mesilla Bolson,Unconfined,U.S. Geological Survey 1,Satellite,1/24/2018,57.95,,,Active
El Paso,4913301,Hueco-Mesilla Bolson,Unconfined,Texas Water Development Board,Satellite,1/24/2018,294.55,,,Active
Ellis,3325803,Woodbine,Confined,Prairielands GCD,Satellite,1/24/2018,565.43,,,Active
Ellis,3326822,Woodbine,Confined,Prairielands GCD,Satellite,1/24/2018,470.97,,,Active
Ellis,3333203,Trinity,Confined,Prairielands GCD,Satellite,1/24/2018,1347.25,,,Active
Ellis,3334207,Trinity,Confined,Prairielands GCD,Satellite,1/24/2018,873.7,,,Active
Ellis,3334209,Woodbine,Confined,Prairielands GCD,Satellite,1/24/2018,464.84,,,Active
Erath,3155504,Trinity,Unconfined,Texas Water Development Board,Satellite,1/24/2018,193.8,,,Active
Frio,7708511,Carrizo-Wilcox,Confined,Texas Water Development Board,Satellite,1/24/2018,415.46,,,Active
Gillespie,5750108,Ellenburger-San Saba,Confined,Texas Water Development Board,Satellite,1/24/2018,71.37,,,Active
Gillespie,5750324,Ellenburger-San Saba,Confined,Texas Water Development Board,Satellite,1/24/2018,54.86,,,Active
Gillespie,5751407,Ellenburger-San Saba,Confined,Texas Water Development Board,Satellite,1/24/2018,50.51,,,Active
Glasscock,4412611,Edwards-Trinity Plateau,Unconfined,Texas Water Development Board,Satellite,1/24/2018,238.18,,,Active
Gonzales,6727805,Carrizo-Wilcox,Confined,Gonzales County UWCD,Satellite,1/24/2018,41.58,,,Active
Gray,526501,Ogallala,Unconfined,Panhandle GCD,Satellite,12/26/2017,371.5,,,Active
Grayson,1819301,Woodbine,Confined,Texas Water Development Board,Satellite,1/24/2018,240.98,,,Active
Hale,1151403,Ogallala,Unconfined,Texas Water Development Board,Satellite,1/24/2018,210.53,,,Active
Hale,2310401,Edwards-Trinity (High Plains),Unconfined,Texas Water Development Board,Satellite,1/24/2018,177.73,,,Active
