Var 4,Var 8,Var 12,Var 16,Var 20,Var 24,Var 28,Var 32,Var 36,Var 40,Var 44,Var 48,Var 52,Var 56,Var 60,Var 64,Var 68,Var 72,Var 76,Var 80,Var 84,Var 88,Var 92,Var 96,Var 100,Var 104,Var 108,Var 112,Var 116,Var 120,Var 124,Var 128,Var 132,Var 136,Var 140,Var 144,Var 148,Var 152,Var 156,Var 160,Var 164,Var 168,Var 172,Var 176,Var 180,Var 184,Var 188,Var 192,Var 196,Var 200,Var 204,Var 208,Var 212,Var 216,Var 220,Var 224,Var 228,Var 232,Var 236,Var 240,Var 244,Var 248,Var 252,Var 256,Var 260,Var 264,Var 268,Var 272,Var 276,Var 280,Var 284,Var 288,Var 292,Var 296,Var 300,Var 304,Var 308,Var 312,Var 316,Var 320,Var 324,Var 328,Var 332,Var 336,Var 340,Var 344,Var 348,Var 352,Var 356,Var 360,Var 364,Var 368,Var 372,Var 376,Var 380,Var 384,Var 388,Var 392,Var 396,Var 400,Var 404,Var 408,Var 412,Var 416,Var 420,Var 424,Var 428,Var 432,Var 436,Var 440,Var 444,Var 448,Var 452,Var 456,Var 460,Var 464,Var 468,Var 472,Var 476,Var 480,Var 484,Var 488,Var 492,Var 496,Var 500,Var 504,Var 508,Var 512,Var 516,Var 520,Var 524,Var 528,Var 532,Var 536,Var 540,Var 544,Var 548,Var 552,Var 556,Var 560,Var 564,Var 568,Var 572,Var 576,Var 580,Var 584,Var 588,Var 592,Var 596
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,172.1747,175.2992,178.8671,181.0933,186.814,189.1884,187.1122,176.3638,160.8443,141.4334,121.355,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,174.2199,177.9998,182.6143,188.6932,195.8647,203.8394,204.805,193.7308,170.1557,142.3168,113.0954,86.97049,70.3444,69.78647,81.41315,97.02798,111.7707,124.8146,136.2879,143.8544,147.4206,143.9833,134.6044,122.4236,109.3432,98.2836,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,175.834,180.0222,185.1697,192.7637,204.7177,221.3893,228.6907,213.551,180.9242,143.451,103.7595,65.04856,39.01099,41.84872,65.22527,88.6381,110.1409,126.8027,142.1952,156.8323,165.3502,160.0099,143.2415,126.4283,111.1401,96.16506,83.41493,75.16536,72.24827,75.17004,79.27087,81.41397,80.24299,75.26917,73.03753,69.58292,67.00801,71.27089,86.23687,100.4594,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,176.9888,181.353,186.1269,193.1156,207.695,232.7871,247.7955,226.7997,187.8782,144.3427,99.04741,50.41278,13.45734,19.90219,55.63176,86.65481,110.1405,128.2323,145.8817,165.2973,182.0004,174.5234,148.8589,128.3246,110.5367,95.09254,78.39866,65.43548,61.74976,68.98479,76.7601,80.28249,78.82748,74.50937,65.08038,58.14615,60.85637,65.36491,89.39114,100.929,108.9798,118.0605,126.576,128.8036,127.2099,132.0606,139.0281,142.6001,142.6558,133.2708,123.647,128.4621,139.3564,151.2005,161.9535,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,178.9781,182.402,186.4834,190.2377,199.6745,220.0018,232.8668,215.0041,182.4541,144.8399,104.8851,62.22643,29.83584,36.1838,67.93906,92.66894,112.0169,128.277,144.579,161.2011,174.8306,167.0046,144.0591,124.412,109.0977,94.24141,79.29315,64.1274,59.86913,68.3428,77.00439,80.73201,78.32285,71.28555,56.30343,27.63839,37.52179,93.88196,106.3276,99.77331,102.8287,119.183,132.9904,136.9235,136.8831,140.0903,144.4482,143.6091,141.0459,131.3154,119.4113,125.9551,135.596,156.4053,182.5108,173.06,144.5841,140.4346,144.5474,146.6151,137.992,121.0962,105.6257,95.55419,85.97201,67.2822,67.70726,80.17156,91.96122,98.43493,109.7897,119.5633,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,179.2419,183.6058,187.869,189.2688,190.2467,196.2733,199.2368,191.0398,172.5313,147.6803,117.0277,89.90145,74.93015,80.63934,93.57481,102.7492,114.4726,127.2072,140.6154,152.7509,161.3852,158.8873,136.5217,115.079,104.431,94.6179,84.40586,73.74664,70.19479,74.49063,80.2283,83.45693,81.85712,75.59968,60.7837,30.96263,48.5647,151.5235,125.7369,87.10399,88.42398,121.2304,148.4388,150.8085,144.5548,145.2685,148.3984,150.0602,144.9854,135.9241,128.0673,124.877,126.8834,154.1667,188.4398,178.8216,149.3837,143.0386,143.9211,140.1315,128.7929,110.4063,95.7571,91.30528,92.43071,84.08126,77.94836,84.38574,91.44231,97.50688,105.2118,114.1201,130.5127,153.6655,173.1707,197.2744,225.6991,253.5573,263.8708,247.8497,229.6449,201.2885,181.0877,-9999.0,199.8673,199.7771,194.854,181.3696,157.4693,127.2029,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,177.777,182.501,187.8745,189.1384,185.2209,182.4019,181.2417,177.4159,167.3463,150.0112,129.5105,109.825,102.4488,106.3204,109.86,109.4966,116.0191,125.643,135.6778,148.438,164.3741,167.6196,124.7757,99.89562,98.25716,93.21682,85.03819,80.65863,79.71305,80.2941,84.26131,87.92747,88.08045,85.71055,80.46039,75.46718,93.09989,123.2436,118.5075,99.24312,100.8225,126.3762,152.8322,154.9455,145.9568,144.8241,148.2789,158.3703,148.9493,137.0563,127.5948,124.0417,128.6005,146.2314,166.8932,165.161,156.6814,150.3617,147.414,142.3787,128.5937,99.39011,78.22952,81.74627,90.49686,89.1205,86.55296,89.21243,91.06062,95.29996,100.445,107.0798,123.0847,149.041,172.5834,196.518,222.7499,254.6468,267.8802,254.9678,251.2275,228.7223,206.7951,203.8427,204.5851,203.9271,199.1623,184.0946,164.6103,135.1423,89.08363,53.20867,65.21921,101.6721,127.6618,141.7971,151.309,156.1216,159.3891,155.5083,158.3815,177.5659,177.9904,201.6869,236.483,241.3812,234.5138,225.945,222.2592,217.0358,214.737,215.9486,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,174.6035,179.0363,182.3825,183.085,179.3209,174.0051,174.1249,175.9115,168.1417,152.6933,135.8605,119.4193,111.9608,111.0292,111.7776,111.582,116.8464,122.7202,130.796,139.8413,147.2603,141.2252,110.9855,95.68085,93.41341,86.484,78.74244,76.15839,79.29541,84.99676,87.93568,93.52911,96.94756,97.94905,103.1816,102.2102,108.7903,117.4681,118.9504,117.7867,120.0217,129.961,139.8835,145.199,143.9986,144.3071,145.0363,147.6907,145.926,134.8618,115.8922,99.5787,119.0915,143.6406,161.5418,167.1876,165.4765,157.9831,155.1885,156.3415,151.9086,109.7931,76.19294,55.3678,57.75926,80.68966,88.71518,92.1667,92.78344,92.67669,91.92627,93.42825,110.5678,142.4724,177.5938,202.1781,212.9773,231.8955,246.6593,262.7764,282.966,250.2808,-9999.0,-9999.0,210.3768,208.0983,201.4527,191.1354,177.582,152.5591,124.8471,102.0291,106.0546,123.8366,135.2094,144.4086,149.7392,153.8562,159.017,162.1266,168.0643,181.3178,192.5731,222.6973,274.061,259.8138,245.5383,229.4623,221.676,214.0704,210.5266,213.7845,216.6925,219.1211,214.3983,200.2368,174.296,157.6586,182.7716,204.8229,215.9734,229.488,244.2004,261.5872,261.2688,238.4467,219.6239,226.1688,252.2221
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,170.2008,173.5951,175.7621,177.569,177.9997,172.9792,178.3532,183.6271,170.7076,154.3445,138.1032,125.8198,116.1753,112.9847,112.2327,113.5731,115.2271,121.1777,126.089,128.5733,129.0414,120.2682,103.0594,88.02239,78.40834,74.91631,67.31149,64.55216,74.04689,84.96132,93.92079,99.01378,105.9275,112.7703,120.172,121.1207,122.723,120.7081,119.1757,128.2531,130.9432,135.8862,140.9613,143.004,142.5615,143.6124,143.5672,143.5642,143.1998,133.2402,112.9801,90.88754,116.6028,150.9351,177.3858,188.4419,181.5058,172.1075,166.2203,170.0336,184.2238,144.7146,95.87965,46.93932,50.27892,81.49554,92.78593,95.99724,92.21197,89.21093,79.84225,68.68076,93.14173,131.4541,179.2822,213.8525,211.2266,216.3728,231.4524,250.4828,264.0179,240.8988,226.6037,220.447,219.7552,213.6253,209.0488,200.1324,186.6744,173.8341,156.8396,145.8,143.7993,145.5757,144.8758,144.7983,145.5839,147.9652,155.4869,163.8559,173.5627,186.8924,197.4512,212.8785,242.6774,256.4445,249.2201,229.8829,221.197,208.9483,199.7586,212.6123,218.0167,219.8261,218.3174,208.061,188.3157,177.2234,196.1835,203.9715,212.4873,224.4954,234.9922,242.5314,240.5878,231.1723,223.7886,233.5923,269.7187
