var  4,var  8,var  12,var  16,var  20,var  24,var  28,var  32,var  36,var  40,var  44,var  48,var  52,var  56,var  60,var  64,var  68,var  72,var  76,var  80,var  84,var  88,var  92,var  96,var  100,var  104,var  108,var  112,var  116,var  120,var  124,var  128,var  132,var  136,var  140,var  144,var  148,var  152,var  156,var  160,var  164,var  168,var  172,var  176,var  180,var  184,var  188,var  192,var  196,var  200,var  204,var  208,var  212,var  216,var  220,var  224,var  228,var  232,var  236,var  240,var  244,var  248,var  252,var  256,var  260,var  264,var  268,var  272,var  276,var  280,var  284,var  288,var  292,var  296,var  300,var  304,var  308,var  312,var  316,var  320,var  324,var  328,var  332,var  336,var  340,var  344,var  348,var  352,var  356,var  360,var  364,var  368,var  372,var  376,var  380,var  384,var  388,var  392,var  396,var  400,var  404,var  408,var  412,var  416,var  420,var  424,var  428,var  432,var  436,var  440,var  444,var  448,var  452,var  456,var  460,var  464,var  468,var  472,var  476,var  480,var  484,var  488,var  492,var  496,var  500,var  504,var  508,var  512,var  516,var  520,var  524,var  528,var  532,var  536,var  540,var  544,var  548,var  552,var  556,var  560,var  564,var  568,var  572,var  576,var  580,var  584,var  588,var  592,var  596
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,184.2231,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,185.7257,189.7572,195.5543,200.5638,204.2837,205.6867,204.3386,197.2466,184.4121,167.6803,149.1514,130.8324,119.825,115.033,117.7512,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,187.2009,191.4034,198.1815,204.9079,211.5801,217.917,218.6253,209.893,192.0853,168.8702,142.7299,116.5414,100.8222,98.24034,106.7296,117.6364,127.5768,134.358,143.4111,151.8965,154.3702,147.7996,135.046,119.1078,102.7913,88.60366,75.90321,67.90893,64.86375,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,187.8964,192.3158,197.841,206.7378,217.7644,230.4387,236.9918,224.9344,200.0905,170.3288,136.1964,99.3404,75.25399,76.8057,95.12267,112.6925,126.1358,135.8393,148.5643,163.1427,174.2207,166.1805,144.0317,122.5806,103.7448,85.38914,68.44328,55.41402,51.46895,57.33477,65.29318,70.72211,71.7446,68.59267,66.22813,61.29844,55.17398,59.15111,81.52338,99.37632,110.6586,119.5405,128.2295,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,187.65,191.6088,196.546,205.04,219.3829,236.2415,247.1123,231.3946,203.5916,171.8535,134.5482,91.67364,60.44747,65.20906,91.14326,111.4042,125.5113,136.1624,150.5245,169.1546,188.0117,178.5379,147.3663,121.4076,102.0683,83.86761,62.80576,43.64729,38.26836,49.92471,62.50011,69.66238,70.76472,66.19358,59.04393,49.5239,50.74342,59.60992,88.96557,101.8886,110.1005,122.0455,132.879,139.6679,141.2331,145.1411,147.2128,149.2472,148.4814,133.3408,117.8938,125.9425,139.3539,157.0385,170.9064,168.421,156.4395,152.336,151.748,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,186.5503,189.2081,191.037,198.3639,219.8413,234.7275,234.6627,222.8271,201.3863,173.4255,140.9938,105.369,81.42514,84.18263,101.0494,114.4929,125.4491,134.7771,147.4333,160.928,172.2966,163.4711,138.7222,114.4787,98.07988,83.27316,65.65118,46.84003,41.02681,52.14078,63.98629,70.71169,71.05396,66.22137,51.98296,22.35154,29.14165,109.1558,113.2931,100.276,102.59,123.5138,142.5335,148.5273,149.2815,150.0295,150.5878,149.315,145.2584,132.3336,119.741,125.0356,133.4923,161.5289,197.6086,186.2728,155.0286,151.4981,151.5047,149.2884,140.9826,125.3875,111.7037,103.347,97.16265,83.50681,83.11909,93.37974,103.5107,110.9197,117.4137,124.4642,126.7495,119.7449,99.60582,111.5196,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,185.0057,186.4829,183.0727,182.4483,225.1068,257.2264,234.3798,214.9904,197.3246,174.9833,149.8543,124.3875,110.1656,109.2025,112.5906,117.5246,123.2882,132.2895,142.5239,152.7154,163.7272,162.739,128.3959,99.60706,90.58187,82.64562,73.08443,62.01949,57.94176,62.34809,68.90913,73.35819,74.47723,71.26824,60.50071,43.13898,66.06905,151.9039,128.2121,89.52772,91.37311,127.7813,158.2095,160.3882,154.8302,153.0832,154.2483,156.4435,149.7489,139.1008,129.0814,122.7689,124.6427,155.3732,190.442,182.9388,160.3714,154.8998,153.1878,147.3562,134.9844,114.8667,100.8273,97.49893,101.6561,97.15034,91.7882,96.68371,104.7266,110.9755,117.4238,122.9061,125.6284,118.8888,84.82069,98.10267,178.9237,250.3726,274.8332,249.6774,233.6399,207.9522,186.5844,-9999.0,196.4312,195.5132,184.5097,163.7642,139.3011,100.2036,57.81406,25.40053,36.89432,76.16255,112.7054,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,183.221,185.4777,184.08,186.0289,216.9568,238.7421,221.072,207.3351,194.0877,176.7927,155.7024,136.7816,121.7551,115.5282,114.0744,117.4777,122.3821,129.4822,136.2067,147.0979,163.5117,165.1447,109.403,77.40968,81.77567,79.88356,75.61548,71.85027,69.12581,70.49481,73.80805,77.17387,79.49494,80.04286,79.26684,81.44895,97.70745,121.2227,121.1211,108.9603,111.4763,133.9962,156.0131,158.5562,156.4514,156.7207,156.9471,158.0721,151.8956,140.5935,128.9677,123.5834,129.6244,146.903,164.201,166.2813,163.6054,163.4021,160.161,153.4415,140.9179,105.8876,80.61727,83.95464,92.28525,95.05348,95.16084,99.6348,104.2093,112.1331,116.9072,117.9525,120.0541,130.6497,135.0643,154.8255,197.8911,246.0421,266.1974,257.6878,259.8001,238.0088,215.8514,205.4464,207.3605,199.345,188.1493,168.1641,143.2383,110.6306,70.70735,39.19743,50.34979,87.42899,119.2121,138.7633,150.6808,157.976,161.2995,158.001,161.5943,179.3174,180.8648,206.9182,244.3174,246.5353,237.6643,228.0232,220.7185,214.3111,210.794,211.4765,213.825,213.8447,213.0949,203.3865,188.1711,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,180.5764,184.4422,188.0026,194.137,203.4437,201.67,199.6204,199.8592,191.6508,176.6581,157.7281,139.8891,125.9004,117.1309,114.5746,118.371,121.9886,125.0025,130.4032,134.8323,139.3268,129.5137,97.03602,78.12581,77.56686,75.72803,73.11115,72.31199,73.03241,73.76363,76.82155,79.95281,85.75312,89.93259,98.10183,103.1732,112.017,123.2818,127.4839,126.9749,129.4536,138.229,149.2815,155.7045,159.7962,159.3373,158.3183,154.7254,149.1963,138.3164,118.8667,102.3289,119.9113,143.6742,155.3101,160.8658,167.175,175.3976,170.0477,167.3773,170.2953,127.5893,87.79869,47.12951,52.08511,85.90553,96.35235,102.4913,104.8712,107.8381,115.8889,114.9758,112.1998,139.8547,174.3693,207.8154,215.9464,227.624,242.4135,264.5564,288.9774,254.2382,-9999.0,219.0877,213.3309,202.7723,192.9221,176.7059,154.0703,130.4573,103.7074,89.1162,94.61642,112.7683,130.1415,143.8219,150.6068,156.0972,161.4249,165.6937,172.5212,184.4855,197.6953,225.7145,276.7231,260.4161,248.5188,230.5423,220.4157,213.1593,207.6132,210.638,212.9816,216.1811,213.6764,203.4942,181.7838,166.8984,189.632,206.9919,216.9993,230.5691,242.1129,256.719,256.7399,238.0344,220.8965,226.939,252.3341
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,176.7622,180.8758,185.9152,191.9105,197.8198,199.6552,207.5069,201.3602,188.4671,172.1371,156.214,142.2001,130.0548,120.9198,119.0014,119.1501,122.4847,119.2028,120.913,123.2107,121.4441,110.4271,89.86885,71.38322,63.06056,67.33144,69.72186,69.75517,71.94613,75.21979,77.95164,82.68317,90.86243,97.78069,109.5507,116.0122,124.7063,130.56,131.4072,139.1723,139.7685,142.5206,151.2531,163.0167,170.1497,159.9645,156.1983,152.4468,151.1905,141.1593,122.7421,107.0992,123.462,143.9422,156.2241,163.3924,166.7076,172.9945,173.0713,177.5837,193.2011,156.177,106.9527,61.67304,63.08649,90.96529,102.4285,103.395,102.7269,103.8182,114.0825,119.3961,127.2686,150.6587,190.0143,238.1502,227.3922,220.889,229.8595,246.2149,255.6346,240.2574,228.9345,224.528,217.8194,209.1343,198.2104,179.9277,164.2751,145.4458,135.5735,129.8642,133.3493,137.7333,141.951,146.427,147.4099,149.6524,158.0267,166.8548,176.994,190.7266,199.2853,208.3026,224.1433,248.9121,245.3145,228.73,223.0933,207.146,194.1942,208.1663,213.1464,216.0741,217.5104,212.0893,198.9943,191.7547,201.4442,199.9884,211.4478,226.5445,232.658,234.3104,236.1866,230.8215,227.8676,235.6741,260.6253
