var 4,var 8,var 12,var 16,var 20,var 24,var 28,var 32,var 36,var 40,var 44,var 48,var 52,var 56,var 60,var 64,var 68,var 72,var 76,var 80,var 84,var 88,var 92,var 96,var 100,var 104,var 108,var 112,var 116,var 120,var 124,var 128,var 132,var 136,var 140,var 144,var 148,var 152,var 156,var 160,var 164,var 168,var 172,var 176,var 180,var 184,var 188,var 192,var 196,var 200,var 204,var 208,var 212,var 216,var 220,var 224,var 228,var 232,var 236,var 240,var 244,var 248,var 252,var 256,var 260,var 264,var 268,var 272,var 276,var 280,var 284,var 288,var 292,var 296,var 300,var 304,var 308,var 312,var 316,var 320,var 324,var 328,var 332,var 336,var 340,var 344,var 348,var 352,var 356,var 360,var 364,var 368,var 372,var 376,var 380,var 384,var 388,var 392,var 396,var 400,var 404,var 408,var 412,var 416,var 420,var 424,var 428,var 432,var 436,var 440,var 444,var 448,var 452,var 456,var 460,var 464,var 468,var 472,var 476,var 480,var 484,var 488,var 492,var 496,var 500,var 504,var 508,var 512,var 516,var 520,var 524,var 528,var 532,var 536,var 540,var 544,var 548,var 552,var 556,var 560,var 564,var 568,var 572,var 576,var 580,var 584,var 588,var 592,var 596
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,170.4395,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,172.7201,176.0236,179.8726,183.5095,189.1433,192.4793,190.9273,179.8367,162.9019,141.6201,119.5173,100.8457,87.87126,86.0327,92.40643,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,174.6671,178.5769,183.3941,189.952,198.303,208.0851,210.2879,198.4388,172.8596,142.5896,110.7265,81.7379,63.262,63.33955,77.35861,93.47981,111.2633,125.3026,137.7745,146.3164,152.1855,147.6342,136.9273,123.5433,109.6127,97.81316,87.4966,82.08521,79.503,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,176.1643,180.4098,185.5516,193.2605,206.2363,225.5201,234.8913,218.2784,183.2019,143.7202,101.8301,59.8685,30.87177,34.70668,61.75211,87.50126,109.9553,127.2578,143.4803,159.5916,170.112,164.3576,145.3326,127.0944,111.1192,95.59117,81.99269,72.59724,69.52149,73.45134,78.48803,81.0084,79.7803,74.40785,71.29878,67.33241,64.55824,68.41467,85.69772,100.3523,110.0205,117.7433,124.6361,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,178.6036,181.6217,186.1934,192.5575,206.5947,232.3062,248.1075,226.4969,187.5478,144.4812,99.47303,50.54402,12.48558,19.36245,56.49912,87.41357,110.4591,128.3824,146.0331,165.6693,183.4766,175.4431,148.6779,127.841,110.1458,94.74139,77.70235,63.82526,59.94122,68.07063,76.50191,80.24312,78.0702,73.84572,62.67592,52.85361,59.78218,68.5219,92.18559,101.2022,108.2128,118.142,127.6086,130.46,129.501,133.9426,139.9724,142.5765,142.2934,132.2502,120.7417,126.9692,138.6996,152.5109,165.7976,161.0626,147.618,143.6034,146.6824,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,179.4326,183.4765,186.7269,189.6047,196.8798,213.8886,224.1493,208.8827,179.915,146.7028,107.7054,68.84602,40.7674,46.79049,74.0373,95.12299,112.6512,128.085,143.6605,158.7265,169.3025,162.4177,141.7797,122.6297,108.1711,94.1807,81.2168,66.03305,61.7841,69.46458,77.59343,81.23539,78.92854,71.73161,55.49414,20.49955,27.56169,108.5212,112.3456,97.62098,99.54846,119.3466,135.9143,139.8918,138.9346,142.2043,145.9074,144.6827,141.4394,132.0152,122.053,126.3344,133.6879,157.0263,188.1281,177.4058,144.1725,139.9478,144.1564,144.3434,135.5014,118.6774,103.6218,94.59234,86.95283,68.67754,68.51832,80.55859,91.98042,98.19231,109.1902,117.0547,132.2559,152.9277,173.2981,192.766,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,179.0282,183.5892,188.2535,189.5646,188.8217,191.8515,192.9776,186.4221,170.6258,148.1646,119.982,96.03757,84.17505,89.78604,99.13277,104.952,114.9703,126.8464,139.6244,151.599,162.2532,161.7732,134.5841,111.7114,102.9021,94.21724,85.15292,76.21127,72.84582,76.23682,81.25451,84.40281,83.19302,77.70599,64.95275,42.60012,64.90363,148.8582,125.5843,86.15692,87.69669,122.4708,152.5066,154.0571,145.405,145.5191,148.3292,152.9628,146.5161,136.6929,128.6173,124.6294,126.4018,152.074,182.2067,175.2996,151.5593,144.8179,144.3865,139.79,127.5331,107.3409,92.1751,89.76407,94.02053,87.9339,80.52108,85.74971,91.80605,97.2256,104.2857,112.7717,129.083,152.6859,172.9845,197.2797,226.158,256.7291,268.4167,250.453,233.6775,207.19,185.8202,-9999.0,201.1485,200.6867,195.7786,182.4204,158.6667,127.7418,81.56435,46.92917,58.67299,97.14088,125.0879,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,177.1381,182.2666,186.9313,188.0083,183.688,180.0685,178.8639,176.1222,167.0266,150.7054,131.4909,112.9899,105.9149,108.6663,111.1436,110.3238,116.2523,125.2184,134.5438,146.817,162.1375,163.8125,120.2209,96.80725,97.00781,91.96243,84.07747,80.51209,80.39597,81.12802,85.16428,89.27393,89.9346,88.70704,86.31629,83.71486,98.11443,119.041,117.3886,104.8577,106.6937,127.2922,149.3642,152.4282,145.5797,144.588,147.5417,155.8985,149.36,136.4686,125.6003,121.108,128.6524,144.6511,163.8178,165.7071,157.8213,152.0858,148.9904,144.604,132.7362,98.03431,73.36183,77.58812,84.96696,87.40807,87.28458,90.0855,91.39496,94.76496,98.72042,104.4603,120.5613,147.5938,172.7294,197.4234,220.2735,249.7464,262.6952,256.2532,258.8953,235.9167,212.9906,207.2113,206.1868,205.1259,200.475,185.9545,168.5633,139.3661,96.03859,62.78025,73.2696,106.2888,129.7291,142.4353,151.119,155.7433,159.4384,156.7677,160.3224,178.1608,179.9833,206.2355,244.6597,246.565,237.2276,227.0639,222.2692,216.5242,213.9823,215.4368,216.9186,215.324,213.3894,200.678,182.2105,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,173.588,177.7357,180.6476,181.3985,178.5244,172.2885,172.7047,177.8884,168.7535,153.2196,136.8156,120.8006,113.1946,111.3006,111.7314,111.8323,114.9488,122.2988,129.5157,135.7106,141.8192,134.927,109.3497,96.09886,91.3457,83.9866,76.01144,73.58434,78.16231,85.07427,88.82712,94.34402,99.15905,103.337,107.698,108.2974,112.113,118.2135,119.9976,120.9241,123.2264,130.7308,138.0137,143.5634,143.4736,144.1781,144.7555,147.61,144.8997,133.9438,112.1443,91.35291,115.4318,146.1902,162.8824,171.0588,168.7521,164.0622,157.5669,160.5226,161.7858,119.2866,81.1804,44.81997,49.04499,79.16078,89.3394,92.78098,91.72337,91.91106,89.12615,88.38656,106.4027,140.4566,178.5231,204.6509,211.6826,227.204,242.5849,263.0594,285.6974,251.2178,-9999.0,219.3401,211.5299,209.3949,203.2225,193.3547,180.7021,157.9468,133.4187,114.9256,117.0217,129.8711,137.8535,143.9439,149.083,152.8381,158.6165,163.4056,170.3973,182.5403,195.849,224.6126,278.5928,260.8663,248.251,231.1009,221.3367,212.9,208.7499,214.1512,216.8242,219.2477,215.1399,201.0963,174.771,157.0981,183.8459,204.8038,214.9898,228.2373,242.0165,256.7945,255.6342,236.4041,217.7068,225.347,257.4466
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,168.9914,172.1901,174.2785,176.6154,178.47,178.4095,194.2426,186.5188,171.0595,154.0581,138.6532,126.1051,116.7071,113.4636,112.5235,113.9026,115.9193,120.8676,125.1916,126.8687,126.3772,117.0276,99.88213,81.5499,71.86188,71.65221,65.15131,62.25747,73.02361,84.36898,94.89243,100.619,108.2043,117.1315,124.1245,125.127,125.4344,120.6273,117.1234,131.3716,133.1002,136.84,140.7519,142.4734,142.0567,143.0494,144.1053,146.3309,143.1184,137.6445,116.4129,98.79674,120.7418,153.5943,182.6602,195.8159,187.1267,174.9101,171.6043,171.5853,183.1483,148.1193,101.4793,58.33721,59.08676,84.75665,94.52514,96.65469,92.29187,89.56854,77.71879,62.05593,89.77651,132.2976,177.3937,214.2397,210.6201,213.6405,227.7206,243.6627,252.6469,235.406,225.2619,220.3517,220.3062,213.49,211.2276,202.3769,189.453,177.8988,162.8212,153.186,150.4384,150.3564,147.8568,144.6673,142.6714,145.5752,153.7522,163.3244,173.7873,187.0495,196.0167,204.3551,221.2425,248.0764,244.9788,228.6484,222.07,206.803,194.1221,211.858,218.4029,220.1302,219.7556,211.2783,195.1622,187.0458,200.1509,202.7291,210.9245,223.462,232.9628,239.0299,236.9727,229.6645,226.7631,237.0253,267.8907
