var4,var8,var12,var16,var20,var24,var28,var32,var36,var40,var44,var48,var52,var56,var60,var64,var68,var72,var76,var80,var84,var88,var92,var96,var100,var104,var108,var112,var116,var120,var124,var128,var132,var136,var140,var144,var148,var152,var156,var160,var164,var168,var172,var176,var180,var184,var188,var192,var196,var200,var204,var208,var212,var216,var220,var224,var228,var232,var236,var240,var244,var248,var252,var256,var260,var264,var268,var272,var276,var280,var284,var288,var292,var296,var300,var304,var308,var312,var316,var320,var324,var328,var332,var336,var340,var344,var348,var352,var356,var360,var364,var368,var372,var376,var380,var384,var388,var392,var396,var400,var404,var408,var412,var416,var420,var424,var428,var432,var436,var440,var444,var448,var452,var456,var460,var464,var468,var472,var476,var480,var484,var488,var492,var496,var500,var504,var508,var512,var516,var520,var524,var528,var532,var536,var540,var544,var548,var552,var556,var560,var564,var568,var572,var576,var580,var584,var588,var592,var596
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,125.6077,123.1871,121.1348,118.4401,114.9207,105.1684,97.11835,91.02226,84.69016,76.79987,69.052,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,127.6442,125.4945,123.6717,121.1213,117.571,107.742,99.06867,91.67179,83.21909,72.3657,60.70573,50.52877,45.87849,49.87954,57.66352,70.47225,82.24164,92.52534,100.3962,106.0495,111.3692,113.7452,113.5413,111.4973,110.3337,111.4395,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,135.2894,129.0502,126.9257,124.7809,121.4836,116.5794,102.747,94.14212,83.56081,69.44632,52.80723,36.16822,26.98998,33.43694,46.54655,65.92281,81.70918,94.03181,103.7236,110.5595,116.0911,117.0163,116.3528,112.9446,110.4265,110.3374,109.6238,110.6929,113.1405,119.3394,124.8686,130.1097,133.3443,136.6842,140.4113,143.4638,144.7761,147.809,148.6865,149.2248,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,137.6654,137.0986,130.9459,129.5801,126.971,122.4517,111.7459,99.3353,86.47668,70.48232,49.76556,26.42423,10.89788,20.74697,40.81227,66.15993,84.06423,97.88328,108.5969,117.1114,123.3892,123.619,120.4611,114.4046,109.9812,108.5153,107.1968,107.8544,113.4104,116.5707,123.7219,128.7396,133.7835,137.5079,141.1702,145.3806,147.8956,150.4395,149.6779,149.8548,149.9549,150.5179,151.0962,151.7585,151.7373,150.6675,146.5542,138.5151,136.3208,133.8124,125.3749,129.612,139.4405,151.6253,160.7435,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,140.1963,140.4135,137.591,135.6233,134.3434,130.863,120.7764,108.0523,94.23269,77.54949,56.98375,34.15027,18.59249,30.88134,52.29588,74.98907,90.14127,102.6893,114.3615,125.8767,133.9108,134.3189,125.1126,114.9097,108.2697,105.6025,103.7287,103.5954,109.1671,113.7929,120.7195,127.0258,133.0238,138.4316,143.2783,146.5336,149.5569,151.6895,151.2664,150.1505,150.42,151.9275,153.773,154.0873,154.4858,155.6849,155.9553,147.4434,141.4795,133.0274,119.0739,126.2086,136.3619,155.9995,179.7551,174.1337,150.4556,145.6193,149.223,151.0233,143.7578,127.9267,113.6497,104.3446,97.80968,92.44208,92.29694,99.9594,110.1251,121.3167,127.2592,130.9456,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,145.9456,143.8649,145.3814,142.8734,143.8528,142.3847,136.6846,123.0355,106.0387,89.83631,73.26165,59.7561,56.28226,69.42357,81.14027,89.93314,97.43018,107.3989,119.8117,135.138,150.3153,151.9147,130.2967,111.5553,104.3383,101.3783,98.91228,98.41965,103.2015,109.2514,117.9047,125.0425,132.0226,138.1572,143.4167,147.0743,151.183,153.0566,151.6567,149.9717,150.2677,153.2826,157.7919,158.2145,156.5115,159.779,166.2174,160.3397,151.4656,138.6464,129.613,127.153,128.4349,154.2889,189.439,182.2696,153.9937,147.6026,148.8413,144.595,133.2476,114.0128,99.85625,96.51485,92.16438,92.87552,95.31645,101.6097,110.8786,117.8961,124.9702,126.7317,128.7316,119.5225,83.95213,91.3931,172.0919,243.0724,269.0843,250.9904,231.9076,202.6624,180.155,-9999.0,200.5528,203.8026,195.1427,183.8763,163.7316,127.9307,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,147.9439,149.8652,150.2915,153.337,155.4788,157.5117,153.6055,139.5415,122.5791,103.2191,90.14696,83.66353,88.19345,100.6717,104.5207,101.9998,103.1823,110.5251,122.2145,139.0504,160.5133,166.8362,125.86,100.7818,98.90726,96.05133,92.19831,92.90742,96.03922,103.6303,114.1605,122.8921,130.8616,137.6319,141.7915,146.1641,150.4729,151.5168,149.4207,148.2783,149.4655,153.0028,159.1083,159.6021,155.5512,157.3954,161.9165,166.7697,157.4483,142.791,130.2174,126.6386,130.2592,148.3877,168.0834,169.501,159.9314,155.9538,154.2306,144.0826,125.825,94.24078,73.17619,88.00034,90.66019,92.63821,99.82275,105.1813,112.644,118.01,122.433,120.3259,121.8501,127.6494,116.8422,131.7267,191.793,254.3797,281.9373,259.243,250.558,230.0895,208.6311,204.1613,208.9223,208.1701,199.4353,188.8611,165.9063,134.1246,89.21486,51.92688,60.00394,94.58244,125.5321,146.2791,158.0249,163.3624,162.0109,155.7969,157.3126,176.7722,177.6841,197.9236,230.8826,237.6033,229.5566,219.8561,211.836,205.1127,203.49,202.3934,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,149.2988,152.0959,156.6817,161.6336,169.7184,176.2963,174.7024,159.0289,137.3904,115.3195,102.1892,96.67835,99.87243,107.55,109.2928,106.0974,106.216,111.5078,120.8016,132.7587,145.3312,143.0515,111.5252,96.2589,94.87741,88.85966,82.43534,81.56711,88.06775,98.23718,110.4056,121.0603,129.9665,135.5989,141.1728,145.1374,149.1309,149.4731,149.1539,148.7824,149.6917,151.9939,153.7278,155.3294,152.6034,153.1208,155.9087,157.3367,151.2452,139.5114,120.2246,103.8485,121.736,144.0426,160.9769,167.2371,166.2191,163.6936,161.1471,151.882,129.9833,92.40394,65.78567,87.08223,98.29129,100.301,104.6873,108.3969,109.9312,116.9456,119.839,111.4132,104.9631,134.3974,165.5787,196.2141,212.982,234.5759,252.2533,262.2926,280.054,253.6938,-9999.0,-9999.0,217.4962,214.79,205.1739,196.1471,177.2987,153.8481,120.2603,93.01048,95.01457,113.0936,135.4689,149.5499,157.9418,162.7868,163.8042,163.224,167.8189,180.8839,189.8822,218.5055,268.3882,256.4287,238.5519,222.3643,211.1188,202.0487,197.7922,199.2674,203.2005,204.7463,202.125,192.5537,172.7082,157.5938,178.4633,200.6443,211.9668,224.1584,240.8207,262.2391,263.8459,237.1353,219.0983,218.8635,224.0389
"-9999.0",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,149.6841,152.9567,158.7378,166.3929,179.7529,193.2487,195.5607,176.6715,148.6067,125.0062,108.8137,102.3079,102.246,105.1727,106.2626,106.0105,107.6199,111.9074,118.2219,124.1479,126.5597,119.6228,103.0562,90.29288,81.2569,77.58181,70.80515,68.34805,78.41058,93.00604,106.8987,119.9984,128.9015,135.4312,140.8763,144.5144,147.8731,147.9739,148.1736,147.8147,148.3553,149.2738,150.0954,150.3358,148.3455,148.3071,150.6647,150.1255,149.3503,135.8621,113.3636,89.65477,115.7673,150.0568,171.8534,181.9384,174.2397,165.1563,165.4731,163.6107,146.1489,120.1912,102.4697,106.3422,111.1173,110.9014,112.6532,110.7564,107.7736,109.5186,116.8182,116.8555,116.3474,148.6088,195.2784,239.6856,233.3725,226.999,236.3488,254.1994,269.0573,249.2811,235.1691,229.446,223.0459,220.3438,211.9591,202.6754,189.4546,174.0352,152.3284,137.0325,131.3161,137.8671,146.9537,152.9397,155.5817,159.3839,163.7332,169.2704,176.1176,186.1694,197.4364,215.4521,248.6288,248.5053,242.4253,220.0487,208.664,194.9283,185.2556,196.6651,204.7679,205.2406,204.7973,198.5489,182.2238,170.3978,189.194,200.7612,207.4221,218.2346,229.7841,239.1892,238.6014,227.4806,219.1578,220.0451,224.9741
