date,average_water_level
2018-02-01,131.18000000000004
2018-01-31,131.17999999999998
2018-01-30,131.17999999999998
2018-01-29,131.17999999999998
2018-01-28,131.18541666666673
2018-01-27,131.19000000000003
2018-01-26,131.19000000000003
2018-01-25,131.19000000000003
2018-01-24,131.1200000000001
2018-01-23,131.05833333333334
2018-01-22,130.98250000000002
2018-01-21,130.99666666666667
2018-01-20,131.0554166666667
2018-01-19,131.11458333333331
2018-01-18,131.2566666666667
2018-01-17,131.33708333333337
2018-01-16,131.27999999999997
2018-01-15,131.20250000000001
2018-01-14,131.31458333333327
2018-01-13,131.32208333333332
2018-01-12,131.2529166666666
2018-01-11,131.11125
2018-01-10,131.14416666666662
2018-01-09,131.21916666666667
2018-01-08,131.20833333333334
2018-01-07,131.23958333333337
2018-01-06,131.36124999999996
2018-01-05,131.36999999999992
2018-01-04,131.38499999999996
2018-01-03,131.42166666666662
2018-01-02,131.4704166666667
2018-01-01,131.48458333333335
2017-12-31,131.34083333333336
2017-12-30,131.31750000000002
2017-12-29,131.38624999999993
2017-12-28,131.3899999999999
2017-12-27,131.3708333333333
2017-12-26,131.33166666666662
2017-12-25,131.38708333333327
2017-12-24,131.3904166666666
2017-12-23,131.38416666666674
2017-12-22,131.2454166666666
2017-12-21,131.29500000000004
2017-12-20,131.34000000000003
2017-12-19,131.38416666666663
2017-12-18,131.42999999999998
2017-12-17,131.42999999999998
2017-12-16,131.47833333333344
2017-12-15,131.48833333333332
2017-12-14,131.4308333333333
2017-12-13,131.4845833333334
2017-12-12,131.51000000000008
2017-12-11,131.51000000000008
2017-12-10,131.5
2017-12-09,131.48
2017-12-08,131.50375
2017-12-07,131.52
2017-12-06,131.51083333333332
2017-12-05,131.44166666666663
2017-12-04,131.44249999999997
2017-12-03,131.4825
2017-12-02,131.5045833333334
2017-12-01,131.52416666666673
2017-11-30,131.53000000000006
2017-11-29,131.52583333333334
2017-11-28,131.52416666666673
2017-11-27,131.56124999999994
2017-11-26,131.56000000000003
2017-11-25,131.51458333333332
2017-11-24,131.56125
2017-11-23,131.62333333333342
2017-11-22,131.59708333333336
2017-11-21,131.51625000000004
2017-11-20,131.62166666666667
2017-11-19,131.65124999999998
2017-11-18,131.52750000000003
2017-11-17,131.54333333333338
2017-11-16,131.55000000000004
2017-11-15,131.55000000000004
2017-11-14,131.5708333333333
2017-11-13,131.5766666666667
2017-11-12,131.57000000000002
2017-11-11,131.57624999999993
2017-11-10,131.57999999999996
2017-11-09,131.57625000000004
2017-11-08,131.53708333333338
2017-11-07,131.505
2017-11-06,131.5
2017-11-05,131.5
2017-11-04,131.5
2017-11-03,131.48458333333335
2017-11-02,131.44083333333336
2017-11-01,131.45999999999995
2017-10-31,131.46999999999994
2017-10-30,131.4945833333334
2017-10-29,131.5466666666667
2017-10-28,131.55333333333337
2017-10-27,131.44458333333338
2017-10-26,131.47625000000002
2017-10-25,131.57999999999996
2017-10-24,131.57291666666666
2017-10-23,131.52
2017-10-22,131.485
2017-10-21,131.4654166666666
2017-10-20,131.49541666666673
2017-10-19,131.51000000000008
2017-10-18,131.51708333333332
2017-10-17,131.53416666666666
2017-10-16,131.51874999999998
2017-10-15,131.42624999999998
2017-10-14,131.40999999999997
2017-10-13,131.40999999999997
2017-10-12,131.40999999999997
2017-10-11,131.40166666666664
2017-10-10,131.35916666666665
2017-10-09,131.23333333333326
2017-10-08,131.21999999999994
2017-10-07,131.2241666666666
2017-10-06,131.2929166666667
2017-10-05,131.33999999999995
2017-10-04,131.3570833333334
2017-10-03,131.34708333333333
2017-10-02,131.32999999999996
2017-10-01,131.36375000000007
2017-09-30,131.38000000000008
2017-09-29,131.38000000000008
2017-09-28,131.38708333333327
2017-09-27,131.3899999999999
2017-09-26,131.3899999999999
2017-09-25,131.39666666666673
2017-09-24,131.41583333333338
2017-09-23,131.42000000000004
2017-09-22,131.42000000000004
2017-09-21,131.42000000000004
2017-09-20,131.42000000000004
2017-09-19,131.43624999999994
2017-09-18,131.44999999999996
2017-09-17,131.44999999999996
2017-09-16,131.44583333333335
2017-09-15,131.44000000000003
2017-09-14,131.44000000000003
2017-09-13,131.455
2017-09-12,131.50958333333332
2017-09-11,131.5845833333334
2017-09-10,131.61749999999992
2017-09-09,131.61999999999992
2017-09-08,131.6254166666667
2017-09-07,131.6379166666666
2017-09-06,131.6399999999999
2017-09-05,131.64708333333337
2017-09-04,131.67124999999996
2017-09-03,131.67999999999998
2017-09-02,131.67541666666673
2017-09-01,131.66291666666663
2017-08-31,131.6533333333333
2017-08-30,131.6383333333333
2017-08-29,131.63000000000008
2017-08-28,131.63000000000008
2017-08-27,131.62249999999992
2017-08-26,131.62708333333327
2017-08-25,131.8954166666667
2017-08-24,131.94000000000003
2017-08-23,131.9470833333333
2017-08-22,131.94999999999996
2017-08-21,131.94500000000002
2017-08-20,131.92000000000004
2017-08-19,131.91291666666672
2017-08-18,131.8920833333334
2017-08-17,131.8704166666667
2017-08-16,131.84625000000003
2017-08-15,131.84000000000003
2017-08-14,131.84000000000003
2017-08-13,131.85250000000005
2017-08-12,131.87416666666675
2017-08-11,131.88000000000008
2017-08-10,131.8725000000001
2017-08-09,131.85583333333332
2017-08-08,131.84583333333336
2017-08-07,131.83499999999995
2017-08-06,131.84333333333328
2017-08-05,131.84999999999994
2017-08-04,131.84208333333328
2017-08-03,131.81708333333336
2017-08-02,131.7733333333334
2017-08-01,131.75
2017-07-31,131.71291666666662
2017-07-30,131.66375000000005
2017-07-29,131.63000000000008
2017-07-28,131.63000000000008
2017-07-27,131.63000000000008
2017-07-26,131.62625
2017-07-25,131.6133333333333
2017-07-24,131.59999999999994
2017-07-23,131.59999999999994
2017-07-22,131.59999999999994
2017-07-21,131.6141666666666
2017-07-20,131.65375000000003
2017-07-19,131.6545833333334
2017-07-18,131.60791666666674
2017-07-17,131.54624999999996
2017-07-16,131.54
2017-07-15,131.5229166666666
2017-07-14,131.47125000000003
2017-07-13,131.40333333333334
2017-07-12,131.30749999999998
2017-07-11,131.27875000000006
2017-07-10,131.24333333333325
2017-07-09,131.20375
2017-07-08,131.1570833333333
2017-07-07,131.12583333333325
2017-07-06,131.07208333333332
2017-07-05,131.0016666666666
2017-07-04,130.96999999999994
2017-07-03,130.96999999999994
2017-07-02,130.95208333333332
2017-07-01,130.87541666666667
2017-06-30,130.80999999999997
2017-06-29,130.80999999999997
2017-06-28,130.80999999999997
2017-06-27,130.80999999999997
2017-06-26,130.80999999999997
2017-06-25,130.80083333333337
2017-06-24,130.75083333333325
2017-06-23,130.6204166666666
2017-06-22,130.57999999999996
2017-06-21,130.57999999999996
2017-06-20,130.57999999999996
2017-06-19,130.54791666666668
2017-06-18,130.51000000000008
2017-06-17,130.51000000000008
2017-06-16,130.51000000000008
2017-06-15,130.51000000000008
2017-06-14,130.51000000000008
2017-06-13,130.51000000000008
2017-06-12,130.51000000000008
2017-06-11,130.51000000000008
2017-06-10,130.51000000000008
2017-06-09,130.51000000000008
2017-06-08,130.51000000000008
2017-06-07,130.5004166666666
2017-06-06,130.48999999999992
2017-06-05,130.51708333333337
2017-06-04,130.5870833333334
2017-06-03,130.6100000000001
2017-06-02,130.6100000000001
2017-06-01,130.61791666666662
2017-05-31,130.61999999999992
2017-05-30,130.61999999999992
2017-05-29,130.59833333333336
2017-05-28,130.55083333333337
2017-05-27,130.55000000000004
2017-05-26,130.55000000000004
2017-05-25,130.55000000000004
2017-05-24,130.55000000000004
2017-05-23,130.58166666666668
2017-05-22,130.5808333333333
2017-05-21,130.57458333333332
2017-05-20,130.50458333333333
2017-05-19,130.45125000000004
2017-05-18,130.44000000000003
2017-05-17,130.44000000000003
2017-05-16,130.44000000000003
2017-05-15,130.4358333333333
2017-05-14,130.4195833333334
2017-05-13,130.38833333333332
2017-05-12,130.3654166666667
2017-05-11,130.3600000000001
2017-05-10,130.3600000000001
2017-05-09,130.3600000000001
2017-05-08,130.3600000000001
2017-05-07,130.34333333333342
2017-05-06,130.32000000000002
2017-05-05,130.3158333333333
2017-05-04,130.27583333333328
2017-05-03,130.19000000000003
2017-05-02,130.19000000000003
2017-05-01,130.1820833333334
2017-04-30,130.1441666666667
2017-04-29,130.01083333333338
2017-04-28,130.01000000000008
2017-04-27,130.00708333333327
2017-04-26,129.87916666666658
2017-04-25,129.90833333333333
2017-04-24,130.01750000000007
2017-04-23,130.0654166666667
2017-04-22,129.94958333333338
2017-04-21,129.92000000000004
2017-04-20,129.92000000000004
2017-04-19,129.90749999999997
2017-04-18,129.88041666666672
2017-04-17,129.88000000000008
2017-04-16,129.88000000000008
2017-04-15,129.88000000000008
2017-04-14,129.88000000000008
2017-04-13,129.88000000000008
2017-04-12,129.85041666666666
2017-04-11,129.79000000000005
2017-04-10,129.76000000000008
2017-04-09,129.76000000000008
2017-04-08,129.79416666666665
2017-04-07,129.83708333333337
2017-04-06,129.81916666666672
2017-04-05,129.7279166666667
2017-04-04,129.6100000000001
2017-04-03,129.6100000000001
2017-04-02,129.6100000000001
2017-04-01,129.6100000000001
2017-03-31,129.6100000000001
2017-03-30,129.60250000000008
2017-03-29,129.54083333333338
2017-03-28,129.57291666666669
2017-03-27,129.59000000000003
2017-03-26,129.6070833333334
2017-03-25,129.6258333333333
2017-03-24,129.62124999999995
2017-03-23,129.66541666666663
2017-03-22,129.67999999999998
2017-03-21,129.6920833333333
2017-03-20,129.71499999999995
2017-03-19,129.71999999999994
2017-03-18,129.7154166666667
2017-03-17,129.71
2017-03-16,129.71
2017-03-15,129.71
2017-03-14,129.69874999999996
2017-03-13,129.67999999999998
2017-03-12,129.66458333333333
2017-03-11,129.67249999999999
2017-03-10,129.71
2017-03-09,129.73583333333332
2017-03-08,129.74583333333328
2017-03-07,129.66750000000005
2017-03-06,129.66583333333338
2017-03-05,129.71583333333334
