date,average_water_level
2018-02-01,414.41
2018-01-31,414.5045833333335
2018-01-30,414.7654166666668
2018-01-29,414.87666666666655
2018-01-28,414.90375
2018-01-27,414.99708333333325
2018-01-26,415.19166666666655
2018-01-25,415.4470833333332
2018-01-24,415.4599999999998
2018-01-23,415.4599999999998
2018-01-22,415.5175
2018-01-21,415.6979166666665
2018-01-20,415.9170833333335
2018-01-19,416.0812500000001
2018-01-18,416.44499999999994
2018-01-17,416.51000000000016
2018-01-16,416.51000000000016
2018-01-15,416.5691666666667
2018-01-14,416.6200000000001
2018-01-13,416.6200000000001
2018-01-12,416.6200000000001
2018-01-11,416.7624999999999
2018-01-10,416.91458333333344
2018-01-09,417.08708333333317
2018-01-08,417.33541666666656
2018-01-07,417.4470833333335
2018-01-06,417.64041666666657
2018-01-05,417.82041666666663
2018-01-04,417.9470833333333
2018-01-03,418.0883333333333
2018-01-02,418.25875000000013
2018-01-01,418.35999999999996
2017-12-31,418.35999999999996
2017-12-30,418.43250000000006
2017-12-29,418.63583333333355
2017-12-28,418.88208333333336
2017-12-27,418.9099999999999
2017-12-26,418.925
2017-12-25,418.9891666666665
2017-12-24,419.01041666666646
2017-12-23,419.0654166666665
2017-12-22,419.1233333333333
2017-12-21,419.33458333333334
2017-12-20,419.48499999999984
2017-12-19,419.6179166666666
2017-12-18,419.9049999999999
2017-12-17,419.92250000000007
2017-12-16,420.0008333333332
2017-12-15,420.09708333333356
2017-12-14,420.1195833333332
2017-12-13,420.46833333333325
2017-12-12,420.5791666666667
2017-12-11,420.68999999999977
2017-12-10,420.7299999999998
2017-12-09,420.75208333333353
2017-12-08,420.83624999999984
2017-12-07,420.8799999999999
2017-12-06,420.8799999999999
2017-12-05,420.8799999999999
2017-12-04,420.91041666666683
2017-12-03,421.07500000000005
2017-12-02,421.2062499999999
2017-12-01,421.29416666666657
2017-11-30,421.36958333333337
2017-11-29,421.41249999999997
2017-11-28,421.4287500000002
2017-11-27,421.47791666666666
2017-11-26,421.5
2017-11-25,421.53833333333336
2017-11-24,421.63166666666666
2017-11-23,421.67
2017-11-22,421.67
2017-11-21,421.6899999999998
2017-11-20,421.7099999999998
2017-11-19,421.7099999999998
2017-11-18,421.7099999999998
2017-11-17,421.7099999999998
2017-11-16,421.70875
2017-11-15,421.69999999999993
2017-10-20,423.72
2017-10-19,423.72
2017-10-18,423.72
2017-10-17,423.7137500000003
2017-10-16,423.6899999999999
2017-10-15,423.6608333333333
2017-10-14,423.6599999999999
2017-10-13,423.6599999999999
2017-10-12,423.6566666666665
2017-10-11,423.56458333333336
2017-10-10,423.3466666666666
2017-10-09,423.3133333333332
2017-10-08,423.29999999999995
2017-10-07,423.28416666666664
2017-10-06,423.28
2017-10-05,423.28
2017-10-04,423.2149999999999
2017-10-03,422.95958333333346
2017-10-02,422.8404166666667
2017-10-01,422.8025000000002
2017-09-30,422.74041666666676
2017-09-29,422.50250000000005
2017-09-28,422.3104166666667
2017-09-27,422.3100000000001
2017-09-26,422.23374999999993
2017-09-25,422.1566666666665
2017-09-24,421.8770833333333
2017-09-23,421.83916666666664
2017-09-22,421.7312499999999
2017-09-21,421.48374999999993
2017-09-20,421.3058333333334
2017-09-19,421.22291666666666
2017-09-18,421.0929166666668
2017-09-17,420.8370833333333
2017-09-16,420.7541666666668
2017-09-15,420.4120833333333
2017-09-14,420.3274999999999
2017-09-13,420.3100000000001
2017-09-12,420.3100000000001
2017-09-11,420.3100000000001
2017-09-10,420.3066666666667
2017-09-09,420.29999999999995
2017-09-08,420.29999999999995
2017-09-07,419.8212500000002
2017-09-06,419.5783333333334
2017-09-05,419.3570833333333
2017-09-04,419.3500000000002
2017-09-03,419.2825000000001
2017-09-02,419.08
2017-09-01,418.8270833333333
2017-08-31,418.63375
2017-08-30,418.35083333333324
2017-08-29,418.3204166666665
2017-08-28,418.31125000000014
2017-08-27,418.26208333333335
2017-08-26,418.1537499999998
2017-08-25,418.11416666666673
2017-08-24,418.0045833333332
2017-08-23,417.8725000000002
2017-08-22,417.8450000000001
2017-08-21,417.82166666666654
2017-08-20,417.6304166666666
2017-08-19,417.34208333333345
2017-08-18,417.3304166666666
2017-08-17,417.32124999999996
2017-08-16,417.0966666666668
2017-08-15,416.8270833333333
2017-08-14,416.7691666666669
2017-08-13,416.6845833333334
2017-08-12,416.6566666666665
2017-08-11,416.6225000000002
2017-08-10,416.42541666666665
2017-08-09,416.3266666666666
2017-08-08,416.3199999999999
2017-08-07,416.3199999999999
2017-08-06,416.0758333333334
2017-08-05,415.8116666666667
2017-08-04,415.65249999999975
2017-08-03,415.5033333333333
2017-08-02,415.30041666666654
2017-08-01,415.08458333333346
2017-07-31,414.80541666666676
2017-07-30,414.5820833333334
2017-07-29,414.33375
2017-07-28,414.26833333333315
2017-07-27,414.0983333333333
2017-07-26,413.8454166666667
2017-07-25,413.63499999999993
2017-07-24,413.3383333333333
2017-07-23,413.3008333333335
2017-07-22,413.23875000000015
2017-07-21,413.1862499999999
2017-07-20,413.14541666666673
2017-07-19,412.9925
2017-07-18,412.89333333333343
2017-07-17,412.84458333333345
2017-07-16,412.82374999999985
2017-07-15,412.76375
2017-07-14,412.30791666666664
2017-07-13,412.17208333333315
2017-07-12,411.95583333333343
