date,average_water_level
2018-02-01,217.28526315789475
2018-01-31,288.2912499999999
2018-01-30,280.6221551724138
2018-01-29,250.6906923076924
2018-01-28,252.60873134328347
2018-01-27,250.3461538461539
2018-01-26,252.51029850746255
2018-01-25,257.721914893617
2018-01-24,244.02783333333343
2018-01-23,253.9211278195489
2018-01-22,257.97687499999995
2018-01-21,256.9598581560285
2018-01-20,237.57340000000002
2018-01-19,221.7729054054054
2018-01-18,254.01853503184697
2018-01-17,258.8127272727274
2018-01-16,258.17479166666703
2018-01-15,257.7462499999999
2018-01-14,257.73861111111097
2018-01-13,258.2767361111111
2018-01-12,258.4372222222223
2018-01-11,257.36654929577463
2018-01-10,253.63947761194032
2018-01-09,259.0561111111109
2018-01-08,258.214236111111
2018-01-07,258.20013888888883
2018-01-06,252.41909090909095
2018-01-05,276.55549618320606
2018-01-04,295.31333333333345
2018-01-03,292.3524528301888
2018-01-02,288.09857142857163
2018-01-01,295.4080000000002
2017-12-31,295.0788333333333
2017-12-30,292.07379629629634
2017-12-29,296.2475000000001
2017-12-28,295.7088333333333
2017-12-27,286.46982608695635
2017-12-26,265.41530000000006
2017-12-25,292.57499999999976
2017-12-24,288.9880612244897
2017-12-23,292.95703703703697
2017-12-22,292.0915094339623
2017-12-21,293.47305555555573
2017-12-20,293.17935185185195
2017-12-19,289.7065625
2017-12-18,285.4755789473686
2017-12-17,263.9984615384613
2017-12-16,265.5534736842106
2017-12-15,296.4695833333333
2017-12-14,296.45874999999995
2017-12-13,295.966186440678
2017-12-12,290.5968367346938
2017-12-11,296.53050000000013
2017-12-10,296.8876666666668
2017-12-09,297.3115833333334
2017-12-08,296.6308474576271
2017-12-07,285.141214953271
2017-12-06,222.4426016260162
2017-12-05,256.8347445255475
2017-12-04,254.4685820895523
2017-12-03,260.38680555555567
2017-12-02,259.9762676056337
2017-12-01,255.34462686567176
2017-11-30,260.5052777777776
2017-11-29,260.9465277777775
2017-11-28,260.50090277777775
2017-11-27,260.16749999999996
2017-11-26,260.53777777777776
2017-11-25,259.8605555555554
2017-11-24,259.6561805555559
2017-11-23,260.12590277777775
2017-11-22,261.5427777777778
2017-11-21,259.89902777777775
2017-11-20,260.43118055555556
2017-11-19,259.44104166666665
2017-11-18,259.91784722222246
2017-11-17,259.96763888888887
2017-11-16,259.7147222222224
2017-11-15,260.45076388888907
2017-11-14,259.8797222222223
2017-11-13,260.087986111111
2017-11-12,260.05118055555556
2017-11-11,259.8511111111112
2017-11-10,259.603125
2017-11-09,260.38680555555567
2017-11-08,260.3612499999998
2017-11-07,259.93687499999993
2017-11-06,260.23194444444437
2017-11-05,259.8910416666665
2017-11-04,260.5573611111111
2017-11-03,259.9604861111112
2017-11-02,259.6361111111111
2017-11-01,259.9111805555557
2017-10-31,261.00069444444455
2017-10-30,260.7390972222222
2017-10-29,260.09354166666685
2017-10-28,260.77423611111095
2017-10-27,260.61659722222225
2017-10-26,259.84479166666677
2017-10-25,259.0522916666667
2017-10-24,259.67111111111126
2017-10-23,259.40979166666654
2017-10-22,259.8090972222223
2017-10-21,259.54493055555554
2017-10-20,259.7375000000002
2017-10-19,260.9690972222225
2017-10-18,259.89368055555565
2017-10-17,260.24319444444444
2017-10-16,260.1209722222221
2017-10-15,259.7690277777778
2017-10-14,259.37986111111127
2017-10-13,259.7075694444445
2017-10-12,259.2861805555556
2017-10-11,259.15312500000005
2017-10-10,263.19028368794324
2017-10-09,251.46833333333345
2017-10-08,258.41277777777793
2017-10-07,258.0668750000001
2017-10-06,258.6366666666667
2017-10-05,268.0068181818183
2017-10-04,258.94833333333344
2017-10-03,258.89062499999994
2017-10-02,259.06736111111104
2017-10-01,259.34847222222226
2017-09-30,259.98423611111116
2017-09-29,262.3343448275861
2017-09-28,255.41818750000007
2017-09-27,260.7513888888888
2017-09-26,260.1094557823131
2017-09-25,215.59357615894035
2017-09-24,187.53284722222227
2017-09-23,193.68816326530626
2017-09-22,212.2803947368421
2017-09-14,184.03719008264463
2017-09-11,187.35795081967208
2017-09-10,205.70204724409444
2017-09-09,191.7484552845528
2017-09-08,212.82372093023272
2017-09-07,219.9709160305344
2017-09-06,183.37363636363636
2017-09-05,215.81453846153846
2017-09-04,231.7836296296296
2017-09-03,250.5645390070921
2017-09-02,201.60047619047612
2017-09-01,191.50381818181816
2017-08-31,247.17842857142855
2017-08-30,259.2067361111109
2017-08-29,259.81180555555545
2017-08-28,259.96875000000006
2017-08-27,213.78782945736427
2017-08-26,234.22170370370364
2017-08-25,270.339705882353
2017-08-24,265.4372142857143
2017-08-23,263.3471527777778
2017-08-22,262.6777777777777
2017-08-21,262.3588888888888
