date,average_water_level
2018-01-19,197.37913043478255
2018-01-18,197.6341666666667
2018-01-17,197.9395833333334
2018-01-16,198.36374999999995
2018-01-15,198.7470833333334
2018-01-14,198.89833333333328
2018-01-13,198.98541666666674
2018-01-12,199.05750000000003
2018-01-11,199.1525
2018-01-10,199.30666666666664
2018-01-09,199.61375
2018-01-08,200.10541666666666
2018-01-07,200.63375
2018-01-06,201.08041666666668
2018-01-05,201.22625000000002
2018-01-04,201.19625000000005
2018-01-03,201.17083333333338
2018-01-02,201.18083333333334
2018-01-01,201.27666666666667
2017-12-31,201.4095833333333
2017-12-30,201.54500000000004
2017-12-29,201.69250000000002
2017-12-28,201.86083333333332
2017-12-27,202.0066666666667
2017-12-26,202.15624999999997
2017-12-25,202.30916666666664
2017-12-24,202.42708333333326
2017-12-23,202.56416666666667
2017-12-22,202.71291666666664
2017-12-21,202.8779166666666
2017-12-20,203.01291666666668
2017-12-19,203.19041666666666
2017-12-18,203.41958333333332
2017-12-17,203.6891666666667
2017-12-16,203.96833333333336
2017-12-15,204.20000000000002
2017-12-14,204.35416666666663
2017-12-13,204.44500000000002
2017-12-12,204.72416666666666
2017-12-11,205.05458333333334
2017-12-10,205.33291666666665
2017-12-09,205.50500000000008
2017-12-08,205.5666666666667
2017-12-07,205.55499999999998
2017-12-06,205.5012499999999
2017-12-05,205.5
2017-12-04,205.60333333333332
2017-12-03,205.7429166666667
2017-12-02,205.86874999999998
2017-12-01,205.95500000000004
2017-11-30,205.96999999999994
2017-11-29,205.9291666666666
2017-11-28,205.87499999999997
2017-11-27,205.87749999999994
2017-11-26,205.95166666666657
2017-11-25,206.01416666666663
2017-11-24,206.02333333333343
2017-11-23,206.00833333333333
2017-11-22,205.93499999999997
2017-11-21,205.79416666666665
2017-11-20,205.64333333333332
2017-11-19,205.6145833333333
2017-11-18,205.60333333333338
2017-11-17,205.58416666666673
2017-11-16,205.54875000000013
2017-11-15,205.56000000000006
2017-11-14,205.57458333333338
2017-11-13,205.76166666666666
2017-11-12,206.3216666666667
2017-11-11,206.99875
2017-11-10,207.49708333333334
2017-11-09,207.89000000000001
2017-11-08,208.53583333333333
2017-11-07,209.10000000000002
2017-11-06,209.50791666666666
2017-11-05,210.01583333333338
2017-11-04,210.2704166666667
2017-11-03,210.43291666666667
2017-11-02,210.60291666666663
2017-11-01,211.03791666666666
2017-10-31,211.25208333333345
2017-10-30,211.2454166666666
2017-10-29,211.18333333333328
2017-10-28,211.0966666666667
