date,average_water_level
2018-02-01,189.68
2018-01-31,189.6908333333333
2018-01-30,189.74958333333336
2018-01-29,189.73999999999992
2018-01-28,189.70541666666665
2018-01-27,189.7208333333333
2018-01-26,189.7941666666667
2018-01-25,189.79999999999998
2018-01-24,189.78500000000005
2018-01-23,189.7504166666666
2018-01-22,189.6995833333333
2018-01-21,189.71249999999995
2018-01-20,189.735
2018-01-19,189.76666666666674
2018-01-18,189.8216666666667
2018-01-17,189.85624999999996
2018-01-16,189.8458333333333
2018-01-15,189.80625
2018-01-14,189.84041666666667
2018-01-13,189.83916666666667
2018-01-12,189.77625
2018-01-11,189.73416666666665
2018-01-10,189.7833333333334
2018-01-09,189.8233333333333
2018-01-08,189.80166666666665
2018-01-07,189.8379166666667
2018-01-06,189.89374999999998
2018-01-05,189.89999999999995
2018-01-04,189.89624999999992
2018-01-03,189.9066666666666
2018-01-02,189.94208333333327
2018-01-01,189.9670833333333
2017-12-31,189.90166666666667
2017-12-30,189.8758333333333
2017-12-29,189.91499999999996
2017-12-28,189.9366666666666
2017-12-27,189.94458333333333
2017-12-26,189.9408333333333
2017-12-25,189.99416666666676
2017-12-24,189.97666666666666
2017-12-23,189.97
2017-12-22,189.9225
2017-12-21,189.92458333333323
2017-12-20,189.93499999999997
2017-12-19,189.98750000000007
2017-12-18,190.01750000000004
2017-12-17,190.00083333333336
2017-12-16,190.05750000000003
2017-12-15,190.0795833333333
2017-12-14,190.0208333333334
2017-12-13,190.03875000000002
2017-12-12,190.0616666666667
2017-12-11,190.05583333333334
2017-12-10,190.0775
2017-12-09,190.0383333333334
2017-12-08,190.01958333333337
2017-12-07,190.03333333333342
2017-12-06,190.05625
2017-12-05,190.02875000000003
2017-12-04,190.03833333333333
2017-12-03,190.07833333333335
2017-12-02,190.08458333333337
2017-12-01,190.0766666666667
2017-11-30,190.07124999999996
2017-11-29,190.06333333333336
2017-11-28,190.0475
2017-11-27,190.0595833333334
2017-11-26,190.07500000000002
2017-11-25,190.03291666666675
2017-11-24,190.02750000000003
2017-11-23,190.06125000000006
2017-11-22,190.07833333333335
2017-11-21,190.03291666666675
2017-11-20,190.07666666666668
2017-11-19,190.1075
2017-11-18,190.03625000000002
2017-11-17,190.05291666666673
2017-11-16,190.0779166666667
2017-11-15,190.0766666666667
2017-11-14,190.10375
2017-11-13,190.13333333333333
2017-11-12,190.12708333333333
2017-11-11,190.1241666666667
2017-11-10,190.14208333333337
2017-11-09,190.14708333333328
2017-11-08,190.14833333333328
2017-11-07,190.13624999999993
2017-11-06,190.1320833333333
2017-11-05,190.12541666666667
2017-11-04,190.13458333333332
2017-11-03,190.13791666666665
2017-11-02,190.11041666666674
2017-11-01,190.07666666666663
2017-10-31,190.1979166666666
2017-10-30,190.20916666666662
2017-10-29,190.2120833333333
2017-10-28,190.20999999999995
2017-10-27,190.1504166666667
2017-10-26,190.12166666666667
2017-10-25,190.15541666666664
2017-10-24,190.15333333333334
2017-10-23,190.1229166666667
2017-10-22,190.12916666666663
2017-10-21,190.13708333333332
2017-10-20,190.13666666666668
2017-10-19,190.13291666666666
2017-10-18,190.11916666666664
2017-10-17,190.11833333333334
2017-10-16,190.11374999999998
2017-10-15,190.07125
2017-10-14,190.0416666666667
2017-10-13,190.0154166666667
2017-10-12,189.98666666666668
2017-10-11,189.9766666666667
2017-10-10,189.94375000000002
2017-10-09,189.88083333333336
2017-10-08,189.84333333333336
2017-10-07,189.82291666666666
2017-10-06,189.82833333333338
2017-10-05,189.8329166666667
2017-10-04,189.83125000000004
2017-10-03,189.8025
2017-10-02,189.76833333333343
2017-10-01,189.76000000000008
2017-09-30,189.77208333333337
2017-09-29,189.7579166666666
2017-09-28,189.74124999999995
2017-09-27,189.7308333333333
2017-09-26,189.71874999999997
2017-09-25,189.7075
2017-09-24,189.70749999999998
2017-09-23,189.70708333333332
2017-09-22,189.70666666666662
2017-09-21,189.70041666666665
2017-09-20,189.6879166666666
2017-09-19,189.68208333333328
2017-09-18,189.75958333333335
2017-09-17,189.79791666666668
2017-09-16,189.7891666666667
2017-09-15,189.7733333333334
2017-09-14,189.75625
2017-09-13,189.74083333333326
2017-09-12,189.74333333333334
2017-09-11,189.76541666666674
2017-09-10,189.77166666666668
2017-09-09,189.76916666666673
2017-09-08,189.76750000000004
2017-09-07,189.75958333333335
2017-09-06,189.73583333333332
2017-09-05,189.72541666666658
2017-09-04,189.7104166666666
2017-09-03,189.6783333333333
2017-09-02,189.59958333333336
2017-09-01,189.50375
2017-08-31,189.42791666666662
2017-08-30,189.38541666666666
2017-08-29,189.49708333333334
2017-08-28,189.69666666666663
2017-08-27,190.02458333333337
2017-08-26,190.33208333333332
2017-08-25,190.38333333333333
2017-08-24,190.36249999999998
2017-08-23,190.35374999999996
2017-08-22,190.35666666666665
2017-08-21,190.35958333333335
2017-08-20,190.33166666666662
2017-08-19,190.3120833333334
2017-08-18,190.29083333333332
2017-08-17,190.27541666666673
2017-08-16,190.25958333333332
2017-08-15,190.24541666666664
2017-08-14,190.23833333333323
2017-08-13,190.24291666666662
2017-08-12,190.2458333333333
2017-08-11,190.24791666666667
2017-08-10,190.23624999999993
