datetime,timezone,water_level(ft below land surface),temperature(C),conductivity(us/cm),battery_voltage(v),source,status,comment
2018-02-01 01:00:00,-06:00,41.14,23.73,324.19,13.13,datalogger,R,
2018-02-01 00:00:00,-06:00,41.14,23.72,,,datalogger,R,
2018-01-31 23:00:00,-06:00,41.14,23.71,,,datalogger,R,
2018-01-31 22:00:00,-06:00,41.15,23.72,,,datalogger,R,
2018-01-31 21:00:00,-06:00,41.12,23.72,,,datalogger,R,
2018-01-31 20:00:00,-06:00,41.10,23.72,,,datalogger,R,
2018-01-31 19:00:00,-06:00,41.09,23.72,,,datalogger,R,
2018-01-31 18:00:00,-06:00,41.12,23.72,,,datalogger,R,
2018-01-31 17:00:00,-06:00,41.11,23.72,,,datalogger,R,
2018-01-31 16:00:00,-06:00,41.10,23.72,,,datalogger,R,
2018-01-31 15:00:00,-06:00,41.12,23.72,,,datalogger,R,
2018-01-31 14:00:00,-06:00,41.15,23.72,,,datalogger,R,
2018-01-31 13:00:00,-06:00,41.20,23.72,324.01,12.41,datalogger,R,
2018-01-31 12:00:00,-06:00,41.21,23.72,,,datalogger,R,
2018-01-31 11:00:00,-06:00,41.21,23.72,,,datalogger,R,
2018-01-31 10:00:00,-06:00,41.19,23.72,,,datalogger,R,
2018-01-31 09:00:00,-06:00,41.20,23.72,,,datalogger,R,
2018-01-31 08:00:00,-06:00,41.21,23.73,,,datalogger,R,
2018-01-31 07:00:00,-06:00,41.26,23.72,,,datalogger,R,
2018-01-31 06:00:00,-06:00,41.22,23.72,,,datalogger,R,
2018-01-31 05:00:00,-06:00,41.27,23.72,,,datalogger,R,
2018-01-31 04:00:00,-06:00,41.24,23.73,,,datalogger,R,
2018-01-31 03:00:00,-06:00,41.25,23.72,,,datalogger,R,
2018-01-31 02:00:00,-06:00,41.31,23.72,,,datalogger,R,
2018-01-31 01:00:00,-06:00,41.26,23.72,322.97,13.13,datalogger,R,
2018-01-31 00:00:00,-06:00,41.25,23.72,,,datalogger,R,
2018-01-30 23:00:00,-06:00,41.26,23.72,,,datalogger,R,
2018-01-30 22:00:00,-06:00,41.35,23.72,,,datalogger,R,
2018-01-30 21:00:00,-06:00,41.36,23.72,,,datalogger,R,
2018-01-30 20:00:00,-06:00,41.36,23.72,,,datalogger,R,
2018-01-30 19:00:00,-06:00,41.35,23.73,,,datalogger,R,
2018-01-30 18:00:00,-06:00,41.35,23.72,,,datalogger,R,
2018-01-30 17:00:00,-06:00,41.36,23.72,,,datalogger,R,
2018-01-30 16:00:00,-06:00,41.39,23.72,,,datalogger,R,
2018-01-30 15:00:00,-06:00,41.40,23.72,,,datalogger,R,
2018-01-30 14:00:00,-06:00,41.44,23.72,,,datalogger,R,
2018-01-30 13:00:00,-06:00,41.44,23.72,324.16,12.41,datalogger,R,
2018-01-30 12:00:00,-06:00,41.45,23.72,,,datalogger,R,
2018-01-30 11:00:00,-06:00,41.47,23.72,,,datalogger,R,
2018-01-30 10:00:00,-06:00,41.45,23.72,,,datalogger,R,
2018-01-30 09:00:00,-06:00,41.46,23.71,,,datalogger,R,
2018-01-30 08:00:00,-06:00,41.48,23.72,,,datalogger,R,
2018-01-30 07:00:00,-06:00,41.47,23.72,,,datalogger,R,
2018-01-30 06:00:00,-06:00,41.47,23.72,,,datalogger,R,
2018-01-30 05:00:00,-06:00,41.50,23.72,,,datalogger,R,
2018-01-30 04:00:00,-06:00,41.49,23.72,,,datalogger,R,
2018-01-30 03:00:00,-06:00,41.49,23.72,,,datalogger,R,
2018-01-30 02:00:00,-06:00,41.50,23.72,,,datalogger,R,
2018-01-30 01:00:00,-06:00,41.51,23.72,323.59,13.29,datalogger,R,
2018-01-30 00:00:00,-06:00,41.53,23.72,,,datalogger,R,
2018-01-29 23:00:00,-06:00,41.52,23.72,,,datalogger,R,
2018-01-29 22:00:00,-06:00,41.49,23.72,,,datalogger,R,
2018-01-29 21:00:00,-06:00,41.48,23.72,,,datalogger,R,
2018-01-29 20:00:00,-06:00,41.46,23.72,,,datalogger,R,
2018-01-29 19:00:00,-06:00,41.42,23.72,,,datalogger,R,
2018-01-29 18:00:00,-06:00,41.45,23.72,,,datalogger,R,
2018-01-29 17:00:00,-06:00,41.46,23.72,,,datalogger,R,
2018-01-29 16:00:00,-06:00,41.46,23.72,,,datalogger,R,
2018-01-29 15:00:00,-06:00,41.49,23.72,,,datalogger,R,
2018-01-29 14:00:00,-06:00,41.51,23.72,,,datalogger,R,
2018-01-29 13:00:00,-06:00,41.54,23.71,323.52,12.41,datalogger,R,
2018-01-29 12:00:00,-06:00,41.55,23.72,,,datalogger,R,
2018-01-29 11:00:00,-06:00,41.55,23.72,,,datalogger,R,
2018-01-29 10:00:00,-06:00,41.53,23.72,,,datalogger,R,
2018-01-29 09:00:00,-06:00,41.51,23.72,,,datalogger,R,
2018-01-29 08:00:00,-06:00,41.50,23.72,,,datalogger,R,
2018-01-29 07:00:00,-06:00,41.49,23.72,,,datalogger,R,
2018-01-29 06:00:00,-06:00,41.49,23.72,,,datalogger,R,
2018-01-29 05:00:00,-06:00,41.40,23.72,,,datalogger,R,
2018-01-29 04:00:00,-06:00,41.42,23.72,,,datalogger,R,
2018-01-29 03:00:00,-06:00,41.44,23.72,,,datalogger,R,
2018-01-29 02:00:00,-06:00,41.44,23.72,,,datalogger,R,
2018-01-29 01:00:00,-06:00,41.46,23.72,323.67,13.13,datalogger,R,
2018-01-29 00:00:00,-06:00,41.45,23.72,,,datalogger,R,
2018-01-28 23:00:00,-06:00,41.45,23.72,,,datalogger,R,
2018-01-28 22:00:00,-06:00,41.44,23.72,,,datalogger,R,
2018-01-28 21:00:00,-06:00,41.45,23.72,,,datalogger,R,
2018-01-28 20:00:00,-06:00,41.43,23.72,,,datalogger,R,
2018-01-28 19:00:00,-06:00,41.42,23.72,,,datalogger,R,
2018-01-28 18:00:00,-06:00,41.44,23.72,,,datalogger,R,
2018-01-28 17:00:00,-06:00,41.41,23.72,,,datalogger,R,
2018-01-28 16:00:00,-06:00,41.42,23.72,,,datalogger,R,
2018-01-28 15:00:00,-06:00,41.42,23.72,,,datalogger,R,
2018-01-28 14:00:00,-06:00,41.42,23.72,,,datalogger,R,
2018-01-28 13:00:00,-06:00,41.45,23.72,324.09,12.57,datalogger,R,
2018-01-28 12:00:00,-06:00,41.43,23.72,,,datalogger,R,
2018-01-28 11:00:00,-06:00,41.42,23.72,,,datalogger,R,
2018-01-28 10:00:00,-06:00,41.40,23.72,,,datalogger,R,
2018-01-28 09:00:00,-06:00,41.41,23.72,,,datalogger,R,
2018-01-28 08:00:00,-06:00,41.39,23.72,,,datalogger,R,
2018-01-28 07:00:00,-06:00,41.41,23.72,,,datalogger,R,
2018-01-28 06:00:00,-06:00,41.39,23.72,,,datalogger,R,
2018-01-28 05:00:00,-06:00,41.37,23.72,,,datalogger,R,
2018-01-28 04:00:00,-06:00,41.38,23.72,,,datalogger,R,
2018-01-28 03:00:00,-06:00,41.39,23.72,,,datalogger,R,
2018-01-28 02:00:00,-06:00,41.39,23.72,,,datalogger,R,
2018-01-28 01:00:00,-06:00,41.44,23.72,323.52,12.97,datalogger,R,
2018-01-28 00:00:00,-06:00,41.42,23.72,,,datalogger,R,
2018-01-27 23:00:00,-06:00,41.45,23.72,,,datalogger,R,
2018-01-27 22:00:00,-06:00,41.45,23.72,,,datalogger,R,
2018-01-27 21:00:00,-06:00,41.46,23.72,,,datalogger,R,
2018-01-27 20:00:00,-06:00,41.45,23.72,,,datalogger,R,
