datetime,daily_high_water_level(ft below land surface),daily_high_water_elevation(ft above msl),source,status,comment
2018-02-01,67.41,663.40,edwards aquifer authority,D,
2018-01-31,67.21,663.60,edwards aquifer authority,D,
2018-01-30,67.31,663.50,edwards aquifer authority,D,
2018-01-29,66.91,663.90,edwards aquifer authority,D,
2018-01-28,66.71,664.10,edwards aquifer authority,D,
2018-01-27,66.71,664.10,edwards aquifer authority,D,
2018-01-26,67.01,663.80,edwards aquifer authority,D,
2018-01-25,67.01,663.80,edwards aquifer authority,D,
2018-01-24,67.01,663.80,edwards aquifer authority,D,
2018-01-23,66.71,664.10,edwards aquifer authority,D,
2018-01-22,66.31,664.50,edwards aquifer authority,D,
2018-01-21,66.11,664.70,edwards aquifer authority,D,
2018-01-20,66.61,664.20,edwards aquifer authority,D,
2018-01-19,67.01,663.80,edwards aquifer authority,D,
2018-01-18,67.31,663.50,edwards aquifer authority,D,
2018-01-17,67.41,663.40,edwards aquifer authority,D,
2018-01-16,66.71,664.10,edwards aquifer authority,D,
2018-01-15,66.41,664.40,edwards aquifer authority,D,
2018-01-14,66.21,664.60,edwards aquifer authority,D,
2018-01-13,66.11,664.70,edwards aquifer authority,D,
2018-01-12,66.51,664.30,edwards aquifer authority,D,
2018-01-11,65.91,664.90,edwards aquifer authority,D,
2018-01-10,66.11,664.70,edwards aquifer authority,D,
2018-01-09,66.01,664.80,edwards aquifer authority,D,
2018-01-08,66.01,664.80,edwards aquifer authority,D,
2018-01-07,65.71,665.10,edwards aquifer authority,D,
2018-01-06,66.01,664.80,edwards aquifer authority,D,
2018-01-05,66.01,664.80,edwards aquifer authority,D,
2018-01-04,66.41,664.40,edwards aquifer authority,D,
2018-01-03,65.71,665.10,edwards aquifer authority,D,
2018-01-02,65.21,665.60,edwards aquifer authority,D,
2018-01-01,64.91,665.90,edwards aquifer authority,D,
2017-12-31,64.71,666.10,edwards aquifer authority,D,
2017-12-30,64.41,666.40,edwards aquifer authority,D,
2017-12-29,64.61,666.20,edwards aquifer authority,D,
2017-12-28,64.51,666.30,edwards aquifer authority,D,
2017-12-27,64.11,666.70,edwards aquifer authority,D,
2017-12-26,64.01,666.80,edwards aquifer authority,D,
2017-12-25,64.01,666.80,edwards aquifer authority,D,
2017-12-24,64.11,666.70,edwards aquifer authority,D,
2017-12-23,64.01,666.80,edwards aquifer authority,D,
2017-12-22,64.11,666.70,edwards aquifer authority,D,
2017-12-21,63.91,666.90,edwards aquifer authority,D,
2017-12-20,64.31,666.50,edwards aquifer authority,D,
2017-12-19,64.81,666.00,edwards aquifer authority,D,
2017-12-18,65.01,665.80,edwards aquifer authority,D,
2017-12-17,65.01,665.80,edwards aquifer authority,D,
2017-12-16,65.91,664.90,edwards aquifer authority,D,
2017-12-15,66.51,664.30,edwards aquifer authority,D,
2017-12-14,66.21,664.60,edwards aquifer authority,D,
2017-12-13,66.21,664.60,edwards aquifer authority,D,
2017-12-12,66.21,664.60,edwards aquifer authority,D,
2017-12-11,65.91,664.90,edwards aquifer authority,D,
2017-12-10,65.81,665.00,edwards aquifer authority,D,
2017-12-09,66.31,664.50,edwards aquifer authority,D,
2017-12-08,67.11,663.70,edwards aquifer authority,D,
2017-12-07,68.51,662.30,edwards aquifer authority,D,
2017-12-06,69.41,661.40,edwards aquifer authority,D,
2017-12-05,69.41,661.40,edwards aquifer authority,D,
2017-12-04,69.41,661.40,edwards aquifer authority,D,
2017-12-03,69.31,661.50,edwards aquifer authority,D,
2017-12-02,69.51,661.30,edwards aquifer authority,D,
2017-12-01,69.71,661.10,edwards aquifer authority,D,
2017-11-30,69.41,661.40,edwards aquifer authority,D,
2017-11-29,69.41,661.40,edwards aquifer authority,D,
2017-11-28,69.11,661.70,edwards aquifer authority,D,
2017-11-27,68.71,662.10,edwards aquifer authority,D,
2017-11-26,68.31,662.50,edwards aquifer authority,D,
2017-11-25,68.31,662.50,edwards aquifer authority,D,
2017-11-24,68.31,662.50,edwards aquifer authority,D,
2017-11-23,68.81,662.00,edwards aquifer authority,D,
2017-11-22,68.61,662.20,edwards aquifer authority,D,
2017-11-21,68.21,662.60,edwards aquifer authority,D,
2017-11-20,67.91,662.90,edwards aquifer authority,D,
2017-11-19,68.01,662.80,edwards aquifer authority,D,
2017-11-18,68.01,662.80,edwards aquifer authority,D,
2017-11-17,68.21,662.60,edwards aquifer authority,D,
2017-11-16,68.11,662.70,edwards aquifer authority,D,
2017-11-15,68.11,662.70,edwards aquifer authority,D,
2017-11-14,68.01,662.80,edwards aquifer authority,D,
2017-11-13,68.01,662.80,edwards aquifer authority,D,
2017-11-12,68.01,662.80,edwards aquifer authority,D,
2017-11-11,68.51,662.30,edwards aquifer authority,D,
2017-11-10,68.81,662.00,edwards aquifer authority,D,
2017-11-09,68.91,661.90,edwards aquifer authority,D,
2017-11-08,69.11,661.70,edwards aquifer authority,D,
2017-11-07,68.91,661.90,edwards aquifer authority,D,
2017-11-06,68.61,662.20,edwards aquifer authority,D,
2017-11-05,68.11,662.70,edwards aquifer authority,D,
2017-11-04,68.21,662.60,edwards aquifer authority,D,
2017-11-03,68.41,662.40,edwards aquifer authority,D,
2017-11-02,68.41,662.40,edwards aquifer authority,D,
2017-11-01,68.31,662.50,edwards aquifer authority,D,
2017-10-31,68.91,661.90,edwards aquifer authority,D,
2017-10-30,68.51,662.30,edwards aquifer authority,D,
2017-10-29,67.91,662.90,edwards aquifer authority,D,
2017-10-28,68.51,662.30,edwards aquifer authority,D,
2017-10-27,68.61,662.20,edwards aquifer authority,D,
2017-10-26,68.41,662.40,edwards aquifer authority,D,
2017-10-25,68.11,662.70,edwards aquifer authority,D,
2017-10-24,67.91,662.90,edwards aquifer authority,D,
2017-10-23,67.41,663.40,edwards aquifer authority,D,
2017-10-22,66.91,663.90,edwards aquifer authority,D,
2017-10-21,67.11,663.70,edwards aquifer authority,D,
2017-10-20,67.51,663.30,edwards aquifer authority,D,
2017-10-19,67.21,663.60,edwards aquifer authority,D,
2017-10-18,67.11,663.70,edwards aquifer authority,D,
2017-10-17,66.81,664.00,edwards aquifer authority,D,
2017-10-16,66.21,664.60,edwards aquifer authority,D,
2017-10-15,65.71,665.10,edwards aquifer authority,D,
2017-10-14,65.91,664.90,edwards aquifer authority,D,
2017-10-13,66.01,664.80,edwards aquifer authority,D,
2017-10-12,65.51,665.30,edwards aquifer authority,D,
2017-10-11,65.51,665.30,edwards aquifer authority,D,
2017-10-10,65.71,665.10,edwards aquifer authority,D,
2017-10-09,64.71,666.10,edwards aquifer authority,D,
2017-10-08,64.61,666.20,edwards aquifer authority,D,
2017-10-07,64.71,666.10,edwards aquifer authority,D,
2017-10-06,65.31,665.50,edwards aquifer authority,D,
2017-10-05,65.21,665.60,edwards aquifer authority,D,
2017-10-04,65.41,665.40,edwards aquifer authority,D,
2017-10-03,65.71,665.10,edwards aquifer authority,D,
2017-10-02,65.41,665.40,edwards aquifer authority,D,
2017-10-01,65.31,665.50,edwards aquifer authority,D,
2017-09-30,66.21,664.60,edwards aquifer authority,D,
2017-09-29,67.51,663.30,edwards aquifer authority,D,
2017-09-28,69.01,661.80,edwards aquifer authority,D,
2017-09-27,70.11,660.70,edwards aquifer authority,D,
2017-09-26,72.01,658.80,edwards aquifer authority,D,
2017-09-25,72.31,658.50,edwards aquifer authority,D,
2017-09-24,72.21,658.60,edwards aquifer authority,D,
2017-09-23,72.81,658.00,edwards aquifer authority,D,
2017-09-22,73.91,656.90,edwards aquifer authority,D,
2017-09-21,73.81,657.00,edwards aquifer authority,D,
2017-09-20,73.31,657.50,edwards aquifer authority,D,
2017-09-19,73.01,657.80,edwards aquifer authority,D,
2017-09-18,72.21,658.60,edwards aquifer authority,D,
2017-09-17,71.81,659.00,edwards aquifer authority,D,
2017-09-16,72.11,658.70,edwards aquifer authority,D,
2017-09-15,72.41,658.40,edwards aquifer authority,D,
2017-09-14,72.11,658.70,edwards aquifer authority,D,
2017-09-13,71.71,659.10,edwards aquifer authority,D,
2017-09-12,71.31,659.50,edwards aquifer authority,D,
2017-09-11,70.51,660.30,edwards aquifer authority,D,
2017-09-10,70.21,660.60,edwards aquifer authority,D,
2017-09-09,70.21,660.60,edwards aquifer authority,D,
2017-09-08,70.71,660.10,edwards aquifer authority,D,
2017-09-07,69.81,661.00,edwards aquifer authority,D,
2017-09-06,69.71,661.10,edwards aquifer authority,D,
2017-09-05,69.31,661.50,edwards aquifer authority,D,
2017-09-04,68.21,662.60,edwards aquifer authority,D,
2017-09-03,67.81,663.00,edwards aquifer authority,D,
2017-09-02,67.61,663.20,edwards aquifer authority,D,
2017-09-01,67.41,663.40,edwards aquifer authority,D,
2017-08-31,66.11,664.70,edwards aquifer authority,D,
2017-08-30,65.81,665.00,edwards aquifer authority,D,
2017-08-29,65.81,665.00,edwards aquifer authority,D,
2017-08-28,66.61,664.20,edwards aquifer authority,D,
2017-08-27,67.61,663.20,edwards aquifer authority,D,
2017-08-26,69.91,660.90,edwards aquifer authority,D,
2017-08-25,72.41,658.40,edwards aquifer authority,D,
2017-08-24,73.31,657.50,edwards aquifer authority,D,
2017-08-23,73.31,657.50,edwards aquifer authority,D,
2017-08-22,72.91,657.90,edwards aquifer authority,D,
2017-08-21,72.41,658.40,edwards aquifer authority,D,
2017-08-20,71.91,658.90,edwards aquifer authority,D,
2017-08-19,72.01,658.80,edwards aquifer authority,D,
2017-08-18,72.41,658.40,edwards aquifer authority,D,
2017-08-17,71.91,658.90,edwards aquifer authority,D,
2017-08-16,71.51,659.30,edwards aquifer authority,D,
