date,average_water_level
2014-07-30,332.92553191489367
2014-07-29,332.9304166666664
2014-07-28,332.94531249999994
2014-07-27,332.9365217391304
2014-07-26,332.92095744680825
2014-07-25,332.91635416666617
2014-07-24,332.9184210526312
2014-07-23,332.92968749999994
2014-07-22,332.9321874999998
2014-07-21,332.92354166666627
2014-07-20,332.91260416666626
2014-07-19,332.9163541666663
2014-07-18,332.91604166666656
2014-07-17,332.8827083333333
2014-07-16,332.88208333333364
2014-07-15,332.9043157894735
2014-07-14,332.89373626373623
2014-07-13,332.9036666666663
2014-07-12,332.91456521739093
2014-07-11,332.91417582417563
2014-07-10,332.90010989010983
2014-07-09,332.89846153846185
2014-07-08,332.8954945054947
2014-07-07,332.88130434782636
2014-07-06,332.8727083333335
2014-07-05,332.896145833333
2014-07-04,332.9124999999995
2014-07-03,332.9098924731179
2014-07-02,332.9094565217388
2014-07-01,332.8816304347826
2014-06-30,332.86808510638315
2014-06-29,332.89
2014-06-28,332.8664130434783
2014-06-27,332.8425806451612
2014-06-26,332.8513978494623
2014-06-25,332.8684615384614
2014-06-24,332.8911827956989
2014-06-23,332.8691304347825
2014-06-22,332.8424999999999
2014-06-21,332.85404255319133
2014-06-20,332.8754945054946
2014-06-19,332.87549450549454
2014-06-18,332.858021978022
2014-06-17,332.858021978022
2014-06-16,332.8687096774196
2014-06-15,332.8489583333333
2014-06-14,332.84083333333325
2014-06-13,332.8653260869567
2014-06-12,332.84478723404266
2014-06-11,332.8305208333334
2014-06-10,332.848947368421
2014-06-09,332.8362765957448
2014-06-08,332.8383157894738
2014-06-07,332.83457446808535
2014-06-06,332.8353684210528
2014-06-05,332.8198924731185
2014-06-04,332.8160215053767
2014-06-03,332.8425263157892
2014-06-02,332.83557894736845
2014-06-01,332.8264893617021
2014-05-31,332.8296703296706
2014-05-30,332.8192391304351
2014-05-29,332.818172043011
2014-05-28,332.82451612903225
2014-05-27,332.8130434782613
2014-05-26,332.8256989247314
2014-05-25,332.82284090909087
2014-05-24,332.8108695652177
2014-05-23,332.8179120879121
2014-05-22,332.8245652173914
2014-05-21,332.8157608695655
2014-05-20,332.81010752688167
2014-05-19,332.7948913043479
2014-05-18,332.79620689655195
2014-05-17,332.7711956521736
2014-05-16,332.777142857143
2014-05-15,332.81868131868146
2014-05-14,332.849010989011
2014-05-13,332.88217391304346
2014-05-12,332.808829787234
2014-05-11,332.7646874999998
2014-05-10,332.78114583333337
2014-05-09,332.80655913978507
2014-05-08,332.7806451612904
2014-05-07,332.7632967032966
2014-05-06,332.7450549450548
2014-05-05,332.7568478260867
2014-05-04,332.78333333333353
2014-05-03,332.7913978494624
2014-05-02,332.78391304347844
2014-05-01,332.7997802197806
2014-04-30,332.8339130434783
2014-04-29,332.8048314606741
2014-04-28,332.7531182795696
2014-04-27,332.7117045454546
2014-04-26,332.7159782608697
2014-04-25,332.76956043956045
2014-04-24,332.7646153846156
2014-04-23,332.71782608695673
2014-04-22,332.76215053763406
2014-04-21,332.7625531914892
2014-04-20,332.7662365591396
2014-04-19,332.7653124999999
2014-04-18,332.7835416666668
2014-04-17,332.76291666666685
2014-04-16,332.70968421052646
2014-04-15,332.79301075268825
2014-04-14,332.8079999999999
2014-04-13,332.70105263157893
2014-04-12,332.7180851063831
2014-04-11,332.7322580645161
2014-04-10,332.72351063829825
2014-04-09,332.7568421052631
2014-04-08,332.8071739130438
2014-04-07,332.7618478260869
2014-04-06,332.6995604395603
2014-04-05,332.7174736842105
2014-04-04,332.78580645161315
2014-04-03,332.71042553191484
2014-04-02,332.6867741935484
2014-04-01,332.70840425531924
2014-03-31,332.6932608695651
2014-03-30,332.7144791666666
2014-03-29,332.79505263157904
2014-03-28,332.7154255319147
2014-03-27,332.66557894736854
2014-03-26,332.67757894736815
2014-03-25,332.7501052631579
2014-03-24,332.71510869565213
2014-03-23,332.7639130434782
2014-03-22,332.7171428571426
2014-03-21,332.67617021276584
2014-03-20,332.72294736842076
2014-03-19,332.778064516129
2014-03-18,332.65241758241723
2014-03-17,332.654255319149
2014-03-16,332.7153124999999
2014-03-15,332.6372043010751
2014-03-14,332.6633684210528
2014-03-13,332.70863157894735
2014-03-12,332.7721505376344
2014-03-11,332.61189473684215
2014-03-10,332.66744680851053
2014-03-09,332.7333734939759
2014-03-08,332.72559139784937
2014-03-07,332.64505263157895
2014-03-06,332.7126506024097
2014-03-05,332.6764583333332
2014-03-04,332.6518181818182
2014-03-03,332.7210752688173
2014-03-02,332.7083333333332
2014-03-01,332.67416666666634
2014-02-28,332.64270833333313
2014-02-27,332.64197916666643
2014-02-26,332.7042708333334
2014-02-25,332.6762499999997
2014-02-24,332.68656249999964
2014-02-23,332.6833333333334
2014-02-22,332.64708333333334
2014-02-21,332.6842708333333
2014-02-20,332.6764583333332
2014-02-19,332.6141666666668
2014-02-18,332.64979166666666
2014-02-17,332.6902083333334
2014-02-16,332.65208333333345
2014-02-15,332.669895833333
2014-02-14,332.64906249999973
2014-02-13,332.6179166666668
2014-02-12,332.647380952381
2014-02-11,332.6627083333331
2014-02-10,332.65250000000003
2014-02-09,332.6188541666666
2014-02-08,332.63020833333354
2014-02-07,332.63104166666665
2014-02-06,332.6699999999997
2014-02-05,332.7141666666665
2014-02-04,332.61583333333346
2014-02-03,332.606875
2014-02-02,332.66197916666675
2014-02-01,332.57968750000003
2014-01-31,332.5644791666669
2014-01-30,332.5521875000003
2014-01-29,332.62104166666677
2014-01-28,332.66270833333334
2014-01-27,332.6270833333334
2014-01-26,332.5213541666664
2014-01-25,332.56947916666695
2014-01-24,332.6633333333334
2014-01-23,332.7051041666665
2014-01-22,332.57614583333344
2014-01-21,332.67989583333366
2014-01-20,332.6012500000002
2014-01-19,332.63145833333346
2014-01-18,332.61333333333334
2014-01-17,332.6453125000001
2014-01-16,332.5915625000002
2014-01-15,332.64187500000014
2014-01-14,332.63322916666675
2014-01-13,332.61083333333323
2014-01-12,332.5427083333338
2014-01-11,332.61135416666684
2014-01-10,332.5329166666667
2014-01-09,332.55781250000047
2014-01-08,332.54687500000017
2014-01-07,332.5848958333333
2014-01-06,332.69437499999987
2014-01-05,332.63614583333305
2014-01-04,332.51083333333327
2014-01-03,332.5693749999998
2014-01-02,332.6589583333331
2014-01-01,332.55489583333366
2013-12-31,332.6096875
2013-12-30,332.6148958333334
2013-12-29,332.5760416666666
2013-12-28,332.53531250000003
2013-12-27,332.6095833333334
2013-12-26,332.6082291666666
2013-12-25,332.60114583333353
2013-12-24,332.59458333333345
2013-12-23,332.67083333333284
2013-12-22,332.6537499999999
2013-12-21,332.5067708333333
2013-12-20,332.4946874999999
2013-12-19,332.4928124999998
2013-12-18,332.5476041666669
2013-12-17,332.58833333333337
2013-12-16,332.57104166666676
2013-12-15,332.59020833333307
2013-12-14,332.5785416666667
2013-12-13,332.4636458333334
2013-12-12,332.5858333333334
2013-12-11,332.6128125000003
2013-12-10,332.6098958333334
2013-12-09,332.57760416666673
2013-12-08,332.51218749999987
2013-12-07,332.57458333333335
2013-12-06,332.6155208333337
2013-12-05,332.55833333333345
2013-12-04,332.50124999999986
2013-12-03,332.4677083333333
2013-12-02,332.4619791666668
2013-12-01,332.51927083333334
2013-11-30,332.5453125000004
2013-11-29,332.5757291666668
2013-11-28,332.5685416666668
2013-11-27,332.57802083333326
2013-11-26,332.57322916666664
2013-11-25,332.50010416666663
2013-11-24,332.5522916666671
2013-11-23,332.5879166666668
2013-11-22,332.6011458333334
2013-11-21,332.52302083333336
2013-11-20,332.48552083333334
2013-11-19,332.4973958333328
2013-11-18,332.52510416666644
2013-11-17,332.4909374999998
2013-11-16,332.4361458333331
2013-11-15,332.4364583333332
2013-11-14,332.43822916666653
2013-11-13,332.53645833333354
2013-11-12,332.61166666666696
2013-11-11,332.5317708333335
2013-11-10,332.54052083333363
2013-11-09,332.4965624999999
2013-11-08,332.50749999999977
2013-11-07,332.58208333333306
2013-11-06,332.57281249999966
2013-11-05,332.49302083333316
2013-11-04,332.4818750000001
2013-11-03,332.48697916666674
2013-11-02,332.56895833333334
