date,average_water_level
2018-02-01,289.63
2018-01-31,289.6791666666667
2018-01-30,289.85374999999993
2018-01-29,289.9166666666668
2018-01-28,289.8199999999999
2018-01-27,289.7849999999998
2018-01-26,289.84041666666667
2018-01-25,289.98041666666654
2018-01-24,290.00916666666654
2018-01-23,289.9383333333332
2018-01-22,289.8529166666668
2018-01-21,289.86625
2018-01-20,289.97874999999993
2018-01-19,290.0879166666667
2018-01-18,290.2420833333335
2018-01-17,290.39083333333343
2018-01-16,290.4275
2018-01-15,290.26208333333335
2018-01-14,290.3808333333334
2018-01-13,290.45791666666656
2018-01-12,290.41833333333335
2018-01-11,290.2779166666666
2018-01-10,290.3829166666667
2018-01-09,290.61125
2018-01-08,290.66666666666663
2018-01-07,290.72499999999997
2018-01-06,290.98791666666665
2018-01-05,291.0754166666668
2018-01-04,291.1549999999999
2018-01-03,291.26416666666665
2018-01-02,291.4775
2018-01-01,291.6245833333332
2017-12-31,291.58958333333334
2017-12-30,291.6175
2017-12-29,291.7625000000001
2017-12-28,291.96166666666664
2017-12-27,292.10874999999993
2017-12-26,292.11583333333334
2017-12-25,292.2483333333334
2017-12-24,292.3079166666667
2017-12-23,292.39708333333334
2017-12-22,292.39916666666664
2017-12-21,292.4720833333334
2017-12-20,292.61291666666654
2017-12-19,292.75249999999994
2017-12-18,292.9208333333334
2017-12-17,292.9570833333333
2017-12-16,293.0558333333334
2017-12-15,293.195
2017-12-14,293.1150000000002
2017-12-13,293.1891666666666
2017-12-12,293.36083333333335
2017-12-11,293.31545454545454
2017-11-24,294.31
2017-11-23,294.3150000000001
2017-11-22,294.35916666666657
2017-11-21,294.27416666666664
2017-11-20,294.50999999999993
2017-11-19,294.72250000000014
2017-11-18,294.66749999999996
2017-11-17,294.7870833333333
2017-11-16,295.01791666666674
2017-11-15,295.10916666666674
2017-11-14,295.2754166666667
2017-11-13,295.5295833333335
2017-11-12,295.6008333333334
2017-11-11,295.6720833333333
2017-11-10,295.8545833333333
2017-11-09,295.96750000000003
2017-11-08,296.07125000000013
2017-11-07,296.1458333333333
2017-11-06,296.1599999999999
2017-11-05,296.21333333333354
2017-11-04,296.375
2017-11-03,296.5337500000001
2017-11-02,296.5379166666668
2017-11-01,296.60125
2017-10-31,296.8816666666668
2017-10-30,296.9541666666667
2017-10-29,297.09499999999997
2017-10-28,297.3087500000002
2017-10-27,297.32
2017-10-26,297.3170833333333
2017-10-25,297.60208333333327
2017-10-24,297.70666666666665
2017-10-23,297.7595833333333
2017-10-22,297.81458333333353
2017-10-21,297.8370833333333
2017-10-20,297.9737500000001
2017-10-19,298.06166666666667
2017-10-18,298.1095833333333
2017-10-17,298.18458333333336
2017-10-16,298.21833333333325
2017-10-15,298.15124999999995
2017-10-14,298.02124999999995
2017-10-13,297.92958333333337
2017-10-12,297.77875
2017-10-11,297.65708333333333
2017-10-10,297.50708333333347
2017-10-09,297.15041666666673
2017-10-08,297.0008695652174
2017-10-07,296.86230769230764
2017-10-06,296.8400000000001
2017-10-05,296.8400000000001
2017-10-04,296.83833333333337
2017-10-03,296.78458333333316
2017-10-02,296.7583333333335
2017-10-01,296.81708333333336
2017-09-30,296.86291666666676
2017-09-29,296.8404166666667
2017-09-28,296.7412500000001
2017-09-27,296.58625
2017-09-26,296.55291666666676
2017-09-25,296.5370833333333
2017-09-24,296.49833333333333
2017-09-23,296.4791666666666
2017-09-22,296.4554166666666
2017-09-21,296.36499999999984
2017-09-20,296.2970833333332
2017-09-19,296.27666666666653
2017-09-18,296.295
2017-09-17,296.25791666666663
2017-09-16,296.19500000000005
2017-09-15,296.1608333333334
2017-09-14,296.1487499999999
2017-09-13,296.1616666666667
2017-09-12,296.23041666666666
2017-09-11,296.38708333333324
2017-09-10,296.485
2017-09-09,296.52916666666664
2017-09-08,296.54
2017-09-07,296.5825
2017-08-24,296.5729166666668
2017-08-23,296.51739130434777
2017-08-22,296.2776923076923
2017-08-21,296.15375000000006
2017-08-20,296.0058333333332
2017-08-19,295.93166666666673
2017-08-18,295.92291666666665
2017-08-17,295.9120833333332
2017-08-16,295.89999999999986
2017-08-15,295.91375000000005
2017-08-14,295.9412499999999
2017-08-13,295.98249999999985
2017-08-12,296.0429166666668
2017-08-11,296.0600000000002
2017-08-10,296.0600000000002
2017-08-09,296.05041666666665
2017-08-08,296.01333333333315
2017-08-07,295.9654166666667
2017-08-06,295.9700000000001
2017-08-05,295.9916666666667
2017-08-04,296.0012499999999
2017-08-03,295.9825
2017-08-02,295.94999999999993
2017-08-01,295.8962500000001
2017-07-31,295.8791666666667
2017-07-30,295.84217391304344
2017-07-29,295.82
2017-07-28,295.8199999999999
2017-07-27,295.8199999999999
2017-07-26,295.80833333333345
2017-07-25,295.76125000000013
2017-07-24,295.70916666666665
2017-07-23,295.66916666666657
2017-07-22,295.6765217391304
2017-07-21,295.6933333333333
2017-07-20,295.70538461538456
2017-07-19,295.6787499999999
2017-07-18,295.59375
2017-07-17,295.48999999999995
2017-07-16,295.4424999999999
2017-07-15,295.3975
2017-07-14,295.3162500000001
2017-07-13,295.19791666666663
2017-07-12,295.0670833333334
2017-07-11,294.97291666666666
2017-07-10,294.95458333333323
2017-07-09,294.96541666666684
2017-07-08,295.0204166666667
2017-07-07,295.0833333333335
2017-07-06,295.1158333333332
2017-07-05,295.1308333333333
2017-07-04,295.17
2017-07-03,295.25826086956505
2017-07-02,295.3220833333334
2017-07-01,295.40416666666675
2017-06-30,295.3900000000001
2017-06-29,295.40041666666656
2017-06-28,295.4099999999999
2017-06-27,295.4099999999999
2017-06-26,295.4099999999999
2017-06-25,295.3695652173912
2017-06-24,295.3023076923077
2017-06-23,295.1858333333335
2017-06-22,295.14749999999987
2017-06-21,295.15374999999983
2017-06-20,295.13791666666674
2017-06-19,295.0629166666666
2017-06-18,294.92125
2017-06-17,294.8704166666666
2017-06-16,294.88041666666675
2017-06-15,294.90000000000003
2017-06-14,294.89999999999986
2017-06-13,294.93041666666653
2017-06-12,294.9791666666665
2017-06-11,295.0054166666668
2017-06-10,295.07217391304357
2017-06-09,295.15461538461534
2017-06-08,295.2470833333332
2017-06-07,295.2799999999998
2017-06-06,295.2799999999998
2017-06-05,295.2925000000001
2017-06-04,295.33875000000006
2017-06-03,295.45458333333335
2017-06-02,295.54666666666674
2017-06-01,295.57749999999993
2017-05-31,295.58
2017-05-30,295.58
2017-05-29,295.56166666666667
2017-05-28,295.47791666666666
2017-05-27,295.36208333333343
2017-05-26,295.2241666666666
2017-05-25,295.0358333333334
2017-05-24,294.9370833333332
2017-05-23,294.76624999999996
2017-05-22,294.65958333333344
2017-05-21,294.60458333333344
2017-05-20,294.42375000000004
2017-05-19,294.30833333333334
2017-05-18,294.23083333333324
2017-05-17,294.19999999999993
2017-04-27,294.42411764705884
2017-04-26,294.3787500000002
2017-04-25,294.4004166666666
2017-04-24,294.63166666666666
2017-04-23,294.7491666666668
2017-04-22,294.6895833333334
2017-04-21,294.55521739130455
2017-04-20,294.54692307692306
2017-04-19,294.5166666666666
2017-04-18,294.5
2017-04-17,294.4575000000001
2017-04-16,294.3933333333334
2017-04-15,294.315
2017-04-14,294.2683333333333
2017-04-13,294.24083333333317
2017-04-12,294.1887500000002
2017-04-11,294.0870833333333
2017-04-10,293.9145833333334
2017-04-09,293.7574999999999
2017-04-08,293.7320833333332
2017-04-07,293.7491666666666
2017-04-06,293.68625000000003
2017-04-05,293.5139130434782
2017-04-04,293.1507692307692
2017-04-03,293.07
2017-04-02,293.06250000000006
2017-04-01,293.0233333333333
2017-03-31,292.8416666666667
2017-03-30,292.7391666666665
2017-03-29,292.5591666666668
2017-03-28,292.4329166666666
2017-03-27,292.3083333333332
2017-03-26,292.1375
2017-03-25,292.10375000000016
2017-03-24,291.96833333333336
2017-03-23,292.00869565217397
2017-03-22,292.05000000000007
2017-03-21,292.0779166666667
2017-03-20,292.1369565217391
2017-03-19,292.28000000000003
2017-03-18,292.3350000000001
2017-03-17,292.34250000000014
2017-03-16,292.4445833333334
2017-03-15,292.5358333333333
2017-03-14,292.5616666666666
2017-03-13,292.56999999999994
2017-03-12,292.5991666666666
2017-03-11,292.46583333333325
2017-03-10,292.3900000000001
2017-03-09,292.2629166666668
2017-03-08,292.2520833333333
2017-03-07,292.06374999999997
