date,average_water_level
2018-02-01,189.575
2018-01-31,189.56000000000003
2018-01-30,189.57750000000007
2018-01-29,189.6
2018-01-28,189.60625000000002
2018-01-27,189.61000000000004
2018-01-26,189.57458333333338
2018-01-25,189.58666666666667
2018-01-24,189.6
2018-01-23,189.6
2018-01-22,189.6
2018-01-21,189.57375000000002
2018-01-20,189.56166666666672
2018-01-19,189.55583333333334
2018-01-18,189.57416666666663
2018-01-17,189.5858333333334
2018-01-16,189.60125000000002
2018-01-15,189.5933333333334
2018-01-14,189.57583333333332
2018-01-13,189.59416666666667
2018-01-12,189.60125000000005
2018-01-11,189.62166666666664
2018-01-10,189.55125
2018-01-09,189.57124999999996
2018-01-08,189.58666666666673
2018-01-07,189.5716666666667
2018-01-06,189.5691666666667
2018-01-05,189.56625000000005
2018-01-04,189.56000000000003
2018-01-03,189.56000000000003
2018-01-02,189.55541666666673
2018-01-01,189.5563636363636
2017-12-31,189.56
2017-12-30,189.5654166666667
2017-12-29,189.54833333333337
2017-12-28,189.54708333333335
2017-12-27,189.56416666666664
2017-12-26,189.56875000000002
2017-12-25,189.54041666666672
2017-12-24,189.58083333333332
2017-12-23,189.55250000000004
2017-12-22,189.57000000000002
2017-12-21,189.55291666666676
2017-12-20,189.55000000000007
2017-12-19,189.55583333333334
2017-12-18,189.56000000000003
2017-12-17,189.5504166666667
2017-12-16,189.52750000000006
2017-12-15,189.5566666666667
2017-12-14,189.5545833333334
2017-12-13,189.52083333333334
2017-12-12,189.54791666666668
2017-12-11,189.67624999999995
2017-12-10,189.71999999999994
2017-12-09,189.7166666666666
2017-12-08,189.6974999999999
2017-12-07,189.71291666666662
2017-12-06,189.71999999999994
2017-12-05,189.72749999999996
2017-12-04,189.69333333333336
2017-12-03,189.69208333333324
2017-12-02,189.6966666666666
2017-12-01,189.69875
2017-11-30,189.71041666666665
2017-11-29,189.7079166666666
2017-11-28,189.71458333333328
2017-11-27,189.69124999999994
2017-11-26,189.70833333333334
2017-11-25,189.7220833333333
2017-11-24,189.68625
2017-11-23,189.69999999999993
2017-11-22,189.71624999999995
2017-11-21,189.70916666666665
2017-11-20,189.68499999999997
2017-11-19,189.70916666666656
2017-11-18,189.72833333333335
2017-11-17,189.67999999999998
2017-11-16,189.69708333333338
2017-11-15,189.71041666666665
2017-11-14,189.67999999999998
2017-11-13,189.6945833333333
2017-11-12,189.70749999999998
2017-11-11,189.68999999999997
2017-11-10,189.68999999999997
2017-11-09,189.69208333333333
2017-11-08,189.69999999999993
2017-11-07,189.69708333333327
