date,average_water_level
2012-02-15,448.5
2012-02-14,448.5
2012-02-13,448.5
2012-02-12,448.5
2012-02-11,448.5
2012-02-10,448.5
2012-02-09,448.5
2012-02-08,447.8047368421053
2012-02-07,447.0500000000001
2012-02-06,447.10714285714283
2012-02-05,447.16230769230776
2012-02-04,447.14538461538456
2012-02-03,447.0915384615385
2012-02-02,447.2533333333334
2012-02-01,447.3362500000001
2012-01-31,447.4129166666666
2012-01-30,447.6038461538461
2012-01-29,447.76875
2012-01-28,447.9069230769231
2012-01-27,447.725
2012-01-26,447.82500000000005
2012-01-25,447.9015384615385
2012-01-24,448.08125000000007
2012-01-23,448.31846153846163
2012-01-22,448.235
2012-01-21,448.5033333333334
2012-01-20,448.4285714285715
2012-01-19,448.67571428571426
2012-01-18,448.9347368421053
2012-01-17,448.97944444444437
2012-01-16,449.0005263157895
2012-01-15,449.27923076923076
2012-01-14,449.4272222222221
2012-01-13,449.4931578947369
2012-01-12,449.6116666666667
2012-01-11,449.4312500000001
2012-01-10,449.7657142857143
2012-01-09,449.8725
2012-01-08,450.07769230769225
2012-01-07,450.1842857142857
2012-01-06,450.23
2012-01-05,450.655
2012-01-04,450.79857142857145
2012-01-03,450.92249999999996
2012-01-02,451.3528571428572
2012-01-01,451.31538461538463
2011-12-31,451.18157894736845
2011-12-30,451.41538461538465
2011-12-29,451.63944444444445
2011-12-28,451.82000000000005
2011-12-27,452.21555555555557
2011-12-26,452.4708333333333
2011-12-25,452.88230769230773
2011-12-24,453.15
2011-12-23,453.7483333333333
2011-12-22,453.96124999999995
2011-12-21,454.13
2011-12-20,454.18307692307684
2011-12-19,454.455
2011-12-18,454.67833333333346
2011-12-17,454.84785714285715
2011-12-16,454.86666666666673
2011-12-15,454.82230769230773
2011-12-14,454.82500000000005
2011-12-13,455.1472222222221
2011-12-12,455.2416666666666
2011-12-11,455.35875000000004
2011-12-10,455.583076923077
2011-12-09,455.5185714285714
2011-12-08,455.55375000000004
2011-12-07,455.78
2011-12-06,455.86999999999995
2011-12-05,455.8644444444444
2011-12-04,455.9930769230769
2011-12-03,456.0689473684211
2011-12-02,456.39111111111106
2011-12-01,456.4284615384616
2011-11-30,456.55999999999983
2011-11-29,456.65142857142854
2011-11-28,457.91307692307686
2011-11-27,458.1307692307692
2011-11-26,458.0222222222222
2011-11-25,458.2112499999999
2011-11-24,458.45307692307694
2011-11-23,458.5189473684211
2011-11-22,458.3392307692308
2011-11-21,458.3053846153846
2011-11-20,458.1766666666667
2011-11-19,458.0523076923077
2011-11-18,458.1436842105263
2011-11-17,458.37
2011-11-16,458.0957142857142
2011-11-15,458.11923076923074
2011-11-14,458.20125
2011-11-13,458.32
2011-11-12,458.63
2011-11-11,458.8257142857143
2011-11-10,458.9507692307692
2011-11-09,458.98875
2011-11-08,458.82777777777784
2011-11-07,459.00692307692304
2011-11-06,459.1207692307692
2011-11-05,459.2366666666667
2011-11-04,459.54
2011-11-03,459.69
2011-11-02,459.66375
2011-11-01,459.8237500000001
2011-10-31,459.97625
2011-10-30,460.1946153846154
2011-10-29,460.4523076923077
2011-10-28,460.6210526315789
2011-10-27,460.62111111111113
2011-10-26,460.70736842105254
2011-10-25,460.76666666666665
2011-10-24,460.88714285714286
2011-10-23,460.82615384615383
2011-10-22,460.87166666666667
2011-10-21,460.91249999999997
2011-10-20,460.93055555555554
2011-10-19,460.95461538461547
2011-10-18,460.8610526315789
2011-10-17,460.7815384615386
2011-10-16,460.8816666666666
2011-10-15,460.87
2011-10-14,460.8
2011-10-13,460.7375
2011-10-12,460.6457142857143
2011-10-11,460.68499999999995
2011-10-10,460.6542857142857
2011-10-09,460.57052631578955
2011-10-08,460.52461538461534
2011-10-07,460.4670588235293
2011-10-06,460.32500000000005
2011-10-05,460.27571428571434
2011-10-04,460.2420833333333
2011-10-03,460.11
2011-10-02,460.0117647058825
2011-10-01,459.78
2011-09-30,459.6376923076923
2011-09-29,459.18999999999994
2011-09-28,458.98222222222216
2011-09-27,458.485
2011-09-26,458.015
2011-09-25,457.9269230769232
2011-09-24,458.0984210526315
2011-09-23,458.1771428571428
2011-09-22,458.1725
2011-09-21,458.1816666666667
2011-09-20,458.2054166666665
2011-09-19,458.23538461538465
2011-09-18,458.21291666666644
2011-09-17,458.245
2011-09-16,458.33000000000004
2011-09-15,458.35
2011-09-14,458.2653846153846
2011-09-13,458.345
2011-09-12,458.4805263157894
2011-09-11,458.5138461538461
2011-09-10,458.5414285714286
2011-09-09,458.73153846153843
2011-09-08,459.01684210526315
2011-09-07,459.2923076923077
2011-09-06,459.55571428571426
2011-09-05,459.6169230769231
2011-09-04,459.31750000000005
2011-09-03,459.2533333333334
2011-09-02,459.2083333333333
2011-09-01,459.1421052631578
2011-08-31,459.0125
2011-08-30,458.8788235294118
2011-08-29,458.78923076923087
2011-08-28,458.67157894736846
2011-08-27,458.5887500000002
2011-08-26,458.48875000000004
2011-08-25,458.34857142857135
2011-08-24,458.24615384615385
2011-08-23,458.14000000000004
2011-08-22,458.1305555555555
2011-08-21,457.9926315789473
2011-08-20,457.85428571428577
2011-08-19,457.7546153846155
2011-08-18,457.72
2011-08-17,457.66461538461533
2011-08-16,457.4668421052631
2011-08-15,457.36041666666665
2011-08-14,457.30000000000007
2011-08-13,457.20692307692303
2011-08-12,457.03499999999997
2011-08-11,456.8899999999999
2011-08-10,456.7545833333334
2011-08-09,456.6308333333332
2011-08-08,456.55111111111114
2011-08-07,456.395
2011-08-06,456.32714285714286
2011-08-05,456.21692307692314
2011-08-04,456.02315789473676
2011-08-03,455.9183333333333
2011-08-02,455.8047368421053
2011-08-01,455.74124999999987
2011-07-31,455.6611111111111
2011-07-30,455.46000000000004
2011-07-29,455.195
2011-07-28,455.04208333333344
2011-07-27,454.8276923076922
2011-07-26,454.75722222222225
2011-07-25,454.66875000000005
2011-07-24,454.6214285714286
2011-07-23,454.4063157894736
2011-07-22,454.2145833333332
2011-07-21,454.04428571428576
2011-07-20,453.88000000000005
2011-07-19,453.7755555555555
2011-07-18,453.6492307692307
2011-07-17,453.445
2011-07-16,453.223076923077
2011-07-15,453.03499999999997
2011-07-14,452.91421052631574
2011-07-13,452.8399999999999
2011-07-12,452.76230769230773
2011-07-11,452.6
2011-07-10,452.43
2011-07-09,452.2357894736842
2011-07-08,452.1111111111111
2011-07-07,452.00000000000006
2011-07-06,451.9130769230769
2011-07-05,451.72875
2011-07-04,451.64166666666665
2011-07-03,451.5554166666668
2011-07-02,451.4941666666668
2011-07-01,451.36708333333326
2011-06-30,451.24375000000003
2011-06-29,451.1220833333332
2011-06-28,450.9841666666666
2011-06-27,450.7987500000001
2011-06-26,450.6366666666666
2011-06-25,450.4733333333332
2011-06-24,450.3295833333334
2011-06-23,450.20666666666665
2011-06-22,450.0004166666666
2011-06-21,449.7729166666666
2011-06-20,449.59875000000005
2011-06-19,449.46875
2011-06-18,449.30749999999995
2011-06-17,449.07083333333327
2011-06-16,448.8595833333334
2011-06-15,448.6454166666667
2011-06-14,448.4329166666668
2011-06-13,448.23
2011-06-12,447.95374999999996
2011-06-11,447.6720833333334
2011-06-10,447.33583333333337
2011-06-09,446.9629166666668
2011-06-08,446.50499999999994
2011-06-07,445.9195833333333
2011-06-06,445.4837499999999
2011-06-05,445.47083333333336
2011-06-04,445.41249999999997
2011-06-03,445.2749999999999
2011-06-02,445.2879166666666
2011-06-01,445.4029166666667
2011-05-31,445.4816666666666
2011-05-30,445.54500000000013
2011-05-29,445.69458333333336
2011-05-28,445.9258333333334
2011-05-27,446.3654166666666
2011-05-26,446.96625
2011-05-25,447.4416666666666
2011-05-24,447.82541666666657
2011-05-23,447.9670833333334
2011-05-22,448.09791666666683
2011-05-21,448.1745833333332
2011-05-20,448.2195833333333
2011-05-19,448.2904166666669
2011-05-18,448.3641666666669
2011-05-17,448.57500000000005
2011-05-16,448.7979166666667
2011-05-15,448.9283333333333
2011-05-14,449.0075000000001
2011-05-13,449.0554166666668
2011-05-12,449.02375
2011-05-11,448.95125
2011-05-10,448.90083333333337
2011-05-09,448.86416666666673
2011-05-08,448.855
2011-05-07,448.85166666666674
2011-05-06,448.93416666666667
2011-05-05,448.99041666666653
2011-05-04,449.0216666666667
2011-05-03,448.9766666666667
2011-05-02,448.7816666666665
2011-05-01,448.5841666666666
2011-04-30,448.3837500000002
2011-04-29,448.4337499999999
2011-04-28,448.43875
2011-04-27,447.9716666666666
2011-04-26,447.7183333333333
2011-04-25,447.5691666666667
2011-04-24,447.4270833333333
2011-04-23,447.10374999999993
2011-04-22,446.70208333333335
2011-04-21,446.2579166666667
2011-04-20,445.84041666666667
2011-04-19,445.6754166666667
2011-04-18,445.68916666666655
2011-04-17,445.82916666666665
2011-04-16,445.95208333333335
2011-04-15,445.82124999999996
2011-04-14,445.8573684210527
2011-04-13,446.18041666666664
2011-04-12,446.2762500000001
2011-04-11,446.1633333333334
2011-04-10,446.1275
2011-04-09,446.1791666666666
2011-04-08,446.19874999999985
2011-04-07,446.25708333333347
2011-04-06,446.37125
2011-04-05,446.5450000000001
2011-04-04,446.4954166666668
2011-04-03,446.4811764705881
2011-04-02,447.3100000000002
2011-04-01,447.31
2011-03-31,447.31
2011-03-30,447.4491666666667
2011-03-29,447.75647058823535
2011-03-28,448.28105263157886
2011-03-27,448.20249999999993
2011-03-26,448.02291666666656
2011-03-25,448.02500000000015
2011-03-24,448.1095833333333
2011-03-23,448.0188235294118
2011-03-21,448.09285714285716
2011-03-20,448.0804166666666
2011-03-19,447.99799999999993
2011-03-17,447.93416666666667
2011-03-16,447.9757142857143
2011-03-15,447.9791666666666
2011-03-14,447.94000000000005
2011-03-13,447.7745454545455
2011-03-12,447.72333333333313
2011-03-11,447.77916666666664
2011-03-10,447.8674999999999
2011-03-09,447.67041666666677
2011-03-08,447.3812499999999
2011-03-07,447.4149999999998
2011-03-06,447.5483333333334
2011-03-05,447.49875000000003
2011-03-04,447.1812499999999
2011-03-03,447.1454166666667
2011-03-02,447.1245833333334
2011-03-01,447.04416666666674
2011-02-28,446.7008333333333
2011-02-27,446.2375000000002
2011-02-26,446.07250000000005
2011-02-25,445.7608333333333
2011-02-24,445.02249999999987
2011-02-23,445.0758333333334
2011-02-22,445.20291666666645
2011-02-21,445.1195833333333
2011-02-20,445.1891666666668
2011-02-19,445.4320833333333
2011-02-18,445.47958333333327
2011-02-17,445.45833333333326
2011-02-16,445.5900000000001
2011-02-15,445.7183333333334
2011-02-14,445.83833333333337
2011-02-13,445.92458333333343
2011-02-12,446.1291666666666
2011-02-11,446.15624999999994
2011-02-10,446.22750000000013
2011-02-09,446.25333333333333
2011-02-07,446.2583333333334
