date,average_water_level
2018-01-31,149.02047619047622
2018-01-30,149.01166666666668
2018-01-29,149.04541666666668
2018-01-28,149.05875
2018-01-27,149.06583333333333
2018-01-26,149.0583333333334
2018-01-25,149.03208333333336
2018-01-24,149.05541666666667
2018-01-23,149.07041666666666
2018-01-22,149.07875000000004
2018-01-21,149.0675
2018-01-20,149.05541666666664
2018-01-19,149.03958333333333
2018-01-18,149.04375000000002
2018-01-17,149.05541666666667
2018-01-16,149.06708333333333
2018-01-15,149.09375000000003
2018-01-14,149.06916666666663
2018-01-13,149.07458333333335
2018-01-12,149.0804166666667
2018-01-11,149.13583333333332
2018-01-10,149.04458333333332
2018-01-09,149.05666666666667
2018-01-08,149.07874999999999
2018-01-07,149.09625000000003
2018-01-06,149.06791666666672
2018-01-05,149.09
2018-01-04,149.08583333333334
2018-01-03,149.08333333333331
2018-01-02,149.09458333333336
2018-01-01,149.08999999999997
2017-12-31,149.13666666666666
2017-12-30,149.0975
2017-12-29,149.08291666666668
2017-12-28,149.1025
2017-12-27,149.0979166666667
2017-12-26,149.1333333333333
2017-12-25,149.07750000000001
2017-12-24,149.14083333333332
2017-12-23,149.0945833333333
2017-12-22,149.12916666666666
2017-12-21,149.12166666666667
2017-12-20,149.09874999999997
2017-12-19,149.11625
2017-12-18,149.1258333333333
2017-12-17,149.14666666666665
2017-12-16,149.09916666666666
2017-12-15,149.1091666666667
2017-12-14,149.1529166666667
2017-12-13,149.11041666666665
2017-12-12,149.12541666666667
2017-12-11,149.1383333333333
2017-12-10,149.13916666666663
2017-12-09,149.15333333333328
2017-12-08,149.13833333333332
2017-12-07,149.13708333333327
2017-12-06,149.15333333333328
2017-12-05,149.1683333333333
2017-12-04,149.16916666666668
2017-12-03,149.1291666666666
2017-12-02,149.1579166666666
2017-12-01,149.14374999999998
2017-11-30,149.17041666666663
2017-11-29,149.14416666666665
2017-11-28,149.20208333333332
2017-11-27,149.13999999999996
2017-11-26,149.15916666666666
2017-11-25,149.2095833333333
